t=,1, id=,B00, PRDE,actvstrat=,0.102592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.610231, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.663130, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.947370, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.020902, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.870356, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.895514, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.881495, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.885750, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.605271, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.642553, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.015870, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.545885, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.585862, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.833063, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.007908, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.220269, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.394403, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.780264, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.791204, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.056120, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.833910, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.962665, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.490499, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.102592, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.545885, 
t=,3600, id=,B00, PRDE,actvstrat=,0.102592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.610231, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.663130, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.947370, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.020902, actvprof=,0.023055, id=,B05, PRDE,actvstrat=,-0.870356, actvprof=,0.223053, id=,B06, PRDE,actvstrat=,-0.895514, actvprof=,0.729158, id=,B07, PRDE,actvstrat=,0.881495, actvprof=,1.325262, id=,B08, PRDE,actvstrat=,0.885750, actvprof=,2.033032, id=,B09, PRDE,actvstrat=,-0.605271, actvprof=,1.996921, id=,B10, PRDE,actvstrat=,0.642553, actvprof=,4.106897, id=,B11, PRDE,actvstrat=,0.015870, actvprof=,4.644391, id=,S00, PRDE,actvstrat=,0.545885, actvprof=,10.498212, id=,S01, PRDE,actvstrat=,-0.585862, actvprof=,3.295795, id=,S02, PRDE,actvstrat=,0.833063, actvprof=,8.414347, id=,S03, PRDE,actvstrat=,-0.007908, actvprof=,2.884689, id=,S04, PRDE,actvstrat=,0.220269, actvprof=,2.227474, id=,S05, PRDE,actvstrat=,-0.394403, actvprof=,0.380829, id=,S06, PRDE,actvstrat=,0.780264, actvprof=,1.752480, id=,S07, PRDE,actvstrat=,0.791204, actvprof=,0.978044, id=,S08, PRDE,actvstrat=,-0.056120, actvprof=,0.052777, id=,S09, PRDE,actvstrat=,-0.833910, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.962665, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.490499, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.644391, best_B_strat=,0.015870, best_S_id=,S00, best_S_prof=,10.498212, best_S_strat=,0.545885, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.017112, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.777518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.535185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.572865, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.228703, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.698674, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.248823, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.471992, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.164380, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.210476, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.993032, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.461884, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.895409, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.908879, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.367881, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.438618, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.388952, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.638109, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.513822, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.610239, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.678004, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.208549, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.906812, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.850800, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.017112, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.895409, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.017112, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.777518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.535185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.572865, actvprof=,0.021944, id=,B04, PRDE,actvstrat=,-0.228703, actvprof=,0.036666, id=,B05, PRDE,actvstrat=,-0.698674, actvprof=,0.243053, id=,B06, PRDE,actvstrat=,-0.248823, actvprof=,0.378607, id=,B07, PRDE,actvstrat=,-0.471992, actvprof=,0.929989, id=,B08, PRDE,actvstrat=,-0.164380, actvprof=,1.468039, id=,B09, PRDE,actvstrat=,-0.210476, actvprof=,2.573859, id=,B10, PRDE,actvstrat=,-0.993032, actvprof=,5.390771, id=,B11, PRDE,actvstrat=,-0.461884, actvprof=,4.753278, id=,S00, PRDE,actvstrat=,-0.895409, actvprof=,0.838601, id=,S01, PRDE,actvstrat=,0.908879, actvprof=,8.413236, id=,S02, PRDE,actvstrat=,0.367881, actvprof=,3.730790, id=,S03, PRDE,actvstrat=,-0.438618, actvprof=,0.689436, id=,S04, PRDE,actvstrat=,0.388952, actvprof=,1.814423, id=,S05, PRDE,actvstrat=,-0.638109, actvprof=,0.136665, id=,S06, PRDE,actvstrat=,-0.513822, actvprof=,0.034722, id=,S07, PRDE,actvstrat=,0.610239, actvprof=,0.153887, id=,S08, PRDE,actvstrat=,-0.678004, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,0.208549, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.906812, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.850800, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.390771, best_B_strat=,-0.993032, best_S_id=,S01, best_S_prof=,8.413236, best_S_strat=,0.908879, 
t=,14400, id=,B00, PRDE,actvstrat=,0.911510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.777518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.535185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.187008, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.228703, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.698674, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.248823, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.705991, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.164380, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.210476, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.993032, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.193976, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.625254, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.227958, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.662437, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.395411, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.593840, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.675687, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.418520, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.142694, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.491129, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.986147, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.738204, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.850800, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.911510, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.625254, 
t=,18000, id=,B00, PRDE,actvstrat=,0.911510, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.777518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.535185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.187008, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.228703, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,-0.698674, actvprof=,0.100278, id=,B06, PRDE,actvstrat=,-0.248823, actvprof=,0.240000, id=,B07, PRDE,actvstrat=,0.705991, actvprof=,1.442778, id=,B08, PRDE,actvstrat=,-0.164380, actvprof=,1.197500, id=,B09, PRDE,actvstrat=,-0.210476, actvprof=,1.929444, id=,B10, PRDE,actvstrat=,-0.993032, actvprof=,4.515556, id=,B11, PRDE,actvstrat=,0.193976, actvprof=,4.807778, id=,S00, PRDE,actvstrat=,-0.625254, actvprof=,3.268889, id=,S01, PRDE,actvstrat=,0.227958, actvprof=,5.661667, id=,S02, PRDE,actvstrat=,0.662437, actvprof=,6.061111, id=,S03, PRDE,actvstrat=,0.395411, actvprof=,3.272778, id=,S04, PRDE,actvstrat=,-0.593840, actvprof=,0.436389, id=,S05, PRDE,actvstrat=,-0.675687, actvprof=,0.254444, id=,S06, PRDE,actvstrat=,-0.418520, actvprof=,0.047778, id=,S07, PRDE,actvstrat=,0.142694, actvprof=,0.100000, id=,S08, PRDE,actvstrat=,0.491129, actvprof=,0.058056, id=,S09, PRDE,actvstrat=,0.986147, actvprof=,0.102222, id=,S10, PRDE,actvstrat=,0.738204, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.850800, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.807778, best_B_strat=,0.193976, best_S_id=,S02, best_S_prof=,6.061111, best_S_strat=,0.662437, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.515187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.552503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270985, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.660144, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.529758, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.126568, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.530536, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.483696, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.060707, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.190700, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.637303, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.297246, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.456769, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.323059, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.346682, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.307868, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.379744, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.072335, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.515187, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.297246, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.515187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.552503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270985, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,-0.660144, actvprof=,0.023611, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.287781, id=,B05, PRDE,actvstrat=,0.529758, actvprof=,0.368338, id=,B06, PRDE,actvstrat=,-0.126568, actvprof=,0.618063, id=,B07, PRDE,actvstrat=,0.530536, actvprof=,2.015301, id=,B08, PRDE,actvstrat=,-0.483696, actvprof=,1.674186, id=,B09, PRDE,actvstrat=,-0.060707, actvprof=,3.520874, id=,B10, PRDE,actvstrat=,0.190700, actvprof=,6.004236, id=,B11, PRDE,actvstrat=,-0.637303, actvprof=,6.727022, id=,S00, PRDE,actvstrat=,0.297246, actvprof=,5.923680, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.313140, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.046737, id=,S03, PRDE,actvstrat=,0.456769, actvprof=,1.898633, id=,S04, PRDE,actvstrat=,0.323059, actvprof=,0.843343, id=,S05, PRDE,actvstrat=,-0.346682, actvprof=,0.058612, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.723619, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.160835, id=,S08, PRDE,actvstrat=,0.307868, actvprof=,0.005833, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.379744, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.072335, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.727022, best_B_strat=,-0.637303, best_S_id=,S01, best_S_prof=,7.313140, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.515187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.552503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270985, actvprof=,0.005972, id=,B03, PRDE,actvstrat=,-0.660144, actvprof=,0.030139, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.246114, id=,B05, PRDE,actvstrat=,0.529758, actvprof=,0.433199, id=,B06, PRDE,actvstrat=,-0.126568, actvprof=,0.587368, id=,B07, PRDE,actvstrat=,0.530536, actvprof=,1.856688, id=,B08, PRDE,actvstrat=,-0.483696, actvprof=,1.777937, id=,B09, PRDE,actvstrat=,-0.060707, actvprof=,3.666709, id=,B10, PRDE,actvstrat=,0.190700, actvprof=,5.889929, id=,B11, PRDE,actvstrat=,-0.637303, actvprof=,6.647994, id=,S00, PRDE,actvstrat=,0.297246, actvprof=,5.703260, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.407725, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.991736, id=,S03, PRDE,actvstrat=,0.456769, actvprof=,1.959745, id=,S04, PRDE,actvstrat=,0.323059, actvprof=,0.804037, id=,S05, PRDE,actvstrat=,-0.346682, actvprof=,0.044306, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.702230, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.146807, id=,S08, PRDE,actvstrat=,0.307868, actvprof=,0.003056, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.002639, id=,S10, PRDE,actvstrat=,0.379744, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.072335, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.647994, best_B_strat=,-0.637303, best_S_id=,S01, best_S_prof=,7.407725, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.515187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.834478, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.217578, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,-0.699633, actvprof=,0.050834, id=,B04, PRDE,actvstrat=,-0.631977, actvprof=,0.099446, id=,B05, PRDE,actvstrat=,0.529758, actvprof=,0.682786, id=,B06, PRDE,actvstrat=,0.433021, actvprof=,1.265015, id=,B07, PRDE,actvstrat=,-0.358115, actvprof=,1.352793, id=,B08, PRDE,actvstrat=,-0.483696, actvprof=,2.082802, id=,B09, PRDE,actvstrat=,0.853231, actvprof=,3.339761, id=,B10, PRDE,actvstrat=,0.356564, actvprof=,4.729221, id=,B11, PRDE,actvstrat=,-0.357810, actvprof=,5.593676, id=,S00, PRDE,actvstrat=,0.545885, actvprof=,9.702890, id=,S01, PRDE,actvstrat=,0.908879, actvprof=,9.118717, id=,S02, PRDE,actvstrat=,0.833063, actvprof=,7.472031, id=,S03, PRDE,actvstrat=,-0.690656, actvprof=,1.094179, id=,S04, PRDE,actvstrat=,0.323059, actvprof=,2.102247, id=,S05, PRDE,actvstrat=,-0.330502, actvprof=,0.415283, id=,S06, PRDE,actvstrat=,-0.242543, actvprof=,0.190002, id=,S07, PRDE,actvstrat=,-0.918335, actvprof=,0.007222, id=,S08, PRDE,actvstrat=,0.551649, actvprof=,0.102223, id=,S09, PRDE,actvstrat=,0.986147, actvprof=,0.084723, id=,S10, PRDE,actvstrat=,-0.047757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.142059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.593676, best_B_strat=,-0.357810, best_S_id=,S00, best_S_prof=,9.702890, best_S_strat=,0.545885, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.515187, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.834478, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.217578, actvprof=,0.004583, id=,B03, PRDE,actvstrat=,-0.699633, actvprof=,0.058195, id=,B04, PRDE,actvstrat=,-0.631977, actvprof=,0.099307, id=,B05, PRDE,actvstrat=,0.529758, actvprof=,0.696675, id=,B06, PRDE,actvstrat=,0.433021, actvprof=,1.251681, id=,B07, PRDE,actvstrat=,-0.358115, actvprof=,1.386960, id=,B08, PRDE,actvstrat=,-0.483696, actvprof=,2.102663, id=,B09, PRDE,actvstrat=,0.853231, actvprof=,3.545597, id=,B10, PRDE,actvstrat=,0.356564, actvprof=,4.745749, id=,B11, PRDE,actvstrat=,-0.357810, actvprof=,5.647704, id=,S00, PRDE,actvstrat=,0.545885, actvprof=,9.334691, id=,S01, PRDE,actvstrat=,0.908879, actvprof=,8.924270, id=,S02, PRDE,actvstrat=,0.833063, actvprof=,7.364946, id=,S03, PRDE,actvstrat=,-0.690656, actvprof=,1.141958, id=,S04, PRDE,actvstrat=,0.323059, actvprof=,2.061413, id=,S05, PRDE,actvstrat=,-0.330502, actvprof=,0.385004, id=,S06, PRDE,actvstrat=,-0.242543, actvprof=,0.165974, id=,S07, PRDE,actvstrat=,-0.918335, actvprof=,0.010139, id=,S08, PRDE,actvstrat=,0.551649, actvprof=,0.097362, id=,S09, PRDE,actvstrat=,0.986147, actvprof=,0.088195, id=,S10, PRDE,actvstrat=,-0.047757, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.142059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.647704, best_B_strat=,-0.357810, best_S_id=,S00, best_S_prof=,9.334691, best_S_strat=,0.545885, 
