t=,0, id=,B00, PRDE,actvstrat=,0.628296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.990994, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.052631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.964186, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.101205, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.663991, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.251467, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.385308, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.209487, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.916603, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.059227, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.263274, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.226326, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.588896, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.146403, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.801738, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.946656, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.729453, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.142778, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.068718, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.087482, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.470927, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.357937, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.628296, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.263274, 
t=,3600, id=,B00, PRDE,actvstrat=,0.628296, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.990994, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,0.052631, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,-0.964186, actvprof=,0.124442, id=,B04, PRDE,actvstrat=,-0.101205, actvprof=,0.118331, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.331381, id=,B06, PRDE,actvstrat=,-0.663991, actvprof=,0.838036, id=,B07, PRDE,actvstrat=,-0.251467, actvprof=,1.687461, id=,B08, PRDE,actvstrat=,-0.385308, actvprof=,2.352168, id=,B09, PRDE,actvstrat=,0.209487, actvprof=,4.386010, id=,B10, PRDE,actvstrat=,0.916603, actvprof=,5.439596, id=,B11, PRDE,actvstrat=,0.059227, actvprof=,7.075670, id=,S00, PRDE,actvstrat=,0.263274, actvprof=,7.246221, id=,S01, PRDE,actvstrat=,0.226326, actvprof=,5.293766, id=,S02, PRDE,actvstrat=,0.588896, actvprof=,5.681535, id=,S03, PRDE,actvstrat=,0.146403, actvprof=,2.858545, id=,S04, PRDE,actvstrat=,-0.801738, actvprof=,0.667207, id=,S05, PRDE,actvstrat=,0.946656, actvprof=,2.593273, id=,S06, PRDE,actvstrat=,-0.729453, actvprof=,0.172774, id=,S07, PRDE,actvstrat=,0.142778, actvprof=,0.349159, id=,S08, PRDE,actvstrat=,0.068718, actvprof=,0.098331, id=,S09, PRDE,actvstrat=,0.087482, actvprof=,0.023611, id=,S10, PRDE,actvstrat=,-0.470927, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.357937, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.075670, best_B_strat=,0.059227, best_S_id=,S00, best_S_prof=,7.246221, best_S_strat=,0.263274, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.860939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.544836, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374881, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.597172, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.415756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.620788, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.202311, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.119608, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.264433, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.673622, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.911879, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.114019, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.132414, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.484688, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.760060, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.573805, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.159626, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.895516, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.377514, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.028001, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.887227, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.903052, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.288241, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.860939, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.114019, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.860939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.544836, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.374881, actvprof=,0.026111, id=,B04, PRDE,actvstrat=,-0.597172, actvprof=,0.033611, id=,B05, PRDE,actvstrat=,-0.415756, actvprof=,0.104721, id=,B06, PRDE,actvstrat=,-0.620788, actvprof=,0.371940, id=,B07, PRDE,actvstrat=,0.202311, actvprof=,1.202486, id=,B08, PRDE,actvstrat=,0.119608, actvprof=,1.875812, id=,B09, PRDE,actvstrat=,0.264433, actvprof=,3.510237, id=,B10, PRDE,actvstrat=,0.673622, actvprof=,5.381604, id=,B11, PRDE,actvstrat=,-0.911879, actvprof=,5.288828, id=,S00, PRDE,actvstrat=,0.114019, actvprof=,7.158806, id=,S01, PRDE,actvstrat=,-0.132414, actvprof=,4.503003, id=,S02, PRDE,actvstrat=,0.484688, actvprof=,5.442437, id=,S03, PRDE,actvstrat=,-0.760060, actvprof=,1.053599, id=,S04, PRDE,actvstrat=,-0.573805, actvprof=,0.744991, id=,S05, PRDE,actvstrat=,0.159626, actvprof=,0.930545, id=,S06, PRDE,actvstrat=,0.895516, actvprof=,1.585537, id=,S07, PRDE,actvstrat=,-0.377514, actvprof=,0.035277, id=,S08, PRDE,actvstrat=,0.028001, actvprof=,0.037777, id=,S09, PRDE,actvstrat=,-0.887227, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.903052, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.288241, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.381604, best_B_strat=,0.673622, best_S_id=,S00, best_S_prof=,7.158806, best_S_strat=,0.114019, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.012770, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.250209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.371043, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.261705, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.325853, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.870473, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.119608, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.378081, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.409792, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.911879, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.610478, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.132414, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.023283, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.949463, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.222929, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.406353, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.895516, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.223653, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.500271, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.236078, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.458785, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.197064, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.012770, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.610478, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.012770, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.250209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.371043, actvprof=,0.028333, id=,B04, PRDE,actvstrat=,0.261705, actvprof=,0.137500, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.262222, id=,B06, PRDE,actvstrat=,-0.325853, actvprof=,0.714722, id=,B07, PRDE,actvstrat=,-0.870473, actvprof=,1.936667, id=,B08, PRDE,actvstrat=,0.119608, actvprof=,3.137500, id=,B09, PRDE,actvstrat=,-0.378081, actvprof=,4.241944, id=,B10, PRDE,actvstrat=,0.409792, actvprof=,6.588056, id=,B11, PRDE,actvstrat=,-0.911879, actvprof=,7.098333, id=,S00, PRDE,actvstrat=,0.610478, actvprof=,7.670000, id=,S01, PRDE,actvstrat=,-0.132414, actvprof=,2.919444, id=,S02, PRDE,actvstrat=,0.023283, actvprof=,2.582778, id=,S03, PRDE,actvstrat=,0.949463, actvprof=,3.454444, id=,S04, PRDE,actvstrat=,0.222929, actvprof=,1.103056, id=,S05, PRDE,actvstrat=,-0.406353, actvprof=,0.179167, id=,S06, PRDE,actvstrat=,0.895516, actvprof=,0.899722, id=,S07, PRDE,actvstrat=,-0.223653, actvprof=,0.017778, id=,S08, PRDE,actvstrat=,0.500271, actvprof=,0.036667, id=,S09, PRDE,actvstrat=,-0.236078, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.458785, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.197064, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.098333, best_B_strat=,-0.911879, best_S_id=,S00, best_S_prof=,7.670000, best_S_strat=,0.610478, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.012770, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.250209, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.371043, actvprof=,0.037778, id=,B04, PRDE,actvstrat=,0.261705, actvprof=,0.128473, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.256529, id=,B06, PRDE,actvstrat=,-0.325853, actvprof=,0.790699, id=,B07, PRDE,actvstrat=,-0.870473, actvprof=,1.882511, id=,B08, PRDE,actvstrat=,0.119608, actvprof=,3.108074, id=,B09, PRDE,actvstrat=,-0.378081, actvprof=,4.097801, id=,B10, PRDE,actvstrat=,0.409792, actvprof=,6.680316, id=,B11, PRDE,actvstrat=,-0.911879, actvprof=,6.930040, id=,S00, PRDE,actvstrat=,0.610478, actvprof=,7.654350, id=,S01, PRDE,actvstrat=,-0.132414, actvprof=,2.751266, id=,S02, PRDE,actvstrat=,0.023283, actvprof=,2.450431, id=,S03, PRDE,actvstrat=,0.949463, actvprof=,3.487798, id=,S04, PRDE,actvstrat=,0.222929, actvprof=,1.069034, id=,S05, PRDE,actvstrat=,-0.406353, actvprof=,0.167501, id=,S06, PRDE,actvstrat=,0.895516, actvprof=,0.968894, id=,S07, PRDE,actvstrat=,-0.223653, actvprof=,0.014722, id=,S08, PRDE,actvstrat=,0.500271, actvprof=,0.029722, id=,S09, PRDE,actvstrat=,-0.236078, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.458785, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.197064, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.930040, best_B_strat=,-0.911879, best_S_id=,S00, best_S_prof=,7.654350, best_S_strat=,0.610478, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.341153, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.039723, id=,B05, PRDE,actvstrat=,-0.291188, actvprof=,0.035278, id=,B06, PRDE,actvstrat=,0.230804, actvprof=,0.391949, id=,B07, PRDE,actvstrat=,0.556190, actvprof=,1.504184, id=,B08, PRDE,actvstrat=,0.237207, actvprof=,2.371694, id=,B09, PRDE,actvstrat=,-0.718674, actvprof=,2.306971, id=,B10, PRDE,actvstrat=,0.566988, actvprof=,6.412296, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.957870, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.174805, id=,S01, PRDE,actvstrat=,0.690451, actvprof=,7.624255, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.805056, id=,S03, PRDE,actvstrat=,0.519462, actvprof=,2.807532, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.470584, id=,S05, PRDE,actvstrat=,0.144040, actvprof=,0.462228, id=,S06, PRDE,actvstrat=,0.187025, actvprof=,0.150002, id=,S07, PRDE,actvstrat=,0.380749, actvprof=,0.030556, id=,S08, PRDE,actvstrat=,-0.129793, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,-0.037935, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.957870, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.624255, best_S_strat=,0.690451, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.341153, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.040417, id=,B05, PRDE,actvstrat=,-0.291188, actvprof=,0.034306, id=,B06, PRDE,actvstrat=,0.230804, actvprof=,0.430558, id=,B07, PRDE,actvstrat=,0.556190, actvprof=,1.495286, id=,B08, PRDE,actvstrat=,0.237207, actvprof=,2.352791, id=,B09, PRDE,actvstrat=,-0.718674, actvprof=,2.394736, id=,B10, PRDE,actvstrat=,0.566988, actvprof=,6.317398, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.957268, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.278931, id=,S01, PRDE,actvstrat=,0.690451, actvprof=,7.555460, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.949473, id=,S03, PRDE,actvstrat=,0.519462, actvprof=,2.879183, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.440014, id=,S05, PRDE,actvstrat=,0.144040, actvprof=,0.455558, id=,S06, PRDE,actvstrat=,0.187025, actvprof=,0.147084, id=,S07, PRDE,actvstrat=,0.380749, actvprof=,0.039861, id=,S08, PRDE,actvstrat=,-0.129793, actvprof=,0.001806, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.006806, id=,S10, PRDE,actvstrat=,-0.037935, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.957268, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.555460, best_S_strat=,0.690451, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.855664, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.101205, actvprof=,0.021945, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.070279, id=,B06, PRDE,actvstrat=,0.497056, actvprof=,0.697230, id=,B07, PRDE,actvstrat=,-0.654997, actvprof=,0.659730, id=,B08, PRDE,actvstrat=,-0.629829, actvprof=,1.448072, id=,B09, PRDE,actvstrat=,-0.718674, actvprof=,2.414472, id=,B10, PRDE,actvstrat=,0.916320, actvprof=,6.847024, id=,B11, PRDE,actvstrat=,-0.962366, actvprof=,3.471985, id=,S00, PRDE,actvstrat=,-0.893363, actvprof=,1.495295, id=,S01, PRDE,actvstrat=,0.239218, actvprof=,4.922557, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.334506, id=,S03, PRDE,actvstrat=,-0.248749, actvprof=,0.746120, id=,S04, PRDE,actvstrat=,-0.573805, actvprof=,0.328059, id=,S05, PRDE,actvstrat=,0.946656, actvprof=,1.426683, id=,S06, PRDE,actvstrat=,0.669408, actvprof=,0.392227, id=,S07, PRDE,actvstrat=,0.380749, actvprof=,0.108335, id=,S08, PRDE,actvstrat=,0.500271, actvprof=,0.057223, id=,S09, PRDE,actvstrat=,-0.098412, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.037935, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.733364, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.847024, best_B_strat=,0.916320, best_S_id=,S02, best_S_prof=,5.334506, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.889849, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288308, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.855664, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,-0.101205, actvprof=,0.022361, id=,B05, PRDE,actvstrat=,-0.623642, actvprof=,0.071389, id=,B06, PRDE,actvstrat=,0.497056, actvprof=,0.677087, id=,B07, PRDE,actvstrat=,-0.654997, actvprof=,0.617642, id=,B08, PRDE,actvstrat=,-0.629829, actvprof=,1.420286, id=,B09, PRDE,actvstrat=,-0.718674, actvprof=,2.498764, id=,B10, PRDE,actvstrat=,0.916320, actvprof=,6.822262, id=,B11, PRDE,actvstrat=,-0.962366, actvprof=,3.638910, id=,S00, PRDE,actvstrat=,-0.893363, actvprof=,1.708621, id=,S01, PRDE,actvstrat=,0.239218, actvprof=,4.799472, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.374892, id=,S03, PRDE,actvstrat=,-0.248749, actvprof=,0.722643, id=,S04, PRDE,actvstrat=,-0.573805, actvprof=,0.338613, id=,S05, PRDE,actvstrat=,0.946656, actvprof=,1.407369, id=,S06, PRDE,actvstrat=,0.669408, actvprof=,0.435836, id=,S07, PRDE,actvstrat=,0.380749, actvprof=,0.096112, id=,S08, PRDE,actvstrat=,0.500271, actvprof=,0.052917, id=,S09, PRDE,actvstrat=,-0.098412, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.037935, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.733364, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.822262, best_B_strat=,0.916320, best_S_id=,S02, best_S_prof=,5.374892, best_S_strat=,-1.000000, 
