t=,1, id=,B00, PRDE,actvstrat=,-0.310307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.437177, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.386201, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.992670, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.375362, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.771857, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.851285, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.650876, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.718278, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.627869, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.936953, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.955485, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.377465, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.742320, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.619039, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.030519, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.444721, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.011767, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.795445, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.901973, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.216752, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.626115, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.398278, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.310307, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.955485, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.310307, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.437177, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.386201, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.992670, actvprof=,0.133332, id=,B05, PRDE,actvstrat=,-0.375362, actvprof=,0.106943, id=,B06, PRDE,actvstrat=,-0.771857, actvprof=,0.378607, id=,B07, PRDE,actvstrat=,-0.851285, actvprof=,1.019155, id=,B08, PRDE,actvstrat=,-0.650876, actvprof=,1.635259, id=,B09, PRDE,actvstrat=,-0.718278, actvprof=,2.586359, id=,B10, PRDE,actvstrat=,0.627869, actvprof=,5.032442, id=,B11, PRDE,actvstrat=,-0.936953, actvprof=,6.064930, id=,S00, PRDE,actvstrat=,0.955485, actvprof=,9.963218, id=,S01, PRDE,actvstrat=,0.377465, actvprof=,5.371604, id=,S02, PRDE,actvstrat=,-0.742320, actvprof=,1.199708, id=,S03, PRDE,actvstrat=,-0.619039, actvprof=,0.534160, id=,S04, PRDE,actvstrat=,0.030519, actvprof=,1.097487, id=,S05, PRDE,actvstrat=,0.444721, actvprof=,0.950545, id=,S06, PRDE,actvstrat=,0.011767, actvprof=,0.189164, id=,S07, PRDE,actvstrat=,0.795445, actvprof=,0.457495, id=,S08, PRDE,actvstrat=,-0.901973, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.216752, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.626115, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.398278, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.064930, best_B_strat=,-0.936953, best_S_id=,S00, best_S_prof=,9.963218, best_S_strat=,0.955485, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.696214, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.586335, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308606, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.579427, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.653534, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.021822, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.252230, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.014367, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.108528, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.994426, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.955629, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.499613, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.404624, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.690710, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.751263, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.751476, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.072434, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.156592, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.354161, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.976105, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.945431, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.536412, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.908970, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.708689, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.696214, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.404624, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.696214, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.586335, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308606, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,-0.579427, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,-0.653534, actvprof=,0.039166, id=,B05, PRDE,actvstrat=,0.021822, actvprof=,0.072498, id=,B06, PRDE,actvstrat=,0.252230, actvprof=,0.205551, id=,B07, PRDE,actvstrat=,-0.014367, actvprof=,0.516377, id=,B08, PRDE,actvstrat=,0.108528, actvprof=,1.107474, id=,B09, PRDE,actvstrat=,0.994426, actvprof=,1.619963, id=,B10, PRDE,actvstrat=,-0.955629, actvprof=,3.193259, id=,B11, PRDE,actvstrat=,-0.499613, actvprof=,3.644916, id=,S00, PRDE,actvstrat=,0.404624, actvprof=,9.192009, id=,S01, PRDE,actvstrat=,-0.690710, actvprof=,2.876600, id=,S02, PRDE,actvstrat=,-0.751263, actvprof=,1.387190, id=,S03, PRDE,actvstrat=,-0.751476, actvprof=,0.903035, id=,S04, PRDE,actvstrat=,0.072434, actvprof=,1.786348, id=,S05, PRDE,actvstrat=,0.156592, actvprof=,1.341080, id=,S06, PRDE,actvstrat=,-0.354161, actvprof=,0.163330, id=,S07, PRDE,actvstrat=,-0.976105, actvprof=,0.461378, id=,S08, PRDE,actvstrat=,0.945431, actvprof=,0.590264, id=,S09, PRDE,actvstrat=,0.536412, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-0.908970, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.708689, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.644916, best_B_strat=,-0.499613, best_S_id=,S00, best_S_prof=,9.192009, best_S_strat=,0.404624, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.696214, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.586335, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308606, actvprof=,0.003194, id=,B03, PRDE,actvstrat=,-0.579427, actvprof=,0.004861, id=,B04, PRDE,actvstrat=,-0.653534, actvprof=,0.029306, id=,B05, PRDE,actvstrat=,0.021822, actvprof=,0.071806, id=,B06, PRDE,actvstrat=,0.252230, actvprof=,0.253611, id=,B07, PRDE,actvstrat=,-0.014367, actvprof=,0.509583, id=,B08, PRDE,actvstrat=,0.108528, actvprof=,1.162361, id=,B09, PRDE,actvstrat=,0.994426, actvprof=,1.678611, id=,B10, PRDE,actvstrat=,-0.955629, actvprof=,3.118750, id=,B11, PRDE,actvstrat=,-0.499613, actvprof=,3.699583, id=,S00, PRDE,actvstrat=,0.404624, actvprof=,9.064583, id=,S01, PRDE,actvstrat=,-0.690710, actvprof=,2.755000, id=,S02, PRDE,actvstrat=,-0.751263, actvprof=,1.489306, id=,S03, PRDE,actvstrat=,-0.751476, actvprof=,0.884306, id=,S04, PRDE,actvstrat=,0.072434, actvprof=,1.950278, id=,S05, PRDE,actvstrat=,0.156592, actvprof=,1.210972, id=,S06, PRDE,actvstrat=,-0.354161, actvprof=,0.152778, id=,S07, PRDE,actvstrat=,-0.976105, actvprof=,0.469306, id=,S08, PRDE,actvstrat=,0.945431, actvprof=,0.594028, id=,S09, PRDE,actvstrat=,0.536412, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,-0.908970, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.708689, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.699583, best_B_strat=,-0.499613, best_S_id=,S00, best_S_prof=,9.064583, best_S_strat=,0.404624, 
t=,18000, id=,B00, PRDE,actvstrat=,0.393126, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.453199, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.044278, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,0.111533, actvprof=,0.041112, id=,B05, PRDE,actvstrat=,-0.141816, actvprof=,0.051389, id=,B06, PRDE,actvstrat=,-0.374454, actvprof=,0.196391, id=,B07, PRDE,actvstrat=,0.164340, actvprof=,0.797231, id=,B08, PRDE,actvstrat=,0.108528, actvprof=,1.253903, id=,B09, PRDE,actvstrat=,0.994426, actvprof=,1.405572, id=,B10, PRDE,actvstrat=,-0.955629, actvprof=,2.772254, id=,B11, PRDE,actvstrat=,0.496060, actvprof=,4.877279, id=,S00, PRDE,actvstrat=,0.256421, actvprof=,9.550111, id=,S01, PRDE,actvstrat=,-0.600000, actvprof=,4.129214, id=,S02, PRDE,actvstrat=,-0.285441, actvprof=,3.304483, id=,S03, PRDE,actvstrat=,0.010910, actvprof=,3.947268, id=,S04, PRDE,actvstrat=,0.682485, actvprof=,5.264783, id=,S05, PRDE,actvstrat=,-0.861501, actvprof=,0.234725, id=,S06, PRDE,actvstrat=,-0.354161, actvprof=,0.396393, id=,S07, PRDE,actvstrat=,-0.976105, actvprof=,0.546951, id=,S08, PRDE,actvstrat=,-0.130452, actvprof=,0.090001, id=,S09, PRDE,actvstrat=,-0.770310, actvprof=,0.008056, id=,S10, PRDE,actvstrat=,-0.908970, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.894999, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.877279, best_B_strat=,0.496060, best_S_id=,S00, best_S_prof=,9.550111, best_S_strat=,0.256421, 
t=,21600, id=,B00, PRDE,actvstrat=,0.393126, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.453199, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.044278, actvprof=,0.006806, id=,B04, PRDE,actvstrat=,0.111533, actvprof=,0.031528, id=,B05, PRDE,actvstrat=,-0.141816, actvprof=,0.050417, id=,B06, PRDE,actvstrat=,-0.374454, actvprof=,0.205558, id=,B07, PRDE,actvstrat=,0.164340, actvprof=,0.680702, id=,B08, PRDE,actvstrat=,0.108528, actvprof=,1.277376, id=,B09, PRDE,actvstrat=,0.994426, actvprof=,1.468073, id=,B10, PRDE,actvstrat=,-0.955629, actvprof=,2.798366, id=,B11, PRDE,actvstrat=,0.496060, actvprof=,4.806167, id=,S00, PRDE,actvstrat=,0.256421, actvprof=,9.788308, id=,S01, PRDE,actvstrat=,-0.600000, actvprof=,4.012685, id=,S02, PRDE,actvstrat=,-0.285441, actvprof=,3.453929, id=,S03, PRDE,actvstrat=,0.010910, actvprof=,3.832267, id=,S04, PRDE,actvstrat=,0.682485, actvprof=,5.301311, id=,S05, PRDE,actvstrat=,-0.861501, actvprof=,0.259309, id=,S06, PRDE,actvstrat=,-0.354161, actvprof=,0.363615, id=,S07, PRDE,actvstrat=,-0.976105, actvprof=,0.523200, id=,S08, PRDE,actvstrat=,-0.130452, actvprof=,0.076112, id=,S09, PRDE,actvstrat=,-0.770310, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.908970, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.894999, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.806167, best_B_strat=,0.496060, best_S_id=,S00, best_S_prof=,9.788308, best_S_strat=,0.256421, 
t=,25200, id=,B00, PRDE,actvstrat=,0.838020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.576596, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.570734, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,-0.130177, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,-0.564297, actvprof=,0.034723, id=,B05, PRDE,actvstrat=,0.416012, actvprof=,0.248617, id=,B06, PRDE,actvstrat=,-0.007838, actvprof=,0.497234, id=,B07, PRDE,actvstrat=,0.573591, actvprof=,1.963379, id=,B08, PRDE,actvstrat=,-0.110643, actvprof=,2.191440, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.069840, id=,B10, PRDE,actvstrat=,-0.456917, actvprof=,4.598440, id=,B11, PRDE,actvstrat=,-0.038364, actvprof=,7.787125, id=,S00, PRDE,actvstrat=,0.368257, actvprof=,6.339591, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.795991, id=,S02, PRDE,actvstrat=,-0.472214, actvprof=,0.866687, id=,S03, PRDE,actvstrat=,-0.947416, actvprof=,0.366675, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.218107, id=,S05, PRDE,actvstrat=,0.444759, actvprof=,0.281118, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.489734, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.097502, id=,S08, PRDE,actvstrat=,0.766414, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-0.875518, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.109448, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.787125, best_B_strat=,-0.038364, best_S_id=,S01, best_S_prof=,6.795991, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.838020, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.576596, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,-0.570734, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,-0.130177, actvprof=,0.010139, id=,B04, PRDE,actvstrat=,-0.564297, actvprof=,0.030417, id=,B05, PRDE,actvstrat=,0.416012, actvprof=,0.266948, id=,B06, PRDE,actvstrat=,-0.007838, actvprof=,0.574590, id=,B07, PRDE,actvstrat=,0.573591, actvprof=,1.997523, id=,B08, PRDE,actvstrat=,-0.110643, actvprof=,2.178497, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.965196, id=,B10, PRDE,actvstrat=,-0.456917, actvprof=,4.652276, id=,B11, PRDE,actvstrat=,-0.038364, actvprof=,7.810507, id=,S00, PRDE,actvstrat=,0.368257, actvprof=,6.165488, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.923552, id=,S02, PRDE,actvstrat=,-0.472214, actvprof=,0.943900, id=,S03, PRDE,actvstrat=,-0.947416, actvprof=,0.374449, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.073080, id=,S05, PRDE,actvstrat=,0.444759, actvprof=,0.330282, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.510423, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.086112, id=,S08, PRDE,actvstrat=,0.766414, actvprof=,0.015139, id=,S09, PRDE,actvstrat=,-0.875518, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.109448, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.810507, best_B_strat=,-0.038364, best_S_id=,S01, best_S_prof=,6.923552, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.620212, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.576596, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308606, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,-0.579427, actvprof=,0.024167, id=,B04, PRDE,actvstrat=,-0.564297, actvprof=,0.041668, id=,B05, PRDE,actvstrat=,-0.688002, actvprof=,0.184171, id=,B06, PRDE,actvstrat=,0.892089, actvprof=,0.927521, id=,B07, PRDE,actvstrat=,-0.546673, actvprof=,0.666404, id=,B08, PRDE,actvstrat=,0.083076, actvprof=,1.482534, id=,B09, PRDE,actvstrat=,-0.560255, actvprof=,2.253385, id=,B10, PRDE,actvstrat=,0.446949, actvprof=,4.653163, id=,B11, PRDE,actvstrat=,-0.038364, actvprof=,5.565407, id=,S00, PRDE,actvstrat=,0.404624, actvprof=,7.901850, id=,S01, PRDE,actvstrat=,-0.690710, actvprof=,2.589504, id=,S02, PRDE,actvstrat=,0.597998, actvprof=,5.811523, id=,S03, PRDE,actvstrat=,-0.751476, actvprof=,0.919188, id=,S04, PRDE,actvstrat=,0.678501, actvprof=,2.774509, id=,S05, PRDE,actvstrat=,0.424603, actvprof=,1.111415, id=,S06, PRDE,actvstrat=,-0.924917, actvprof=,0.158337, id=,S07, PRDE,actvstrat=,-0.740429, actvprof=,0.032223, id=,S08, PRDE,actvstrat=,0.945431, actvprof=,0.425288, id=,S09, PRDE,actvstrat=,0.536412, actvprof=,0.011389, id=,S10, PRDE,actvstrat=,0.843024, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.761799, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.565407, best_B_strat=,-0.038364, best_S_id=,S00, best_S_prof=,7.901850, best_S_strat=,0.404624, 
t=,36000, id=,B00, PRDE,actvstrat=,0.620212, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.576596, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.308606, actvprof=,0.004583, id=,B03, PRDE,actvstrat=,-0.579427, actvprof=,0.017639, id=,B04, PRDE,actvstrat=,-0.564297, actvprof=,0.027361, id=,B05, PRDE,actvstrat=,-0.688002, actvprof=,0.170280, id=,B06, PRDE,actvstrat=,0.892089, actvprof=,0.941678, id=,B07, PRDE,actvstrat=,-0.546673, actvprof=,0.691952, id=,B08, PRDE,actvstrat=,0.083076, actvprof=,1.560713, id=,B09, PRDE,actvstrat=,-0.560255, actvprof=,2.224192, id=,B10, PRDE,actvstrat=,0.446949, actvprof=,4.601859, id=,B11, PRDE,actvstrat=,-0.038364, actvprof=,5.462147, id=,S00, PRDE,actvstrat=,0.404624, actvprof=,8.140233, id=,S01, PRDE,actvstrat=,-0.690710, actvprof=,2.382944, id=,S02, PRDE,actvstrat=,0.597998, actvprof=,5.911318, id=,S03, PRDE,actvstrat=,-0.751476, actvprof=,0.788898, id=,S04, PRDE,actvstrat=,0.678501, actvprof=,2.928784, id=,S05, PRDE,actvstrat=,0.424603, actvprof=,1.186680, id=,S06, PRDE,actvstrat=,-0.924917, actvprof=,0.165002, id=,S07, PRDE,actvstrat=,-0.740429, actvprof=,0.028056, id=,S08, PRDE,actvstrat=,0.945431, actvprof=,0.403894, id=,S09, PRDE,actvstrat=,0.536412, actvprof=,0.011528, id=,S10, PRDE,actvstrat=,0.843024, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,0.761799, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.462147, best_B_strat=,-0.038364, best_S_id=,S00, best_S_prof=,8.140233, best_S_strat=,0.404624, 
