t=,0, id=,B00, PRDE,actvstrat=,-0.899530, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.405248, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.498193, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.058387, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.803819, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.675430, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.361164, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.218181, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.769494, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.364349, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.687699, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.823421, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.587201, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.826705, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.516854, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.476117, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.257308, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.425906, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.030621, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.699550, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.421539, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.800192, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.169905, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.899530, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.823421, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.899530, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973383, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.405248, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.498193, actvprof=,0.023333, id=,B04, PRDE,actvstrat=,-0.058387, actvprof=,0.079444, id=,B05, PRDE,actvstrat=,-0.803819, actvprof=,0.387496, id=,B06, PRDE,actvstrat=,0.675430, actvprof=,1.157209, id=,B07, PRDE,actvstrat=,-0.361164, actvprof=,0.917767, id=,B08, PRDE,actvstrat=,0.218181, actvprof=,2.106920, id=,B09, PRDE,actvstrat=,-0.769494, actvprof=,3.134964, id=,B10, PRDE,actvstrat=,0.364349, actvprof=,5.090774, id=,B11, PRDE,actvstrat=,0.687699, actvprof=,6.574368, id=,S00, PRDE,actvstrat=,0.823421, actvprof=,10.331547, id=,S01, PRDE,actvstrat=,0.587201, actvprof=,7.782410, id=,S02, PRDE,actvstrat=,-0.826705, actvprof=,1.635814, id=,S03, PRDE,actvstrat=,-0.516854, actvprof=,1.546371, id=,S04, PRDE,actvstrat=,0.476117, actvprof=,2.684691, id=,S05, PRDE,actvstrat=,0.257308, actvprof=,1.297763, id=,S06, PRDE,actvstrat=,0.425906, actvprof=,0.858879, id=,S07, PRDE,actvstrat=,0.030621, actvprof=,0.243331, id=,S08, PRDE,actvstrat=,0.699550, actvprof=,0.303330, id=,S09, PRDE,actvstrat=,-0.421539, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,0.800192, actvprof=,0.020000, id=,S11, PRDE,actvstrat=,-0.169905, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.574368, best_B_strat=,0.687699, best_S_id=,S00, best_S_prof=,10.331547, best_S_strat=,0.823421, 
t=,7200, id=,B00, PRDE,actvstrat=,0.625178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.820477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.358976, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.886242, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.875298, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.490790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.445255, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.678451, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.936656, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.269048, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.343265, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.754968, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.925549, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.384591, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.665434, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.540799, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.567504, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.987731, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.781999, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.493037, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.219752, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.401044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.759612, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.077391, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.625178, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.925549, 
t=,10800, id=,B00, PRDE,actvstrat=,0.625178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.820477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.358976, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.886242, actvprof=,0.086386, id=,B04, PRDE,actvstrat=,-0.875298, actvprof=,0.202771, id=,B05, PRDE,actvstrat=,-0.490790, actvprof=,0.255269, id=,B06, PRDE,actvstrat=,-0.445255, actvprof=,0.499149, id=,B07, PRDE,actvstrat=,-0.678451, actvprof=,1.424117, id=,B08, PRDE,actvstrat=,0.936656, actvprof=,2.248811, id=,B09, PRDE,actvstrat=,0.269048, actvprof=,3.782646, id=,B10, PRDE,actvstrat=,0.343265, actvprof=,5.056769, id=,B11, PRDE,actvstrat=,-0.754968, actvprof=,6.386445, id=,S00, PRDE,actvstrat=,0.925549, actvprof=,10.734627, id=,S01, PRDE,actvstrat=,0.384591, actvprof=,7.061977, id=,S02, PRDE,actvstrat=,-0.665434, actvprof=,2.462414, id=,S03, PRDE,actvstrat=,0.540799, actvprof=,4.390959, id=,S04, PRDE,actvstrat=,0.567504, actvprof=,3.053227, id=,S05, PRDE,actvstrat=,-0.987731, actvprof=,1.148016, id=,S06, PRDE,actvstrat=,-0.781999, actvprof=,0.138051, id=,S07, PRDE,actvstrat=,-0.493037, actvprof=,0.067775, id=,S08, PRDE,actvstrat=,0.219752, actvprof=,0.049720, id=,S09, PRDE,actvstrat=,-0.401044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.759612, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.077391, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.386445, best_B_strat=,-0.754968, best_S_id=,S00, best_S_prof=,10.734627, best_S_strat=,0.925549, 
t=,14400, id=,B00, PRDE,actvstrat=,0.625178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.142675, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.358976, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.338415, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.293934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.490790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.276993, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.386941, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.079806, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.178016, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.258938, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.754968, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.925549, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.384591, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.969449, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.368171, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.156776, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.442288, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.425906, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.030621, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.310760, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.502056, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.782911, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.635698, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.625178, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.925549, 
t=,18000, id=,B00, PRDE,actvstrat=,0.625178, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.142675, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.358976, actvprof=,0.028611, id=,B03, PRDE,actvstrat=,0.338415, actvprof=,0.099443, id=,B04, PRDE,actvstrat=,0.293934, actvprof=,0.423328, id=,B05, PRDE,actvstrat=,-0.490790, actvprof=,0.547771, id=,B06, PRDE,actvstrat=,-0.276993, actvprof=,1.151653, id=,B07, PRDE,actvstrat=,-0.386941, actvprof=,1.962200, id=,B08, PRDE,actvstrat=,0.079806, actvprof=,3.415516, id=,B09, PRDE,actvstrat=,0.178016, actvprof=,4.530503, id=,B10, PRDE,actvstrat=,-0.258938, actvprof=,5.306883, id=,B11, PRDE,actvstrat=,-0.754968, actvprof=,8.017963, id=,S00, PRDE,actvstrat=,0.925549, actvprof=,8.906286, id=,S01, PRDE,actvstrat=,0.384591, actvprof=,5.656046, id=,S02, PRDE,actvstrat=,0.969449, actvprof=,5.049108, id=,S03, PRDE,actvstrat=,-0.368171, actvprof=,1.080821, id=,S04, PRDE,actvstrat=,0.156776, actvprof=,1.271930, id=,S05, PRDE,actvstrat=,0.442288, actvprof=,0.807491, id=,S06, PRDE,actvstrat=,0.425906, actvprof=,0.331385, id=,S07, PRDE,actvstrat=,0.030621, actvprof=,0.053333, id=,S08, PRDE,actvstrat=,-0.310760, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.502056, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.782911, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.635698, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.017963, best_B_strat=,-0.754968, best_S_id=,S00, best_S_prof=,8.906286, best_S_strat=,0.925549, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.123817, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.272060, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.289365, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.680762, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.688910, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.700133, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.032106, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.836526, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.218983, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.960697, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.889370, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.846472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.656988, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320742, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.123817, actvprof=,0.003611, id=,B02, PRDE,actvstrat=,0.272060, actvprof=,0.019167, id=,B03, PRDE,actvstrat=,-0.289365, actvprof=,0.066390, id=,B04, PRDE,actvstrat=,0.680762, actvprof=,0.490283, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.948622, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.673341, id=,B07, PRDE,actvstrat=,0.688910, actvprof=,2.378083, id=,B08, PRDE,actvstrat=,-0.700133, actvprof=,2.805032, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.729522, id=,B10, PRDE,actvstrat=,-0.032106, actvprof=,5.772567, id=,B11, PRDE,actvstrat=,-0.836526, actvprof=,7.423419, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.958726, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.916203, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.070070, id=,S03, PRDE,actvstrat=,0.218983, actvprof=,1.979745, id=,S04, PRDE,actvstrat=,0.960697, actvprof=,2.807532, id=,S05, PRDE,actvstrat=,-0.889370, actvprof=,0.051667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.559729, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.126113, id=,S08, PRDE,actvstrat=,-0.846472, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,-0.656988, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320742, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.423419, best_B_strat=,-0.836526, best_S_id=,S00, best_S_prof=,9.958726, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.123817, actvprof=,0.003472, id=,B02, PRDE,actvstrat=,0.272060, actvprof=,0.018750, id=,B03, PRDE,actvstrat=,-0.289365, actvprof=,0.059861, id=,B04, PRDE,actvstrat=,0.680762, actvprof=,0.449864, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.892088, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.646393, id=,B07, PRDE,actvstrat=,0.688910, actvprof=,2.332513, id=,B08, PRDE,actvstrat=,-0.700133, actvprof=,2.805294, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.892957, id=,B10, PRDE,actvstrat=,-0.032106, actvprof=,5.744894, id=,B11, PRDE,actvstrat=,-0.836526, actvprof=,7.468793, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.909085, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.950602, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,5.969618, id=,S03, PRDE,actvstrat=,0.218983, actvprof=,1.985567, id=,S04, PRDE,actvstrat=,0.960697, actvprof=,2.786544, id=,S05, PRDE,actvstrat=,-0.889370, actvprof=,0.045139, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.584864, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.110417, id=,S08, PRDE,actvstrat=,-0.846472, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-0.656988, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320742, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.468793, best_B_strat=,-0.836526, best_S_id=,S00, best_S_prof=,9.909085, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.338504, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.886242, actvprof=,0.012778, id=,B04, PRDE,actvstrat=,0.680762, actvprof=,0.075556, id=,B05, PRDE,actvstrat=,-0.082238, actvprof=,0.086668, id=,B06, PRDE,actvstrat=,-0.041624, actvprof=,0.418616, id=,B07, PRDE,actvstrat=,-0.632324, actvprof=,0.669174, id=,B08, PRDE,actvstrat=,0.196755, actvprof=,2.481973, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.828389, id=,B10, PRDE,actvstrat=,0.323693, actvprof=,6.633132, id=,B11, PRDE,actvstrat=,-0.629737, actvprof=,6.733411, id=,S00, PRDE,actvstrat=,-0.683326, actvprof=,2.849755, id=,S01, PRDE,actvstrat=,-0.464382, actvprof=,2.248915, id=,S02, PRDE,actvstrat=,0.350906, actvprof=,3.214759, id=,S03, PRDE,actvstrat=,0.540799, actvprof=,2.427250, id=,S04, PRDE,actvstrat=,0.598870, actvprof=,1.417794, id=,S05, PRDE,actvstrat=,0.442288, actvprof=,0.522228, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.654730, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.167502, id=,S08, PRDE,actvstrat=,-0.846472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.030897, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.475469, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320742, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.733411, best_B_strat=,-0.629737, best_S_id=,S02, best_S_prof=,3.214759, best_S_strat=,0.350906, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.973383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.338504, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.886242, actvprof=,0.012361, id=,B04, PRDE,actvstrat=,0.680762, actvprof=,0.070000, id=,B05, PRDE,actvstrat=,-0.082238, actvprof=,0.101389, id=,B06, PRDE,actvstrat=,-0.041624, actvprof=,0.396530, id=,B07, PRDE,actvstrat=,-0.632324, actvprof=,0.718893, id=,B08, PRDE,actvstrat=,0.196755, actvprof=,2.544737, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.065307, id=,B10, PRDE,actvstrat=,0.323693, actvprof=,6.541010, id=,B11, PRDE,actvstrat=,-0.629737, actvprof=,6.537816, id=,S00, PRDE,actvstrat=,-0.683326, actvprof=,2.930850, id=,S01, PRDE,actvstrat=,-0.464382, actvprof=,2.381403, id=,S02, PRDE,actvstrat=,0.350906, actvprof=,3.270019, id=,S03, PRDE,actvstrat=,0.540799, actvprof=,2.387097, id=,S04, PRDE,actvstrat=,0.598870, actvprof=,1.413758, id=,S05, PRDE,actvstrat=,0.442288, actvprof=,0.493336, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.633476, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.196946, id=,S08, PRDE,actvstrat=,-0.846472, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.030897, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-0.475469, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320742, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.541010, best_B_strat=,0.323693, best_S_id=,S02, best_S_prof=,3.270019, best_S_strat=,0.350906, 
