t=,0, id=,B00, PRDE,actvstrat=,-0.996668, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.541409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876089, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728699, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.641402, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.136567, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.159115, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.091267, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.236376, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.067054, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.084421, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.855811, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.585177, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.964152, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.310738, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.754670, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.872788, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.946388, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.638857, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.876429, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.681390, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.557846, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.852168, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.683588, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.996668, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.585177, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.996668, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.541409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876089, actvprof=,0.011389, id=,B03, PRDE,actvstrat=,0.728699, actvprof=,0.045277, id=,B04, PRDE,actvstrat=,0.641402, actvprof=,0.219164, id=,B05, PRDE,actvstrat=,0.136567, actvprof=,0.287219, id=,B06, PRDE,actvstrat=,0.159115, actvprof=,0.633882, id=,B07, PRDE,actvstrat=,0.091267, actvprof=,0.993044, id=,B08, PRDE,actvstrat=,-0.236376, actvprof=,1.846090, id=,B09, PRDE,actvstrat=,-0.067054, actvprof=,2.638581, id=,B10, PRDE,actvstrat=,0.084421, actvprof=,4.051620, id=,B11, PRDE,actvstrat=,-0.855811, actvprof=,6.469925, id=,S00, PRDE,actvstrat=,0.585177, actvprof=,8.971007, id=,S01, PRDE,actvstrat=,0.964152, actvprof=,8.430736, id=,S02, PRDE,actvstrat=,0.310738, actvprof=,4.177452, id=,S03, PRDE,actvstrat=,-0.754670, actvprof=,0.643881, id=,S04, PRDE,actvstrat=,-0.872788, actvprof=,0.196942, id=,S05, PRDE,actvstrat=,-0.946388, actvprof=,0.279441, id=,S06, PRDE,actvstrat=,0.638857, actvprof=,0.744714, id=,S07, PRDE,actvstrat=,-0.876429, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.681390, actvprof=,0.003889, id=,S09, PRDE,actvstrat=,0.557846, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.852168, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.683588, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.469925, best_B_strat=,-0.855811, best_S_id=,S00, best_S_prof=,8.971007, best_S_strat=,0.585177, 
t=,7200, id=,B00, PRDE,actvstrat=,0.653980, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.287317, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.843724, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.701160, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.208497, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.002306, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.218050, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.019172, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.594179, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.986239, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.579379, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.383527, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.974097, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.064350, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.737051, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.832473, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.780231, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.708664, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.006725, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.672420, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.837718, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.484940, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.946289, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.653980, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.974097, 
t=,10800, id=,B00, PRDE,actvstrat=,0.653980, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.287317, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.843724, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.701160, actvprof=,0.025278, id=,B04, PRDE,actvstrat=,-0.208497, actvprof=,0.020000, id=,B05, PRDE,actvstrat=,-0.002306, actvprof=,0.151111, id=,B06, PRDE,actvstrat=,-0.218050, actvprof=,0.382500, id=,B07, PRDE,actvstrat=,0.019172, actvprof=,0.905556, id=,B08, PRDE,actvstrat=,0.594179, actvprof=,2.500833, id=,B09, PRDE,actvstrat=,-0.986239, actvprof=,3.291667, id=,B10, PRDE,actvstrat=,0.579379, actvprof=,5.276389, id=,B11, PRDE,actvstrat=,0.383527, actvprof=,6.524167, id=,S00, PRDE,actvstrat=,-0.974097, actvprof=,4.885833, id=,S01, PRDE,actvstrat=,0.064350, actvprof=,5.099167, id=,S02, PRDE,actvstrat=,0.737051, actvprof=,6.897500, id=,S03, PRDE,actvstrat=,-0.832473, actvprof=,0.545556, id=,S04, PRDE,actvstrat=,0.780231, actvprof=,3.866389, id=,S05, PRDE,actvstrat=,0.708664, actvprof=,2.284167, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.726111, id=,S07, PRDE,actvstrat=,-0.006725, actvprof=,0.157778, id=,S08, PRDE,actvstrat=,0.672420, actvprof=,0.195556, id=,S09, PRDE,actvstrat=,-0.837718, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.484940, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.946289, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.524167, best_B_strat=,0.383527, best_S_id=,S02, best_S_prof=,6.897500, best_S_strat=,0.737051, 
t=,14400, id=,B00, PRDE,actvstrat=,0.964164, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.683151, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876089, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.184708, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.088990, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.002306, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.653106, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.026986, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.618642, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.419097, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.188517, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.506272, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.847996, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.955317, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.618327, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.771373, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.966251, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.708664, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.101274, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.098027, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.557846, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.596304, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.027349, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.964164, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.847996, 
t=,18000, id=,B00, PRDE,actvstrat=,0.964164, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.683151, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876089, actvprof=,0.013333, id=,B03, PRDE,actvstrat=,-0.184708, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,0.088990, actvprof=,0.068056, id=,B05, PRDE,actvstrat=,-0.002306, actvprof=,0.147779, id=,B06, PRDE,actvstrat=,0.653106, actvprof=,0.977789, id=,B07, PRDE,actvstrat=,0.026986, actvprof=,1.176403, id=,B08, PRDE,actvstrat=,-0.618642, actvprof=,1.667519, id=,B09, PRDE,actvstrat=,0.419097, actvprof=,3.764766, id=,B10, PRDE,actvstrat=,-0.188517, actvprof=,4.169215, id=,B11, PRDE,actvstrat=,-0.506272, actvprof=,5.660066, id=,S00, PRDE,actvstrat=,0.847996, actvprof=,10.302064, id=,S01, PRDE,actvstrat=,-0.955317, actvprof=,1.977523, id=,S02, PRDE,actvstrat=,-0.618327, actvprof=,1.446406, id=,S03, PRDE,actvstrat=,-0.771373, actvprof=,0.556673, id=,S04, PRDE,actvstrat=,0.966251, actvprof=,3.239482, id=,S05, PRDE,actvstrat=,0.708664, actvprof=,1.565018, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.460283, id=,S07, PRDE,actvstrat=,0.101274, actvprof=,0.081668, id=,S08, PRDE,actvstrat=,0.098027, actvprof=,0.014445, id=,S09, PRDE,actvstrat=,0.557846, actvprof=,0.006945, id=,S10, PRDE,actvstrat=,-0.596304, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.027349, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.660066, best_B_strat=,-0.506272, best_S_id=,S00, best_S_prof=,10.302064, best_S_strat=,0.847996, 
t=,21600, id=,B00, PRDE,actvstrat=,0.964164, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.683151, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.876089, actvprof=,0.013889, id=,B03, PRDE,actvstrat=,-0.184708, actvprof=,0.013750, id=,B04, PRDE,actvstrat=,0.088990, actvprof=,0.065695, id=,B05, PRDE,actvstrat=,-0.002306, actvprof=,0.184585, id=,B06, PRDE,actvstrat=,0.653106, actvprof=,0.961400, id=,B07, PRDE,actvstrat=,0.026986, actvprof=,1.162236, id=,B08, PRDE,actvstrat=,-0.618642, actvprof=,1.793354, id=,B09, PRDE,actvstrat=,0.419097, actvprof=,3.783238, id=,B10, PRDE,actvstrat=,-0.188517, actvprof=,4.259355, id=,B11, PRDE,actvstrat=,-0.506272, actvprof=,5.677566, id=,S00, PRDE,actvstrat=,0.847996, actvprof=,10.256785, id=,S01, PRDE,actvstrat=,-0.955317, actvprof=,2.033357, id=,S02, PRDE,actvstrat=,-0.618327, actvprof=,1.476267, id=,S03, PRDE,actvstrat=,-0.771373, actvprof=,0.548340, id=,S04, PRDE,actvstrat=,0.966251, actvprof=,3.147953, id=,S05, PRDE,actvstrat=,0.708664, actvprof=,1.655714, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.443894, id=,S07, PRDE,actvstrat=,0.101274, actvprof=,0.076529, id=,S08, PRDE,actvstrat=,0.098027, actvprof=,0.025834, id=,S09, PRDE,actvstrat=,0.557846, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,-0.596304, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.027349, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.677566, best_B_strat=,-0.506272, best_S_id=,S00, best_S_prof=,10.256785, best_S_strat=,0.847996, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,0.651357, actvprof=,0.028890, id=,B03, PRDE,actvstrat=,0.146359, actvprof=,0.062503, id=,B04, PRDE,actvstrat=,-0.573073, actvprof=,0.125561, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.130839, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.475855, id=,B07, PRDE,actvstrat=,-0.903227, actvprof=,2.286495, id=,B08, PRDE,actvstrat=,0.709753, actvprof=,3.032085, id=,B09, PRDE,actvstrat=,0.047379, actvprof=,3.212093, id=,B10, PRDE,actvstrat=,0.044386, actvprof=,4.566600, id=,B11, PRDE,actvstrat=,0.276652, actvprof=,6.627529, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.460808, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.073753, id=,S02, PRDE,actvstrat=,0.685820, actvprof=,6.597250, id=,S03, PRDE,actvstrat=,-0.287649, actvprof=,0.932265, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.319320, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.047317, id=,S06, PRDE,actvstrat=,-0.376064, actvprof=,0.084448, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.703644, id=,S08, PRDE,actvstrat=,-0.579796, actvprof=,0.014723, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.016112, id=,S10, PRDE,actvstrat=,-0.432228, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.020652, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.627529, best_B_strat=,0.276652, best_S_id=,S00, best_S_prof=,11.460808, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,B02, PRDE,actvstrat=,0.651357, actvprof=,0.031112, id=,B03, PRDE,actvstrat=,0.146359, actvprof=,0.060279, id=,B04, PRDE,actvstrat=,-0.573073, actvprof=,0.141114, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.139170, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.433899, id=,B07, PRDE,actvstrat=,-0.903227, actvprof=,2.237968, id=,B08, PRDE,actvstrat=,0.709753, actvprof=,2.965485, id=,B09, PRDE,actvstrat=,0.047379, actvprof=,3.164240, id=,B10, PRDE,actvstrat=,0.044386, actvprof=,4.530244, id=,B11, PRDE,actvstrat=,0.276652, actvprof=,6.680155, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.324984, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.063821, id=,S02, PRDE,actvstrat=,0.685820, actvprof=,6.529040, id=,S03, PRDE,actvstrat=,-0.287649, actvprof=,1.030996, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.313966, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.103104, id=,S06, PRDE,actvstrat=,-0.376064, actvprof=,0.096252, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.716683, id=,S08, PRDE,actvstrat=,-0.579796, actvprof=,0.009445, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.023195, id=,S10, PRDE,actvstrat=,-0.432228, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.020652, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.680155, best_B_strat=,0.276652, best_S_id=,S00, best_S_prof=,11.324984, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.653980, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.287317, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.650770, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,-0.493703, actvprof=,0.010834, id=,B04, PRDE,actvstrat=,0.641402, actvprof=,0.217788, id=,B05, PRDE,actvstrat=,0.566030, actvprof=,0.565582, id=,B06, PRDE,actvstrat=,0.683833, actvprof=,1.282837, id=,B07, PRDE,actvstrat=,-0.903227, actvprof=,2.374277, id=,B08, PRDE,actvstrat=,0.513231, actvprof=,3.065142, id=,B09, PRDE,actvstrat=,-0.307801, actvprof=,3.600722, id=,B10, PRDE,actvstrat=,-0.865069, actvprof=,5.875550, id=,B11, PRDE,actvstrat=,0.383527, actvprof=,8.162600, id=,S00, PRDE,actvstrat=,0.703219, actvprof=,8.644289, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.515904, id=,S02, PRDE,actvstrat=,0.737051, actvprof=,5.374138, id=,S03, PRDE,actvstrat=,-0.758669, actvprof=,0.388629, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.852910, id=,S05, PRDE,actvstrat=,0.746785, actvprof=,0.967545, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.193342, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.190287, id=,S08, PRDE,actvstrat=,0.098027, actvprof=,0.013890, id=,S09, PRDE,actvstrat=,-0.842382, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.432228, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.883285, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.162600, best_B_strat=,0.383527, best_S_id=,S00, best_S_prof=,8.644289, best_S_strat=,0.703219, 
t=,36000, id=,B00, PRDE,actvstrat=,0.653980, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.287317, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.650770, actvprof=,0.005695, id=,B03, PRDE,actvstrat=,-0.493703, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,0.641402, actvprof=,0.214311, id=,B05, PRDE,actvstrat=,0.566030, actvprof=,0.503623, id=,B06, PRDE,actvstrat=,0.683833, actvprof=,1.345031, id=,B07, PRDE,actvstrat=,-0.903227, actvprof=,2.421028, id=,B08, PRDE,actvstrat=,0.513231, actvprof=,3.129100, id=,B09, PRDE,actvstrat=,-0.307801, actvprof=,3.546610, id=,B10, PRDE,actvstrat=,-0.865069, actvprof=,5.835413, id=,B11, PRDE,actvstrat=,0.383527, actvprof=,8.209357, id=,S00, PRDE,actvstrat=,0.703219, actvprof=,8.778259, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,7.532952, id=,S02, PRDE,actvstrat=,0.737051, actvprof=,5.280400, id=,S03, PRDE,actvstrat=,-0.758669, actvprof=,0.370009, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.851038, id=,S05, PRDE,actvstrat=,0.746785, actvprof=,0.973356, id=,S06, PRDE,actvstrat=,0.451661, actvprof=,0.227644, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.179032, id=,S08, PRDE,actvstrat=,0.098027, actvprof=,0.016528, id=,S09, PRDE,actvstrat=,-0.842382, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.432228, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.883285, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.209357, best_B_strat=,0.383527, best_S_id=,S00, best_S_prof=,8.778259, best_S_strat=,0.703219, 
