t=,1, id=,B00, PRDE,actvstrat=,-0.084879, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.644972, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.781534, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.178732, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.332337, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.692268, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.460153, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.484419, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.850802, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.024274, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.113117, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.510788, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.365994, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.887559, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.228652, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.913806, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.186342, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.382402, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.866373, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.487474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.337739, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.718149, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.144408, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.084879, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.510788, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.084879, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.996064, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.644972, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.781534, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,-0.178732, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,0.332337, actvprof=,0.162498, id=,B06, PRDE,actvstrat=,0.692268, actvprof=,0.733047, id=,B07, PRDE,actvstrat=,-0.460153, actvprof=,0.588327, id=,B08, PRDE,actvstrat=,0.484419, actvprof=,2.119698, id=,B09, PRDE,actvstrat=,-0.850802, actvprof=,2.390528, id=,B10, PRDE,actvstrat=,0.024274, actvprof=,3.874677, id=,B11, PRDE,actvstrat=,-0.113117, actvprof=,5.050497, id=,S00, PRDE,actvstrat=,0.510788, actvprof=,9.168783, id=,S01, PRDE,actvstrat=,-0.365994, actvprof=,2.984965, id=,S02, PRDE,actvstrat=,-0.887559, actvprof=,0.537494, id=,S03, PRDE,actvstrat=,-0.228652, actvprof=,1.273596, id=,S04, PRDE,actvstrat=,0.913806, actvprof=,3.925788, id=,S05, PRDE,actvstrat=,0.186342, actvprof=,0.831935, id=,S06, PRDE,actvstrat=,0.382402, actvprof=,0.598326, id=,S07, PRDE,actvstrat=,-0.866373, actvprof=,0.014167, id=,S08, PRDE,actvstrat=,0.487474, actvprof=,0.073888, id=,S09, PRDE,actvstrat=,0.337739, actvprof=,0.013889, id=,S10, PRDE,actvstrat=,0.718149, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.144408, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.050497, best_B_strat=,-0.113117, best_S_id=,S00, best_S_prof=,9.168783, best_S_strat=,0.510788, 
t=,7200, id=,B00, PRDE,actvstrat=,0.710188, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.670574, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.180704, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.413361, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.611373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.768541, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.577816, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.173276, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.511951, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.291858, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.072125, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.711927, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.630915, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.215008, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.654012, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.281238, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.485966, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.656982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.831081, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.586854, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.002806, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.392104, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.710188, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.072125, 
t=,10800, id=,B00, PRDE,actvstrat=,0.710188, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.670574, actvprof=,0.034167, id=,B04, PRDE,actvstrat=,-0.180704, actvprof=,0.055833, id=,B05, PRDE,actvstrat=,-0.413361, actvprof=,0.138333, id=,B06, PRDE,actvstrat=,-0.611373, actvprof=,0.407500, id=,B07, PRDE,actvstrat=,-0.768541, actvprof=,1.205833, id=,B08, PRDE,actvstrat=,-0.577816, actvprof=,1.479722, id=,B09, PRDE,actvstrat=,-0.173276, actvprof=,2.455833, id=,B10, PRDE,actvstrat=,0.511951, actvprof=,4.533333, id=,B11, PRDE,actvstrat=,-0.291858, actvprof=,4.982500, id=,S00, PRDE,actvstrat=,0.072125, actvprof=,6.246111, id=,S01, PRDE,actvstrat=,0.711927, actvprof=,7.766111, id=,S02, PRDE,actvstrat=,-0.630915, actvprof=,1.505278, id=,S03, PRDE,actvstrat=,-0.215008, actvprof=,1.253611, id=,S04, PRDE,actvstrat=,-0.654012, actvprof=,0.504167, id=,S05, PRDE,actvstrat=,0.281238, actvprof=,1.017778, id=,S06, PRDE,actvstrat=,-0.485966, actvprof=,0.104167, id=,S07, PRDE,actvstrat=,0.656982, actvprof=,0.371389, id=,S08, PRDE,actvstrat=,0.831081, actvprof=,0.222222, id=,S09, PRDE,actvstrat=,-0.586854, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.002806, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.392104, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.982500, best_B_strat=,-0.291858, best_S_id=,S01, best_S_prof=,7.766111, best_S_strat=,0.711927, 
t=,14400, id=,B00, PRDE,actvstrat=,0.710188, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.670574, actvprof=,0.030139, id=,B04, PRDE,actvstrat=,-0.180704, actvprof=,0.055694, id=,B05, PRDE,actvstrat=,-0.413361, actvprof=,0.133194, id=,B06, PRDE,actvstrat=,-0.611373, actvprof=,0.415694, id=,B07, PRDE,actvstrat=,-0.768541, actvprof=,1.324167, id=,B08, PRDE,actvstrat=,-0.577816, actvprof=,1.460417, id=,B09, PRDE,actvstrat=,-0.173276, actvprof=,2.519583, id=,B10, PRDE,actvstrat=,0.511951, actvprof=,4.536389, id=,B11, PRDE,actvstrat=,-0.291858, actvprof=,4.895417, id=,S00, PRDE,actvstrat=,0.072125, actvprof=,6.114861, id=,S01, PRDE,actvstrat=,0.711927, actvprof=,7.639722, id=,S02, PRDE,actvstrat=,-0.630915, actvprof=,1.539444, id=,S03, PRDE,actvstrat=,-0.215008, actvprof=,1.159861, id=,S04, PRDE,actvstrat=,-0.654012, actvprof=,0.524167, id=,S05, PRDE,actvstrat=,0.281238, actvprof=,1.062917, id=,S06, PRDE,actvstrat=,-0.485966, actvprof=,0.099861, id=,S07, PRDE,actvstrat=,0.656982, actvprof=,0.380972, id=,S08, PRDE,actvstrat=,0.831081, actvprof=,0.230694, id=,S09, PRDE,actvstrat=,-0.586854, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.002806, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,0.392104, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.895417, best_B_strat=,-0.291858, best_S_id=,S01, best_S_prof=,7.639722, best_S_strat=,0.711927, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.509814, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.546162, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.324934, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.180704, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,-0.427316, actvprof=,0.030834, id=,B06, PRDE,actvstrat=,0.889323, actvprof=,0.747231, id=,B07, PRDE,actvstrat=,-0.570335, actvprof=,0.537228, id=,B08, PRDE,actvstrat=,-0.924167, actvprof=,1.702520, id=,B09, PRDE,actvstrat=,-0.615885, actvprof=,1.687242, id=,B10, PRDE,actvstrat=,-0.413383, actvprof=,3.305872, id=,B11, PRDE,actvstrat=,0.294013, actvprof=,5.469786, id=,S00, PRDE,actvstrat=,-0.673624, actvprof=,3.325038, id=,S01, PRDE,actvstrat=,0.027690, actvprof=,5.029503, id=,S02, PRDE,actvstrat=,0.717013, actvprof=,6.332018, id=,S03, PRDE,actvstrat=,-0.218905, actvprof=,1.205292, id=,S04, PRDE,actvstrat=,-0.152298, actvprof=,0.738897, id=,S05, PRDE,actvstrat=,0.281238, actvprof=,0.889733, id=,S06, PRDE,actvstrat=,0.590462, actvprof=,0.650563, id=,S07, PRDE,actvstrat=,0.656982, actvprof=,0.459450, id=,S08, PRDE,actvstrat=,0.591958, actvprof=,0.123613, id=,S09, PRDE,actvstrat=,0.467346, actvprof=,0.022500, id=,S10, PRDE,actvstrat=,-0.039667, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.392104, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.469786, best_B_strat=,0.294013, best_S_id=,S02, best_S_prof=,6.332018, best_S_strat=,0.717013, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.509814, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.636885, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.546162, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.324934, actvprof=,0.004583, id=,B04, PRDE,actvstrat=,-0.180704, actvprof=,0.009306, id=,B05, PRDE,actvstrat=,-0.427316, actvprof=,0.042084, id=,B06, PRDE,actvstrat=,0.889323, actvprof=,0.774592, id=,B07, PRDE,actvstrat=,-0.570335, actvprof=,0.489172, id=,B08, PRDE,actvstrat=,-0.924167, actvprof=,1.866827, id=,B09, PRDE,actvstrat=,-0.615885, actvprof=,1.759326, id=,B10, PRDE,actvstrat=,-0.413383, actvprof=,3.264621, id=,B11, PRDE,actvstrat=,0.294013, actvprof=,5.568537, id=,S00, PRDE,actvstrat=,-0.673624, actvprof=,3.180731, id=,S01, PRDE,actvstrat=,0.027690, actvprof=,5.099781, id=,S02, PRDE,actvstrat=,0.717013, actvprof=,6.357018, id=,S03, PRDE,actvstrat=,-0.218905, actvprof=,1.188764, id=,S04, PRDE,actvstrat=,-0.152298, actvprof=,0.699036, id=,S05, PRDE,actvstrat=,0.281238, actvprof=,0.957233, id=,S06, PRDE,actvstrat=,0.590462, actvprof=,0.672091, id=,S07, PRDE,actvstrat=,0.656982, actvprof=,0.396810, id=,S08, PRDE,actvstrat=,0.591958, actvprof=,0.125001, id=,S09, PRDE,actvstrat=,0.467346, actvprof=,0.021389, id=,S10, PRDE,actvstrat=,-0.039667, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,0.392104, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.568537, best_B_strat=,0.294013, best_S_id=,S02, best_S_prof=,6.357018, best_S_strat=,0.717013, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.587895, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102321, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530625, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.951269, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.016945, id=,B05, PRDE,actvstrat=,-0.063685, actvprof=,0.027501, id=,B06, PRDE,actvstrat=,0.785538, actvprof=,0.634737, id=,B07, PRDE,actvstrat=,0.700612, actvprof=,1.203639, id=,B08, PRDE,actvstrat=,0.127813, actvprof=,1.537536, id=,B09, PRDE,actvstrat=,0.180622, actvprof=,3.172573, id=,B10, PRDE,actvstrat=,0.830281, actvprof=,5.192342, id=,B11, PRDE,actvstrat=,-0.008371, actvprof=,5.592074, id=,S00, PRDE,actvstrat=,-0.157726, actvprof=,5.000671, id=,S01, PRDE,actvstrat=,-0.007610, actvprof=,5.197343, id=,S02, PRDE,actvstrat=,-0.043285, actvprof=,3.482858, id=,S03, PRDE,actvstrat=,0.439634, actvprof=,3.559805, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.307600, id=,S05, PRDE,actvstrat=,0.170918, actvprof=,0.825852, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.128082, id=,S07, PRDE,actvstrat=,0.631874, actvprof=,0.327508, id=,S08, PRDE,actvstrat=,0.202070, actvprof=,0.078613, id=,S09, PRDE,actvstrat=,0.469809, actvprof=,0.012500, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,0.479412, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.592074, best_B_strat=,-0.008371, best_S_id=,S01, best_S_prof=,5.197343, best_S_strat=,-0.007610, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.587895, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102321, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530625, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.951269, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.016528, id=,B05, PRDE,actvstrat=,-0.063685, actvprof=,0.030139, id=,B06, PRDE,actvstrat=,0.785538, actvprof=,0.622924, id=,B07, PRDE,actvstrat=,0.700612, actvprof=,1.292515, id=,B08, PRDE,actvstrat=,0.127813, actvprof=,1.549879, id=,B09, PRDE,actvstrat=,0.180622, actvprof=,3.021702, id=,B10, PRDE,actvstrat=,0.830281, actvprof=,5.142421, id=,B11, PRDE,actvstrat=,-0.008371, actvprof=,5.624648, id=,S00, PRDE,actvstrat=,-0.157726, actvprof=,5.100337, id=,S01, PRDE,actvstrat=,-0.007610, actvprof=,4.998669, id=,S02, PRDE,actvstrat=,-0.043285, actvprof=,3.441290, id=,S03, PRDE,actvstrat=,0.439634, actvprof=,3.561013, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.253383, id=,S05, PRDE,actvstrat=,0.170918, actvprof=,0.917233, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.181958, id=,S07, PRDE,actvstrat=,0.631874, actvprof=,0.381532, id=,S08, PRDE,actvstrat=,0.202070, actvprof=,0.065834, id=,S09, PRDE,actvstrat=,0.469809, actvprof=,0.013750, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,0.479412, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.624648, best_B_strat=,-0.008371, best_S_id=,S00, best_S_prof=,5.100337, best_S_strat=,-0.157726, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.587895, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102321, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.224062, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.922471, actvprof=,0.082780, id=,B04, PRDE,actvstrat=,-0.206032, actvprof=,0.093335, id=,B05, PRDE,actvstrat=,0.657753, actvprof=,0.616959, id=,B06, PRDE,actvstrat=,0.147857, actvprof=,0.738073, id=,B07, PRDE,actvstrat=,0.700612, actvprof=,2.151994, id=,B08, PRDE,actvstrat=,-0.577816, actvprof=,2.049214, id=,B09, PRDE,actvstrat=,0.252748, actvprof=,4.330100, id=,B10, PRDE,actvstrat=,0.550243, actvprof=,6.479594, id=,B11, PRDE,actvstrat=,-0.008371, actvprof=,7.227945, id=,S00, PRDE,actvstrat=,0.643848, actvprof=,8.561587, id=,S01, PRDE,actvstrat=,0.711927, actvprof=,7.039885, id=,S02, PRDE,actvstrat=,-0.630915, actvprof=,1.449756, id=,S03, PRDE,actvstrat=,-0.215008, actvprof=,0.872798, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.350355, id=,S05, PRDE,actvstrat=,0.782256, actvprof=,1.644483, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.753073, id=,S07, PRDE,actvstrat=,0.631874, actvprof=,0.205838, id=,S08, PRDE,actvstrat=,-0.421263, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.337739, actvprof=,0.008889, id=,S10, PRDE,actvstrat=,0.978464, actvprof=,0.008056, id=,S11, PRDE,actvstrat=,-0.869117, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.227945, best_B_strat=,-0.008371, best_S_id=,S00, best_S_prof=,8.561587, best_S_strat=,0.643848, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.587895, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102321, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.224062, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.922471, actvprof=,0.101113, id=,B04, PRDE,actvstrat=,-0.206032, actvprof=,0.084863, id=,B05, PRDE,actvstrat=,0.657753, actvprof=,0.596399, id=,B06, PRDE,actvstrat=,0.147857, actvprof=,0.786125, id=,B07, PRDE,actvstrat=,0.700612, actvprof=,2.195316, id=,B08, PRDE,actvstrat=,-0.577816, actvprof=,1.953784, id=,B09, PRDE,actvstrat=,0.252748, actvprof=,4.200351, id=,B10, PRDE,actvstrat=,0.550243, actvprof=,6.449834, id=,B11, PRDE,actvstrat=,-0.008371, actvprof=,7.202903, id=,S00, PRDE,actvstrat=,0.643848, actvprof=,8.400146, id=,S01, PRDE,actvstrat=,0.711927, actvprof=,7.094568, id=,S02, PRDE,actvstrat=,-0.630915, actvprof=,1.312384, id=,S03, PRDE,actvstrat=,-0.215008, actvprof=,0.863487, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.345614, id=,S05, PRDE,actvstrat=,0.782256, actvprof=,1.569611, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.786819, id=,S07, PRDE,actvstrat=,0.631874, actvprof=,0.200420, id=,S08, PRDE,actvstrat=,-0.421263, actvprof=,0.007639, id=,S09, PRDE,actvstrat=,0.337739, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,0.978464, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,-0.869117, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.202903, best_B_strat=,-0.008371, best_S_id=,S00, best_S_prof=,8.400146, best_S_strat=,0.643848, 
