B00, 23
B00, Trade, 96326.750, 65, B00, S00, 1
B00, Trade, 100330.958, 65, B00, S00, 1
B00, Trade, 144749.542, 65, B00, S00, 1
B00, Trade, 145473.542, 65, B00, S00, 1
B00, Trade, 146632.000, 65, B00, S00, 1
B00, Trade, 146977.792, 65, B00, S00, 1
B00, Trade, 146987.708, 65, B00, S00, 1
B00, Trade, 148549.500, 65, B00, S00, 1
B00, Trade, 148970.417, 65, B00, S00, 1
B00, Trade, 149177.000, 65, B00, S00, 1
B00, Trade, 149538.917, 65, B00, S00, 1
B00, Trade, 149909.250, 65, B00, S00, 1
B00, Trade, 150450.167, 65, B00, S00, 1
B00, Trade, 150864.667, 65, B00, S00, 1
B00, Trade, 239169.958, 200, B00, S00, 1
B00, Trade, 397888.333, 200, B00, S00, 1
B00, Trade, 398449.042, 200, B00, S00, 1
B00, Trade, 399856.083, 200, B00, S00, 1
B00, Trade, 400474.292, 200, B00, S00, 1
B00, Trade, 402429.458, 200, B00, S00, 1
B00, Trade, 402605.083, 200, B00, S00, 1
B00, Trade, 421379.042, 65, B00, S00, 1
B00, Trade, 472771.792, 65, B00, S00, 1
B01, 100
B01, Trade, 555569.042, 76, B01, S00, 1
B01, Trade, 555865.708, 76, B01, S00, 1
B01, Trade, 556225.708, 69, S00, B01, 1
B01, Trade, 556479.917, 76, B01, S00, 1
B01, Trade, 556555.583, 76, B01, S00, 1
B01, Trade, 556849.542, 75, B01, S00, 1
B01, Trade, 557006.500, 76, B01, S00, 1
B01, Trade, 557337.000, 76, B01, S00, 1
B01, Trade, 557368.208, 75, B01, S00, 1
B01, Trade, 557393.083, 76, B01, S00, 1
B01, Trade, 558431.917, 76, B01, S00, 1
B01, Trade, 558608.708, 74, B01, S00, 1
B01, Trade, 558652.375, 73, B01, S00, 1
B01, Trade, 558674.500, 75, B01, S00, 1
B01, Trade, 558738.625, 75, B01, S00, 1
B01, Trade, 559125.583, 76, B01, S00, 1
B01, Trade, 559180.833, 75, B01, S00, 1
B01, Trade, 559354.125, 76, B01, S00, 1
B01, Trade, 559387.000, 74, B01, S00, 1
B01, Trade, 559474.125, 76, B01, S00, 1
B01, Trade, 559515.417, 76, B01, S00, 1
B01, Trade, 559558.667, 76, B01, S00, 1
B01, Trade, 559980.875, 76, B01, S00, 1
B01, Trade, 560129.792, 75, B01, S00, 1
B01, Trade, 560158.708, 76, B01, S00, 1
B01, Trade, 560169.667, 75, B01, S00, 1
B01, Trade, 560858.750, 76, B01, S00, 1
B01, Trade, 560905.875, 76, B01, S00, 1
B01, Trade, 560972.125, 76, B01, S00, 1
B01, Trade, 561073.167, 75, B01, S00, 1
B01, Trade, 561156.000, 76, B01, S00, 1
B01, Trade, 561351.292, 76, B01, S00, 1
B01, Trade, 561428.083, 68, S00, B01, 1
B01, Trade, 561509.292, 76, B01, S00, 1
B01, Trade, 561524.792, 76, B01, S00, 1
B01, Trade, 561593.375, 75, B01, S00, 1
B01, Trade, 561942.208, 73, B01, S00, 1
B01, Trade, 562197.542, 76, B01, S00, 1
B01, Trade, 562209.667, 76, B01, S00, 1
B01, Trade, 562487.167, 76, B01, S00, 1
B01, Trade, 562586.833, 76, B01, S00, 1
B01, Trade, 562593.250, 75, B01, S00, 1
B01, Trade, 562672.917, 76, B01, S00, 1
B01, Trade, 562771.750, 76, B01, S00, 1
B01, Trade, 562854.750, 76, B01, S00, 1
B01, Trade, 563292.833, 76, B01, S00, 1
B01, Trade, 563340.708, 76, B01, S00, 1
B01, Trade, 563913.875, 74, B01, S00, 1
B01, Trade, 564066.208, 75, B01, S00, 1
B01, Trade, 564161.542, 75, B01, S00, 1
B01, Trade, 564257.708, 76, B01, S00, 1
B01, Trade, 565102.625, 76, B01, S00, 1
B01, Trade, 565167.083, 74, B01, S00, 1
B01, Trade, 565237.333, 74, B01, S00, 1
B01, Trade, 565246.125, 76, B01, S00, 1
B01, Trade, 565541.000, 76, B01, S00, 1
B01, Trade, 565805.792, 76, B01, S00, 1
B01, Trade, 566247.500, 76, B01, S00, 1
B01, Trade, 566442.542, 76, B01, S00, 1
B01, Trade, 566531.417, 76, B01, S00, 1
B01, Trade, 566573.083, 75, B01, S00, 1
B01, Trade, 566609.750, 76, B01, S00, 1
B01, Trade, 566763.250, 76, B01, S00, 1
B01, Trade, 566854.583, 76, B01, S00, 1
B01, Trade, 566878.750, 76, B01, S00, 1
B01, Trade, 567001.333, 76, B01, S00, 1
B01, Trade, 567084.917, 76, B01, S00, 1
B01, Trade, 567181.042, 76, B01, S00, 1
B01, Trade, 567427.417, 76, B01, S00, 1
B01, Trade, 567825.542, 76, B01, S00, 1
B01, Trade, 568274.792, 76, B01, S00, 1
B01, Trade, 568330.833, 75, B01, S00, 1
B01, Trade, 568622.875, 76, B01, S00, 1
B01, Trade, 568672.542, 73, B01, S00, 1
B01, Trade, 568688.833, 76, B01, S00, 1
B01, Trade, 571915.042, 76, B01, S00, 1
B01, Trade, 574850.500, 76, B01, S00, 1
B01, Trade, 583283.208, 70, B01, S00, 1
B01, Trade, 583708.000, 76, B01, S00, 1
B01, Trade, 584370.250, 76, B01, S00, 1
B01, Trade, 584430.625, 76, B01, S00, 1
B01, Trade, 584548.417, 76, B01, S00, 1
B01, Trade, 585901.750, 76, B01, S00, 1
B01, Trade, 586310.958, 76, B01, S00, 1
B01, Trade, 586773.583, 66, B01, S00, 1
B01, Trade, 587005.083, 76, B01, S00, 1
B01, Trade, 587069.083, 76, B01, S00, 1
B01, Trade, 588965.500, 76, B01, S00, 1
B01, Trade, 589067.333, 76, B01, S00, 1
B01, Trade, 589291.667, 76, B01, S00, 1
B01, Trade, 590691.083, 66, S00, B01, 1
B01, Trade, 591351.708, 76, B01, S00, 1
B01, Trade, 595999.625, 76, B01, S00, 1
B01, Trade, 596973.625, 70, B01, S00, 1
B01, Trade, 597985.125, 76, B01, S00, 1
B01, Trade, 598762.542, 76, B01, S00, 1
B01, Trade, 599588.125, 76, B01, S00, 1
B01, Trade, 600052.125, 76, B01, S00, 1
B01, Trade, 603189.625, 76, B01, S00, 1
B01, Trade, 603659.542, 76, B01, S00, 1
B02, 100
B02, Trade, 546793.917, 87, B02, S02, 1
B02, Trade, 546801.083, 87, B02, S02, 1
B02, Trade, 546894.167, 87, B02, S00, 1
B02, Trade, 547025.542, 83, B02, S00, 1
B02, Trade, 547048.083, 87, B02, S00, 1
B02, Trade, 547136.792, 87, B02, S01, 1
B02, Trade, 547183.750, 87, B02, S00, 1
B02, Trade, 547199.750, 87, B02, S00, 1
B02, Trade, 550306.083, 87, B02, S02, 1
B02, Trade, 552774.583, 87, B02, S01, 1
B02, Trade, 553642.542, 87, B02, S01, 1
B02, Trade, 554170.625, 87, B02, S02, 1
B02, Trade, 557836.167, 77, B02, S00, 1
B02, Trade, 559637.500, 74, B02, S00, 1
B02, Trade, 560451.375, 82, B02, S00, 1
B02, Trade, 560524.667, 78, S00, B02, 1
B02, Trade, 567042.542, 65, S00, B02, 1
B02, Trade, 567339.833, 75, S00, B02, 1
B02, Trade, 568330.292, 75, B02, S00, 1
B02, Trade, 568807.958, 87, B02, S00, 1
B02, Trade, 569031.292, 87, B02, S00, 1
B02, Trade, 569584.667, 86, B02, S01, 1
B02, Trade, 569827.083, 87, B02, S01, 1
B02, Trade, 569899.542, 87, B02, S00, 1
B02, Trade, 570219.500, 87, B02, S00, 1
B02, Trade, 570592.167, 87, B02, S00, 1
B02, Trade, 570606.208, 87, B02, S01, 1
B02, Trade, 570747.500, 87, B02, S00, 1
B02, Trade, 570951.750, 87, B02, S00, 1
B02, Trade, 571035.542, 87, B02, S00, 1
B02, Trade, 571084.000, 80, B02, S00, 1
B02, Trade, 571092.792, 80, B02, S00, 1
B02, Trade, 571104.125, 87, B02, S00, 1
B02, Trade, 571349.667, 87, B02, S00, 1
B02, Trade, 571416.958, 87, B02, S00, 1
B02, Trade, 571544.917, 87, B02, S00, 1
B02, Trade, 571913.125, 87, B02, S01, 1
B02, Trade, 571993.250, 87, B02, S00, 1
B02, Trade, 572470.583, 77, B02, S00, 1
B02, Trade, 572601.042, 87, B02, S00, 1
B02, Trade, 572671.083, 80, B02, S00, 1
B02, Trade, 572706.833, 87, B02, S01, 1
B02, Trade, 572845.208, 87, B02, S00, 1
B02, Trade, 572887.042, 87, B02, S00, 1
B02, Trade, 572962.542, 87, B02, S00, 1
B02, Trade, 573145.292, 87, B02, S00, 1
B02, Trade, 573611.708, 83, B02, S00, 1
B02, Trade, 573995.250, 87, B02, S00, 1
B02, Trade, 574032.375, 87, B02, S00, 1
B02, Trade, 574334.292, 80, B02, S00, 1
B02, Trade, 574491.917, 87, B02, S00, 1
B02, Trade, 574744.583, 87, B02, S00, 1
B02, Trade, 575026.750, 87, B02, S01, 1
B02, Trade, 575070.458, 87, B02, S00, 1
B02, Trade, 575318.833, 87, B02, S00, 1
B02, Trade, 575551.500, 87, B02, S00, 1
B02, Trade, 575992.000, 87, B02, S00, 1
B02, Trade, 578745.292, 85, B02, S01, 1
B02, Trade, 578871.750, 87, B02, S01, 1
B02, Trade, 585798.792, 79, B02, S00, 1
B02, Trade, 590898.042, 72, B02, S00, 1
B02, Trade, 592332.125, 79, B02, S00, 1
B02, Trade, 592962.292, 68, B02, S00, 1
B02, Trade, 595864.500, 70, B02, S00, 1
B02, Trade, 597618.667, 87, B02, S00, 1
B02, Trade, 597725.792, 87, B02, S00, 1
B02, Trade, 597768.458, 87, B02, S02, 1
B02, Trade, 598146.667, 87, B02, S00, 1
B02, Trade, 598192.375, 87, B02, S00, 1
B02, Trade, 598342.750, 87, B02, S00, 1
B02, Trade, 598629.250, 87, B02, S00, 1
B02, Trade, 599081.625, 87, B02, S00, 1
B02, Trade, 599133.667, 87, B02, S02, 1
B02, Trade, 599273.292, 87, B02, S01, 1
B02, Trade, 599349.708, 87, B02, S02, 1
B02, Trade, 599416.792, 87, B02, S01, 1
B02, Trade, 599475.042, 83, B02, S00, 1
B02, Trade, 599778.417, 87, B02, S00, 1
B02, Trade, 599823.792, 87, B02, S00, 1
B02, Trade, 599922.000, 87, B02, S00, 1
B02, Trade, 599989.583, 87, B02, S00, 1
B02, Trade, 600209.542, 87, B02, S01, 1
B02, Trade, 600412.083, 87, B02, S01, 1
B02, Trade, 600421.458, 87, B02, S00, 1
B02, Trade, 600973.417, 87, B02, S00, 1
B02, Trade, 601275.875, 87, B02, S00, 1
B02, Trade, 601301.125, 87, B02, S00, 1
B02, Trade, 601449.083, 87, B02, S02, 1
B02, Trade, 601479.833, 87, B02, S01, 1
B02, Trade, 602100.375, 87, B02, S00, 1
B02, Trade, 602122.292, 87, B02, S00, 1
B02, Trade, 602305.250, 79, B02, S01, 1
B02, Trade, 602906.917, 87, B02, S00, 1
B02, Trade, 603074.583, 87, B02, S01, 1
B02, Trade, 603185.375, 87, B02, S02, 1
B02, Trade, 603508.292, 87, B02, S00, 1
B02, Trade, 603659.375, 87, B02, S01, 1
B02, Trade, 604199.208, 87, B02, S00, 1
B02, Trade, 604359.083, 87, B02, S00, 1
B02, Trade, 604637.875, 87, B02, S01, 1
B03, 100
B03, Trade, 602274.875, 97, B03, S02, 1
B03, Trade, 602297.292, 99, B03, S01, 1
B03, Trade, 602304.708, 99, B03, S02, 1
B03, Trade, 602322.958, 98, B03, S02, 1
B03, Trade, 602339.083, 99, B03, S02, 1
B03, Trade, 602348.125, 99, B03, S00, 1
B03, Trade, 602410.792, 99, B03, S00, 1
B03, Trade, 602420.083, 99, B03, S02, 1
B03, Trade, 602436.875, 98, B03, S02, 1
B03, Trade, 602455.417, 99, B03, S03, 1
B03, Trade, 602488.667, 99, B03, S02, 1
B03, Trade, 602502.000, 98, B03, S01, 1
B03, Trade, 602512.000, 98, B03, S00, 1
B03, Trade, 602562.583, 98, B03, S02, 1
B03, Trade, 602596.792, 99, B03, S02, 1
B03, Trade, 602601.667, 99, B03, S02, 1
B03, Trade, 602620.583, 96, B03, S00, 1
B03, Trade, 602685.792, 98, B03, S00, 1
B03, Trade, 602760.083, 98, B03, S02, 1
B03, Trade, 602781.417, 99, B03, S02, 1
B03, Trade, 602802.375, 99, B03, S00, 1
B03, Trade, 602842.000, 97, B03, S02, 1
B03, Trade, 602876.125, 98, B03, S00, 1
B03, Trade, 602878.125, 99, B03, S00, 1
B03, Trade, 602891.500, 98, B03, S02, 1
B03, Trade, 602898.917, 98, B03, S00, 1
B03, Trade, 602906.875, 98, B03, S01, 1
B03, Trade, 602933.375, 99, B03, S00, 1
B03, Trade, 602938.833, 98, B03, S01, 1
B03, Trade, 602953.250, 99, B03, S02, 1
B03, Trade, 602979.500, 98, B03, S02, 1
B03, Trade, 602996.917, 98, B03, S01, 1
B03, Trade, 603003.250, 99, B03, S02, 1
B03, Trade, 603009.875, 99, B03, S02, 1
B03, Trade, 603074.167, 99, B03, S02, 1
