t=,1, id=,B00, PRDE,actvstrat=,-0.880392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.716386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173452, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001827, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.988362, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.112435, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.127461, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.430776, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.183989, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.598116, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.697937, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.904334, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.863481, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.693958, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.037119, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.470856, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.894098, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.297585, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.400144, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.028211, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.896476, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.092437, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.641013, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.128205, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.880392, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.863481, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.880392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.716386, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.173452, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.001827, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.988362, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-0.112435, actvprof=,0.018055, id=,B06, PRDE,actvstrat=,0.127461, actvprof=,0.252769, id=,B07, PRDE,actvstrat=,-0.430776, actvprof=,0.389986, id=,B08, PRDE,actvstrat=,0.183989, actvprof=,1.267734, id=,B09, PRDE,actvstrat=,0.598116, actvprof=,3.019340, id=,B10, PRDE,actvstrat=,0.697937, actvprof=,4.402903, id=,B11, PRDE,actvstrat=,-0.904334, actvprof=,3.949307, id=,S00, PRDE,actvstrat=,-0.863481, actvprof=,1.910767, id=,S01, PRDE,actvstrat=,-0.693958, actvprof=,2.982396, id=,S02, PRDE,actvstrat=,0.037119, actvprof=,4.157356, id=,S03, PRDE,actvstrat=,-0.470856, actvprof=,1.721329, id=,S04, PRDE,actvstrat=,0.894098, actvprof=,4.437624, id=,S05, PRDE,actvstrat=,0.297585, actvprof=,1.504114, id=,S06, PRDE,actvstrat=,-0.400144, actvprof=,0.124718, id=,S07, PRDE,actvstrat=,0.028211, actvprof=,0.173327, id=,S08, PRDE,actvstrat=,0.896476, actvprof=,0.349432, id=,S09, PRDE,actvstrat=,0.092437, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.641013, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.128205, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.402903, best_B_strat=,0.697937, best_S_id=,S04, best_S_prof=,4.437624, best_S_strat=,0.894098, 
t=,7200, id=,B00, PRDE,actvstrat=,0.902593, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.224556, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.841028, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.416921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.430689, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.562263, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.561876, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.609668, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.505655, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.081371, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.550697, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.665122, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.071592, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.039338, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.660335, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.388836, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.501369, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.015683, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.632315, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.863280, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328231, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.479198, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.823016, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.938755, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.902593, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.071592, 
t=,10800, id=,B00, PRDE,actvstrat=,0.902593, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.224556, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.841028, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.416921, actvprof=,0.008611, id=,B04, PRDE,actvstrat=,-0.430689, actvprof=,0.037500, id=,B05, PRDE,actvstrat=,-0.562263, actvprof=,0.137776, id=,B06, PRDE,actvstrat=,-0.561876, actvprof=,0.317774, id=,B07, PRDE,actvstrat=,-0.609668, actvprof=,0.905267, id=,B08, PRDE,actvstrat=,0.505655, actvprof=,1.949700, id=,B09, PRDE,actvstrat=,0.081371, actvprof=,2.434138, id=,B10, PRDE,actvstrat=,0.550697, actvprof=,4.241895, id=,B11, PRDE,actvstrat=,-0.665122, actvprof=,4.810222, id=,S00, PRDE,actvstrat=,0.071592, actvprof=,8.005185, id=,S01, PRDE,actvstrat=,0.039338, actvprof=,5.908820, id=,S02, PRDE,actvstrat=,0.660335, actvprof=,6.809921, id=,S03, PRDE,actvstrat=,-0.388836, actvprof=,1.636092, id=,S04, PRDE,actvstrat=,-0.501369, actvprof=,0.780824, id=,S05, PRDE,actvstrat=,-0.015683, actvprof=,1.110820, id=,S06, PRDE,actvstrat=,-0.632315, actvprof=,0.133610, id=,S07, PRDE,actvstrat=,-0.863280, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,0.328231, actvprof=,0.091666, id=,S09, PRDE,actvstrat=,-0.479198, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.823016, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.938755, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.810222, best_B_strat=,-0.665122, best_S_id=,S00, best_S_prof=,8.005185, best_S_strat=,0.071592, 
t=,14400, id=,B00, PRDE,actvstrat=,0.925304, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.291092, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.059490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.712174, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.562263, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.690875, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.318798, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.264396, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.979224, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.197297, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.674232, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.961167, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.483292, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.660335, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.388836, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.448352, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.577581, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.432861, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.734458, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.992857, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.577977, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.823016, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.953641, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.925304, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.961167, 
t=,18000, id=,B00, PRDE,actvstrat=,0.925304, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.291092, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.059490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840932, actvprof=,0.011944, id=,B04, PRDE,actvstrat=,-0.712174, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.562263, actvprof=,0.044167, id=,B06, PRDE,actvstrat=,-0.690875, actvprof=,0.200278, id=,B07, PRDE,actvstrat=,0.318798, actvprof=,1.079167, id=,B08, PRDE,actvstrat=,0.264396, actvprof=,1.869167, id=,B09, PRDE,actvstrat=,-0.979224, actvprof=,2.749444, id=,B10, PRDE,actvstrat=,-0.197297, actvprof=,3.665278, id=,B11, PRDE,actvstrat=,0.674232, actvprof=,7.813333, id=,S00, PRDE,actvstrat=,-0.961167, actvprof=,3.371667, id=,S01, PRDE,actvstrat=,-0.483292, actvprof=,2.917500, id=,S02, PRDE,actvstrat=,0.660335, actvprof=,6.027500, id=,S03, PRDE,actvstrat=,-0.388836, actvprof=,0.961111, id=,S04, PRDE,actvstrat=,0.448352, actvprof=,1.882500, id=,S05, PRDE,actvstrat=,0.577581, actvprof=,1.173889, id=,S06, PRDE,actvstrat=,0.432861, actvprof=,0.327500, id=,S07, PRDE,actvstrat=,0.734458, actvprof=,0.213611, id=,S08, PRDE,actvstrat=,0.992857, actvprof=,0.139722, id=,S09, PRDE,actvstrat=,0.577977, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.823016, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.953641, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.813333, best_B_strat=,0.674232, best_S_id=,S02, best_S_prof=,6.027500, best_S_strat=,0.660335, 
t=,21600, id=,B00, PRDE,actvstrat=,0.925304, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.291092, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.059490, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840932, actvprof=,0.011389, id=,B04, PRDE,actvstrat=,-0.712174, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-0.562263, actvprof=,0.040139, id=,B06, PRDE,actvstrat=,-0.690875, actvprof=,0.244307, id=,B07, PRDE,actvstrat=,0.318798, actvprof=,1.104868, id=,B08, PRDE,actvstrat=,0.264396, actvprof=,1.907372, id=,B09, PRDE,actvstrat=,-0.979224, actvprof=,2.760849, id=,B10, PRDE,actvstrat=,-0.197297, actvprof=,3.700577, id=,B11, PRDE,actvstrat=,0.674232, actvprof=,7.585461, id=,S00, PRDE,actvstrat=,-0.961167, actvprof=,3.351131, id=,S01, PRDE,actvstrat=,-0.483292, actvprof=,2.964739, id=,S02, PRDE,actvstrat=,0.660335, actvprof=,5.913506, id=,S03, PRDE,actvstrat=,-0.388836, actvprof=,0.991672, id=,S04, PRDE,actvstrat=,0.448352, actvprof=,1.979873, id=,S05, PRDE,actvstrat=,0.577581, actvprof=,1.187785, id=,S06, PRDE,actvstrat=,0.432861, actvprof=,0.346946, id=,S07, PRDE,actvstrat=,0.734458, actvprof=,0.230974, id=,S08, PRDE,actvstrat=,0.992857, actvprof=,0.149029, id=,S09, PRDE,actvstrat=,0.577977, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-0.823016, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.953641, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.585461, best_B_strat=,0.674232, best_S_id=,S02, best_S_prof=,5.913506, best_S_strat=,0.660335, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.396115, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410113, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.550502, actvprof=,0.006944, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.086667, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.358611, id=,B06, PRDE,actvstrat=,0.222418, actvprof=,0.800000, id=,B07, PRDE,actvstrat=,-0.638105, actvprof=,0.865278, id=,B08, PRDE,actvstrat=,-0.817899, actvprof=,1.793889, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.660278, id=,B10, PRDE,actvstrat=,0.237218, actvprof=,6.495556, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.107778, id=,S00, PRDE,actvstrat=,0.579080, actvprof=,7.861667, id=,S01, PRDE,actvstrat=,-0.862650, actvprof=,0.671111, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.823889, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.698611, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.861944, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.957500, id=,S06, PRDE,actvstrat=,0.312301, actvprof=,0.140000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.207778, id=,S08, PRDE,actvstrat=,0.344356, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,-0.439941, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.015556, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.107778, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.861667, best_S_strat=,0.579080, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.396115, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410113, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.550502, actvprof=,0.011806, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.101251, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.386113, id=,B06, PRDE,actvstrat=,0.222418, actvprof=,0.872505, id=,B07, PRDE,actvstrat=,-0.638105, actvprof=,1.005145, id=,B08, PRDE,actvstrat=,-0.817899, actvprof=,1.770705, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.632261, id=,B10, PRDE,actvstrat=,0.237218, actvprof=,6.521010, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,9.301998, id=,S00, PRDE,actvstrat=,0.579080, actvprof=,7.833379, id=,S01, PRDE,actvstrat=,-0.862650, actvprof=,0.719171, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.834200, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,3.472937, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.810010, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.913900, id=,S06, PRDE,actvstrat=,0.312301, actvprof=,0.124445, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.193890, id=,S08, PRDE,actvstrat=,0.344356, actvprof=,0.007639, id=,S09, PRDE,actvstrat=,-0.439941, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.010139, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.301998, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.833379, best_S_strat=,0.579080, 
t=,32400, id=,B00, PRDE,actvstrat=,0.786142, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.519446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410113, actvprof=,0.001945, id=,B03, PRDE,actvstrat=,0.000243, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.341142, actvprof=,0.027779, id=,B05, PRDE,actvstrat=,-0.830779, actvprof=,0.095282, id=,B06, PRDE,actvstrat=,0.052112, actvprof=,0.404185, id=,B07, PRDE,actvstrat=,-0.638105, actvprof=,0.562248, id=,B08, PRDE,actvstrat=,-0.437146, actvprof=,1.131163, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.317978, id=,B10, PRDE,actvstrat=,0.550697, actvprof=,4.875781, id=,B11, PRDE,actvstrat=,-0.789834, actvprof=,4.142414, id=,S00, PRDE,actvstrat=,0.579080, actvprof=,8.984860, id=,S01, PRDE,actvstrat=,-0.520412, actvprof=,2.319830, id=,S02, PRDE,actvstrat=,-0.410123, actvprof=,1.604519, id=,S03, PRDE,actvstrat=,0.559134, actvprof=,3.542942, id=,S04, PRDE,actvstrat=,-0.825005, actvprof=,0.172786, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.742025, id=,S06, PRDE,actvstrat=,-0.122994, actvprof=,0.102505, id=,S07, PRDE,actvstrat=,0.176497, actvprof=,0.113061, id=,S08, PRDE,actvstrat=,0.768710, actvprof=,0.087226, id=,S09, PRDE,actvstrat=,0.568271, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.809269, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.645606, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.875781, best_B_strat=,0.550697, best_S_id=,S00, best_S_prof=,8.984860, best_S_strat=,0.579080, 
t=,36000, id=,B00, PRDE,actvstrat=,0.786142, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.519446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410113, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,0.000243, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.341142, actvprof=,0.029723, id=,B05, PRDE,actvstrat=,-0.830779, actvprof=,0.137087, id=,B06, PRDE,actvstrat=,0.052112, actvprof=,0.375148, id=,B07, PRDE,actvstrat=,-0.638105, actvprof=,0.551957, id=,B08, PRDE,actvstrat=,-0.437146, actvprof=,1.088081, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.178847, id=,B10, PRDE,actvstrat=,0.550697, actvprof=,4.607468, id=,B11, PRDE,actvstrat=,-0.789834, actvprof=,4.110234, id=,S00, PRDE,actvstrat=,0.579080, actvprof=,8.833677, id=,S01, PRDE,actvstrat=,-0.520412, actvprof=,2.371583, id=,S02, PRDE,actvstrat=,-0.410123, actvprof=,1.430311, id=,S03, PRDE,actvstrat=,0.559134, actvprof=,3.509248, id=,S04, PRDE,actvstrat=,-0.825005, actvprof=,0.139170, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.827126, id=,S06, PRDE,actvstrat=,-0.122994, actvprof=,0.096530, id=,S07, PRDE,actvstrat=,0.176497, actvprof=,0.120142, id=,S08, PRDE,actvstrat=,0.768710, actvprof=,0.091669, id=,S09, PRDE,actvstrat=,0.568271, actvprof=,0.011667, id=,S10, PRDE,actvstrat=,0.809269, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.645606, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.607468, best_B_strat=,0.550697, best_S_id=,S00, best_S_prof=,8.833677, best_S_strat=,0.579080, 
