B00, 100
B00, Trade, 85857.467, 140, B00, S06, 1
B00, Trade, 85864.950, 140, B00, S15, 1
B00, Trade, 85871.917, 140, B00, S10, 1
B00, Trade, 85879.150, 140, B00, S19, 1
B00, Trade, 85880.233, 140, B00, S10, 1
B00, Trade, 85889.967, 139, B00, S10, 1
B00, Trade, 85896.400, 123, S07, B00, 1
B00, Trade, 85900.733, 120, S16, B00, 1
B00, Trade, 85908.917, 136, S16, B00, 1
B00, Trade, 85914.367, 140, B00, S28, 1
B00, Trade, 85916.883, 110, S29, B00, 1
B00, Trade, 85920.283, 140, B00, S28, 1
B00, Trade, 85927.233, 124, S29, B00, 1
B00, Trade, 85930.750, 128, S24, B00, 1
B00, Trade, 85935.867, 137, S16, B00, 1
B00, Trade, 85940.750, 135, S02, B00, 1
B00, Trade, 85948.217, 134, S07, B00, 1
B00, Trade, 85953.500, 138, S10, B00, 1
B00, Trade, 85955.450, 140, B00, S27, 1
B00, Trade, 85962.167, 127, S18, B00, 1
B00, Trade, 85965.550, 139, B00, S27, 1
B00, Trade, 85972.633, 139, B00, S21, 1
B00, Trade, 85984.217, 136, B00, S22, 1
B00, Trade, 85985.183, 140, B00, S03, 1
B00, Trade, 85995.383, 139, B00, S26, 1
B00, Trade, 85998.433, 140, B00, S16, 1
B00, Trade, 86001.967, 137, B00, S11, 1
B00, Trade, 86008.617, 131, S18, B00, 1
B00, Trade, 86012.433, 137, B00, S09, 1
B00, Trade, 86017.733, 137, S16, B00, 1
B00, Trade, 86020.400, 140, S15, B00, 1
B00, Trade, 86031.883, 139, B00, S28, 1
B00, Trade, 86036.500, 139, B00, S28, 1
B00, Trade, 86044.050, 124, S07, B00, 1
B00, Trade, 86048.733, 139, B00, S12, 1
B00, Trade, 86052.850, 139, B00, S09, 1
B00, Trade, 86057.083, 130, S16, B00, 1
B00, Trade, 86060.250, 140, B00, S22, 1
B00, Trade, 86065.667, 119, S26, B00, 1
B00, Trade, 86071.450, 139, B00, S09, 1
B00, Trade, 86078.200, 138, B00, S06, 1
B00, Trade, 86083.933, 135, S16, B00, 1
B00, Trade, 86088.083, 105, S12, B00, 1
B00, Trade, 86092.933, 140, B00, S24, 1
B00, Trade, 86098.317, 136, S18, B00, 1
B00, Trade, 86102.767, 140, B00, S03, 1
B00, Trade, 86111.800, 136, B00, S08, 1
B00, Trade, 86116.517, 131, S05, B00, 1
B00, Trade, 86125.317, 140, B00, S21, 1
B00, Trade, 86128.950, 140, B00, S17, 1
B00, Trade, 86133.983, 140, B00, S03, 1
B00, Trade, 86139.333, 129, S07, B00, 1
B00, Trade, 86141.267, 134, S05, B00, 1
B00, Trade, 86146.317, 100, S26, B00, 1
B00, Trade, 86152.433, 127, S07, B00, 1
B00, Trade, 86160.067, 130, S29, B00, 1
B00, Trade, 86163.750, 104, S06, B00, 1
B00, Trade, 86168.250, 135, S05, B00, 1
B00, Trade, 86174.083, 138, B00, S01, 1
B00, Trade, 86177.733, 140, B00, S02, 1
B00, Trade, 86186.850, 140, B00, S28, 1
B00, Trade, 86187.333, 129, S10, B00, 1
B00, Trade, 86198.217, 140, B00, S10, 1
B00, Trade, 86202.750, 136, S23, B00, 1
B00, Trade, 86207.683, 140, B00, S12, 1
B00, Trade, 86215.850, 138, B00, S02, 1
B00, Trade, 86219.217, 140, B00, S02, 1
B00, Trade, 86223.450, 140, B00, S01, 1
B00, Trade, 86231.550, 108, S13, B00, 1
B00, Trade, 86234.000, 140, B00, S21, 1
B00, Trade, 86240.917, 140, B00, S13, 1
B00, Trade, 86246.317, 140, B00, S26, 1
B00, Trade, 86250.817, 140, B00, S12, 1
B00, Trade, 86257.083, 138, B00, S08, 1
B00, Trade, 86258.817, 133, S07, B00, 1
B00, Trade, 86264.467, 139, B00, S22, 1
B00, Trade, 86269.483, 106, S23, B00, 1
B00, Trade, 86275.717, 138, B00, S01, 1
B00, Trade, 86281.133, 117, S07, B00, 1
B00, Trade, 86286.550, 139, B00, S20, 1
B00, Trade, 86291.650, 139, B00, S02, 1
B00, Trade, 86295.683, 140, B00, S11, 1
B00, Trade, 86298.167, 102, S14, B00, 1
B00, Trade, 86302.767, 132, S07, B00, 1
B00, Trade, 86308.083, 131, S18, B00, 1
B00, Trade, 86318.233, 139, B00, S16, 1
B00, Trade, 86325.100, 117, S04, B00, 1
B00, Trade, 86331.233, 139, S25, B00, 1
B00, Trade, 86336.133, 137, S29, B00, 1
B00, Trade, 86338.867, 110, S16, B00, 1
B00, Trade, 86344.667, 114, S19, B00, 1
B00, Trade, 86352.200, 136, B00, S11, 1
B00, Trade, 86360.367, 135, S18, B00, 1
B00, Trade, 86362.800, 139, B00, S17, 1
