B00, 100
B00, Trade, 85560.417, 131, B00, S04, 1
B00, Trade, 85564.767, 97, B00, S27, 1
B00, Trade, 85574.550, 102, B00, S28, 1
B00, Trade, 85587.567, 94, S16, B00, 1
B00, Trade, 85590.883, 100, B00, S22, 1
B00, Trade, 85595.550, 118, B00, S27, 1
B00, Trade, 85607.583, 85, B00, S22, 1
B00, Trade, 85614.217, 100, B00, S11, 1
B00, Trade, 85629.367, 130, B00, S04, 1
B00, Trade, 85636.067, 118, B00, S10, 1
B00, Trade, 85644.333, 136, B00, S29, 1
B00, Trade, 85652.950, 116, B00, S08, 1
B00, Trade, 85658.667, 122, S11, B00, 1
B00, Trade, 85663.067, 106, S25, B00, 1
B00, Trade, 85667.850, 124, B00, S12, 1
B00, Trade, 85675.867, 126, S10, B00, 1
B00, Trade, 85687.083, 129, S06, B00, 1
B00, Trade, 85690.033, 110, B00, S18, 1
B00, Trade, 85695.183, 138, B00, S07, 1
B00, Trade, 85704.800, 122, B00, S29, 1
B00, Trade, 85708.867, 85, B00, S00, 1
B00, Trade, 85735.067, 122, B00, S11, 1
B00, Trade, 85740.300, 126, B00, S07, 1
B00, Trade, 85748.133, 117, S01, B00, 1
B00, Trade, 85759.333, 114, B00, S00, 1
B00, Trade, 85769.417, 108, S14, B00, 1
B00, Trade, 85778.333, 126, S02, B00, 1
B00, Trade, 85783.533, 133, B00, S05, 1
B00, Trade, 85788.033, 125, B00, S23, 1
B00, Trade, 85789.150, 115, B00, S29, 1
B00, Trade, 85798.067, 114, B00, S27, 1
B00, Trade, 85799.533, 125, B00, S24, 1
B00, Trade, 85809.017, 99, B00, S16, 1
B00, Trade, 85821.267, 96, S20, B00, 1
B00, Trade, 85837.617, 127, B00, S28, 1
B00, Trade, 85844.183, 130, B00, S07, 1
B00, Trade, 85852.283, 118, B00, S05, 1
B00, Trade, 85857.700, 138, B00, S00, 1
B00, Trade, 85860.733, 136, S02, B00, 1
B00, Trade, 85871.900, 124, S09, B00, 1
B00, Trade, 85887.817, 134, B00, S18, 1
B00, Trade, 85895.800, 109, S13, B00, 1
B00, Trade, 85902.050, 136, B00, S28, 1
B00, Trade, 85915.517, 115, B00, S08, 1
B00, Trade, 85939.700, 134, B00, S10, 1
B00, Trade, 85946.483, 87, B00, S15, 1
B00, Trade, 85951.050, 132, B00, S05, 1
B00, Trade, 85959.700, 124, B00, S22, 1
B00, Trade, 85975.933, 76, B00, S21, 1
B00, Trade, 85986.633, 73, S27, B00, 1
B00, Trade, 86010.167, 109, B00, S25, 1
B00, Trade, 86014.483, 128, B00, S11, 1
B00, Trade, 86019.217, 121, S29, B00, 1
B00, Trade, 86026.850, 123, B00, S18, 1
B00, Trade, 86036.983, 129, B00, S16, 1
B00, Trade, 86049.817, 119, B00, S29, 1
B00, Trade, 86057.483, 137, B00, S21, 1
B00, Trade, 86061.167, 113, S13, B00, 1
B00, Trade, 86070.383, 103, B00, S24, 1
B00, Trade, 86073.000, 122, B00, S21, 1
B00, Trade, 86086.917, 130, B00, S08, 1
B00, Trade, 86099.433, 129, B00, S06, 1
B00, Trade, 86109.200, 125, S13, B00, 1
B00, Trade, 86115.417, 132, B00, S17, 1
B00, Trade, 86120.350, 118, S02, B00, 1
B00, Trade, 86129.267, 111, B00, S28, 1
B00, Trade, 86149.850, 112, S02, B00, 1
B00, Trade, 86152.017, 114, B00, S07, 1
B00, Trade, 86164.217, 122, B00, S21, 1
B00, Trade, 86166.933, 106, B00, S10, 1
B00, Trade, 86170.133, 114, S10, B00, 1
B00, Trade, 86180.783, 131, B00, S17, 1
B00, Trade, 86182.533, 121, S02, B00, 1
B00, Trade, 86189.733, 114, B00, S21, 1
B00, Trade, 86196.600, 126, B00, S07, 1
B00, Trade, 86202.733, 124, B00, S25, 1
B00, Trade, 86205.950, 99, B00, S21, 1
B00, Trade, 86210.867, 117, B00, S26, 1
B00, Trade, 86217.850, 116, B00, S28, 1
B00, Trade, 86221.617, 131, B00, S22, 1
B00, Trade, 86226.883, 110, S20, B00, 1
B00, Trade, 86231.167, 132, B00, S20, 1
B00, Trade, 86237.900, 91, B00, S08, 1
B00, Trade, 86250.800, 120, B00, S00, 1
B00, Trade, 86256.150, 122, B00, S08, 1
B00, Trade, 86274.600, 121, S13, B00, 1
B00, Trade, 86289.767, 115, B00, S17, 1
B00, Trade, 86302.033, 102, B00, S27, 1
B00, Trade, 86319.217, 117, B00, S24, 1
B00, Trade, 86323.167, 116, S02, B00, 1
B00, Trade, 86335.250, 128, B00, S04, 1
B00, Trade, 86338.817, 124, B00, S22, 1
B00, Trade, 86345.467, 109, B00, S11, 1
B00, Trade, 86350.067, 112, B00, S17, 1
B00, Trade, 86355.800, 128, B00, S25, 1
B00, Trade, 86361.167, 127, B00, S09, 1
B00, Trade, 86373.633, 121, B00, S08, 1
B00, Trade, 86381.600, 119, B00, S15, 1
B00, Trade, 86386.983, 108, B00, S27, 1
B00, Trade, 86396.517, 134, B00, S14, 1
B01, 100
B01, Trade, 85882.150, 134, S02, B01, 1
B01, Trade, 85885.617, 134, S02, B01, 1
B01, Trade, 85893.050, 123, S02, B01, 1
B01, Trade, 85893.767, 135, S29, B01, 1
B01, Trade, 85901.883, 139, S02, B01, 1
B01, Trade, 85904.883, 125, S13, B01, 1
B01, Trade, 85910.200, 140, B01, S19, 1
B01, Trade, 85918.583, 137, S13, B01, 1
