B00, 100
B00, Trade, 85294.783, 118, B00, S23, 1
B00, Trade, 85302.750, 118, B00, S15, 1
B00, Trade, 85308.167, 116, B00, S27, 1
B00, Trade, 85327.233, 136, S05, B00, 1
B00, Trade, 85345.267, 120, S17, B00, 1
B00, Trade, 85355.733, 125, B00, S27, 1
B00, Trade, 85363.200, 140, S28, B00, 1
B00, Trade, 85371.367, 128, B00, S10, 1
B00, Trade, 85374.867, 135, B00, S23, 1
B00, Trade, 85383.833, 140, B00, S12, 1
B00, Trade, 85394.000, 130, B00, S04, 1
B00, Trade, 85397.700, 120, S07, B00, 1
B00, Trade, 85402.617, 136, S07, B00, 1
B00, Trade, 85427.917, 135, S09, B00, 1
B00, Trade, 85434.417, 132, S05, B00, 1
B00, Trade, 85438.183, 135, B00, S09, 1
B00, Trade, 85442.833, 127, B00, S14, 1
B00, Trade, 85470.050, 134, B00, S14, 1
B00, Trade, 85475.933, 138, S01, B00, 1
B00, Trade, 85502.533, 116, B00, S23, 1
B00, Trade, 85505.533, 122, S21, B00, 1
B00, Trade, 85519.783, 112, B00, S23, 1
B00, Trade, 85529.767, 127, B00, S12, 1
B00, Trade, 85535.717, 107, B00, S14, 1
B00, Trade, 85540.367, 128, B00, S10, 1
B00, Trade, 85564.083, 124, B00, S16, 1
B00, Trade, 85589.200, 121, B00, S22, 1
B00, Trade, 85607.333, 136, S17, B00, 1
B00, Trade, 85613.900, 112, B00, S12, 1
B00, Trade, 85619.000, 110, B00, S04, 1
B00, Trade, 85647.317, 124, B00, S03, 1
B00, Trade, 85654.633, 138, B00, S06, 1
B00, Trade, 85658.950, 139, B00, S18, 1
B00, Trade, 85664.517, 119, B00, S10, 1
B00, Trade, 85669.583, 130, S05, B00, 1
B00, Trade, 85681.000, 122, B00, S28, 1
B00, Trade, 85686.033, 118, S07, B00, 1
B00, Trade, 85693.150, 137, S28, B00, 1
B00, Trade, 85703.550, 134, B00, S16, 1
B00, Trade, 85704.533, 135, B00, S02, 1
B00, Trade, 85715.150, 129, S18, B00, 1
B00, Trade, 85721.867, 136, B00, S13, 1
B00, Trade, 85724.467, 119, B00, S04, 1
B00, Trade, 85731.783, 118, B00, S29, 1
B00, Trade, 85745.367, 125, B00, S13, 1
B00, Trade, 85751.133, 118, S19, B00, 1
B00, Trade, 85759.600, 140, B00, S05, 1
B00, Trade, 85763.867, 134, B00, S27, 1
B00, Trade, 85768.267, 131, S21, B00, 1
B00, Trade, 85783.367, 127, B00, S28, 1
B00, Trade, 85805.333, 114, B00, S00, 1
B00, Trade, 85813.750, 130, B00, S04, 1
B00, Trade, 85820.283, 129, S14, B00, 1
B00, Trade, 85839.700, 114, S05, B00, 1
B00, Trade, 85845.467, 129, B00, S17, 1
B00, Trade, 85852.050, 109, S21, B00, 1
B00, Trade, 85862.033, 131, B00, S23, 1
B00, Trade, 85905.333, 112, B00, S08, 1
B00, Trade, 85922.750, 128, B00, S12, 1
B00, Trade, 85955.717, 128, B00, S06, 1
B00, Trade, 85976.850, 120, B00, S14, 1
B00, Trade, 85987.400, 135, B00, S28, 1
B00, Trade, 85990.367, 130, B00, S06, 1
B00, Trade, 85992.783, 131, S01, B00, 1
B00, Trade, 86015.950, 129, B00, S07, 1
B00, Trade, 86016.900, 124, B00, S14, 1
B00, Trade, 86032.467, 105, B00, S04, 1
B00, Trade, 86050.467, 135, B00, S14, 1
B00, Trade, 86053.383, 133, B00, S00, 1
B00, Trade, 86060.500, 112, B00, S23, 1
B00, Trade, 86067.900, 122, S21, B00, 1
B00, Trade, 86082.067, 128, B00, S18, 1
B00, Trade, 86105.033, 140, B00, S10, 1
B00, Trade, 86111.117, 115, B00, S12, 1
B00, Trade, 86115.600, 110, B00, S06, 1
B00, Trade, 86121.683, 117, B00, S11, 1
B00, Trade, 86140.900, 130, B00, S05, 1
B00, Trade, 86163.917, 135, B00, S19, 1
B00, Trade, 86174.767, 131, B00, S23, 1
B00, Trade, 86203.150, 123, B00, S08, 1
B00, Trade, 86218.067, 140, B00, S23, 1
B00, Trade, 86238.967, 114, B00, S16, 1
B00, Trade, 86246.067, 139, B00, S06, 1
B00, Trade, 86249.933, 124, B00, S23, 1
B00, Trade, 86258.850, 116, B00, S27, 1
B00, Trade, 86270.817, 139, B00, S27, 1
B00, Trade, 86282.517, 124, B00, S06, 1
B00, Trade, 86290.400, 132, B00, S23, 1
B00, Trade, 86293.183, 135, B00, S18, 1
B00, Trade, 86306.233, 135, B00, S11, 1
B00, Trade, 86312.433, 129, B00, S18, 1
B00, Trade, 86319.100, 117, S25, B00, 1
B00, Trade, 86331.067, 133, B00, S18, 1
B00, Trade, 86339.067, 125, B00, S06, 1
B00, Trade, 86345.650, 130, B00, S06, 1
B00, Trade, 86368.700, 129, S01, B00, 1
B00, Trade, 86373.300, 131, B00, S27, 1
B00, Trade, 86382.767, 107, B00, S15, 1
B00, Trade, 86386.683, 124, B00, S23, 1
B00, Trade, 86398.733, 130, B00, S00, 1
B01, 100
B01, Trade, 84327.283, 106, S04, B01, 1
B01, Trade, 84373.083, 128, B01, S18, 1
B01, Trade, 84378.500, 127, B01, S15, 1
B01, Trade, 84394.533, 111, B01, S21, 1
B01, Trade, 84402.317, 114, B01, S23, 1
B01, Trade, 84429.550, 102, B01, S06, 1
B01, Trade, 84473.800, 119, B01, S13, 1
B01, Trade, 84500.833, 135, B01, S13, 1
B01, Trade, 84509.283, 134, B01, S00, 1
B01, Trade, 84515.783, 125, B01, S04, 1
B01, Trade, 84542.317, 127, B01, S08, 1
B01, Trade, 84567.667, 131, B01, S16, 1
B01, Trade, 84585.150, 118, B01, S16, 1
B01, Trade, 84591.817, 110, B01, S19, 1
B01, Trade, 84613.250, 115, S16, B01, 1
B01, Trade, 84637.450, 114, B01, S19, 1
B01, Trade, 84644.350, 128, S01, B01, 1
B01, Trade, 84650.817, 109, B01, S08, 1
B01, Trade, 84656.433, 100, S01, B01, 1
B01, Trade, 84660.350, 134, B01, S11, 1
B01, Trade, 84682.083, 102, B01, S06, 1
B01, Trade, 84698.333, 110, B01, S04, 1
B01, Trade, 84753.167, 129, B01, S10, 1
B01, Trade, 84765.517, 120, B01, S08, 1
B01, Trade, 84767.650, 122, B01, S00, 1
B01, Trade, 84780.350, 132, B01, S00, 1
B01, Trade, 84821.067, 123, B01, S27, 1
B01, Trade, 84832.983, 122, B01, S13, 1
B01, Trade, 84915.717, 128, S01, B01, 1
B01, Trade, 84938.633, 130, B01, S16, 1
B01, Trade, 84954.617, 108, S25, B01, 1
B01, Trade, 84956.550, 104, B01, S12, 1
B01, Trade, 84994.333, 105, S18, B01, 1
B01, Trade, 85014.867, 134, B01, S25, 1
B01, Trade, 85069.667, 115, B01, S28, 1
B01, Trade, 85121.200, 131, B01, S16, 1
B01, Trade, 85197.617, 119, B01, S08, 1
B01, Trade, 85200.483, 125, B01, S00, 1
B01, Trade, 85206.450, 123, B01, S04, 1
B01, Trade, 85213.050, 129, B01, S25, 1
B01, Trade, 85219.333, 114, B01, S23, 1
B01, Trade, 85233.017, 120, B01, S23, 1
B01, Trade, 85248.483, 136, B01, S04, 1
B01, Trade, 85258.100, 131, S20, B01, 1
B01, Trade, 85268.633, 103, B01, S11, 1
B01, Trade, 85279.967, 120, S28, B01, 1
B01, Trade, 85298.467, 126, B01, S10, 1
B01, Trade, 85307.983, 135, B01, S12, 1
B01, Trade, 85313.550, 129, S05, B01, 1
B01, Trade, 85357.967, 116, B01, S17, 1
B01, Trade, 85418.300, 134, S07, B01, 1
B01, Trade, 85456.417, 99, B01, S04, 1
B01, Trade, 85478.400, 128, B01, S16, 1
B01, Trade, 85501.500, 112, B01, S12, 1
B01, Trade, 85505.583, 123, S11, B01, 1
B01, Trade, 85515.900, 135, B01, S10, 1
B01, Trade, 85517.767, 130, B01, S08, 1
B01, Trade, 85524.267, 113, B01, S11, 1
B01, Trade, 85531.183, 134, B01, S20, 1
B01, Trade, 85536.450, 108, B01, S10, 1
B01, Trade, 85544.033, 124, B01, S07, 1
B01, Trade, 85546.750, 102, B01, S12, 1
B01, Trade, 85608.117, 118, B01, S15, 1
B01, Trade, 85667.017, 131, B01, S15, 1
B01, Trade, 85674.167, 133, B01, S23, 1
B01, Trade, 85682.383, 108, B01, S15, 1
B01, Trade, 85696.033, 110, B01, S23, 1
B01, Trade, 85715.850, 109, S01, B01, 1
B01, Trade, 85790.567, 128, S05, B01, 1
B01, Trade, 85796.633, 133, B01, S27, 1
B01, Trade, 85807.267, 130, B01, S16, 1
B01, Trade, 85836.283, 118, B01, S12, 1
B01, Trade, 85867.317, 132, B01, S03, 1
B01, Trade, 85888.000, 97, B01, S10, 1
B01, Trade, 85918.917, 134, B01, S11, 1
B01, Trade, 85961.333, 124, B01, S23, 1
B01, Trade, 85968.067, 137, B01, S04, 1
B01, Trade, 85974.667, 133, B01, S08, 1
B01, Trade, 85976.133, 112, S05, B01, 1
B01, Trade, 86011.017, 120, B01, S00, 1
B01, Trade, 86023.833, 121, B01, S08, 1
B01, Trade, 86031.833, 112, B01, S25, 1
B01, Trade, 86079.450, 108, B01, S10, 1
B01, Trade, 86118.233, 114, B01, S00, 1
B01, Trade, 86136.833, 125, B01, S18, 1
B01, Trade, 86157.317, 125, B01, S19, 1
B01, Trade, 86173.383, 114, B01, S17, 1
B01, Trade, 86197.767, 129, B01, S12, 1
B01, Trade, 86208.700, 133, S21, B01, 1
B01, Trade, 86216.633, 131, B01, S02, 1
B01, Trade, 86222.017, 111, B01, S06, 1
B01, Trade, 86225.467, 137, B01, S21, 1
B01, Trade, 86243.783, 133, S21, B01, 1
B01, Trade, 86263.050, 138, B01, S23, 1
B01, Trade, 86311.517, 130, B01, S06, 1
B01, Trade, 86317.967, 123, B01, S11, 1
B01, Trade, 86350.867, 104, S05, B01, 1
B01, Trade, 86370.283, 93, S03, B01, 1
B01, Trade, 86379.683, 120, S01, B01, 1
B01, Trade, 86385.250, 109, B01, S13, 1
B02, 100
B02, Trade, 85406.817, 130, B02, S27, 1
B02, Trade, 85415.650, 125, B02, S08, 1
B02, Trade, 85419.217, 135, B02, S29, 1
B02, Trade, 85428.967, 140, B02, S28, 1
B02, Trade, 85456.083, 118, B02, S27, 1
B02, Trade, 85463.017, 124, B02, S23, 1
B02, Trade, 85469.083, 135, B02, S23, 1
B02, Trade, 85477.117, 109, B02, S08, 1
B02, Trade, 85485.433, 131, B02, S08, 1
B02, Trade, 85488.867, 123, S18, B02, 1
B02, Trade, 85498.150, 122, B02, S28, 1
B02, Trade, 85502.367, 131, S19, B02, 1
B02, Trade, 85513.083, 129, B02, S04, 1
B02, Trade, 85516.983, 123, B02, S18, 1
B02, Trade, 85531.533, 129, B02, S17, 1
B02, Trade, 85534.317, 127, B02, S11, 1
B02, Trade, 85550.800, 128, S07, B02, 1
B02, Trade, 85555.467, 127, B02, S28, 1
B02, Trade, 85578.017, 140, S01, B02, 1
B02, Trade, 85580.383, 98, B02, S14, 1
B02, Trade, 85587.417, 135, B02, S15, 1
B02, Trade, 85606.650, 124, S05, B02, 1
B02, Trade, 85612.817, 140, B02, S04, 1
B02, Trade, 85631.567, 137, B02, S14, 1
B02, Trade, 85635.200, 128, B02, S27, 1
B02, Trade, 85642.517, 129, B02, S25, 1
B02, Trade, 85647.933, 129, B02, S00, 1
B02, Trade, 85654.950, 127, B02, S12, 1
B02, Trade, 85660.767, 124, B02, S12, 1
B02, Trade, 85666.100, 125, B02, S16, 1
B02, Trade, 85682.250, 109, B02, S10, 1
B02, Trade, 85684.783, 122, S22, B02, 1
B02, Trade, 85689.617, 138, B02, S15, 1
B02, Trade, 85699.150, 124, B02, S23, 1
B02, Trade, 85709.417, 129, B02, S05, 1
B02, Trade, 85714.433, 117, B02, S28, 1
B02, Trade, 85719.383, 126, B02, S25, 1
B02, Trade, 85727.050, 135, B02, S28, 1
B02, Trade, 85749.950, 133, S21, B02, 1
B02, Trade, 85753.500, 137, B02, S04, 1
B02, Trade, 85771.417, 136, S07, B02, 1
B02, Trade, 85776.717, 139, B02, S28, 1
B02, Trade, 85788.583, 124, S20, B02, 1
B02, Trade, 85790.617, 129, S07, B02, 1
B02, Trade, 85799.283, 118, S02, B02, 1
B02, Trade, 85808.483, 114, B02, S12, 1
B02, Trade, 85814.083, 126, S18, B02, 1
B02, Trade, 85817.917, 125, S05, B02, 1
B02, Trade, 85836.817, 127, S19, B02, 1
B02, Trade, 85841.767, 117, B02, S15, 1
B02, Trade, 85852.233, 111, S28, B02, 1
