t=,0, id=,B00, PRDE,actvstrat=,0.067257, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.918256, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.520980, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.539680, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.115534, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.748961, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.567463, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.334077, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.773295, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.823016, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.665776, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.775572, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.930335, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.616082, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.561758, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.791772, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.828836, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.809890, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.859225, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.128243, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.268123, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.448045, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.926050, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.107104, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.067257, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.930335, 
t=,3600, id=,B00, PRDE,actvstrat=,0.067257, actvprof=,1.451928, id=,B01, PRJADE,actvstrat=,0.918256, actvprof=,1.506649, id=,B02, PRJADE,actvstrat=,0.520980, actvprof=,2.203308, id=,B03, PRDE,actvstrat=,-0.539680, actvprof=,1.801924, id=,B04, PRJADE,actvstrat=,0.115534, actvprof=,1.482483, id=,B05, PRDE,actvstrat=,-0.748961, actvprof=,2.241918, id=,B06, PRDE,actvstrat=,0.567463, actvprof=,2.067476, id=,B07, PRJADE,actvstrat=,-0.334077, actvprof=,1.462483, id=,B08, PRDE,actvstrat=,0.773295, actvprof=,2.161642, id=,B09, PRJADE,actvstrat=,-0.823016, actvprof=,2.755801, id=,B10, PRDE,actvstrat=,0.665776, actvprof=,2.221363, id=,B11, PRJADE,actvstrat=,0.775572, actvprof=,2.158308, id=,S00, PRDE,actvstrat=,0.930335, actvprof=,11.432090, id=,S01, PRJADE,actvstrat=,0.616082, actvprof=,9.901274, id=,S02, PRDE,actvstrat=,-0.561758, actvprof=,3.623291, id=,S03, PRJADE,actvstrat=,0.791772, actvprof=,10.904596, id=,S04, PRDE,actvstrat=,0.828836, actvprof=,11.082927, id=,S05, PRJADE,actvstrat=,-0.809890, actvprof=,1.421928, id=,S06, PRDE,actvstrat=,0.859225, actvprof=,11.110983, id=,S07, PRDE,actvstrat=,0.128243, actvprof=,7.090473, id=,S08, PRDE,actvstrat=,-0.268123, actvprof=,4.522725, id=,S09, PRJADE,actvstrat=,-0.448045, actvprof=,4.132452, id=,S10, PRJADE,actvstrat=,-0.926050, actvprof=,0.874990, id=,S11, PRJADE,actvstrat=,-0.107104, actvprof=,5.563547, best_B_id=,B09, best_B_prof=,2.755801, best_B_strat=,-0.823016, best_S_id=,S00, best_S_prof=,11.432090, best_S_strat=,0.930335, 
t=,7200, id=,B00, PRDE,actvstrat=,0.447041, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.130696, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.814172, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.880432, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.774690, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.128054, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.615913, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.827152, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.879418, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.428706, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.393389, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.819596, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.183904, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.794152, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.558271, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.783677, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.113643, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.304792, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.074934, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.383183, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.926229, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.866256, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.964709, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.558130, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.447041, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.183904, 
t=,10800, id=,B00, PRDE,actvstrat=,0.447041, actvprof=,0.557203, id=,B01, PRJADE,actvstrat=,0.130696, actvprof=,0.532204, id=,B02, PRJADE,actvstrat=,-0.814172, actvprof=,0.757196, id=,B03, PRDE,actvstrat=,0.880432, actvprof=,0.954689, id=,B04, PRJADE,actvstrat=,0.774690, actvprof=,0.916635, id=,B05, PRDE,actvstrat=,0.128054, actvprof=,0.369432, id=,B06, PRDE,actvstrat=,0.615913, actvprof=,0.683865, id=,B07, PRJADE,actvstrat=,0.827152, actvprof=,0.866914, id=,B08, PRDE,actvstrat=,0.879418, actvprof=,0.904969, id=,B09, PRJADE,actvstrat=,-0.428706, actvprof=,0.370820, id=,B10, PRDE,actvstrat=,-0.393389, actvprof=,0.248047, id=,B11, PRJADE,actvstrat=,0.819596, actvprof=,0.870803, id=,S00, PRDE,actvstrat=,-0.183904, actvprof=,5.438422, id=,S01, PRJADE,actvstrat=,-0.794152, actvprof=,2.305476, id=,S02, PRDE,actvstrat=,-0.558271, actvprof=,4.512343, id=,S03, PRJADE,actvstrat=,-0.783677, actvprof=,2.518801, id=,S04, PRDE,actvstrat=,0.113643, actvprof=,8.258602, id=,S05, PRJADE,actvstrat=,-0.304792, actvprof=,5.202875, id=,S06, PRDE,actvstrat=,-0.074934, actvprof=,6.815319, id=,S07, PRDE,actvstrat=,-0.383183, actvprof=,4.695948, id=,S08, PRDE,actvstrat=,-0.926229, actvprof=,0.250825, id=,S09, PRJADE,actvstrat=,0.866256, actvprof=,13.191764, id=,S10, PRJADE,actvstrat=,-0.964709, actvprof=,0.412208, id=,S11, PRJADE,actvstrat=,0.558130, actvprof=,11.117670, best_B_id=,B03, best_B_prof=,0.954689, best_B_strat=,0.880432, best_S_id=,S09, best_S_prof=,13.191764, best_S_strat=,0.866256, 
t=,14400, id=,B00, PRDE,actvstrat=,0.596370, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.466182, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.616005, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.880432, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.289104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.442054, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.567463, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.252928, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.342927, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.517057, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.243232, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.472163, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.103011, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.740354, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.716364, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.065043, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.309462, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.371061, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.748282, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.383183, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.506653, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.333136, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.928620, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.558130, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.596370, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.103011, 
t=,18000, id=,B00, PRDE,actvstrat=,0.596370, actvprof=,2.065278, id=,B01, PRJADE,actvstrat=,0.466182, actvprof=,2.227222, id=,B02, PRJADE,actvstrat=,-0.616005, actvprof=,1.975833, id=,B03, PRDE,actvstrat=,0.880432, actvprof=,1.950000, id=,B04, PRJADE,actvstrat=,0.289104, actvprof=,2.037500, id=,B05, PRDE,actvstrat=,-0.442054, actvprof=,1.555556, id=,B06, PRDE,actvstrat=,0.567463, actvprof=,2.267500, id=,B07, PRJADE,actvstrat=,-0.252928, actvprof=,1.439167, id=,B08, PRDE,actvstrat=,-0.342927, actvprof=,1.616667, id=,B09, PRJADE,actvstrat=,0.517057, actvprof=,2.252222, id=,B10, PRDE,actvstrat=,0.243232, actvprof=,1.952778, id=,B11, PRJADE,actvstrat=,-0.472163, actvprof=,1.571111, id=,S00, PRDE,actvstrat=,0.103011, actvprof=,6.583056, id=,S01, PRJADE,actvstrat=,0.740354, actvprof=,10.252778, id=,S02, PRDE,actvstrat=,-0.716364, actvprof=,2.651944, id=,S03, PRJADE,actvstrat=,-0.065043, actvprof=,5.355556, id=,S04, PRDE,actvstrat=,0.309462, actvprof=,7.596944, id=,S05, PRJADE,actvstrat=,-0.371061, actvprof=,3.775000, id=,S06, PRDE,actvstrat=,0.748282, actvprof=,10.131944, id=,S07, PRDE,actvstrat=,-0.383183, actvprof=,3.376667, id=,S08, PRDE,actvstrat=,0.506653, actvprof=,8.714722, id=,S09, PRJADE,actvstrat=,-0.333136, actvprof=,3.846667, id=,S10, PRJADE,actvstrat=,-0.928620, actvprof=,0.918056, id=,S11, PRJADE,actvstrat=,0.558130, actvprof=,9.063611, best_B_id=,B06, best_B_prof=,2.267500, best_B_strat=,0.567463, best_S_id=,S01, best_S_prof=,10.252778, best_S_strat=,0.740354, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.062970, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.464874, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.569935, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.439231, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.732542, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.597756, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.788512, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.320399, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.076456, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.125939, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.039427, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.937693, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.329539, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.109285, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.931874, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.512484, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.670632, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.912745, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.409902, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.062970, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.062970, actvprof=,2.545307, id=,B01, PRJADE,actvstrat=,0.464874, actvprof=,2.882256, id=,B02, PRJADE,actvstrat=,0.569935, actvprof=,3.270871, id=,B03, PRDE,actvstrat=,-0.439231, actvprof=,2.643642, id=,B04, PRJADE,actvstrat=,0.732542, actvprof=,3.023091, id=,B05, PRDE,actvstrat=,-0.597756, actvprof=,3.249482, id=,B06, PRDE,actvstrat=,-0.788512, actvprof=,4.035047, id=,B07, PRJADE,actvstrat=,-0.320399, actvprof=,2.914756, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.052269, id=,B09, PRJADE,actvstrat=,-0.076456, actvprof=,2.671698, id=,B10, PRDE,actvstrat=,-0.125939, actvprof=,2.399194, id=,B11, PRJADE,actvstrat=,-0.039427, actvprof=,2.708920, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.388164, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,9.484832, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.199493, id=,S03, PRJADE,actvstrat=,0.937693, actvprof=,9.902337, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.630389, id=,S05, PRJADE,actvstrat=,-0.329539, actvprof=,3.120869, id=,S06, PRDE,actvstrat=,0.109285, actvprof=,5.629232, id=,S07, PRDE,actvstrat=,-0.931874, actvprof=,0.584451, id=,S08, PRDE,actvstrat=,-0.512484, actvprof=,2.350583, id=,S09, PRJADE,actvstrat=,0.670632, actvprof=,8.493154, id=,S10, PRJADE,actvstrat=,-0.912745, actvprof=,0.332504, id=,S11, PRJADE,actvstrat=,0.409902, actvprof=,7.022026, best_B_id=,B08, best_B_prof=,4.052269, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,9.902337, best_S_strat=,0.937693, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.062970, actvprof=,2.683349, id=,B01, PRJADE,actvstrat=,0.464874, actvprof=,3.083212, id=,B02, PRJADE,actvstrat=,0.569935, actvprof=,3.124046, id=,B03, PRDE,actvstrat=,-0.439231, actvprof=,2.734738, id=,B04, PRJADE,actvstrat=,0.732542, actvprof=,2.908489, id=,B05, PRDE,actvstrat=,-0.597756, actvprof=,3.190852, id=,B06, PRDE,actvstrat=,-0.788512, actvprof=,3.929884, id=,B07, PRJADE,actvstrat=,-0.320399, actvprof=,2.828211, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.080579, id=,B09, PRJADE,actvstrat=,-0.076456, actvprof=,2.685710, id=,B10, PRDE,actvstrat=,-0.125939, actvprof=,2.442097, id=,B11, PRJADE,actvstrat=,-0.039427, actvprof=,2.676127, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.509361, id=,S01, PRJADE,actvstrat=,1.000000, actvprof=,9.425749, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.171135, id=,S03, PRJADE,actvstrat=,0.937693, actvprof=,9.809779, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,9.606583, id=,S05, PRJADE,actvstrat=,-0.329539, actvprof=,3.045295, id=,S06, PRDE,actvstrat=,0.109285, actvprof=,5.590032, id=,S07, PRDE,actvstrat=,-0.931874, actvprof=,0.546809, id=,S08, PRDE,actvstrat=,-0.512484, actvprof=,2.488209, id=,S09, PRJADE,actvstrat=,0.670632, actvprof=,8.511299, id=,S10, PRJADE,actvstrat=,-0.912745, actvprof=,0.459169, id=,S11, PRJADE,actvstrat=,0.409902, actvprof=,6.958790, best_B_id=,B08, best_B_prof=,4.080579, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,9.809779, best_S_strat=,0.937693, 
t=,32400, id=,B00, PRDE,actvstrat=,0.067257, actvprof=,2.132272, id=,B01, PRJADE,actvstrat=,0.464014, actvprof=,2.573393, id=,B02, PRJADE,actvstrat=,-0.165049, actvprof=,2.004769, id=,B03, PRDE,actvstrat=,-0.439231, actvprof=,1.996991, id=,B04, PRJADE,actvstrat=,0.774690, actvprof=,2.368944, id=,B05, PRDE,actvstrat=,-0.597756, actvprof=,2.390889, id=,B06, PRDE,actvstrat=,-0.067930, actvprof=,2.153661, id=,B07, PRJADE,actvstrat=,-0.320399, actvprof=,1.861432, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.068960, id=,B09, PRJADE,actvstrat=,0.908483, actvprof=,1.900322, id=,B10, PRDE,actvstrat=,0.665776, actvprof=,2.380888, id=,B11, PRJADE,actvstrat=,-0.039427, actvprof=,2.003102, id=,S00, PRDE,actvstrat=,0.930335, actvprof=,10.324128, id=,S01, PRJADE,actvstrat=,0.616082, actvprof=,9.002431, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.133452, id=,S03, PRJADE,actvstrat=,0.937693, actvprof=,10.619690, id=,S04, PRDE,actvstrat=,0.113643, actvprof=,6.747101, id=,S05, PRJADE,actvstrat=,-0.216423, actvprof=,3.286465, id=,S06, PRDE,actvstrat=,-0.411178, actvprof=,3.415912, id=,S07, PRDE,actvstrat=,0.395475, actvprof=,8.019908, id=,S08, PRDE,actvstrat=,-0.707184, actvprof=,2.571448, id=,S09, PRJADE,actvstrat=,0.258175, actvprof=,6.520706, id=,S10, PRJADE,actvstrat=,-0.779692, actvprof=,1.720318, id=,S11, PRJADE,actvstrat=,0.279039, actvprof=,7.094053, best_B_id=,B08, best_B_prof=,3.068960, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,10.619690, best_S_strat=,0.937693, 
t=,36000, id=,B00, PRDE,actvstrat=,0.067257, actvprof=,2.025023, id=,B01, PRJADE,actvstrat=,0.464014, actvprof=,2.454612, id=,B02, PRJADE,actvstrat=,-0.165049, actvprof=,1.947939, id=,B03, PRDE,actvstrat=,-0.439231, actvprof=,1.977106, id=,B04, PRJADE,actvstrat=,0.774690, actvprof=,2.353222, id=,B05, PRDE,actvstrat=,-0.597756, actvprof=,2.301277, id=,B06, PRDE,actvstrat=,-0.067930, actvprof=,2.015579, id=,B07, PRJADE,actvstrat=,-0.320399, actvprof=,1.884466, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.957395, id=,B09, PRJADE,actvstrat=,0.908483, actvprof=,1.857244, id=,B10, PRDE,actvstrat=,0.665776, actvprof=,2.453362, id=,B11, PRJADE,actvstrat=,-0.039427, actvprof=,1.956828, id=,S00, PRDE,actvstrat=,0.930335, actvprof=,10.484149, id=,S01, PRJADE,actvstrat=,0.616082, actvprof=,9.045244, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.073670, id=,S03, PRJADE,actvstrat=,0.937693, actvprof=,10.669568, id=,S04, PRDE,actvstrat=,0.113643, actvprof=,6.539381, id=,S05, PRJADE,actvstrat=,-0.216423, actvprof=,3.569902, id=,S06, PRDE,actvstrat=,-0.411178, actvprof=,3.200731, id=,S07, PRDE,actvstrat=,0.395475, actvprof=,7.761757, id=,S08, PRDE,actvstrat=,-0.707184, actvprof=,2.622669, id=,S09, PRJADE,actvstrat=,0.258175, actvprof=,6.853829, id=,S10, PRJADE,actvstrat=,-0.779692, actvprof=,1.675714, id=,S11, PRJADE,actvstrat=,0.279039, actvprof=,7.064943, best_B_id=,B08, best_B_prof=,2.957395, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,10.669568, best_S_strat=,0.937693, 
