t=,1, id=,B00, PRJADE,actvstrat=,0.297705, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.516251, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.354288, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.307958, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.981068, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.668393, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.920190, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.097360, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.827244, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.110123, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.891493, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.013909, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.971481, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.645613, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.189077, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.671637, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.130102, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.426269, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.682779, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.794972, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.337519, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083889, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.501659, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.297705, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.971481, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.297705, actvprof=,2.179116, id=,B01, PRJADE,actvstrat=,0.516251, actvprof=,2.189672, id=,B02, PRDE,actvstrat=,0.354288, actvprof=,2.002731, id=,B03, PRJADE,actvstrat=,0.307958, actvprof=,2.077730, id=,B04, PRJADE,actvstrat=,-0.981068, actvprof=,2.209671, id=,B05, PRDE,actvstrat=,0.668393, actvprof=,2.369667, id=,B06, PRDE,actvstrat=,0.920190, actvprof=,1.748571, id=,B07, PRDE,actvstrat=,-0.097360, actvprof=,1.615240, id=,B08, PRJADE,actvstrat=,0.827244, actvprof=,2.077730, id=,B09, PRJADE,actvstrat=,-0.110123, actvprof=,1.661350, id=,B10, PRDE,actvstrat=,0.891493, actvprof=,1.776070, id=,B11, PRDE,actvstrat=,-0.013909, actvprof=,1.719405, id=,S00, PRDE,actvstrat=,-0.971481, actvprof=,1.774126, id=,S01, PRDE,actvstrat=,0.645613, actvprof=,10.100877, id=,S02, PRJADE,actvstrat=,0.189077, actvprof=,7.609268, id=,S03, PRJADE,actvstrat=,0.671637, actvprof=,10.440869, id=,S04, PRDE,actvstrat=,-0.130102, actvprof=,5.339321, id=,S05, PRJADE,actvstrat=,0.426269, actvprof=,9.280063, id=,S06, PRDE,actvstrat=,0.682779, actvprof=,10.007546, id=,S07, PRJADE,actvstrat=,-0.794972, actvprof=,2.013287, id=,S08, PRJADE,actvstrat=,-0.337519, actvprof=,4.101849, id=,S09, PRDE,actvstrat=,0.083889, actvprof=,7.457050, id=,S10, PRJADE,actvstrat=,0.501659, actvprof=,9.557557, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,11.155297, best_B_id=,B05, best_B_prof=,2.369667, best_B_strat=,0.668393, best_S_id=,S11, best_S_prof=,11.155297, best_S_strat=,0.785597, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.269132, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.926438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158278, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.095394, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.228947, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.845544, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.263564, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.589497, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.787397, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.661952, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.953209, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.100675, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.020491, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.285839, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.850242, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.191936, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.859966, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.944941, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.491663, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.882534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.843605, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.874901, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.269132, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.100675, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.269132, actvprof=,1.388317, id=,B01, PRJADE,actvstrat=,-0.926438, actvprof=,2.612470, id=,B02, PRDE,actvstrat=,-0.158278, actvprof=,1.169986, id=,B03, PRJADE,actvstrat=,-0.095394, actvprof=,1.260263, id=,B04, PRJADE,actvstrat=,0.228947, actvprof=,1.587759, id=,B05, PRDE,actvstrat=,0.845544, actvprof=,1.846645, id=,B06, PRDE,actvstrat=,0.263564, actvprof=,1.496649, id=,B07, PRDE,actvstrat=,-0.589497, actvprof=,1.712202, id=,B08, PRJADE,actvstrat=,0.787397, actvprof=,1.909145, id=,B09, PRJADE,actvstrat=,0.661952, actvprof=,2.171919, id=,B10, PRDE,actvstrat=,0.953209, actvprof=,1.035544, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,1.580815, id=,S00, PRDE,actvstrat=,-0.100675, actvprof=,5.401604, id=,S01, PRDE,actvstrat=,0.020491, actvprof=,6.186317, id=,S02, PRJADE,actvstrat=,-0.285839, actvprof=,4.479115, id=,S03, PRJADE,actvstrat=,-0.850242, actvprof=,1.016655, id=,S04, PRDE,actvstrat=,-0.191936, actvprof=,4.563003, id=,S05, PRJADE,actvstrat=,0.859966, actvprof=,11.615143, id=,S06, PRDE,actvstrat=,-0.944941, actvprof=,0.817768, id=,S07, PRJADE,actvstrat=,0.491663, actvprof=,9.196838, id=,S08, PRJADE,actvstrat=,0.882534, actvprof=,11.543478, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,10.717932, id=,S10, PRJADE,actvstrat=,0.843605, actvprof=,11.281258, id=,S11, PRDE,actvstrat=,-0.874901, actvprof=,0.696936, best_B_id=,B01, best_B_prof=,2.612470, best_B_strat=,-0.926438, best_S_id=,S05, best_S_prof=,11.615143, best_S_strat=,0.859966, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.926438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158278, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.653577, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.897818, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.170007, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.526447, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.589497, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.159408, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.661952, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.999838, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.100675, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.883452, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.229285, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.671637, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.191936, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.980162, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.689906, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.216163, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.679373, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.843605, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.231317, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.100675, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,2.421695, id=,B01, PRJADE,actvstrat=,-0.926438, actvprof=,3.534485, id=,B02, PRDE,actvstrat=,-0.158278, actvprof=,2.119191, id=,B03, PRJADE,actvstrat=,-0.653577, actvprof=,2.786699, id=,B04, PRJADE,actvstrat=,-0.897818, actvprof=,3.637820, id=,B05, PRDE,actvstrat=,0.170007, actvprof=,2.418361, id=,B06, PRDE,actvstrat=,-0.526447, actvprof=,2.495307, id=,B07, PRDE,actvstrat=,-0.589497, actvprof=,2.461140, id=,B08, PRJADE,actvstrat=,-0.159408, actvprof=,2.191692, id=,B09, PRJADE,actvstrat=,0.661952, actvprof=,2.855311, id=,B10, PRDE,actvstrat=,0.999838, actvprof=,0.994456, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,2.248082, id=,S00, PRDE,actvstrat=,-0.100675, actvprof=,4.121714, id=,S01, PRDE,actvstrat=,-0.883452, actvprof=,0.640841, id=,S02, PRJADE,actvstrat=,0.229285, actvprof=,6.832579, id=,S03, PRJADE,actvstrat=,0.671637, actvprof=,9.060938, id=,S04, PRDE,actvstrat=,-0.191936, actvprof=,3.912268, id=,S05, PRJADE,actvstrat=,0.980162, actvprof=,9.984004, id=,S06, PRDE,actvstrat=,-0.689906, actvprof=,2.530029, id=,S07, PRJADE,actvstrat=,0.216163, actvprof=,6.500075, id=,S08, PRJADE,actvstrat=,-0.679373, actvprof=,2.113913, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,9.243440, id=,S10, PRJADE,actvstrat=,0.843605, actvprof=,10.097895, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,9.799280, best_B_id=,B04, best_B_prof=,3.637820, best_B_strat=,-0.897818, best_S_id=,S10, best_S_prof=,10.097895, best_S_strat=,0.843605, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,2.434889, id=,B01, PRJADE,actvstrat=,-0.926438, actvprof=,3.798238, id=,B02, PRDE,actvstrat=,-0.158278, actvprof=,2.123913, id=,B03, PRJADE,actvstrat=,-0.653577, actvprof=,2.767115, id=,B04, PRJADE,actvstrat=,-0.897818, actvprof=,3.618097, id=,B05, PRDE,actvstrat=,0.170007, actvprof=,2.413222, id=,B06, PRDE,actvstrat=,-0.526447, actvprof=,2.499473, id=,B07, PRDE,actvstrat=,-0.589497, actvprof=,2.398500, id=,B08, PRJADE,actvstrat=,-0.159408, actvprof=,2.182247, id=,B09, PRJADE,actvstrat=,0.661952, actvprof=,2.884339, id=,B10, PRDE,actvstrat=,0.999838, actvprof=,0.959178, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,2.358638, id=,S00, PRDE,actvstrat=,-0.100675, actvprof=,4.174632, id=,S01, PRDE,actvstrat=,-0.883452, actvprof=,0.573340, id=,S02, PRJADE,actvstrat=,0.229285, actvprof=,6.653827, id=,S03, PRJADE,actvstrat=,0.671637, actvprof=,9.034827, id=,S04, PRDE,actvstrat=,-0.191936, actvprof=,3.732404, id=,S05, PRJADE,actvstrat=,0.980162, actvprof=,9.959282, id=,S06, PRDE,actvstrat=,-0.689906, actvprof=,2.339610, id=,S07, PRJADE,actvstrat=,0.216163, actvprof=,6.521325, id=,S08, PRJADE,actvstrat=,-0.679373, actvprof=,2.266971, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,9.477887, id=,S10, PRJADE,actvstrat=,0.843605, actvprof=,10.069422, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,9.759835, best_B_id=,B01, best_B_prof=,3.798238, best_B_strat=,-0.926438, best_S_id=,S10, best_S_prof=,10.069422, best_S_strat=,0.843605, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.303699, actvprof=,1.109748, id=,B01, PRJADE,actvstrat=,-0.481633, actvprof=,1.316142, id=,B02, PRDE,actvstrat=,0.961946, actvprof=,1.031413, id=,B03, PRJADE,actvstrat=,-0.104433, actvprof=,1.308364, id=,B04, PRJADE,actvstrat=,-0.179548, actvprof=,1.274474, id=,B05, PRDE,actvstrat=,0.529331, actvprof=,1.914767, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.792264, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.914489, id=,B08, PRJADE,actvstrat=,0.602037, actvprof=,1.831431, id=,B09, PRJADE,actvstrat=,0.352008, actvprof=,1.734762, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,1.898655, id=,B11, PRDE,actvstrat=,0.940154, actvprof=,1.156971, id=,S00, PRDE,actvstrat=,0.619661, actvprof=,10.256904, id=,S01, PRDE,actvstrat=,-0.216395, actvprof=,5.078729, id=,S02, PRJADE,actvstrat=,-1.000000, actvprof=,4.327878, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,12.312507, id=,S04, PRDE,actvstrat=,-0.459897, actvprof=,3.675641, id=,S05, PRJADE,actvstrat=,0.698773, actvprof=,10.938587, id=,S06, PRDE,actvstrat=,-0.338872, actvprof=,4.224542, id=,S07, PRJADE,actvstrat=,0.545080, actvprof=,10.276349, id=,S08, PRJADE,actvstrat=,-0.738671, actvprof=,3.027292, id=,S09, PRDE,actvstrat=,-0.326105, actvprof=,4.458437, id=,S10, PRJADE,actvstrat=,1.000000, actvprof=,11.799440, id=,S11, PRDE,actvstrat=,-0.381019, actvprof=,3.964814, best_B_id=,B05, best_B_prof=,1.914767, best_B_strat=,0.529331, best_S_id=,S03, best_S_prof=,12.312507, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.918822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.854083, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.587992, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.228947, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.632014, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.082574, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.412186, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.352008, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.526649, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.604901, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.216395, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.926405, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.250723, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.402712, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.157543, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.545080, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.882534, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.991766, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.231317, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.604901, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,2.263690, id=,B01, PRJADE,actvstrat=,0.918822, actvprof=,1.975069, id=,B02, PRDE,actvstrat=,-0.854083, actvprof=,3.600403, id=,B03, PRJADE,actvstrat=,-0.587992, actvprof=,2.442585, id=,B04, PRJADE,actvstrat=,0.228947, actvprof=,2.522032, id=,B05, PRDE,actvstrat=,0.632014, actvprof=,2.640369, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.217612, id=,B07, PRDE,actvstrat=,-0.082574, actvprof=,2.037293, id=,B08, PRJADE,actvstrat=,0.412186, actvprof=,2.765652, id=,B09, PRJADE,actvstrat=,0.352008, actvprof=,2.382583, id=,B10, PRDE,actvstrat=,-0.526649, actvprof=,2.183409, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,2.391472, id=,S00, PRDE,actvstrat=,-0.604901, actvprof=,2.632591, id=,S01, PRDE,actvstrat=,-0.216395, actvprof=,3.525400, id=,S02, PRJADE,actvstrat=,-0.926405, actvprof=,0.662245, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,10.288135, id=,S04, PRDE,actvstrat=,0.250723, actvprof=,6.752734, id=,S05, PRJADE,actvstrat=,0.402712, actvprof=,7.349700, id=,S06, PRDE,actvstrat=,0.157543, actvprof=,6.447446, id=,S07, PRJADE,actvstrat=,0.545080, actvprof=,8.479739, id=,S08, PRJADE,actvstrat=,0.882534, actvprof=,10.749540, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,9.993125, id=,S10, PRJADE,actvstrat=,-0.991766, actvprof=,3.119275, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,10.026181, best_B_id=,B02, best_B_prof=,3.600403, best_B_strat=,-0.854083, best_S_id=,S08, best_S_prof=,10.749540, best_S_strat=,0.882534, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.231317, actvprof=,2.378514, id=,B01, PRJADE,actvstrat=,0.918822, actvprof=,1.976979, id=,B02, PRDE,actvstrat=,-0.854083, actvprof=,3.543673, id=,B03, PRJADE,actvstrat=,-0.587992, actvprof=,2.421986, id=,B04, PRJADE,actvstrat=,0.228947, actvprof=,2.569628, id=,B05, PRDE,actvstrat=,0.632014, actvprof=,2.621851, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.240195, id=,B07, PRDE,actvstrat=,-0.082574, actvprof=,2.102537, id=,B08, PRJADE,actvstrat=,0.412186, actvprof=,2.627823, id=,B09, PRJADE,actvstrat=,0.352008, actvprof=,2.357958, id=,B10, PRDE,actvstrat=,-0.526649, actvprof=,2.349902, id=,B11, PRDE,actvstrat=,0.186238, actvprof=,2.380597, id=,S00, PRDE,actvstrat=,-0.604901, actvprof=,2.738381, id=,S01, PRDE,actvstrat=,-0.216395, actvprof=,3.406031, id=,S02, PRJADE,actvstrat=,-0.926405, actvprof=,0.597788, id=,S03, PRJADE,actvstrat=,1.000000, actvprof=,10.209344, id=,S04, PRDE,actvstrat=,0.250723, actvprof=,6.879703, id=,S05, PRJADE,actvstrat=,0.402712, actvprof=,7.536242, id=,S06, PRDE,actvstrat=,0.157543, actvprof=,6.170940, id=,S07, PRJADE,actvstrat=,0.545080, actvprof=,8.630983, id=,S08, PRJADE,actvstrat=,0.882534, actvprof=,10.652546, id=,S09, PRDE,actvstrat=,0.736456, actvprof=,9.752253, id=,S10, PRJADE,actvstrat=,-0.991766, actvprof=,3.124638, id=,S11, PRDE,actvstrat=,0.785597, actvprof=,10.009202, best_B_id=,B02, best_B_prof=,3.543673, best_B_strat=,-0.854083, best_S_id=,S08, best_S_prof=,10.652546, best_S_strat=,0.882534, 
