t=,0, id=,B00, PRJADE,actvstrat=,-0.439309, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.171279, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.866188, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.635078, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.196220, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.917918, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.285675, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.421340, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.541655, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.278945, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.619189, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.717734, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.036527, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.634975, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.481745, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.701606, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.925920, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.343733, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.853717, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.685359, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.821868, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.177122, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.132012, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.145511, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.439309, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.036527, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.439309, actvprof=,2.048262, id=,B01, PRDE,actvstrat=,-0.171279, actvprof=,1.904934, id=,B02, PRDE,actvstrat=,-0.866188, actvprof=,3.362383, id=,B03, PRDE,actvstrat=,0.635078, actvprof=,2.647686, id=,B04, PRDE,actvstrat=,-0.196220, actvprof=,2.016597, id=,B05, PRDE,actvstrat=,0.917918, actvprof=,2.043262, id=,B06, PRJADE,actvstrat=,-0.285675, actvprof=,1.889379, id=,B07, PRJADE,actvstrat=,0.421340, actvprof=,2.477970, id=,B08, PRJADE,actvstrat=,-0.541655, actvprof=,2.251033, id=,B09, PRDE,actvstrat=,-0.278945, actvprof=,1.941599, id=,B10, PRJADE,actvstrat=,-0.619189, actvprof=,2.242422, id=,B11, PRJADE,actvstrat=,-0.717734, actvprof=,2.642964, id=,S00, PRDE,actvstrat=,0.036527, actvprof=,5.921183, id=,S01, PRJADE,actvstrat=,0.634975, actvprof=,8.999132, id=,S02, PRDE,actvstrat=,-0.481745, actvprof=,3.910142, id=,S03, PRDE,actvstrat=,-0.701606, actvprof=,3.006285, id=,S04, PRJADE,actvstrat=,0.925920, actvprof=,9.726051, id=,S05, PRJADE,actvstrat=,0.343733, actvprof=,7.444464, id=,S06, PRJADE,actvstrat=,-0.853717, actvprof=,1.429395, id=,S07, PRJADE,actvstrat=,-0.685359, actvprof=,3.320718, id=,S08, PRDE,actvstrat=,-0.821868, actvprof=,1.851047, id=,S09, PRDE,actvstrat=,-0.177122, actvprof=,4.391514, id=,S10, PRJADE,actvstrat=,0.132012, actvprof=,6.743655, id=,S11, PRDE,actvstrat=,-0.145511, actvprof=,4.607062, best_B_id=,B02, best_B_prof=,3.362383, best_B_strat=,-0.866188, best_S_id=,S04, best_S_prof=,9.726051, best_S_strat=,0.925920, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.572223, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.670094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.991149, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365138, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.054527, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.764685, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.778304, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.747996, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.180135, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.399417, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.507907, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.742636, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.666671, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.040598, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.491090, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.882291, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.744891, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.073947, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.336090, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.469464, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.588938, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.673156, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.460735, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.572223, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.742636, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.572223, actvprof=,1.252763, id=,B01, PRDE,actvstrat=,-0.670094, actvprof=,1.196653, id=,B02, PRDE,actvstrat=,-0.991149, actvprof=,2.700802, id=,B03, PRDE,actvstrat=,0.365138, actvprof=,1.545815, id=,B04, PRDE,actvstrat=,-0.054527, actvprof=,1.238319, id=,B05, PRDE,actvstrat=,-0.764685, actvprof=,1.666647, id=,B06, PRJADE,actvstrat=,-0.778304, actvprof=,1.645814, id=,B07, PRJADE,actvstrat=,0.747996, actvprof=,2.073309, id=,B08, PRJADE,actvstrat=,0.180135, actvprof=,1.403595, id=,B09, PRDE,actvstrat=,0.399417, actvprof=,1.798313, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,2.286085, id=,B11, PRJADE,actvstrat=,-0.507907, actvprof=,1.039432, id=,S00, PRDE,actvstrat=,-0.742636, actvprof=,2.480527, id=,S01, PRJADE,actvstrat=,-0.666671, actvprof=,3.123575, id=,S02, PRDE,actvstrat=,-0.040598, actvprof=,5.126052, id=,S03, PRDE,actvstrat=,-0.491090, actvprof=,3.786623, id=,S04, PRJADE,actvstrat=,-0.882291, actvprof=,0.644993, id=,S05, PRJADE,actvstrat=,-0.744891, actvprof=,2.596637, id=,S06, PRJADE,actvstrat=,-0.073947, actvprof=,5.041331, id=,S07, PRJADE,actvstrat=,0.336090, actvprof=,7.582134, id=,S08, PRDE,actvstrat=,-0.469464, actvprof=,2.891078, id=,S09, PRDE,actvstrat=,0.588938, actvprof=,8.890730, id=,S10, PRJADE,actvstrat=,0.673156, actvprof=,9.524334, id=,S11, PRDE,actvstrat=,0.460735, actvprof=,8.196850, best_B_id=,B02, best_B_prof=,2.700802, best_B_strat=,-0.991149, best_S_id=,S10, best_S_prof=,9.524334, best_S_strat=,0.673156, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.853971, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.043437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.599230, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.426233, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.054527, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.764685, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.948335, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.747996, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.117390, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.771282, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.519179, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.985285, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.504826, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.040598, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.824956, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.427812, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.343733, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.728804, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.928036, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.745865, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.252234, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.414108, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.460735, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.853971, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.985285, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.853971, actvprof=,3.907965, id=,B01, PRDE,actvstrat=,0.043437, actvprof=,2.432166, id=,B02, PRDE,actvstrat=,-0.599230, actvprof=,2.924099, id=,B03, PRDE,actvstrat=,-0.426233, actvprof=,2.623550, id=,B04, PRDE,actvstrat=,-0.054527, actvprof=,2.450499, id=,B05, PRDE,actvstrat=,-0.764685, actvprof=,3.443531, id=,B06, PRJADE,actvstrat=,0.948335, actvprof=,2.251892, id=,B07, PRJADE,actvstrat=,0.747996, actvprof=,3.216037, id=,B08, PRJADE,actvstrat=,-0.117390, actvprof=,2.700771, id=,B09, PRDE,actvstrat=,-0.771282, actvprof=,3.557140, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,4.167126, id=,B11, PRJADE,actvstrat=,0.519179, actvprof=,3.086595, id=,S00, PRDE,actvstrat=,-0.985285, actvprof=,3.149372, id=,S01, PRJADE,actvstrat=,-0.504826, actvprof=,2.998819, id=,S02, PRDE,actvstrat=,-0.040598, actvprof=,4.553783, id=,S03, PRDE,actvstrat=,0.824956, actvprof=,9.254786, id=,S04, PRJADE,actvstrat=,0.427812, actvprof=,7.064559, id=,S05, PRJADE,actvstrat=,0.343733, actvprof=,6.463184, id=,S06, PRJADE,actvstrat=,0.728804, actvprof=,8.695077, id=,S07, PRJADE,actvstrat=,0.928036, actvprof=,9.394227, id=,S08, PRDE,actvstrat=,0.745865, actvprof=,8.900350, id=,S09, PRDE,actvstrat=,-0.252234, actvprof=,3.719081, id=,S10, PRJADE,actvstrat=,-0.414108, actvprof=,2.724104, id=,S11, PRDE,actvstrat=,0.460735, actvprof=,7.052059, best_B_id=,B10, best_B_prof=,4.167126, best_B_strat=,-0.905701, best_S_id=,S07, best_S_prof=,9.394227, best_S_strat=,0.928036, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.853971, actvprof=,3.950995, id=,B01, PRDE,actvstrat=,0.043437, actvprof=,2.514737, id=,B02, PRDE,actvstrat=,-0.599230, actvprof=,3.095435, id=,B03, PRDE,actvstrat=,-0.426233, actvprof=,2.726821, id=,B04, PRDE,actvstrat=,-0.054527, actvprof=,2.607793, id=,B05, PRDE,actvstrat=,-0.764685, actvprof=,3.460714, id=,B06, PRJADE,actvstrat=,0.948335, actvprof=,2.293763, id=,B07, PRJADE,actvstrat=,0.747996, actvprof=,3.191685, id=,B08, PRJADE,actvstrat=,-0.117390, actvprof=,2.721127, id=,B09, PRDE,actvstrat=,-0.771282, actvprof=,3.632104, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,4.161830, id=,B11, PRJADE,actvstrat=,0.519179, actvprof=,3.104324, id=,S00, PRDE,actvstrat=,-0.985285, actvprof=,3.317380, id=,S01, PRJADE,actvstrat=,-0.504826, actvprof=,2.965017, id=,S02, PRDE,actvstrat=,-0.040598, actvprof=,4.636693, id=,S03, PRDE,actvstrat=,0.824956, actvprof=,9.225609, id=,S04, PRJADE,actvstrat=,0.427812, actvprof=,7.254209, id=,S05, PRJADE,actvstrat=,0.343733, actvprof=,6.532538, id=,S06, PRJADE,actvstrat=,0.728804, actvprof=,8.648522, id=,S07, PRJADE,actvstrat=,0.928036, actvprof=,9.360332, id=,S08, PRDE,actvstrat=,0.745865, actvprof=,8.845190, id=,S09, PRDE,actvstrat=,-0.252234, actvprof=,3.539326, id=,S10, PRJADE,actvstrat=,-0.414108, actvprof=,2.955017, id=,S11, PRDE,actvstrat=,0.460735, actvprof=,7.137264, best_B_id=,B10, best_B_prof=,4.161830, best_B_strat=,-0.905701, best_S_id=,S07, best_S_prof=,9.360332, best_S_strat=,0.928036, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.691111, actvprof=,1.847778, id=,B01, PRDE,actvstrat=,-0.594040, actvprof=,1.703333, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.398889, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.235833, id=,B04, PRDE,actvstrat=,-0.100136, actvprof=,1.668333, id=,B05, PRDE,actvstrat=,-0.885690, actvprof=,2.866944, id=,B06, PRJADE,actvstrat=,-0.778304, actvprof=,2.261944, id=,B07, PRJADE,actvstrat=,0.668329, actvprof=,2.553889, id=,B08, PRJADE,actvstrat=,-0.456477, actvprof=,1.758889, id=,B09, PRDE,actvstrat=,0.870222, actvprof=,2.312500, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,3.216944, id=,B11, PRJADE,actvstrat=,-0.756136, actvprof=,2.201944, id=,S00, PRDE,actvstrat=,0.313594, actvprof=,6.866389, id=,S01, PRJADE,actvstrat=,-0.687133, actvprof=,3.049167, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.513889, id=,S03, PRDE,actvstrat=,0.278892, actvprof=,7.149722, id=,S04, PRJADE,actvstrat=,0.178547, actvprof=,6.429167, id=,S05, PRJADE,actvstrat=,-0.273427, actvprof=,3.971944, id=,S06, PRJADE,actvstrat=,0.452013, actvprof=,7.974167, id=,S07, PRJADE,actvstrat=,0.719702, actvprof=,9.684167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.660833, id=,S09, PRDE,actvstrat=,-0.680977, actvprof=,2.829722, id=,S10, PRJADE,actvstrat=,0.071744, actvprof=,6.264167, id=,S11, PRDE,actvstrat=,-0.251924, actvprof=,3.468333, best_B_id=,B02, best_B_prof=,3.398889, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.513889, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,-0.691111, actvprof=,1.774326, id=,B01, PRDE,actvstrat=,-0.594040, actvprof=,1.735853, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,3.394762, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,1.199042, id=,B04, PRDE,actvstrat=,-0.100136, actvprof=,1.640158, id=,B05, PRDE,actvstrat=,-0.885690, actvprof=,2.895172, id=,B06, PRJADE,actvstrat=,-0.778304, actvprof=,2.202248, id=,B07, PRJADE,actvstrat=,0.668329, actvprof=,2.425167, id=,B08, PRJADE,actvstrat=,-0.456477, actvprof=,1.715714, id=,B09, PRDE,actvstrat=,0.870222, actvprof=,2.220442, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,3.084063, id=,B11, PRJADE,actvstrat=,-0.756136, actvprof=,2.079607, id=,S00, PRDE,actvstrat=,0.313594, actvprof=,7.068276, id=,S01, PRJADE,actvstrat=,-0.687133, actvprof=,2.803088, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.643595, id=,S03, PRDE,actvstrat=,0.278892, actvprof=,7.295223, id=,S04, PRJADE,actvstrat=,0.178547, actvprof=,6.766745, id=,S05, PRJADE,actvstrat=,-0.273427, actvprof=,3.922962, id=,S06, PRJADE,actvstrat=,0.452013, actvprof=,8.009398, id=,S07, PRJADE,actvstrat=,0.719702, actvprof=,9.538444, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.596870, id=,S09, PRDE,actvstrat=,-0.680977, actvprof=,2.649614, id=,S10, PRJADE,actvstrat=,0.071744, actvprof=,6.211183, id=,S11, PRDE,actvstrat=,-0.251924, actvprof=,3.462540, best_B_id=,B02, best_B_prof=,3.394762, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,10.643595, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.572223, actvprof=,1.080858, id=,B01, PRDE,actvstrat=,-0.670094, actvprof=,1.135026, id=,B02, PRDE,actvstrat=,-0.991149, actvprof=,2.870066, id=,B03, PRDE,actvstrat=,-0.353719, actvprof=,1.082247, id=,B04, PRDE,actvstrat=,-0.100136, actvprof=,1.033913, id=,B05, PRDE,actvstrat=,-0.739591, actvprof=,1.061413, id=,B06, PRJADE,actvstrat=,-0.881473, actvprof=,1.828653, id=,B07, PRJADE,actvstrat=,0.668329, actvprof=,2.019491, id=,B08, PRJADE,actvstrat=,-0.456477, actvprof=,1.013079, id=,B09, PRDE,actvstrat=,0.399417, actvprof=,1.767819, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,2.036436, id=,B11, PRJADE,actvstrat=,-0.571097, actvprof=,1.105303, id=,S00, PRDE,actvstrat=,-0.589489, actvprof=,2.916734, id=,S01, PRJADE,actvstrat=,-0.853209, actvprof=,0.781963, id=,S02, PRDE,actvstrat=,-0.976749, actvprof=,1.351698, id=,S03, PRDE,actvstrat=,0.278892, actvprof=,6.687099, id=,S04, PRJADE,actvstrat=,0.145295, actvprof=,6.440982, id=,S05, PRJADE,actvstrat=,-0.950738, actvprof=,0.367509, id=,S06, PRJADE,actvstrat=,-0.305887, actvprof=,2.960069, id=,S07, PRJADE,actvstrat=,0.336090, actvprof=,7.268779, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.672631, id=,S09, PRDE,actvstrat=,-0.680977, actvprof=,2.602560, id=,S10, PRJADE,actvstrat=,0.673156, actvprof=,9.129934, id=,S11, PRDE,actvstrat=,-0.485238, actvprof=,2.720619, best_B_id=,B02, best_B_prof=,2.870066, best_B_strat=,-0.991149, best_S_id=,S10, best_S_prof=,9.129934, best_S_strat=,0.673156, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.572223, actvprof=,1.079028, id=,B01, PRDE,actvstrat=,-0.670094, actvprof=,1.125972, id=,B02, PRDE,actvstrat=,-0.991149, actvprof=,2.747083, id=,B03, PRDE,actvstrat=,-0.353719, actvprof=,1.018056, id=,B04, PRDE,actvstrat=,-0.100136, actvprof=,1.073194, id=,B05, PRDE,actvstrat=,-0.739591, actvprof=,1.156528, id=,B06, PRJADE,actvstrat=,-0.881473, actvprof=,1.820833, id=,B07, PRJADE,actvstrat=,0.668329, actvprof=,2.059722, id=,B08, PRJADE,actvstrat=,-0.456477, actvprof=,0.910833, id=,B09, PRDE,actvstrat=,0.399417, actvprof=,1.658056, id=,B10, PRJADE,actvstrat=,-0.905701, actvprof=,2.021806, id=,B11, PRJADE,actvstrat=,-0.571097, actvprof=,1.051250, id=,S00, PRDE,actvstrat=,-0.589489, actvprof=,2.878750, id=,S01, PRJADE,actvstrat=,-0.853209, actvprof=,0.837222, id=,S02, PRDE,actvstrat=,-0.976749, actvprof=,1.283611, id=,S03, PRDE,actvstrat=,0.278892, actvprof=,6.677917, id=,S04, PRJADE,actvstrat=,0.145295, actvprof=,6.483750, id=,S05, PRJADE,actvstrat=,-0.950738, actvprof=,0.394444, id=,S06, PRJADE,actvstrat=,-0.305887, actvprof=,3.098056, id=,S07, PRJADE,actvstrat=,0.336090, actvprof=,6.919722, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,5.673750, id=,S09, PRDE,actvstrat=,-0.680977, actvprof=,2.795417, id=,S10, PRJADE,actvstrat=,0.673156, actvprof=,9.074583, id=,S11, PRDE,actvstrat=,-0.485238, actvprof=,2.871528, best_B_id=,B02, best_B_prof=,2.747083, best_B_strat=,-0.991149, best_S_id=,S10, best_S_prof=,9.074583, best_S_strat=,0.673156, 
