t=,1, id=,B00, PRDE,actvstrat=,-0.002746, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.856575, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.818840, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.533025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.936429, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.437941, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.411109, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.927557, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.302446, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.166491, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.088593, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.447928, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.079661, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.948202, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.465575, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.680422, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.611974, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.413514, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.183379, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.650343, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.313207, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.601432, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.300469, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.438452, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.002746, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.079661, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.002746, actvprof=,2.922432, id=,B01, PRDE,actvstrat=,0.856575, actvprof=,2.848545, id=,B02, PRJADE,actvstrat=,0.818840, actvprof=,3.217703, id=,B03, PRDE,actvstrat=,-0.533025, actvprof=,2.764380, id=,B04, PRDE,actvstrat=,-0.936429, actvprof=,3.836856, id=,B05, PRJADE,actvstrat=,-0.437941, actvprof=,2.725215, id=,B06, PRJADE,actvstrat=,-0.411109, actvprof=,2.724104, id=,B07, PRDE,actvstrat=,-0.927557, actvprof=,3.911576, id=,B08, PRJADE,actvstrat=,-0.302446, actvprof=,2.599662, id=,B09, PRJADE,actvstrat=,-0.166491, actvprof=,2.532719, id=,B10, PRDE,actvstrat=,-0.088593, actvprof=,2.622162, id=,B11, PRJADE,actvstrat=,0.447928, actvprof=,3.176593, id=,S00, PRJADE,actvstrat=,-0.079661, actvprof=,5.642925, id=,S01, PRDE,actvstrat=,0.948202, actvprof=,8.986459, id=,S02, PRDE,actvstrat=,-0.465575, actvprof=,3.951020, id=,S03, PRJADE,actvstrat=,-0.680422, actvprof=,3.598250, id=,S04, PRJADE,actvstrat=,0.611974, actvprof=,8.402861, id=,S05, PRJADE,actvstrat=,0.413514, actvprof=,7.917595, id=,S06, PRDE,actvstrat=,-0.183379, actvprof=,4.533506, id=,S07, PRJADE,actvstrat=,0.650343, actvprof=,8.823407, id=,S08, PRJADE,actvstrat=,-0.313207, actvprof=,4.592949, id=,S09, PRDE,actvstrat=,0.601432, actvprof=,8.986181, id=,S10, PRDE,actvstrat=,-0.300469, actvprof=,4.464063, id=,S11, PRDE,actvstrat=,-0.438452, actvprof=,4.082961, best_B_id=,B07, best_B_prof=,3.911576, best_B_strat=,-0.927557, best_S_id=,S01, best_S_prof=,8.986459, best_S_strat=,0.948202, 
t=,7200, id=,B00, PRDE,actvstrat=,0.843240, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.676810, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.160084, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.052516, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.114724, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.120549, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.740641, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.232658, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.351209, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.417327, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.501818, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.664292, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.137278, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.176320, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.729695, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.806385, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.212459, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.539823, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.954500, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.212077, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.796131, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.958613, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.320682, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.726860, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.843240, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.137278, 
t=,10800, id=,B00, PRDE,actvstrat=,0.843240, actvprof=,2.210556, id=,B01, PRDE,actvstrat=,0.676810, actvprof=,2.410000, id=,B02, PRJADE,actvstrat=,0.160084, actvprof=,1.881389, id=,B03, PRDE,actvstrat=,-0.052516, actvprof=,1.645556, id=,B04, PRDE,actvstrat=,0.114724, actvprof=,1.945278, id=,B05, PRJADE,actvstrat=,-0.120549, actvprof=,1.540278, id=,B06, PRJADE,actvstrat=,-0.740641, actvprof=,2.465833, id=,B07, PRDE,actvstrat=,-0.232658, actvprof=,1.661111, id=,B08, PRJADE,actvstrat=,0.351209, actvprof=,1.924444, id=,B09, PRJADE,actvstrat=,-0.417327, actvprof=,1.569444, id=,B10, PRDE,actvstrat=,-0.501818, actvprof=,1.725278, id=,B11, PRJADE,actvstrat=,0.664292, actvprof=,2.415000, id=,S00, PRJADE,actvstrat=,0.137278, actvprof=,7.110000, id=,S01, PRDE,actvstrat=,-0.176320, actvprof=,5.208056, id=,S02, PRDE,actvstrat=,-0.729695, actvprof=,3.220833, id=,S03, PRJADE,actvstrat=,-0.806385, actvprof=,2.249444, id=,S04, PRJADE,actvstrat=,-0.212459, actvprof=,4.591389, id=,S05, PRJADE,actvstrat=,0.539823, actvprof=,9.278611, id=,S06, PRDE,actvstrat=,0.954500, actvprof=,10.586389, id=,S07, PRJADE,actvstrat=,0.212077, actvprof=,7.126111, id=,S08, PRJADE,actvstrat=,0.796131, actvprof=,10.384722, id=,S09, PRDE,actvstrat=,-0.958613, actvprof=,1.896111, id=,S10, PRDE,actvstrat=,-0.320682, actvprof=,4.504167, id=,S11, PRDE,actvstrat=,-0.726860, actvprof=,3.161111, best_B_id=,B06, best_B_prof=,2.465833, best_B_strat=,-0.740641, best_S_id=,S06, best_S_prof=,10.586389, best_S_strat=,0.954500, 
t=,14400, id=,B00, PRDE,actvstrat=,0.163756, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.860276, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.503785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.642508, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.396391, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.861557, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.393838, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.927557, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.271787, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.764829, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.501818, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.844929, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.137278, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.140826, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.422003, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.046870, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.993689, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.539823, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.954500, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.212077, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.065891, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.524182, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.320682, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.726860, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.163756, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.137278, 
t=,18000, id=,B00, PRDE,actvstrat=,0.163756, actvprof=,1.809188, id=,B01, PRDE,actvstrat=,0.860276, actvprof=,1.983079, id=,B02, PRJADE,actvstrat=,-0.503785, actvprof=,1.620574, id=,B03, PRDE,actvstrat=,-0.642508, actvprof=,2.037524, id=,B04, PRDE,actvstrat=,0.396391, actvprof=,2.152247, id=,B05, PRJADE,actvstrat=,0.861557, actvprof=,1.922244, id=,B06, PRJADE,actvstrat=,0.393838, actvprof=,2.153914, id=,B07, PRDE,actvstrat=,-0.927557, actvprof=,3.064202, id=,B08, PRJADE,actvstrat=,-0.271787, actvprof=,1.505017, id=,B09, PRJADE,actvstrat=,-0.764829, actvprof=,2.566419, id=,B10, PRDE,actvstrat=,-0.501818, actvprof=,1.852521, id=,B11, PRJADE,actvstrat=,0.844929, actvprof=,1.976967, id=,S00, PRJADE,actvstrat=,0.137278, actvprof=,7.054526, id=,S01, PRDE,actvstrat=,-0.140826, actvprof=,5.093948, id=,S02, PRDE,actvstrat=,-0.422003, actvprof=,3.891434, id=,S03, PRJADE,actvstrat=,0.046870, actvprof=,6.727022, id=,S04, PRJADE,actvstrat=,0.993689, actvprof=,10.632623, id=,S05, PRJADE,actvstrat=,0.539823, actvprof=,8.566766, id=,S06, PRDE,actvstrat=,0.954500, actvprof=,11.164018, id=,S07, PRJADE,actvstrat=,0.212077, actvprof=,7.467031, id=,S08, PRJADE,actvstrat=,-0.065891, actvprof=,5.733677, id=,S09, PRDE,actvstrat=,-0.524182, actvprof=,3.878378, id=,S10, PRDE,actvstrat=,-0.320682, actvprof=,4.565886, id=,S11, PRDE,actvstrat=,-0.726860, actvprof=,2.537529, best_B_id=,B07, best_B_prof=,3.064202, best_B_strat=,-0.927557, best_S_id=,S06, best_S_prof=,11.164018, best_S_strat=,0.954500, 
t=,21600, id=,B00, PRDE,actvstrat=,0.163756, actvprof=,1.739177, id=,B01, PRDE,actvstrat=,0.860276, actvprof=,1.923483, id=,B02, PRJADE,actvstrat=,-0.503785, actvprof=,1.765566, id=,B03, PRDE,actvstrat=,-0.642508, actvprof=,2.018206, id=,B04, PRDE,actvstrat=,0.396391, actvprof=,2.145985, id=,B05, PRJADE,actvstrat=,0.861557, actvprof=,1.932233, id=,B06, PRJADE,actvstrat=,0.393838, actvprof=,2.107790, id=,B07, PRDE,actvstrat=,-0.927557, actvprof=,3.090573, id=,B08, PRJADE,actvstrat=,-0.271787, actvprof=,1.603204, id=,B09, PRJADE,actvstrat=,-0.764829, actvprof=,2.549459, id=,B10, PRDE,actvstrat=,-0.501818, actvprof=,1.826122, id=,B11, PRJADE,actvstrat=,0.844929, actvprof=,2.057095, id=,S00, PRJADE,actvstrat=,0.137278, actvprof=,6.978790, id=,S01, PRDE,actvstrat=,-0.140826, actvprof=,4.968918, id=,S02, PRDE,actvstrat=,-0.422003, actvprof=,3.878078, id=,S03, PRJADE,actvstrat=,0.046870, actvprof=,6.782123, id=,S04, PRJADE,actvstrat=,0.993689, actvprof=,10.708534, id=,S05, PRJADE,actvstrat=,0.539823, actvprof=,9.012274, id=,S06, PRDE,actvstrat=,0.954500, actvprof=,11.024647, id=,S07, PRJADE,actvstrat=,0.212077, actvprof=,7.669628, id=,S08, PRJADE,actvstrat=,-0.065891, actvprof=,5.763228, id=,S09, PRDE,actvstrat=,-0.524182, actvprof=,3.909745, id=,S10, PRDE,actvstrat=,-0.320682, actvprof=,4.311553, id=,S11, PRDE,actvstrat=,-0.726860, actvprof=,2.478625, best_B_id=,B07, best_B_prof=,3.090573, best_B_strat=,-0.927557, best_S_id=,S06, best_S_prof=,11.024647, best_S_strat=,0.954500, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.508176, actvprof=,4.726166, id=,B01, PRDE,actvstrat=,-0.245315, actvprof=,4.277827, id=,B02, PRJADE,actvstrat=,-0.944586, actvprof=,4.510330, id=,B03, PRDE,actvstrat=,0.019426, actvprof=,3.677265, id=,B04, PRDE,actvstrat=,-0.063882, actvprof=,4.053102, id=,B05, PRJADE,actvstrat=,-0.196415, actvprof=,3.923934, id=,B06, PRJADE,actvstrat=,0.348203, actvprof=,4.138659, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.549740, id=,B08, PRJADE,actvstrat=,0.110739, actvprof=,3.709765, id=,B09, PRJADE,actvstrat=,-0.137058, actvprof=,4.076992, id=,B10, PRDE,actvstrat=,0.764256, actvprof=,3.849489, id=,B11, PRJADE,actvstrat=,0.565714, actvprof=,4.365884, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,8.925381, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.083716, id=,S02, PRDE,actvstrat=,0.871418, actvprof=,8.936492, id=,S03, PRJADE,actvstrat=,-0.269273, actvprof=,2.822255, id=,S04, PRJADE,actvstrat=,-0.069125, actvprof=,4.550886, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,8.977604, id=,S06, PRDE,actvstrat=,-0.641611, actvprof=,2.165858, id=,S07, PRJADE,actvstrat=,0.207524, actvprof=,5.562009, id=,S08, PRJADE,actvstrat=,0.495613, actvprof=,7.251751, id=,S09, PRDE,actvstrat=,0.712679, actvprof=,8.858991, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,9.150661, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,4.056714, best_B_id=,B00, best_B_prof=,4.726166, best_B_strat=,-0.508176, best_S_id=,S10, best_S_prof=,9.150661, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.508176, actvprof=,4.589610, id=,B01, PRDE,actvstrat=,-0.245315, actvprof=,4.135163, id=,B02, PRJADE,actvstrat=,-0.944586, actvprof=,4.652110, id=,B03, PRDE,actvstrat=,0.019426, actvprof=,3.647521, id=,B04, PRDE,actvstrat=,-0.063882, actvprof=,4.003912, id=,B05, PRJADE,actvstrat=,-0.196415, actvprof=,4.134885, id=,B06, PRJADE,actvstrat=,0.348203, actvprof=,4.170580, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.584454, id=,B08, PRJADE,actvstrat=,0.110739, actvprof=,3.869050, id=,B09, PRJADE,actvstrat=,-0.137058, actvprof=,4.200024, id=,B10, PRDE,actvstrat=,0.764256, actvprof=,3.802105, id=,B11, PRJADE,actvstrat=,0.565714, actvprof=,4.420303, id=,S00, PRJADE,actvstrat=,1.000000, actvprof=,8.798801, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.026719, id=,S02, PRDE,actvstrat=,0.871418, actvprof=,9.298526, id=,S03, PRJADE,actvstrat=,-0.269273, actvprof=,2.972239, id=,S04, PRJADE,actvstrat=,-0.069125, actvprof=,4.595860, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,8.878385, id=,S06, PRDE,actvstrat=,-0.641611, actvprof=,2.339180, id=,S07, PRJADE,actvstrat=,0.207524, actvprof=,5.694616, id=,S08, PRJADE,actvstrat=,0.495613, actvprof=,7.095041, id=,S09, PRDE,actvstrat=,0.712679, actvprof=,8.740328, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,8.949774, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,4.112663, best_B_id=,B02, best_B_prof=,4.652110, best_B_strat=,-0.944586, best_S_id=,S02, best_S_prof=,9.298526, best_S_strat=,0.871418, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.508176, actvprof=,2.988124, id=,B01, PRDE,actvstrat=,0.769757, actvprof=,2.755597, id=,B02, PRJADE,actvstrat=,0.160084, actvprof=,2.435560, id=,B03, PRDE,actvstrat=,-0.250413, actvprof=,2.441116, id=,B04, PRDE,actvstrat=,0.748236, actvprof=,2.792268, id=,B05, PRJADE,actvstrat=,-0.196415, actvprof=,2.558352, id=,B06, PRJADE,actvstrat=,0.348203, actvprof=,2.825605, id=,B07, PRDE,actvstrat=,-0.055845, actvprof=,2.376386, id=,B08, PRJADE,actvstrat=,0.110739, actvprof=,2.482232, id=,B09, PRJADE,actvstrat=,-0.417327, actvprof=,2.598634, id=,B10, PRDE,actvstrat=,0.944148, actvprof=,1.593796, id=,B11, PRJADE,actvstrat=,0.565714, actvprof=,2.994235, id=,S00, PRJADE,actvstrat=,-0.973918, actvprof=,2.039681, id=,S01, PRDE,actvstrat=,0.729303, actvprof=,9.953930, id=,S02, PRDE,actvstrat=,-0.729695, actvprof=,2.409446, id=,S03, PRJADE,actvstrat=,0.009838, actvprof=,6.152657, id=,S04, PRJADE,actvstrat=,0.759095, actvprof=,9.898090, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,10.237852, id=,S06, PRDE,actvstrat=,-0.523261, actvprof=,3.189814, id=,S07, PRJADE,actvstrat=,0.201744, actvprof=,6.871629, id=,S08, PRJADE,actvstrat=,0.796131, actvprof=,10.112559, id=,S09, PRDE,actvstrat=,0.712679, actvprof=,9.359417, id=,S10, PRDE,actvstrat=,0.576894, actvprof=,8.726010, id=,S11, PRDE,actvstrat=,-0.776783, actvprof=,1.886607, best_B_id=,B11, best_B_prof=,2.994235, best_B_strat=,0.565714, best_S_id=,S05, best_S_prof=,10.237852, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.508176, actvprof=,2.917530, id=,B01, PRDE,actvstrat=,0.769757, actvprof=,2.724047, id=,B02, PRJADE,actvstrat=,0.160084, actvprof=,2.467365, id=,B03, PRDE,actvstrat=,-0.250413, actvprof=,2.302911, id=,B04, PRDE,actvstrat=,0.748236, actvprof=,2.695156, id=,B05, PRJADE,actvstrat=,-0.196415, actvprof=,2.423612, id=,B06, PRJADE,actvstrat=,0.348203, actvprof=,2.803773, id=,B07, PRDE,actvstrat=,-0.055845, actvprof=,2.423612, id=,B08, PRJADE,actvstrat=,0.110739, actvprof=,2.463337, id=,B09, PRJADE,actvstrat=,-0.417327, actvprof=,2.545842, id=,B10, PRDE,actvstrat=,0.944148, actvprof=,1.602593, id=,B11, PRJADE,actvstrat=,0.565714, actvprof=,3.047815, id=,S00, PRJADE,actvstrat=,-0.973918, actvprof=,1.912888, id=,S01, PRDE,actvstrat=,0.729303, actvprof=,9.826402, id=,S02, PRDE,actvstrat=,-0.729695, actvprof=,2.474588, id=,S03, PRJADE,actvstrat=,0.009838, actvprof=,6.125354, id=,S04, PRJADE,actvstrat=,0.759095, actvprof=,9.938631, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,10.120169, id=,S06, PRDE,actvstrat=,-0.523261, actvprof=,3.082262, id=,S07, PRJADE,actvstrat=,0.201744, actvprof=,6.727334, id=,S08, PRJADE,actvstrat=,0.796131, actvprof=,10.128919, id=,S09, PRDE,actvstrat=,0.712679, actvprof=,9.412211, id=,S10, PRDE,actvstrat=,0.576894, actvprof=,8.798704, id=,S11, PRDE,actvstrat=,-0.776783, actvprof=,1.985809, best_B_id=,B11, best_B_prof=,3.047815, best_B_strat=,0.565714, best_S_id=,S08, best_S_prof=,10.128919, best_S_strat=,0.796131, 
