t=,1, id=,B00, PRDE,actvstrat=,0.383072, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.411357, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.237778, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.319102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.816229, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.360098, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.517747, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.783684, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.806556, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.638352, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.622778, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.016427, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.906252, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.174699, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.900590, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.847932, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.321540, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.182356, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.034780, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.003936, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.436195, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.572655, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.537771, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.630687, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.383072, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.906252, 
t=,3600, id=,B00, PRDE,actvstrat=,0.383072, actvprof=,2.784658, id=,B01, PRDE,actvstrat=,-0.411357, actvprof=,2.436888, id=,B02, PRJADE,actvstrat=,0.237778, actvprof=,2.482720, id=,B03, PRDE,actvstrat=,-0.319102, actvprof=,2.312169, id=,B04, PRDE,actvstrat=,-0.816229, actvprof=,3.580195, id=,B05, PRJADE,actvstrat=,-0.360098, actvprof=,2.178561, id=,B06, PRDE,actvstrat=,0.517747, actvprof=,2.780491, id=,B07, PRJADE,actvstrat=,-0.783684, actvprof=,3.450198, id=,B08, PRDE,actvstrat=,0.806556, actvprof=,2.701049, id=,B09, PRJADE,actvstrat=,0.638352, actvprof=,2.760769, id=,B10, PRJADE,actvstrat=,0.622778, actvprof=,2.871045, id=,B11, PRJADE,actvstrat=,0.016427, actvprof=,2.331890, id=,S00, PRDE,actvstrat=,0.906252, actvprof=,9.978658, id=,S01, PRJADE,actvstrat=,-0.174699, actvprof=,3.977408, id=,S02, PRDE,actvstrat=,-0.900590, actvprof=,0.841925, id=,S03, PRJADE,actvstrat=,0.847932, actvprof=,9.677276, id=,S04, PRJADE,actvstrat=,0.321540, actvprof=,6.903451, id=,S05, PRJADE,actvstrat=,0.182356, actvprof=,6.707623, id=,S06, PRDE,actvstrat=,0.034780, actvprof=,6.427907, id=,S07, PRDE,actvstrat=,0.003936, actvprof=,5.813477, id=,S08, PRDE,actvstrat=,0.436195, actvprof=,7.841207, id=,S09, PRJADE,actvstrat=,0.572655, actvprof=,8.651744, id=,S10, PRJADE,actvstrat=,0.537771, actvprof=,8.341196, id=,S11, PRDE,actvstrat=,-0.630687, actvprof=,2.987153, best_B_id=,B04, best_B_prof=,3.580195, best_B_strat=,-0.816229, best_S_id=,S00, best_S_prof=,9.978658, best_S_strat=,0.906252, 
t=,7200, id=,B00, PRDE,actvstrat=,0.421587, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.088616, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.836642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.758803, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.548932, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.183372, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.030456, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.777550, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.433689, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.605066, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.506601, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.766225, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.409160, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.696041, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.073347, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.166891, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.248847, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.749818, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982749, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.248326, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.458767, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.775650, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.421587, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.766225, 
t=,10800, id=,B00, PRDE,actvstrat=,0.421587, actvprof=,2.440556, id=,B01, PRDE,actvstrat=,0.088616, actvprof=,2.363889, id=,B02, PRJADE,actvstrat=,-0.836642, actvprof=,3.612222, id=,B03, PRDE,actvstrat=,0.758803, actvprof=,2.766944, id=,B04, PRDE,actvstrat=,-0.548932, actvprof=,2.573889, id=,B05, PRJADE,actvstrat=,0.183372, actvprof=,2.353333, id=,B06, PRDE,actvstrat=,0.030456, actvprof=,2.248333, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,2.845833, id=,B08, PRDE,actvstrat=,0.777550, actvprof=,2.683056, id=,B09, PRJADE,actvstrat=,-0.433689, actvprof=,2.168333, id=,B10, PRJADE,actvstrat=,0.605066, actvprof=,2.975278, id=,B11, PRJADE,actvstrat=,-0.506601, actvprof=,2.502500, id=,S00, PRDE,actvstrat=,0.766225, actvprof=,9.876667, id=,S01, PRJADE,actvstrat=,0.409160, actvprof=,7.653889, id=,S02, PRDE,actvstrat=,-0.696041, actvprof=,2.351944, id=,S03, PRJADE,actvstrat=,0.073347, actvprof=,6.269722, id=,S04, PRJADE,actvstrat=,-0.166891, actvprof=,4.062778, id=,S05, PRJADE,actvstrat=,0.248847, actvprof=,6.549722, id=,S06, PRDE,actvstrat=,0.749818, actvprof=,9.531389, id=,S07, PRDE,actvstrat=,0.982749, actvprof=,10.017500, id=,S08, PRDE,actvstrat=,0.248326, actvprof=,6.831944, id=,S09, PRJADE,actvstrat=,-0.458767, actvprof=,3.130833, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,4.618333, id=,S11, PRDE,actvstrat=,0.775650, actvprof=,10.015556, best_B_id=,B02, best_B_prof=,3.612222, best_B_strat=,-0.836642, best_S_id=,S07, best_S_prof=,10.017500, best_S_strat=,0.982749, 
t=,14400, id=,B00, PRDE,actvstrat=,0.166669, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.167079, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.970034, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.131648, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.608697, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.183372, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.888839, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.392673, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.426765, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.473857, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.436060, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.056770, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.748253, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.802135, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.905097, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.455140, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.629055, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.125805, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.150489, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.652484, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.572655, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.827448, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.166669, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.056770, 
t=,18000, id=,B00, PRDE,actvstrat=,0.166669, actvprof=,1.920089, id=,B01, PRDE,actvstrat=,-0.167079, actvprof=,1.536460, id=,B02, PRJADE,actvstrat=,-0.970034, actvprof=,2.699847, id=,B03, PRDE,actvstrat=,0.131648, actvprof=,1.547849, id=,B04, PRDE,actvstrat=,0.608697, actvprof=,2.165100, id=,B05, PRJADE,actvstrat=,0.183372, actvprof=,1.922033, id=,B06, PRDE,actvstrat=,0.888839, actvprof=,1.789527, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,2.203435, id=,B08, PRDE,actvstrat=,-0.392673, actvprof=,1.445622, id=,B09, PRJADE,actvstrat=,-0.426765, actvprof=,1.545627, id=,B10, PRJADE,actvstrat=,-0.473857, actvprof=,1.792305, id=,B11, PRJADE,actvstrat=,0.436060, actvprof=,2.152877, id=,S00, PRDE,actvstrat=,-0.056770, actvprof=,5.300523, id=,S01, PRJADE,actvstrat=,0.748253, actvprof=,10.244363, id=,S02, PRDE,actvstrat=,0.802135, actvprof=,10.699106, id=,S03, PRJADE,actvstrat=,-0.905097, actvprof=,0.504746, id=,S04, PRJADE,actvstrat=,0.455140, actvprof=,8.557618, id=,S05, PRJADE,actvstrat=,0.629055, actvprof=,9.578777, id=,S06, PRDE,actvstrat=,0.125805, actvprof=,6.595028, id=,S07, PRDE,actvstrat=,-0.150489, actvprof=,4.402704, id=,S08, PRDE,actvstrat=,-0.652484, actvprof=,3.102366, id=,S09, PRJADE,actvstrat=,0.572655, actvprof=,8.830687, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,4.425205, id=,S11, PRDE,actvstrat=,-0.827448, actvprof=,1.086995, best_B_id=,B02, best_B_prof=,2.699847, best_B_strat=,-0.970034, best_S_id=,S02, best_S_prof=,10.699106, best_S_strat=,0.802135, 
t=,21600, id=,B00, PRDE,actvstrat=,0.166669, actvprof=,1.885332, id=,B01, PRDE,actvstrat=,-0.167079, actvprof=,1.537822, id=,B02, PRJADE,actvstrat=,-0.970034, actvprof=,2.702995, id=,B03, PRDE,actvstrat=,0.131648, actvprof=,1.648381, id=,B04, PRDE,actvstrat=,0.608697, actvprof=,2.225064, id=,B05, PRJADE,actvstrat=,0.183372, actvprof=,1.882554, id=,B06, PRDE,actvstrat=,0.888839, actvprof=,1.771440, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,2.188119, id=,B08, PRDE,actvstrat=,-0.392673, actvprof=,1.470320, id=,B09, PRJADE,actvstrat=,-0.426765, actvprof=,1.564767, id=,B10, PRJADE,actvstrat=,-0.473857, actvprof=,1.699910, id=,B11, PRJADE,actvstrat=,0.436060, actvprof=,2.142562, id=,S00, PRDE,actvstrat=,-0.056770, actvprof=,5.317654, id=,S01, PRJADE,actvstrat=,0.748253, actvprof=,10.258075, id=,S02, PRDE,actvstrat=,0.802135, actvprof=,10.751839, id=,S03, PRJADE,actvstrat=,-0.905097, actvprof=,0.626407, id=,S04, PRJADE,actvstrat=,0.455140, actvprof=,8.414410, id=,S05, PRJADE,actvstrat=,0.629055, actvprof=,9.506942, id=,S06, PRDE,actvstrat=,0.125805, actvprof=,6.553106, id=,S07, PRDE,actvstrat=,-0.150489, actvprof=,4.579438, id=,S08, PRDE,actvstrat=,-0.652484, actvprof=,2.986336, id=,S09, PRJADE,actvstrat=,0.572655, actvprof=,8.850951, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,4.238595, id=,S11, PRDE,actvstrat=,-0.827448, actvprof=,1.133088, best_B_id=,B02, best_B_prof=,2.702995, best_B_strat=,-0.970034, best_S_id=,S02, best_S_prof=,10.751839, best_S_strat=,0.802135, 
t=,25200, id=,B00, PRDE,actvstrat=,0.463353, actvprof=,2.094010, id=,B01, PRDE,actvstrat=,0.745478, actvprof=,2.387916, id=,B02, PRJADE,actvstrat=,-0.913108, actvprof=,3.157127, id=,B03, PRDE,actvstrat=,0.316977, actvprof=,2.039285, id=,B04, PRDE,actvstrat=,-0.932579, actvprof=,3.114902, id=,B05, PRJADE,actvstrat=,-0.489025, actvprof=,1.692042, id=,B06, PRDE,actvstrat=,0.384533, actvprof=,2.143735, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,2.159569, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.853661, id=,B09, PRJADE,actvstrat=,-0.428780, actvprof=,1.802604, id=,B10, PRJADE,actvstrat=,-0.751964, actvprof=,2.393750, id=,B11, PRJADE,actvstrat=,-0.630089, actvprof=,2.004560, id=,S00, PRDE,actvstrat=,0.591957, actvprof=,9.171920, id=,S01, PRJADE,actvstrat=,0.570910, actvprof=,8.961074, id=,S02, PRDE,actvstrat=,-0.659502, actvprof=,2.505978, id=,S03, PRJADE,actvstrat=,-0.893199, actvprof=,0.678373, id=,S04, PRJADE,actvstrat=,0.093076, actvprof=,6.528433, id=,S05, PRJADE,actvstrat=,0.578291, actvprof=,8.963019, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.293709, id=,S07, PRDE,actvstrat=,0.335257, actvprof=,7.261531, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.736941, id=,S09, PRJADE,actvstrat=,-0.385380, actvprof=,3.281579, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,4.102182, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.900353, best_B_id=,B02, best_B_prof=,3.157127, best_B_strat=,-0.913108, best_S_id=,S06, best_S_prof=,11.293709, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.463353, actvprof=,2.151716, id=,B01, PRDE,actvstrat=,0.745478, actvprof=,2.233941, id=,B02, PRJADE,actvstrat=,-0.913108, actvprof=,3.255909, id=,B03, PRDE,actvstrat=,0.316977, actvprof=,2.103660, id=,B04, PRDE,actvstrat=,-0.932579, actvprof=,3.139239, id=,B05, PRJADE,actvstrat=,-0.489025, actvprof=,1.640732, id=,B06, PRDE,actvstrat=,0.384533, actvprof=,2.056575, id=,B07, PRJADE,actvstrat=,0.527443, actvprof=,2.181439, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.910577, id=,B09, PRJADE,actvstrat=,-0.428780, actvprof=,1.717123, id=,B10, PRJADE,actvstrat=,-0.751964, actvprof=,2.392278, id=,B11, PRJADE,actvstrat=,-0.630089, actvprof=,1.983796, id=,S00, PRDE,actvstrat=,0.591957, actvprof=,9.214241, id=,S01, PRJADE,actvstrat=,0.570910, actvprof=,9.006320, id=,S02, PRDE,actvstrat=,-0.659502, actvprof=,2.713257, id=,S03, PRJADE,actvstrat=,-0.893199, actvprof=,0.602931, id=,S04, PRJADE,actvstrat=,0.093076, actvprof=,6.379314, id=,S05, PRJADE,actvstrat=,0.578291, actvprof=,9.005764, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,11.141647, id=,S07, PRDE,actvstrat=,0.335257, actvprof=,7.413227, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,4.796778, id=,S09, PRJADE,actvstrat=,-0.385380, actvprof=,3.426190, id=,S10, PRJADE,actvstrat=,-0.205873, actvprof=,4.143429, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.947892, best_B_id=,B02, best_B_prof=,3.255909, best_B_strat=,-0.913108, best_S_id=,S06, best_S_prof=,11.141647, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.635345, actvprof=,2.165125, id=,B01, PRDE,actvstrat=,0.745478, actvprof=,2.414862, id=,B02, PRJADE,actvstrat=,-0.836642, actvprof=,3.031842, id=,B03, PRDE,actvstrat=,-0.085715, actvprof=,1.807882, id=,B04, PRDE,actvstrat=,-0.932579, actvprof=,3.598264, id=,B05, PRJADE,actvstrat=,-0.489025, actvprof=,2.009839, id=,B06, PRDE,actvstrat=,0.384533, actvprof=,2.262631, id=,B07, PRJADE,actvstrat=,-0.613555, actvprof=,1.902610, id=,B08, PRDE,actvstrat=,0.777550, actvprof=,2.449586, id=,B09, PRJADE,actvstrat=,-0.247849, actvprof=,1.733434, id=,B10, PRJADE,actvstrat=,0.605066, actvprof=,2.479866, id=,B11, PRJADE,actvstrat=,-0.630089, actvprof=,2.193460, id=,S00, PRDE,actvstrat=,-0.227330, actvprof=,3.456589, id=,S01, PRJADE,actvstrat=,0.886711, actvprof=,10.129197, id=,S02, PRDE,actvstrat=,0.585732, actvprof=,8.526605, id=,S03, PRJADE,actvstrat=,0.429475, actvprof=,7.409873, id=,S04, PRJADE,actvstrat=,-0.166891, actvprof=,3.751050, id=,S05, PRJADE,actvstrat=,-0.530979, actvprof=,2.566537, id=,S06, PRDE,actvstrat=,-0.115122, actvprof=,4.313861, id=,S07, PRDE,actvstrat=,0.335257, actvprof=,7.505990, id=,S08, PRDE,actvstrat=,0.592122, actvprof=,8.500492, id=,S09, PRJADE,actvstrat=,-0.898114, actvprof=,0.574478, id=,S10, PRJADE,actvstrat=,-0.590127, actvprof=,2.869333, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.263372, best_B_id=,B04, best_B_prof=,3.598264, best_B_strat=,-0.932579, best_S_id=,S11, best_S_prof=,10.263372, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.635345, actvprof=,2.086298, id=,B01, PRDE,actvstrat=,0.745478, actvprof=,2.379777, id=,B02, PRJADE,actvstrat=,-0.836642, actvprof=,3.065071, id=,B03, PRDE,actvstrat=,-0.085715, actvprof=,1.783097, id=,B04, PRDE,actvstrat=,-0.932579, actvprof=,3.418690, id=,B05, PRJADE,actvstrat=,-0.489025, actvprof=,1.896294, id=,B06, PRDE,actvstrat=,0.384533, actvprof=,2.204079, id=,B07, PRJADE,actvstrat=,-0.613555, actvprof=,1.976574, id=,B08, PRDE,actvstrat=,0.777550, actvprof=,2.432695, id=,B09, PRJADE,actvstrat=,-0.247849, actvprof=,1.696567, id=,B10, PRJADE,actvstrat=,0.605066, actvprof=,2.468946, id=,B11, PRJADE,actvstrat=,-0.630089, actvprof=,2.199773, id=,S00, PRDE,actvstrat=,-0.227330, actvprof=,3.601333, id=,S01, PRJADE,actvstrat=,0.886711, actvprof=,10.205653, id=,S02, PRDE,actvstrat=,0.585732, actvprof=,8.601032, id=,S03, PRJADE,actvstrat=,0.429475, actvprof=,7.453645, id=,S04, PRJADE,actvstrat=,-0.166891, actvprof=,3.765643, id=,S05, PRJADE,actvstrat=,-0.530979, actvprof=,2.684507, id=,S06, PRDE,actvstrat=,-0.115122, actvprof=,4.275655, id=,S07, PRDE,actvstrat=,0.335257, actvprof=,7.261001, id=,S08, PRDE,actvstrat=,0.592122, actvprof=,8.581171, id=,S09, PRJADE,actvstrat=,-0.898114, actvprof=,0.555152, id=,S10, PRJADE,actvstrat=,-0.590127, actvprof=,2.838955, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.192875, best_B_id=,B04, best_B_prof=,3.418690, best_B_strat=,-0.932579, best_S_id=,S01, best_S_prof=,10.205653, best_S_strat=,0.886711, 
