t=,1, id=,B00, PRJADE,actvstrat=,0.828239, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.842385, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.127632, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.695006, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.963287, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.719924, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.597129, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.994137, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.355584, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.295594, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.790069, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.601495, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.830049, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.314980, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.478120, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.922138, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.423270, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.880890, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.113791, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.847928, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.261635, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.076515, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.397975, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.782373, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.828239, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.830049, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.828239, actvprof=,1.826923, id=,B01, PRJADE,actvstrat=,0.842385, actvprof=,1.746924, id=,B02, PRJADE,actvstrat=,-0.127632, actvprof=,1.026655, id=,B03, PRDE,actvstrat=,0.695006, actvprof=,1.858034, id=,B04, PRDE,actvstrat=,0.963287, actvprof=,0.788324, id=,B05, PRJADE,actvstrat=,-0.719924, actvprof=,1.763591, id=,B06, PRJADE,actvstrat=,-0.597129, actvprof=,1.615815, id=,B07, PRDE,actvstrat=,0.994137, actvprof=,0.552216, id=,B08, PRDE,actvstrat=,0.355584, actvprof=,1.506927, id=,B09, PRDE,actvstrat=,-0.295594, actvprof=,1.058043, id=,B10, PRJADE,actvstrat=,-0.790069, actvprof=,2.293029, id=,B11, PRDE,actvstrat=,0.601495, actvprof=,1.794979, id=,S00, PRDE,actvstrat=,0.830049, actvprof=,11.869029, id=,S01, PRDE,actvstrat=,-0.314980, actvprof=,5.097719, id=,S02, PRDE,actvstrat=,0.478120, actvprof=,9.806275, id=,S03, PRJADE,actvstrat=,0.922138, actvprof=,12.051805, id=,S04, PRJADE,actvstrat=,0.423270, actvprof=,9.469890, id=,S05, PRDE,actvstrat=,-0.880890, actvprof=,0.854990, id=,S06, PRDE,actvstrat=,0.113791, actvprof=,7.855742, id=,S07, PRDE,actvstrat=,-0.847928, actvprof=,1.281374, id=,S08, PRJADE,actvstrat=,-0.261635, actvprof=,5.134107, id=,S09, PRJADE,actvstrat=,0.076515, actvprof=,7.714911, id=,S10, PRJADE,actvstrat=,0.397975, actvprof=,9.555167, id=,S11, PRJADE,actvstrat=,-0.782373, actvprof=,2.631914, best_B_id=,B10, best_B_prof=,2.293029, best_B_strat=,-0.790069, best_S_id=,S03, best_S_prof=,12.051805, best_S_strat=,0.922138, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.827599, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.784611, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.467574, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.184535, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.425055, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.421666, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.262216, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.267352, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.152550, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.170164, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.549836, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.401293, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.787242, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.835375, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.204902, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.173870, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.786698, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.800985, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.557558, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.460020, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.172171, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.535598, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.747938, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.827599, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.787242, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.827599, actvprof=,2.599970, id=,B01, PRJADE,actvstrat=,-0.784611, actvprof=,3.648847, id=,B02, PRJADE,actvstrat=,0.467574, actvprof=,2.748857, id=,B03, PRDE,actvstrat=,-0.184535, actvprof=,2.311084, id=,B04, PRDE,actvstrat=,0.425055, actvprof=,2.615803, id=,B05, PRJADE,actvstrat=,-0.421666, actvprof=,2.430527, id=,B06, PRJADE,actvstrat=,0.262216, actvprof=,2.675525, id=,B07, PRDE,actvstrat=,0.267352, actvprof=,2.711635, id=,B08, PRDE,actvstrat=,-0.152550, actvprof=,2.156364, id=,B09, PRDE,actvstrat=,0.170164, actvprof=,2.531360, id=,B10, PRJADE,actvstrat=,0.549836, actvprof=,2.914411, id=,B11, PRDE,actvstrat=,0.401293, actvprof=,2.913855, id=,S00, PRDE,actvstrat=,0.787242, actvprof=,9.579611, id=,S01, PRDE,actvstrat=,-0.835375, actvprof=,1.087210, id=,S02, PRDE,actvstrat=,-0.204902, actvprof=,4.063286, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,9.641555, id=,S04, PRJADE,actvstrat=,0.173870, actvprof=,6.119096, id=,S05, PRDE,actvstrat=,0.786698, actvprof=,9.754609, id=,S06, PRDE,actvstrat=,-0.800985, actvprof=,1.837201, id=,S07, PRDE,actvstrat=,0.557558, actvprof=,8.324626, id=,S08, PRJADE,actvstrat=,0.460020, actvprof=,8.003241, id=,S09, PRJADE,actvstrat=,-0.172171, actvprof=,3.656069, id=,S10, PRJADE,actvstrat=,0.535598, actvprof=,8.447402, id=,S11, PRJADE,actvstrat=,0.747938, actvprof=,9.670999, best_B_id=,B01, best_B_prof=,3.648847, best_B_strat=,-0.784611, best_S_id=,S05, best_S_prof=,9.754609, best_S_strat=,0.786698, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.827599, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.633507, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.422635, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.329413, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.425055, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.421666, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.262216, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.267352, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.790834, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.645725, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.011295, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.031621, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.943778, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.603355, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.478120, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.242107, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.345165, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.061323, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.557558, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.988142, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.402625, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.535598, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.991945, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.827599, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.943778, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.827599, actvprof=,2.668889, id=,B01, PRJADE,actvstrat=,0.633507, actvprof=,3.161389, id=,B02, PRJADE,actvstrat=,-0.422635, actvprof=,2.933611, id=,B03, PRDE,actvstrat=,-0.329413, actvprof=,2.768333, id=,B04, PRDE,actvstrat=,0.425055, actvprof=,3.107500, id=,B05, PRJADE,actvstrat=,-0.421666, actvprof=,2.839722, id=,B06, PRJADE,actvstrat=,0.262216, actvprof=,2.735278, id=,B07, PRDE,actvstrat=,0.267352, actvprof=,2.860000, id=,B08, PRDE,actvstrat=,-0.790834, actvprof=,4.108333, id=,B09, PRDE,actvstrat=,0.645725, actvprof=,3.243056, id=,B10, PRJADE,actvstrat=,-0.011295, actvprof=,2.708333, id=,B11, PRDE,actvstrat=,-0.031621, actvprof=,3.061944, id=,S00, PRDE,actvstrat=,-0.943778, actvprof=,1.398611, id=,S01, PRDE,actvstrat=,0.603355, actvprof=,8.365833, id=,S02, PRDE,actvstrat=,0.478120, actvprof=,7.714722, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,9.435556, id=,S04, PRJADE,actvstrat=,0.242107, actvprof=,6.253333, id=,S05, PRDE,actvstrat=,-0.345165, actvprof=,2.840556, id=,S06, PRDE,actvstrat=,-0.061323, actvprof=,4.930000, id=,S07, PRDE,actvstrat=,0.557558, actvprof=,8.018889, id=,S08, PRJADE,actvstrat=,0.988142, actvprof=,9.300556, id=,S09, PRJADE,actvstrat=,-0.402625, actvprof=,3.044167, id=,S10, PRJADE,actvstrat=,0.535598, actvprof=,7.747778, id=,S11, PRJADE,actvstrat=,0.991945, actvprof=,9.598056, best_B_id=,B08, best_B_prof=,4.108333, best_B_strat=,-0.790834, best_S_id=,S11, best_S_prof=,9.598056, best_S_strat=,0.991945, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.827599, actvprof=,2.680710, id=,B01, PRJADE,actvstrat=,0.633507, actvprof=,3.150990, id=,B02, PRJADE,actvstrat=,-0.422635, actvprof=,2.952517, id=,B03, PRDE,actvstrat=,-0.329413, actvprof=,2.731127, id=,B04, PRDE,actvstrat=,0.425055, actvprof=,3.070434, id=,B05, PRJADE,actvstrat=,-0.421666, actvprof=,2.916128, id=,B06, PRJADE,actvstrat=,0.262216, actvprof=,2.865711, id=,B07, PRDE,actvstrat=,0.267352, actvprof=,2.957378, id=,B08, PRDE,actvstrat=,-0.790834, actvprof=,4.033357, id=,B09, PRDE,actvstrat=,0.645725, actvprof=,3.147102, id=,B10, PRJADE,actvstrat=,-0.011295, actvprof=,2.691682, id=,B11, PRDE,actvstrat=,-0.031621, actvprof=,2.937239, id=,S00, PRDE,actvstrat=,-0.943778, actvprof=,1.357230, id=,S01, PRDE,actvstrat=,0.603355, actvprof=,8.451854, id=,S02, PRDE,actvstrat=,0.478120, actvprof=,7.575738, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,9.399777, id=,S04, PRJADE,actvstrat=,0.242107, actvprof=,6.353092, id=,S05, PRDE,actvstrat=,-0.345165, actvprof=,2.948906, id=,S06, PRDE,actvstrat=,-0.061323, actvprof=,4.869612, id=,S07, PRDE,actvstrat=,0.557558, actvprof=,8.162131, id=,S08, PRJADE,actvstrat=,0.988142, actvprof=,9.491444, id=,S09, PRJADE,actvstrat=,-0.402625, actvprof=,3.018767, id=,S10, PRJADE,actvstrat=,0.535598, actvprof=,7.762684, id=,S11, PRJADE,actvstrat=,0.991945, actvprof=,9.641722, best_B_id=,B08, best_B_prof=,4.033357, best_B_strat=,-0.790834, best_S_id=,S11, best_S_prof=,9.641722, best_S_strat=,0.991945, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.297219, actvprof=,2.876733, id=,B01, PRJADE,actvstrat=,-0.905651, actvprof=,4.134818, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,1.270863, id=,B03, PRDE,actvstrat=,-0.521165, actvprof=,3.494248, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.657862, id=,B05, PRJADE,actvstrat=,-0.006265, actvprof=,2.995903, id=,B06, PRJADE,actvstrat=,0.504659, actvprof=,3.422579, id=,B07, PRDE,actvstrat=,0.162684, actvprof=,2.910901, id=,B08, PRDE,actvstrat=,-0.632505, actvprof=,3.787032, id=,B09, PRDE,actvstrat=,0.904243, actvprof=,2.368666, id=,B10, PRJADE,actvstrat=,0.210215, actvprof=,3.152295, id=,B11, PRDE,actvstrat=,0.384610, actvprof=,3.330077, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.893840, id=,S01, PRDE,actvstrat=,0.201439, actvprof=,6.599597, id=,S02, PRDE,actvstrat=,0.220902, actvprof=,7.162388, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,9.723003, id=,S04, PRJADE,actvstrat=,0.523447, actvprof=,7.732957, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.066622, id=,S06, PRDE,actvstrat=,-0.071437, actvprof=,5.153730, id=,S07, PRDE,actvstrat=,0.281725, actvprof=,7.117387, id=,S08, PRJADE,actvstrat=,0.464254, actvprof=,7.773513, id=,S09, PRJADE,actvstrat=,-0.676692, actvprof=,2.398111, id=,S10, PRJADE,actvstrat=,-0.064743, actvprof=,4.375379, id=,S11, PRJADE,actvstrat=,1.000000, actvprof=,9.626612, best_B_id=,B01, best_B_prof=,4.134818, best_B_strat=,-0.905651, best_S_id=,S05, best_S_prof=,10.066622, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,-0.297219, actvprof=,2.923506, id=,B01, PRJADE,actvstrat=,-0.905651, actvprof=,4.146715, id=,B02, PRJADE,actvstrat=,1.000000, actvprof=,1.308487, id=,B03, PRDE,actvstrat=,-0.521165, actvprof=,3.464901, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.751016, id=,B05, PRJADE,actvstrat=,-0.006265, actvprof=,2.928506, id=,B06, PRJADE,actvstrat=,0.504659, actvprof=,3.481290, id=,B07, PRDE,actvstrat=,0.162684, actvprof=,3.166287, id=,B08, PRDE,actvstrat=,-0.632505, actvprof=,3.857545, id=,B09, PRDE,actvstrat=,0.904243, actvprof=,2.318082, id=,B10, PRJADE,actvstrat=,0.210215, actvprof=,3.152259, id=,B11, PRDE,actvstrat=,0.384610, actvprof=,3.298788, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.736085, id=,S01, PRDE,actvstrat=,0.201439, actvprof=,6.791329, id=,S02, PRDE,actvstrat=,0.220902, actvprof=,6.692439, id=,S03, PRJADE,actvstrat=,0.767882, actvprof=,9.683584, id=,S04, PRJADE,actvstrat=,0.523447, actvprof=,7.985509, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.979560, id=,S06, PRDE,actvstrat=,-0.071437, actvprof=,4.831445, id=,S07, PRDE,actvstrat=,0.281725, actvprof=,7.066332, id=,S08, PRJADE,actvstrat=,0.464254, actvprof=,7.750645, id=,S09, PRJADE,actvstrat=,-0.676692, actvprof=,2.432667, id=,S10, PRJADE,actvstrat=,-0.064743, actvprof=,4.516858, id=,S11, PRJADE,actvstrat=,1.000000, actvprof=,9.726501, best_B_id=,B01, best_B_prof=,4.146715, best_B_strat=,-0.905651, best_S_id=,S05, best_S_prof=,9.979560, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.509560, actvprof=,2.694291, id=,B01, PRJADE,actvstrat=,-0.905651, actvprof=,3.513218, id=,B02, PRJADE,actvstrat=,0.311957, actvprof=,2.599565, id=,B03, PRDE,actvstrat=,-0.627245, actvprof=,2.706236, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.680448, id=,B05, PRJADE,actvstrat=,-0.327484, actvprof=,2.023427, id=,B06, PRJADE,actvstrat=,-0.536170, actvprof=,2.567063, id=,B07, PRDE,actvstrat=,-0.890673, actvprof=,3.608500, id=,B08, PRDE,actvstrat=,-0.152550, actvprof=,2.151488, id=,B09, PRDE,actvstrat=,0.904243, actvprof=,2.109820, id=,B10, PRJADE,actvstrat=,0.641074, actvprof=,2.558730, id=,B11, PRDE,actvstrat=,0.384610, actvprof=,2.412334, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.224640, id=,S01, PRDE,actvstrat=,0.201439, actvprof=,6.239178, id=,S02, PRDE,actvstrat=,-0.498398, actvprof=,2.988749, id=,S03, PRJADE,actvstrat=,0.010545, actvprof=,5.692208, id=,S04, PRJADE,actvstrat=,0.173870, actvprof=,6.467244, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,9.989629, id=,S06, PRDE,actvstrat=,0.009822, actvprof=,5.713320, id=,S07, PRDE,actvstrat=,0.281725, actvprof=,7.167554, id=,S08, PRJADE,actvstrat=,-0.011817, actvprof=,5.883328, id=,S09, PRJADE,actvstrat=,0.927516, actvprof=,10.413815, id=,S10, PRJADE,actvstrat=,-0.354211, actvprof=,3.000694, id=,S11, PRJADE,actvstrat=,-0.022600, actvprof=,5.044122, best_B_id=,B04, best_B_prof=,3.680448, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,10.413815, best_S_strat=,0.927516, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.509560, actvprof=,2.651481, id=,B01, PRJADE,actvstrat=,-0.905651, actvprof=,3.503177, id=,B02, PRJADE,actvstrat=,0.311957, actvprof=,2.544811, id=,B03, PRDE,actvstrat=,-0.627245, actvprof=,2.661759, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,3.474565, id=,B05, PRJADE,actvstrat=,-0.327484, actvprof=,1.963957, id=,B06, PRJADE,actvstrat=,-0.536170, actvprof=,2.516754, id=,B07, PRDE,actvstrat=,-0.890673, actvprof=,3.512066, id=,B08, PRDE,actvstrat=,-0.152550, actvprof=,2.076878, id=,B09, PRDE,actvstrat=,0.904243, actvprof=,2.001597, id=,B10, PRJADE,actvstrat=,0.641074, actvprof=,2.612869, id=,B11, PRDE,actvstrat=,0.384610, actvprof=,2.426612, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.175076, id=,S01, PRDE,actvstrat=,0.201439, actvprof=,6.319664, id=,S02, PRDE,actvstrat=,-0.498398, actvprof=,2.792597, id=,S03, PRJADE,actvstrat=,0.010545, actvprof=,5.750477, id=,S04, PRJADE,actvstrat=,0.173870, actvprof=,6.191048, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,10.145213, id=,S06, PRDE,actvstrat=,0.009822, actvprof=,5.694920, id=,S07, PRDE,actvstrat=,0.281725, actvprof=,7.041217, id=,S08, PRJADE,actvstrat=,-0.011817, actvprof=,5.836592, id=,S09, PRJADE,actvstrat=,0.927516, actvprof=,10.367304, id=,S10, PRJADE,actvstrat=,-0.354211, actvprof=,3.122331, id=,S11, PRJADE,actvstrat=,-0.022600, actvprof=,5.198653, best_B_id=,B07, best_B_prof=,3.512066, best_B_strat=,-0.890673, best_S_id=,S09, best_S_prof=,10.367304, best_S_strat=,0.927516, 
