t=,1, id=,B00, PRJADE,actvstrat=,0.608211, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.887159, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.194523, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.060570, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.299632, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.115674, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.098034, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.298273, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.743086, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.135648, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.490656, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.072162, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.413828, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.206576, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.453162, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.423545, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.564870, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.726319, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.795335, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852761, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.564944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.950855, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.752969, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.065346, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.608211, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.413828, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.608211, actvprof=,3.317462, id=,B01, PRJADE,actvstrat=,-0.887159, actvprof=,4.161341, id=,B02, PRDE,actvstrat=,0.194523, actvprof=,3.061631, id=,B03, PRDE,actvstrat=,0.060570, actvprof=,2.682747, id=,B04, PRJADE,actvstrat=,-0.299632, actvprof=,2.597470, id=,B05, PRJADE,actvstrat=,0.115674, actvprof=,2.583026, id=,B06, PRDE,actvstrat=,-0.098034, actvprof=,2.714691, id=,B07, PRDE,actvstrat=,0.298273, actvprof=,2.869411, id=,B08, PRDE,actvstrat=,0.743086, actvprof=,3.052742, id=,B09, PRJADE,actvstrat=,0.135648, actvprof=,2.771079, id=,B10, PRJADE,actvstrat=,0.490656, actvprof=,3.080242, id=,B11, PRDE,actvstrat=,0.072162, actvprof=,2.868578, id=,S00, PRJADE,actvstrat=,0.413828, actvprof=,8.226294, id=,S01, PRDE,actvstrat=,-0.206576, actvprof=,5.214662, id=,S02, PRJADE,actvstrat=,0.453162, actvprof=,8.351292, id=,S03, PRJADE,actvstrat=,0.423545, actvprof=,8.077407, id=,S04, PRJADE,actvstrat=,-0.564870, actvprof=,4.718556, id=,S05, PRDE,actvstrat=,-0.726319, actvprof=,3.981065, id=,S06, PRJADE,actvstrat=,0.795335, actvprof=,9.802942, id=,S07, PRDE,actvstrat=,0.852761, actvprof=,9.527390, id=,S08, PRDE,actvstrat=,0.564944, actvprof=,8.931563, id=,S09, PRDE,actvstrat=,-0.950855, actvprof=,2.991354, id=,S10, PRJADE,actvstrat=,-0.752969, actvprof=,3.707179, id=,S11, PRDE,actvstrat=,-0.065346, actvprof=,6.508536, best_B_id=,B01, best_B_prof=,4.161341, best_B_strat=,-0.887159, best_S_id=,S06, best_S_prof=,9.802942, best_S_strat=,0.795335, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.908476, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.621508, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.749604, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.026538, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.030113, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.591552, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.120703, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.376988, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.761133, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.908383, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.403149, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.266379, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.771754, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.019216, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.887754, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.163042, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.040105, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.487949, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.863147, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.640854, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.787325, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.204335, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.532273, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.908476, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.266379, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.908476, actvprof=,1.701647, id=,B01, PRJADE,actvstrat=,-0.621508, actvprof=,1.989421, id=,B02, PRDE,actvstrat=,0.749604, actvprof=,2.341362, id=,B03, PRDE,actvstrat=,0.026538, actvprof=,1.682758, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,2.194141, id=,B05, PRJADE,actvstrat=,0.030113, actvprof=,1.711091, id=,B06, PRDE,actvstrat=,-0.591552, actvprof=,1.925533, id=,B07, PRDE,actvstrat=,0.120703, actvprof=,2.129142, id=,B08, PRDE,actvstrat=,-0.376988, actvprof=,1.634981, id=,B09, PRJADE,actvstrat=,0.761133, actvprof=,2.409417, id=,B10, PRJADE,actvstrat=,-0.908383, actvprof=,3.318295, id=,B11, PRDE,actvstrat=,0.403149, actvprof=,2.227752, id=,S00, PRJADE,actvstrat=,0.266379, actvprof=,7.538802, id=,S01, PRDE,actvstrat=,-0.771754, actvprof=,2.258585, id=,S02, PRJADE,actvstrat=,0.019216, actvprof=,6.624646, id=,S03, PRJADE,actvstrat=,-0.887754, actvprof=,0.963322, id=,S04, PRJADE,actvstrat=,-0.163042, actvprof=,4.842722, id=,S05, PRDE,actvstrat=,0.040105, actvprof=,6.411037, id=,S06, PRJADE,actvstrat=,-0.487949, actvprof=,3.612180, id=,S07, PRDE,actvstrat=,0.863147, actvprof=,10.841819, id=,S08, PRDE,actvstrat=,0.640854, actvprof=,9.198505, id=,S09, PRDE,actvstrat=,0.787325, actvprof=,10.589877, id=,S10, PRJADE,actvstrat=,-0.204335, actvprof=,4.168563, id=,S11, PRDE,actvstrat=,0.532273, actvprof=,8.949896, best_B_id=,B10, best_B_prof=,3.318295, best_B_strat=,-0.908383, best_S_id=,S07, best_S_prof=,10.841819, best_S_strat=,0.863147, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.947132, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.673899, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888271, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.284357, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.387423, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.593091, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.329920, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.137332, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.288253, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.543993, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.031145, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.266379, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.705050, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.019216, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.423545, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.106423, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.029178, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.827652, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.863147, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.192123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.015806, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.156650, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.532273, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.947132, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.266379, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.947132, actvprof=,2.097958, id=,B01, PRJADE,actvstrat=,-0.673899, actvprof=,3.904541, id=,B02, PRDE,actvstrat=,0.888271, actvprof=,2.586547, id=,B03, PRDE,actvstrat=,-0.284357, actvprof=,3.042359, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,4.077867, id=,B05, PRJADE,actvstrat=,0.387423, actvprof=,3.605389, id=,B06, PRDE,actvstrat=,0.593091, actvprof=,3.567613, id=,B07, PRDE,actvstrat=,0.329920, actvprof=,3.262349, id=,B08, PRDE,actvstrat=,-0.137332, actvprof=,3.246239, id=,B09, PRJADE,actvstrat=,-0.288253, actvprof=,2.973751, id=,B10, PRJADE,actvstrat=,0.543993, actvprof=,3.610111, id=,B11, PRDE,actvstrat=,-0.031145, actvprof=,3.274293, id=,S00, PRJADE,actvstrat=,0.266379, actvprof=,6.728855, id=,S01, PRDE,actvstrat=,0.705050, actvprof=,8.860701, id=,S02, PRJADE,actvstrat=,0.019216, actvprof=,5.929170, id=,S03, PRJADE,actvstrat=,0.423545, actvprof=,7.488264, id=,S04, PRJADE,actvstrat=,-0.106423, actvprof=,4.531735, id=,S05, PRDE,actvstrat=,-0.029178, actvprof=,5.089209, id=,S06, PRJADE,actvstrat=,0.827652, actvprof=,9.308736, id=,S07, PRDE,actvstrat=,0.863147, actvprof=,9.402065, id=,S08, PRDE,actvstrat=,0.192123, actvprof=,6.315263, id=,S09, PRDE,actvstrat=,0.015806, actvprof=,5.705014, id=,S10, PRJADE,actvstrat=,0.156650, actvprof=,6.258044, id=,S11, PRDE,actvstrat=,0.532273, actvprof=,7.972686, best_B_id=,B04, best_B_prof=,4.077867, best_B_strat=,-0.682888, best_S_id=,S07, best_S_prof=,9.402065, best_S_strat=,0.863147, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.947132, actvprof=,2.067929, id=,B01, PRJADE,actvstrat=,-0.673899, actvprof=,4.003357, id=,B02, PRDE,actvstrat=,0.888271, actvprof=,2.605293, id=,B03, PRDE,actvstrat=,-0.284357, actvprof=,2.873072, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,4.070024, id=,B05, PRJADE,actvstrat=,0.387423, actvprof=,3.443909, id=,B06, PRDE,actvstrat=,0.593091, actvprof=,3.677244, id=,B07, PRDE,actvstrat=,0.329920, actvprof=,3.309602, id=,B08, PRDE,actvstrat=,-0.137332, actvprof=,3.220158, id=,B09, PRJADE,actvstrat=,-0.288253, actvprof=,2.929600, id=,B10, PRJADE,actvstrat=,0.543993, actvprof=,3.591826, id=,B11, PRDE,actvstrat=,-0.031145, actvprof=,3.155018, id=,S00, PRJADE,actvstrat=,0.266379, actvprof=,6.772678, id=,S01, PRDE,actvstrat=,0.705050, actvprof=,8.849635, id=,S02, PRJADE,actvstrat=,0.019216, actvprof=,5.933923, id=,S03, PRJADE,actvstrat=,0.423545, actvprof=,7.568655, id=,S04, PRJADE,actvstrat=,-0.106423, actvprof=,4.462526, id=,S05, PRDE,actvstrat=,-0.029178, actvprof=,5.247530, id=,S06, PRJADE,actvstrat=,0.827652, actvprof=,9.243526, id=,S07, PRDE,actvstrat=,0.863147, actvprof=,9.500333, id=,S08, PRDE,actvstrat=,0.192123, actvprof=,6.387259, id=,S09, PRDE,actvstrat=,0.015806, actvprof=,5.932395, id=,S10, PRJADE,actvstrat=,0.156650, actvprof=,6.022118, id=,S11, PRDE,actvstrat=,0.532273, actvprof=,8.221992, best_B_id=,B04, best_B_prof=,4.070024, best_B_strat=,-0.682888, best_S_id=,S07, best_S_prof=,9.500333, best_S_strat=,0.863147, 
t=,25200, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,1.005289, id=,B01, PRJADE,actvstrat=,-0.169741, actvprof=,1.587241, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.873343, id=,B03, PRDE,actvstrat=,0.847014, actvprof=,2.059746, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,2.435584, id=,B05, PRJADE,actvstrat=,0.300423, actvprof=,2.403361, id=,B06, PRDE,actvstrat=,-0.986749, actvprof=,1.985023, id=,B07, PRDE,actvstrat=,0.295708, actvprof=,2.109469, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.029746, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,1.061123, id=,B10, PRJADE,actvstrat=,-0.148330, actvprof=,1.681686, id=,B11, PRDE,actvstrat=,-0.157969, actvprof=,1.908911, id=,S00, PRJADE,actvstrat=,0.677422, actvprof=,10.609289, id=,S01, PRDE,actvstrat=,-0.875484, actvprof=,1.199736, id=,S02, PRJADE,actvstrat=,0.843783, actvprof=,11.388465, id=,S03, PRJADE,actvstrat=,0.215472, actvprof=,7.758701, id=,S04, PRJADE,actvstrat=,-0.056264, actvprof=,6.569243, id=,S05, PRDE,actvstrat=,0.294241, actvprof=,8.386208, id=,S06, PRJADE,actvstrat=,0.472214, actvprof=,9.492610, id=,S07, PRDE,actvstrat=,-0.324184, actvprof=,4.562831, id=,S08, PRDE,actvstrat=,0.908132, actvprof=,11.996528, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.955891, id=,S10, PRJADE,actvstrat=,0.410955, actvprof=,9.405942, id=,S11, PRDE,actvstrat=,0.327164, actvprof=,8.402042, best_B_id=,B04, best_B_prof=,2.435584, best_B_strat=,-0.682888, best_S_id=,S08, best_S_prof=,11.996528, best_S_strat=,0.908132, 
t=,28800, id=,B00, PRJADE,actvstrat=,1.000000, actvprof=,0.955294, id=,B01, PRJADE,actvstrat=,-0.169741, actvprof=,1.627112, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.925988, id=,B03, PRDE,actvstrat=,0.847014, actvprof=,2.055730, id=,B04, PRJADE,actvstrat=,-0.682888, actvprof=,2.433931, id=,B05, PRJADE,actvstrat=,0.300423, actvprof=,2.141704, id=,B06, PRDE,actvstrat=,-0.986749, actvprof=,1.851838, id=,B07, PRDE,actvstrat=,0.295708, actvprof=,2.175593, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.027674, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,1.012518, id=,B10, PRJADE,actvstrat=,-0.148330, actvprof=,1.700863, id=,B11, PRDE,actvstrat=,-0.157969, actvprof=,1.762947, id=,S00, PRJADE,actvstrat=,0.677422, actvprof=,10.523099, id=,S01, PRDE,actvstrat=,-0.875484, actvprof=,1.068074, id=,S02, PRJADE,actvstrat=,0.843783, actvprof=,11.653397, id=,S03, PRJADE,actvstrat=,0.215472, actvprof=,7.640133, id=,S04, PRJADE,actvstrat=,-0.056264, actvprof=,6.501918, id=,S05, PRDE,actvstrat=,0.294241, actvprof=,8.389451, id=,S06, PRJADE,actvstrat=,0.472214, actvprof=,9.440303, id=,S07, PRDE,actvstrat=,-0.324184, actvprof=,4.478967, id=,S08, PRDE,actvstrat=,0.908132, actvprof=,12.006597, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.631747, id=,S10, PRJADE,actvstrat=,0.410955, actvprof=,9.281689, id=,S11, PRDE,actvstrat=,0.327164, actvprof=,8.559871, best_B_id=,B04, best_B_prof=,2.433931, best_B_strat=,-0.682888, best_S_id=,S08, best_S_prof=,12.006597, best_S_strat=,0.908132, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.908476, actvprof=,2.007593, id=,B01, PRJADE,actvstrat=,-0.982123, actvprof=,2.814019, id=,B02, PRDE,actvstrat=,0.749604, actvprof=,2.668735, id=,B03, PRDE,actvstrat=,0.247410, actvprof=,2.582620, id=,B04, PRJADE,actvstrat=,0.209339, actvprof=,2.713737, id=,B05, PRJADE,actvstrat=,0.493135, actvprof=,2.830409, id=,B06, PRDE,actvstrat=,-0.986749, actvprof=,2.807352, id=,B07, PRDE,actvstrat=,0.120703, actvprof=,2.482893, id=,B08, PRDE,actvstrat=,-0.376988, actvprof=,2.285106, id=,B09, PRJADE,actvstrat=,0.220295, actvprof=,2.500671, id=,B10, PRJADE,actvstrat=,0.182734, actvprof=,2.655679, id=,B11, PRDE,actvstrat=,-0.795820, actvprof=,3.179036, id=,S00, PRJADE,actvstrat=,0.957191, actvprof=,10.721607, id=,S01, PRDE,actvstrat=,-0.206576, actvprof=,3.885180, id=,S02, PRJADE,actvstrat=,0.843783, actvprof=,10.522987, id=,S03, PRJADE,actvstrat=,-0.158529, actvprof=,4.144636, id=,S04, PRJADE,actvstrat=,0.848882, actvprof=,10.381592, id=,S05, PRDE,actvstrat=,0.751548, actvprof=,9.996574, id=,S06, PRJADE,actvstrat=,-0.199419, actvprof=,4.013519, id=,S07, PRDE,actvstrat=,0.120678, actvprof=,6.313348, id=,S08, PRDE,actvstrat=,0.938444, actvprof=,10.701329, id=,S09, PRDE,actvstrat=,-0.949778, actvprof=,1.203111, id=,S10, PRJADE,actvstrat=,0.133215, actvprof=,6.701421, id=,S11, PRDE,actvstrat=,0.319970, actvprof=,7.536738, best_B_id=,B11, best_B_prof=,3.179036, best_B_strat=,-0.795820, best_S_id=,S00, best_S_prof=,10.721607, best_S_strat=,0.957191, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.908476, actvprof=,1.993773, id=,B01, PRJADE,actvstrat=,-0.982123, actvprof=,2.742948, id=,B02, PRDE,actvstrat=,0.749604, actvprof=,2.564752, id=,B03, PRDE,actvstrat=,0.247410, actvprof=,2.501140, id=,B04, PRJADE,actvstrat=,0.209339, actvprof=,2.481695, id=,B05, PRJADE,actvstrat=,0.493135, actvprof=,2.813227, id=,B06, PRDE,actvstrat=,-0.986749, actvprof=,2.769476, id=,B07, PRDE,actvstrat=,0.120703, actvprof=,2.314888, id=,B08, PRDE,actvstrat=,-0.376988, actvprof=,2.160581, id=,B09, PRJADE,actvstrat=,0.220295, actvprof=,2.418084, id=,B10, PRJADE,actvstrat=,0.182734, actvprof=,2.476140, id=,B11, PRDE,actvstrat=,-0.795820, actvprof=,3.279205, id=,S00, PRJADE,actvstrat=,0.957191, actvprof=,10.808181, id=,S01, PRDE,actvstrat=,-0.206576, actvprof=,3.807266, id=,S02, PRJADE,actvstrat=,0.843783, actvprof=,10.599845, id=,S03, PRJADE,actvstrat=,-0.158529, actvprof=,4.216715, id=,S04, PRJADE,actvstrat=,0.848882, actvprof=,10.428871, id=,S05, PRDE,actvstrat=,0.751548, actvprof=,10.152201, id=,S06, PRJADE,actvstrat=,-0.199419, actvprof=,3.905323, id=,S07, PRDE,actvstrat=,0.120678, actvprof=,6.389796, id=,S08, PRDE,actvstrat=,0.938444, actvprof=,10.826653, id=,S09, PRDE,actvstrat=,-0.949778, actvprof=,1.103346, id=,S10, PRJADE,actvstrat=,0.133215, actvprof=,6.485353, id=,S11, PRDE,actvstrat=,0.319970, actvprof=,7.584116, best_B_id=,B11, best_B_prof=,3.279205, best_B_strat=,-0.795820, best_S_id=,S08, best_S_prof=,10.826653, best_S_strat=,0.938444, 
