t=,0, id=,B00, PRDE,actvstrat=,0.942763, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.359997, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.124315, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.951876, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.261122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.119334, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.009414, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.920175, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.237283, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.470795, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.506446, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.546710, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.034654, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.534070, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.415122, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.954157, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.671398, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.872914, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.197554, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.372142, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.962295, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.919728, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.582470, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.538868, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.942763, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.034654, 
t=,3600, id=,B00, PRDE,actvstrat=,0.942763, actvprof=,1.261374, id=,B01, PRJADE,actvstrat=,0.359997, actvprof=,1.494705, id=,B02, PRJADE,actvstrat=,0.124315, actvprof=,1.206375, id=,B03, PRDE,actvstrat=,-0.951876, actvprof=,2.306084, id=,B04, PRJADE,actvstrat=,-0.261122, actvprof=,1.071654, id=,B05, PRDE,actvstrat=,0.119334, actvprof=,1.375540, id=,B06, PRJADE,actvstrat=,-0.009414, actvprof=,1.254985, id=,B07, PRDE,actvstrat=,0.920175, actvprof=,1.516927, id=,B08, PRJADE,actvstrat=,0.237283, actvprof=,1.527205, id=,B09, PRDE,actvstrat=,-0.470795, actvprof=,1.295818, id=,B10, PRJADE,actvstrat=,-0.506446, actvprof=,1.244708, id=,B11, PRDE,actvstrat=,-0.546710, actvprof=,1.208042, id=,S00, PRJADE,actvstrat=,0.034654, actvprof=,7.896853, id=,S01, PRDE,actvstrat=,-0.534070, actvprof=,5.467437, id=,S02, PRJADE,actvstrat=,0.415122, actvprof=,9.522112, id=,S03, PRDE,actvstrat=,-0.954157, actvprof=,1.652759, id=,S04, PRJADE,actvstrat=,-0.671398, actvprof=,4.237451, id=,S05, PRDE,actvstrat=,0.872914, actvprof=,11.270703, id=,S06, PRDE,actvstrat=,-0.197554, actvprof=,6.166040, id=,S07, PRDE,actvstrat=,-0.372142, actvprof=,4.865777, id=,S08, PRJADE,actvstrat=,-0.962295, actvprof=,1.903034, id=,S09, PRJADE,actvstrat=,-0.919728, actvprof=,1.469150, id=,S10, PRDE,actvstrat=,-0.582470, actvprof=,5.281050, id=,S11, PRJADE,actvstrat=,-0.538868, actvprof=,5.303272, best_B_id=,B03, best_B_prof=,2.306084, best_B_strat=,-0.951876, best_S_id=,S05, best_S_prof=,11.270703, best_S_strat=,0.872914, 
t=,7200, id=,B00, PRDE,actvstrat=,0.568410, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.789206, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.303128, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.663737, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.380846, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.988934, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.649866, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.386019, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.946105, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.893422, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.622254, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.521354, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.428648, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.980183, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.284545, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.506635, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.275531, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.815190, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.802611, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.278877, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.622511, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.813264, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.941599, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.568410, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.428648, 
t=,10800, id=,B00, PRDE,actvstrat=,0.568410, actvprof=,1.511927, id=,B01, PRJADE,actvstrat=,-0.789206, actvprof=,1.371095, id=,B02, PRJADE,actvstrat=,-0.303128, actvprof=,0.799713, id=,B03, PRDE,actvstrat=,-0.663737, actvprof=,1.080543, id=,B04, PRJADE,actvstrat=,0.380846, actvprof=,1.297485, id=,B05, PRDE,actvstrat=,-0.988934, actvprof=,1.956922, id=,B06, PRJADE,actvstrat=,0.649866, actvprof=,1.640814, id=,B07, PRDE,actvstrat=,0.386019, actvprof=,1.241652, id=,B08, PRJADE,actvstrat=,-0.946105, actvprof=,2.033588, id=,B09, PRDE,actvstrat=,0.893422, actvprof=,1.416372, id=,B10, PRJADE,actvstrat=,0.622254, actvprof=,1.513594, id=,B11, PRDE,actvstrat=,-0.521354, actvprof=,0.810546, id=,S00, PRJADE,actvstrat=,0.428648, actvprof=,9.391836, id=,S01, PRDE,actvstrat=,-0.980183, actvprof=,1.807479, id=,S02, PRJADE,actvstrat=,0.284545, actvprof=,8.643789, id=,S03, PRDE,actvstrat=,0.506635, actvprof=,9.942663, id=,S04, PRJADE,actvstrat=,-0.275531, actvprof=,5.313550, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,9.093506, id=,S06, PRDE,actvstrat=,-0.815190, actvprof=,2.568304, id=,S07, PRDE,actvstrat=,-0.802611, actvprof=,2.467471, id=,S08, PRJADE,actvstrat=,-0.278877, actvprof=,4.537170, id=,S09, PRJADE,actvstrat=,-0.622511, actvprof=,4.453004, id=,S10, PRDE,actvstrat=,0.813264, actvprof=,11.415979, id=,S11, PRJADE,actvstrat=,-0.941599, actvprof=,0.912212, best_B_id=,B08, best_B_prof=,2.033588, best_B_strat=,-0.946105, best_S_id=,S10, best_S_prof=,11.415979, best_S_strat=,0.813264, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.997653, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.094945, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.204029, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.304065, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.380846, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.774494, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.649866, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.198540, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.663445, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.645733, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.444578, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.835439, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.830708, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.767347, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.513893, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.453482, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.342904, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.116303, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.835849, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.284817, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.132618, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.812983, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.538868, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.997653, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.830708, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.997653, actvprof=,1.495209, id=,B01, PRJADE,actvstrat=,0.094945, actvprof=,0.835517, id=,B02, PRJADE,actvstrat=,-0.204029, actvprof=,0.461368, id=,B03, PRDE,actvstrat=,-0.304065, actvprof=,0.545530, id=,B04, PRJADE,actvstrat=,0.380846, actvprof=,0.994676, id=,B05, PRDE,actvstrat=,0.774494, actvprof=,1.182167, id=,B06, PRJADE,actvstrat=,0.649866, actvprof=,1.310495, id=,B07, PRDE,actvstrat=,-0.198540, actvprof=,0.621082, id=,B08, PRJADE,actvstrat=,0.663445, actvprof=,1.152724, id=,B09, PRDE,actvstrat=,0.645733, actvprof=,1.045785, id=,B10, PRJADE,actvstrat=,0.444578, actvprof=,1.028008, id=,B11, PRDE,actvstrat=,0.835439, actvprof=,1.237165, id=,S00, PRJADE,actvstrat=,-0.830708, actvprof=,2.136568, id=,S01, PRDE,actvstrat=,-0.767347, actvprof=,3.517059, id=,S02, PRJADE,actvstrat=,-0.513893, actvprof=,5.188926, id=,S03, PRDE,actvstrat=,-0.453482, actvprof=,5.310587, id=,S04, PRJADE,actvstrat=,0.342904, actvprof=,9.469284, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,9.584001, id=,S06, PRDE,actvstrat=,0.116303, actvprof=,7.993519, id=,S07, PRDE,actvstrat=,-0.835849, actvprof=,1.828804, id=,S08, PRJADE,actvstrat=,0.284817, actvprof=,9.790936, id=,S09, PRJADE,actvstrat=,-0.132618, actvprof=,6.288320, id=,S10, PRDE,actvstrat=,-0.812983, actvprof=,2.365724, id=,S11, PRJADE,actvstrat=,-0.538868, actvprof=,4.923939, best_B_id=,B00, best_B_prof=,1.495209, best_B_strat=,-0.997653, best_S_id=,S08, best_S_prof=,9.790936, best_S_strat=,0.284817, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.997653, actvprof=,1.540148, id=,B01, PRJADE,actvstrat=,0.094945, actvprof=,0.706671, id=,B02, PRJADE,actvstrat=,-0.204029, actvprof=,0.487364, id=,B03, PRDE,actvstrat=,-0.304065, actvprof=,0.556809, id=,B04, PRJADE,actvstrat=,0.380846, actvprof=,0.955978, id=,B05, PRDE,actvstrat=,0.774494, actvprof=,1.293619, id=,B06, PRJADE,actvstrat=,0.649866, actvprof=,1.210840, id=,B07, PRDE,actvstrat=,-0.198540, actvprof=,0.570837, id=,B08, PRJADE,actvstrat=,0.663445, actvprof=,1.156118, id=,B09, PRDE,actvstrat=,0.645733, actvprof=,1.080006, id=,B10, PRJADE,actvstrat=,0.444578, actvprof=,1.072367, id=,B11, PRDE,actvstrat=,0.835439, actvprof=,1.309035, id=,S00, PRJADE,actvstrat=,-0.830708, actvprof=,2.180985, id=,S01, PRDE,actvstrat=,-0.767347, actvprof=,3.415020, id=,S02, PRJADE,actvstrat=,-0.513893, actvprof=,5.290725, id=,S03, PRDE,actvstrat=,-0.453482, actvprof=,5.265308, id=,S04, PRJADE,actvstrat=,0.342904, actvprof=,9.527138, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,9.630195, id=,S06, PRDE,actvstrat=,0.116303, actvprof=,8.258103, id=,S07, PRDE,actvstrat=,-0.835849, actvprof=,2.035290, id=,S08, PRJADE,actvstrat=,0.284817, actvprof=,9.645611, id=,S09, PRJADE,actvstrat=,-0.132618, actvprof=,6.442815, id=,S10, PRDE,actvstrat=,-0.812983, actvprof=,2.568348, id=,S11, PRJADE,actvstrat=,-0.538868, actvprof=,5.045585, best_B_id=,B00, best_B_prof=,1.540148, best_B_strat=,-0.997653, best_S_id=,S08, best_S_prof=,9.645611, best_S_strat=,0.284817, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.065042, actvprof=,1.755020, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,3.027257, id=,B02, PRJADE,actvstrat=,-0.440081, actvprof=,1.402516, id=,B03, PRDE,actvstrat=,-0.074676, actvprof=,1.781410, id=,B04, PRJADE,actvstrat=,-0.091457, actvprof=,1.619741, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,3.055869, id=,B06, PRJADE,actvstrat=,0.550997, actvprof=,2.487807, id=,B07, PRDE,actvstrat=,0.141650, actvprof=,1.997523, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,2.898645, id=,B09, PRDE,actvstrat=,-0.379124, actvprof=,1.336960, id=,B10, PRJADE,actvstrat=,-0.133773, actvprof=,1.581685, id=,B11, PRDE,actvstrat=,-0.745679, actvprof=,1.545018, id=,S00, PRJADE,actvstrat=,0.097989, actvprof=,6.538409, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.671466, id=,S02, PRJADE,actvstrat=,-0.378179, actvprof=,3.392817, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.796745, id=,S04, PRJADE,actvstrat=,0.054949, actvprof=,6.131738, id=,S05, PRDE,actvstrat=,-0.410268, actvprof=,3.482540, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.222861, id=,S07, PRDE,actvstrat=,-0.278075, actvprof=,3.604486, id=,S08, PRJADE,actvstrat=,0.370083, actvprof=,7.291195, id=,S09, PRJADE,actvstrat=,-0.543469, actvprof=,2.983368, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,6.960636, id=,S11, PRJADE,actvstrat=,-0.742428, actvprof=,2.546418, best_B_id=,B05, best_B_prof=,3.055869, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,7.291195, best_S_strat=,0.370083, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.065042, actvprof=,1.656398, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,2.955017, id=,B02, PRJADE,actvstrat=,-0.440081, actvprof=,1.408619, id=,B03, PRDE,actvstrat=,-0.074676, actvprof=,1.704593, id=,B04, PRJADE,actvstrat=,-0.091457, actvprof=,1.573620, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.989323, id=,B06, PRJADE,actvstrat=,0.550997, actvprof=,2.555015, id=,B07, PRDE,actvstrat=,0.141650, actvprof=,1.994317, id=,B08, PRJADE,actvstrat=,-1.000000, actvprof=,2.934045, id=,B09, PRDE,actvstrat=,-0.379124, actvprof=,1.300563, id=,B10, PRJADE,actvstrat=,-0.133773, actvprof=,1.568898, id=,B11, PRDE,actvstrat=,-0.745679, actvprof=,1.500703, id=,S00, PRJADE,actvstrat=,0.097989, actvprof=,6.380037, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.870734, id=,S02, PRJADE,actvstrat=,-0.378179, actvprof=,3.255297, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.851845, id=,S04, PRJADE,actvstrat=,0.054949, actvprof=,6.247119, id=,S05, PRDE,actvstrat=,-0.410268, actvprof=,3.424603, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,7.064069, id=,S07, PRDE,actvstrat=,-0.278075, actvprof=,3.551132, id=,S08, PRJADE,actvstrat=,0.370083, actvprof=,7.366293, id=,S09, PRJADE,actvstrat=,-0.543469, actvprof=,3.098212, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,7.047124, id=,S11, PRJADE,actvstrat=,-0.742428, actvprof=,2.447375, best_B_id=,B05, best_B_prof=,2.989323, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,7.366293, best_S_strat=,0.370083, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.065042, actvprof=,2.645525, id=,B01, PRJADE,actvstrat=,-1.000000, actvprof=,4.003287, id=,B02, PRJADE,actvstrat=,-0.892440, actvprof=,3.016632, id=,B03, PRDE,actvstrat=,-0.092549, actvprof=,2.248030, id=,B04, PRJADE,actvstrat=,0.832088, actvprof=,3.235518, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,4.088842, id=,B06, PRJADE,actvstrat=,0.569488, actvprof=,3.013854, id=,B07, PRDE,actvstrat=,0.039349, actvprof=,2.546359, id=,B08, PRJADE,actvstrat=,-0.459596, actvprof=,2.134975, id=,B09, PRDE,actvstrat=,-0.379124, actvprof=,2.256641, id=,B10, PRJADE,actvstrat=,0.203414, actvprof=,2.818301, id=,B11, PRDE,actvstrat=,-0.745679, actvprof=,2.656914, id=,S00, PRJADE,actvstrat=,0.428648, actvprof=,7.258249, id=,S01, PRDE,actvstrat=,0.080262, actvprof=,5.772711, id=,S02, PRJADE,actvstrat=,0.603133, actvprof=,8.044351, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.260483, id=,S04, PRJADE,actvstrat=,0.868116, actvprof=,9.365447, id=,S05, PRDE,actvstrat=,0.372385, actvprof=,6.684089, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.518258, id=,S07, PRDE,actvstrat=,-0.372142, actvprof=,3.310239, id=,S08, PRJADE,actvstrat=,-0.278877, actvprof=,3.478293, id=,S09, PRJADE,actvstrat=,-0.622511, actvprof=,3.085520, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,6.692978, id=,S11, PRJADE,actvstrat=,0.129741, actvprof=,5.707712, best_B_id=,B05, best_B_prof=,4.088842, best_B_strat=,-1.000000, best_S_id=,S04, best_S_prof=,9.365447, best_S_strat=,0.868116, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.065042, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.327710, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.554330, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.214830, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.479589, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.467033, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.191023, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.059809, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.823152, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.379124, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.245856, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.440478, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.984445, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.213098, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.619412, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.275531, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.673224, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.547115, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.010273, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.220452, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.828589, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.237083, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.065042, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.440478, 
