t=,0, id=,B00, PRJADE,actvstrat=,0.619258, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.960528, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.560770, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.238646, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.755002, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.087770, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.644745, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.754072, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.160397, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.139471, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.816507, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.958612, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.080065, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.572549, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.310140, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.825074, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.143177, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.365015, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.598036, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.627723, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.464628, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.735964, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.030420, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.665793, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.619258, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.080065, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.619258, actvprof=,2.195808, id=,B01, PRJADE,actvstrat=,-0.960528, actvprof=,2.726635, id=,B02, PRJADE,actvstrat=,-0.560770, actvprof=,1.838590, id=,B03, PRDE,actvstrat=,-0.238646, actvprof=,1.509427, id=,B04, PRJADE,actvstrat=,-0.755002, actvprof=,2.090531, id=,B05, PRDE,actvstrat=,0.087770, actvprof=,1.656370, id=,B06, PRDE,actvstrat=,0.644745, actvprof=,2.238030, id=,B07, PRDE,actvstrat=,0.754072, actvprof=,2.248030, id=,B08, PRJADE,actvstrat=,0.160397, actvprof=,1.900534, id=,B09, PRDE,actvstrat=,0.139471, actvprof=,1.763313, id=,B10, PRJADE,actvstrat=,0.816507, actvprof=,2.203308, id=,B11, PRDE,actvstrat=,-0.958612, actvprof=,2.798579, id=,S00, PRDE,actvstrat=,0.080065, actvprof=,7.382970, id=,S01, PRDE,actvstrat=,-0.572549, actvprof=,4.232451, id=,S02, PRJADE,actvstrat=,-0.310140, actvprof=,5.395493, id=,S03, PRJADE,actvstrat=,-0.825074, actvprof=,2.423861, id=,S04, PRDE,actvstrat=,0.143177, actvprof=,8.149072, id=,S05, PRJADE,actvstrat=,-0.365015, actvprof=,5.502159, id=,S06, PRJADE,actvstrat=,0.598036, actvprof=,9.689610, id=,S07, PRJADE,actvstrat=,0.627723, actvprof=,9.607667, id=,S08, PRJADE,actvstrat=,-0.464628, actvprof=,4.926054, id=,S09, PRDE,actvstrat=,-0.735964, actvprof=,3.541626, id=,S10, PRDE,actvstrat=,-0.030420, actvprof=,6.912976, id=,S11, PRDE,actvstrat=,0.665793, actvprof=,10.087939, best_B_id=,B11, best_B_prof=,2.798579, best_B_strat=,-0.958612, best_S_id=,S11, best_S_prof=,10.087939, best_S_strat=,0.665793, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.047568, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.350643, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.489366, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.875098, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.250038, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.305967, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.119940, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.352046, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.895901, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.328194, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.952065, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.852762, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.486322, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.075574, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.042180, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.973804, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.823284, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.733410, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.353677, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.139005, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.926305, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.168660, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.176231, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.957697, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.047568, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.486322, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.047568, actvprof=,1.897756, id=,B01, PRJADE,actvstrat=,0.350643, actvprof=,2.243030, id=,B02, PRJADE,actvstrat=,0.489366, actvprof=,2.448583, id=,B03, PRDE,actvstrat=,0.875098, actvprof=,2.177475, id=,B04, PRJADE,actvstrat=,0.250038, actvprof=,2.009977, id=,B05, PRDE,actvstrat=,0.305967, actvprof=,2.086365, id=,B06, PRDE,actvstrat=,-0.119940, actvprof=,1.478594, id=,B07, PRDE,actvstrat=,-0.352046, actvprof=,1.577760, id=,B08, PRJADE,actvstrat=,-0.895901, actvprof=,3.179963, id=,B09, PRDE,actvstrat=,-0.328194, actvprof=,1.505816, id=,B10, PRJADE,actvstrat=,-0.952065, actvprof=,3.228018, id=,B11, PRDE,actvstrat=,-0.852762, actvprof=,2.686913, id=,S00, PRDE,actvstrat=,0.486322, actvprof=,8.539623, id=,S01, PRDE,actvstrat=,0.075574, actvprof=,6.842143, id=,S02, PRJADE,actvstrat=,-0.042180, actvprof=,6.084652, id=,S03, PRJADE,actvstrat=,-0.973804, actvprof=,2.283307, id=,S04, PRDE,actvstrat=,-0.823284, actvprof=,1.991366, id=,S05, PRJADE,actvstrat=,0.733410, actvprof=,9.749887, id=,S06, PRJADE,actvstrat=,0.353677, actvprof=,7.962686, id=,S07, PRJADE,actvstrat=,-0.139005, actvprof=,5.193551, id=,S08, PRJADE,actvstrat=,0.926305, actvprof=,10.550156, id=,S09, PRDE,actvstrat=,-0.168660, actvprof=,4.904388, id=,S10, PRDE,actvstrat=,-0.176231, actvprof=,4.704668, id=,S11, PRDE,actvstrat=,-0.957697, actvprof=,1.672203, best_B_id=,B10, best_B_prof=,3.228018, best_B_strat=,-0.952065, best_S_id=,S08, best_S_prof=,10.550156, best_S_strat=,0.926305, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.579423, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.242576, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.469246, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.508201, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.250038, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.967255, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.119940, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.401926, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.375890, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.756607, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.426043, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.947656, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.039242, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.329700, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.755705, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.323141, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.680835, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.691337, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.419978, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.213718, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.487926, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.659552, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.668853, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.579423, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.039242, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.579423, actvprof=,1.889722, id=,B01, PRJADE,actvstrat=,0.242576, actvprof=,1.629444, id=,B02, PRJADE,actvstrat=,0.469246, actvprof=,1.927500, id=,B03, PRDE,actvstrat=,-0.508201, actvprof=,1.237778, id=,B04, PRJADE,actvstrat=,0.250038, actvprof=,1.543611, id=,B05, PRDE,actvstrat=,0.967255, actvprof=,0.928889, id=,B06, PRDE,actvstrat=,-0.119940, actvprof=,1.302778, id=,B07, PRDE,actvstrat=,-0.401926, actvprof=,1.283056, id=,B08, PRJADE,actvstrat=,-0.375890, actvprof=,1.258333, id=,B09, PRDE,actvstrat=,-0.756607, actvprof=,2.012778, id=,B10, PRJADE,actvstrat=,0.426043, actvprof=,1.731389, id=,B11, PRDE,actvstrat=,-0.947656, actvprof=,2.630000, id=,S00, PRDE,actvstrat=,-0.039242, actvprof=,5.775556, id=,S01, PRDE,actvstrat=,0.329700, actvprof=,7.837500, id=,S02, PRJADE,actvstrat=,-0.755705, actvprof=,2.103889, id=,S03, PRJADE,actvstrat=,0.323141, actvprof=,7.933611, id=,S04, PRDE,actvstrat=,-0.680835, actvprof=,2.700556, id=,S05, PRJADE,actvstrat=,-0.691337, actvprof=,2.779722, id=,S06, PRJADE,actvstrat=,0.419978, actvprof=,8.243611, id=,S07, PRJADE,actvstrat=,-0.213718, actvprof=,4.120833, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,11.007778, id=,S09, PRDE,actvstrat=,-0.487926, actvprof=,3.428056, id=,S10, PRDE,actvstrat=,-0.659552, actvprof=,2.980833, id=,S11, PRDE,actvstrat=,0.668853, actvprof=,9.935000, best_B_id=,B11, best_B_prof=,2.630000, best_B_strat=,-0.947656, best_S_id=,S08, best_S_prof=,11.007778, best_S_strat=,0.974924, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.579423, actvprof=,1.956539, id=,B01, PRJADE,actvstrat=,0.242576, actvprof=,1.567787, id=,B02, PRJADE,actvstrat=,0.469246, actvprof=,1.914039, id=,B03, PRDE,actvstrat=,-0.508201, actvprof=,1.313480, id=,B04, PRJADE,actvstrat=,0.250038, actvprof=,1.578620, id=,B05, PRDE,actvstrat=,0.967255, actvprof=,0.934172, id=,B06, PRDE,actvstrat=,-0.119940, actvprof=,1.365563, id=,B07, PRDE,actvstrat=,-0.401926, actvprof=,1.272230, id=,B08, PRJADE,actvstrat=,-0.375890, actvprof=,1.235840, id=,B09, PRDE,actvstrat=,-0.756607, actvprof=,2.074456, id=,B10, PRJADE,actvstrat=,0.426043, actvprof=,1.792094, id=,B11, PRDE,actvstrat=,-0.947656, actvprof=,2.670988, id=,S00, PRDE,actvstrat=,-0.039242, actvprof=,5.798784, id=,S01, PRDE,actvstrat=,0.329700, actvprof=,7.775601, id=,S02, PRJADE,actvstrat=,-0.755705, actvprof=,2.097373, id=,S03, PRJADE,actvstrat=,0.323141, actvprof=,7.829073, id=,S04, PRDE,actvstrat=,-0.680835, actvprof=,2.892933, id=,S05, PRJADE,actvstrat=,-0.691337, actvprof=,2.630015, id=,S06, PRJADE,actvstrat=,0.419978, actvprof=,8.427549, id=,S07, PRJADE,actvstrat=,-0.213718, actvprof=,3.949745, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,11.044786, id=,S09, PRDE,actvstrat=,-0.487926, actvprof=,3.494187, id=,S10, PRDE,actvstrat=,-0.659552, actvprof=,2.835989, id=,S11, PRDE,actvstrat=,0.668853, actvprof=,9.715334, best_B_id=,B11, best_B_prof=,2.670988, best_B_strat=,-0.947656, best_S_id=,S08, best_S_prof=,11.044786, best_S_strat=,0.974924, 
t=,25200, id=,B00, PRJADE,actvstrat=,0.531449, actvprof=,2.294749, id=,B01, PRJADE,actvstrat=,0.025300, actvprof=,1.804743, id=,B02, PRJADE,actvstrat=,0.509487, actvprof=,2.396139, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.929733, id=,B04, PRJADE,actvstrat=,-0.457561, actvprof=,2.023912, id=,B05, PRDE,actvstrat=,-0.436177, actvprof=,1.710298, id=,B06, PRDE,actvstrat=,-0.493513, actvprof=,1.956134, id=,B07, PRDE,actvstrat=,0.333791, actvprof=,1.993634, id=,B08, PRJADE,actvstrat=,-0.602765, actvprof=,2.309193, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.667508, id=,B10, PRJADE,actvstrat=,-1.000000, actvprof=,2.540863, id=,B11, PRDE,actvstrat=,0.888166, actvprof=,1.749187, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.884026, id=,S01, PRDE,actvstrat=,-0.944460, actvprof=,0.998900, id=,S02, PRJADE,actvstrat=,-0.041365, actvprof=,5.956180, id=,S03, PRJADE,actvstrat=,-0.153565, actvprof=,4.988947, id=,S04, PRDE,actvstrat=,0.391601, actvprof=,8.446209, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,11.768470, id=,S06, PRJADE,actvstrat=,0.542657, actvprof=,9.507054, id=,S07, PRJADE,actvstrat=,-0.027449, actvprof=,6.511742, id=,S08, PRJADE,actvstrat=,-0.779276, actvprof=,2.392805, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.184771, id=,S10, PRDE,actvstrat=,0.109682, actvprof=,6.852857, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,11.533189, best_B_id=,B10, best_B_prof=,2.540863, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.884026, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.531449, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.025300, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.616105, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.353958, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.457561, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.305967, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.575548, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.080799, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.369043, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.802664, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.952065, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.862500, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.672274, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.856065, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.041365, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.973804, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.610710, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.353677, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.027449, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.168660, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.554438, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.531449, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.672274, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.531449, actvprof=,2.236441, id=,B01, PRJADE,actvstrat=,0.025300, actvprof=,1.744485, id=,B02, PRJADE,actvstrat=,-0.616105, actvprof=,2.107549, id=,B03, PRDE,actvstrat=,0.353958, actvprof=,1.961157, id=,B04, PRJADE,actvstrat=,-0.457561, actvprof=,1.677539, id=,B05, PRDE,actvstrat=,0.305967, actvprof=,2.158383, id=,B06, PRDE,actvstrat=,-0.575548, actvprof=,2.004491, id=,B07, PRDE,actvstrat=,0.080799, actvprof=,1.911711, id=,B08, PRJADE,actvstrat=,-0.369043, actvprof=,1.872266, id=,B09, PRDE,actvstrat=,0.802664, actvprof=,2.178106, id=,B10, PRJADE,actvstrat=,-0.952065, actvprof=,3.393134, id=,B11, PRDE,actvstrat=,-0.862500, actvprof=,3.181463, id=,S00, PRDE,actvstrat=,-0.672274, actvprof=,2.771453, id=,S01, PRDE,actvstrat=,-0.856065, actvprof=,0.526401, id=,S02, PRJADE,actvstrat=,-0.041365, actvprof=,4.940948, id=,S03, PRJADE,actvstrat=,-0.973804, actvprof=,1.311141, id=,S04, PRDE,actvstrat=,-0.610710, actvprof=,2.585338, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,10.608857, id=,S06, PRJADE,actvstrat=,0.353677, actvprof=,7.529341, id=,S07, PRJADE,actvstrat=,-0.027449, actvprof=,5.407625, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,10.793305, id=,S09, PRDE,actvstrat=,-0.168660, actvprof=,4.018426, id=,S10, PRDE,actvstrat=,0.554438, actvprof=,8.405195, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.566356, best_B_id=,B10, best_B_prof=,3.393134, best_B_strat=,-0.952065, best_S_id=,S08, best_S_prof=,10.793305, best_S_strat=,0.974924, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.531449, actvprof=,2.350444, id=,B01, PRJADE,actvstrat=,0.025300, actvprof=,1.762243, id=,B02, PRJADE,actvstrat=,-0.616105, actvprof=,2.134886, id=,B03, PRDE,actvstrat=,0.353958, actvprof=,2.038357, id=,B04, PRJADE,actvstrat=,-0.457561, actvprof=,1.735020, id=,B05, PRDE,actvstrat=,0.305967, actvprof=,2.100302, id=,B06, PRDE,actvstrat=,-0.575548, actvprof=,2.004745, id=,B07, PRDE,actvstrat=,0.080799, actvprof=,1.834466, id=,B08, PRJADE,actvstrat=,-0.369043, actvprof=,1.899050, id=,B09, PRDE,actvstrat=,0.802664, actvprof=,2.142941, id=,B10, PRJADE,actvstrat=,-0.952065, actvprof=,3.288510, id=,B11, PRDE,actvstrat=,-0.862500, actvprof=,3.188509, id=,S00, PRDE,actvstrat=,-0.672274, actvprof=,2.701003, id=,S01, PRDE,actvstrat=,-0.856065, actvprof=,0.661952, id=,S02, PRJADE,actvstrat=,-0.041365, actvprof=,5.074920, id=,S03, PRJADE,actvstrat=,-0.973804, actvprof=,1.158625, id=,S04, PRDE,actvstrat=,-0.610710, actvprof=,2.717809, id=,S05, PRJADE,actvstrat=,1.000000, actvprof=,10.434287, id=,S06, PRJADE,actvstrat=,0.353677, actvprof=,7.223834, id=,S07, PRJADE,actvstrat=,-0.027449, actvprof=,5.567009, id=,S08, PRJADE,actvstrat=,0.974924, actvprof=,10.673457, id=,S09, PRDE,actvstrat=,-0.168660, actvprof=,3.947823, id=,S10, PRDE,actvstrat=,0.554438, actvprof=,8.623572, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,10.537344, best_B_id=,B10, best_B_prof=,3.288510, best_B_strat=,-0.952065, best_S_id=,S08, best_S_prof=,10.673457, best_S_strat=,0.974924, 
