t=,0, id=,B00, PRDE,actvstrat=,0.580117, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.145309, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.023724, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.787433, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.000044, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.282906, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.603463, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.450914, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.416427, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.358383, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.296019, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.796866, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.737540, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.992769, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.929166, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.083576, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.707566, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.336382, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.530922, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.940692, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.407433, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.714498, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.117524, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.076893, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.580117, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.737540, 
t=,3600, id=,B00, PRDE,actvstrat=,0.580117, actvprof=,2.144296, id=,B01, PRJADE,actvstrat=,-0.145309, actvprof=,1.660718, id=,B02, PRDE,actvstrat=,-0.023724, actvprof=,1.694882, id=,B03, PRDE,actvstrat=,-0.787433, actvprof=,2.860912, id=,B04, PRJADE,actvstrat=,0.000044, actvprof=,1.899868, id=,B05, PRJADE,actvstrat=,0.282906, actvprof=,2.258732, id=,B06, PRDE,actvstrat=,0.603463, actvprof=,2.374835, id=,B07, PRJADE,actvstrat=,0.450914, actvprof=,2.172071, id=,B08, PRDE,actvstrat=,0.416427, actvprof=,2.030692, id=,B09, PRJADE,actvstrat=,0.358383, actvprof=,2.094577, id=,B10, PRDE,actvstrat=,0.296019, actvprof=,2.185959, id=,B11, PRJADE,actvstrat=,0.796866, actvprof=,2.030137, id=,S00, PRDE,actvstrat=,-0.737540, actvprof=,3.118950, id=,S01, PRDE,actvstrat=,0.992769, actvprof=,10.892577, id=,S02, PRDE,actvstrat=,0.929166, actvprof=,10.682036, id=,S03, PRJADE,actvstrat=,0.083576, actvprof=,7.299215, id=,S04, PRJADE,actvstrat=,0.707566, actvprof=,10.398722, id=,S05, PRJADE,actvstrat=,-0.336382, actvprof=,5.033262, id=,S06, PRJADE,actvstrat=,-0.530922, actvprof=,4.321922, id=,S07, PRDE,actvstrat=,-0.940692, actvprof=,1.467676, id=,S08, PRDE,actvstrat=,0.407433, actvprof=,9.113256, id=,S09, PRJADE,actvstrat=,-0.714498, actvprof=,3.627248, id=,S10, PRDE,actvstrat=,-0.117524, actvprof=,6.132074, id=,S11, PRJADE,actvstrat=,-0.076893, actvprof=,5.964864, best_B_id=,B03, best_B_prof=,2.860912, best_B_strat=,-0.787433, best_S_id=,S01, best_S_prof=,10.892577, best_S_strat=,0.992769, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.424919, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.094325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597364, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322513, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.213648, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.461214, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.201527, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.551399, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.305614, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.266727, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.049548, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.657898, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.269555, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.312680, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.264610, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.362126, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.830735, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.653941, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.271919, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.400866, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.652320, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.024627, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.822365, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.424919, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.657898, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.424919, actvprof=,1.338873, id=,B01, PRJADE,actvstrat=,0.094325, actvprof=,1.485261, id=,B02, PRDE,actvstrat=,-0.597364, actvprof=,1.653592, id=,B03, PRDE,actvstrat=,0.322513, actvprof=,1.759424, id=,B04, PRJADE,actvstrat=,-0.213648, actvprof=,1.331651, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,1.186931, id=,B06, PRDE,actvstrat=,0.461214, actvprof=,2.071087, id=,B07, PRJADE,actvstrat=,-0.201527, actvprof=,1.446650, id=,B08, PRDE,actvstrat=,-0.551399, actvprof=,1.645537, id=,B09, PRJADE,actvstrat=,0.305614, actvprof=,1.655536, id=,B10, PRDE,actvstrat=,-0.266727, actvprof=,1.525538, id=,B11, PRJADE,actvstrat=,0.049548, actvprof=,1.620537, id=,S00, PRDE,actvstrat=,-0.657898, actvprof=,2.739968, id=,S01, PRDE,actvstrat=,-0.269555, actvprof=,3.824678, id=,S02, PRDE,actvstrat=,0.312680, actvprof=,7.068807, id=,S03, PRJADE,actvstrat=,0.264610, actvprof=,7.395192, id=,S04, PRJADE,actvstrat=,-0.362126, actvprof=,3.549959, id=,S05, PRJADE,actvstrat=,0.830735, actvprof=,10.327103, id=,S06, PRJADE,actvstrat=,-0.653941, actvprof=,2.784412, id=,S07, PRDE,actvstrat=,-0.271919, actvprof=,3.547181, id=,S08, PRDE,actvstrat=,0.400866, actvprof=,8.335737, id=,S09, PRJADE,actvstrat=,-0.652320, actvprof=,2.416361, id=,S10, PRDE,actvstrat=,-0.024627, actvprof=,5.982709, id=,S11, PRJADE,actvstrat=,-0.822365, actvprof=,1.261930, best_B_id=,B06, best_B_prof=,2.071087, best_B_strat=,0.461214, best_S_id=,S05, best_S_prof=,10.327103, best_S_strat=,0.830735, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.424919, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.094325, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.459047, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.094802, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.655080, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.197375, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.132669, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.682732, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.173822, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.305614, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.164126, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.703290, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.575928, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.992769, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.312680, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.349710, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.089478, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.830735, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.717366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.865251, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.736659, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.569295, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.103623, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.082365, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.424919, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.575928, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.424919, actvprof=,3.139686, id=,B01, PRJADE,actvstrat=,0.094325, actvprof=,3.059131, id=,B02, PRDE,actvstrat=,-0.459047, actvprof=,3.041354, id=,B03, PRDE,actvstrat=,0.094802, actvprof=,3.044409, id=,B04, PRJADE,actvstrat=,-0.655080, actvprof=,3.649958, id=,B05, PRJADE,actvstrat=,0.197375, actvprof=,3.222740, id=,B06, PRDE,actvstrat=,0.132669, actvprof=,2.809967, id=,B07, PRJADE,actvstrat=,0.682732, actvprof=,3.240796, id=,B08, PRDE,actvstrat=,0.173822, actvprof=,2.843578, id=,B09, PRJADE,actvstrat=,0.305614, actvprof=,3.131630, id=,B10, PRDE,actvstrat=,-0.164126, actvprof=,2.800801, id=,B11, PRJADE,actvstrat=,-0.703290, actvprof=,3.828567, id=,S00, PRDE,actvstrat=,0.575928, actvprof=,7.526857, id=,S01, PRDE,actvstrat=,0.992769, actvprof=,9.090173, id=,S02, PRDE,actvstrat=,0.312680, actvprof=,5.833544, id=,S03, PRJADE,actvstrat=,-0.349710, actvprof=,2.529415, id=,S04, PRJADE,actvstrat=,-0.089478, actvprof=,3.975232, id=,S05, PRJADE,actvstrat=,0.830735, actvprof=,8.953507, id=,S06, PRJADE,actvstrat=,-0.717366, actvprof=,1.801924, id=,S07, PRDE,actvstrat=,0.865251, actvprof=,9.140450, id=,S08, PRDE,actvstrat=,0.736659, actvprof=,8.383792, id=,S09, PRJADE,actvstrat=,-0.569295, actvprof=,2.676636, id=,S10, PRDE,actvstrat=,0.103623, actvprof=,5.340494, id=,S11, PRJADE,actvstrat=,-0.082365, actvprof=,4.689668, best_B_id=,B11, best_B_prof=,3.828567, best_B_strat=,-0.703290, best_S_id=,S07, best_S_prof=,9.140450, best_S_strat=,0.865251, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.234233, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.526705, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.330907, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.464478, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.026635, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.751844, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.262952, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.050165, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.305665, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.974559, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.279400, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.119347, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.572819, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.722660, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.131316, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.538623, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.207531, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.763366, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.077822, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.974559, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.700039, id=,B01, PRJADE,actvstrat=,0.234233, actvprof=,1.144749, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.852242, id=,B03, PRDE,actvstrat=,0.526705, actvprof=,1.396699, id=,B04, PRJADE,actvstrat=,-0.330907, actvprof=,0.744184, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,1.158082, id=,B06, PRDE,actvstrat=,0.464478, actvprof=,1.492257, id=,B07, PRJADE,actvstrat=,-0.026635, actvprof=,0.847520, id=,B08, PRDE,actvstrat=,-0.751844, actvprof=,1.422533, id=,B09, PRJADE,actvstrat=,0.262952, actvprof=,1.164749, id=,B10, PRDE,actvstrat=,-0.050165, actvprof=,1.116415, id=,B11, PRJADE,actvstrat=,-0.305665, actvprof=,0.855853, id=,S00, PRDE,actvstrat=,-0.974559, actvprof=,1.333364, id=,S01, PRDE,actvstrat=,-0.279400, actvprof=,4.160652, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.649876, id=,S03, PRJADE,actvstrat=,-0.119347, actvprof=,5.160953, id=,S04, PRJADE,actvstrat=,0.572819, actvprof=,9.777449, id=,S05, PRJADE,actvstrat=,0.722660, actvprof=,10.837751, id=,S06, PRJADE,actvstrat=,0.131316, actvprof=,7.365170, id=,S07, PRDE,actvstrat=,-0.538623, actvprof=,3.860923, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.424871, id=,S09, PRJADE,actvstrat=,-0.207531, actvprof=,4.388157, id=,S10, PRDE,actvstrat=,-0.763366, actvprof=,2.866455, id=,S11, PRJADE,actvstrat=,-0.077822, actvprof=,5.747633, best_B_id=,B00, best_B_prof=,1.700039, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,10.837751, best_S_strat=,0.722660, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,1.825566, id=,B01, PRJADE,actvstrat=,0.234233, actvprof=,1.204035, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.852366, id=,B03, PRDE,actvstrat=,0.526705, actvprof=,1.382369, id=,B04, PRJADE,actvstrat=,-0.330907, actvprof=,0.746671, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,1.135701, id=,B06, PRDE,actvstrat=,0.464478, actvprof=,1.450425, id=,B07, PRJADE,actvstrat=,-0.026635, actvprof=,0.841533, id=,B08, PRDE,actvstrat=,-0.751844, actvprof=,1.423064, id=,B09, PRJADE,actvstrat=,0.262952, actvprof=,1.247368, id=,B10, PRDE,actvstrat=,-0.050165, actvprof=,1.033062, id=,B11, PRJADE,actvstrat=,-0.305665, actvprof=,0.849033, id=,S00, PRDE,actvstrat=,-0.974559, actvprof=,1.332508, id=,S01, PRDE,actvstrat=,-0.279400, actvprof=,4.331275, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.687816, id=,S03, PRJADE,actvstrat=,-0.119347, actvprof=,5.181974, id=,S04, PRJADE,actvstrat=,0.572819, actvprof=,9.903252, id=,S05, PRJADE,actvstrat=,0.722660, actvprof=,10.857702, id=,S06, PRJADE,actvstrat=,0.131316, actvprof=,7.195458, id=,S07, PRDE,actvstrat=,-0.538623, actvprof=,3.874745, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,6.721289, id=,S09, PRJADE,actvstrat=,-0.207531, actvprof=,4.544054, id=,S10, PRDE,actvstrat=,-0.763366, actvprof=,2.777516, id=,S11, PRJADE,actvstrat=,-0.077822, actvprof=,5.723922, best_B_id=,B00, best_B_prof=,1.825566, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,10.857702, best_S_strat=,0.722660, 
t=,32400, id=,B00, PRDE,actvstrat=,0.224855, actvprof=,2.662006, id=,B01, PRJADE,actvstrat=,0.727131, actvprof=,3.140350, id=,B02, PRDE,actvstrat=,-0.597364, actvprof=,2.938679, id=,B03, PRDE,actvstrat=,0.322513, actvprof=,2.953957, id=,B04, PRJADE,actvstrat=,-0.664736, actvprof=,3.329522, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,1.753374, id=,B06, PRDE,actvstrat=,0.461214, actvprof=,2.991458, id=,B07, PRJADE,actvstrat=,-0.359183, actvprof=,2.604783, id=,B08, PRDE,actvstrat=,-0.640852, actvprof=,3.211741, id=,B09, PRJADE,actvstrat=,0.433546, actvprof=,2.855899, id=,B10, PRDE,actvstrat=,-0.164126, actvprof=,2.643395, id=,B11, PRJADE,actvstrat=,-0.703290, actvprof=,3.254798, id=,S00, PRDE,actvstrat=,0.193097, actvprof=,6.266534, id=,S01, PRDE,actvstrat=,-0.193045, actvprof=,3.674530, id=,S02, PRDE,actvstrat=,0.840217, actvprof=,9.493275, id=,S03, PRJADE,actvstrat=,0.180919, actvprof=,6.225422, id=,S04, PRJADE,actvstrat=,0.707566, actvprof=,8.947707, id=,S05, PRJADE,actvstrat=,0.620466, actvprof=,8.074631, id=,S06, PRJADE,actvstrat=,0.131316, actvprof=,5.884581, id=,S07, PRDE,actvstrat=,0.797491, actvprof=,9.684113, id=,S08, PRDE,actvstrat=,-0.942625, actvprof=,1.378643, id=,S09, PRJADE,actvstrat=,0.565836, actvprof=,7.950184, id=,S10, PRDE,actvstrat=,-0.024627, actvprof=,5.272344, id=,S11, PRJADE,actvstrat=,-0.077822, actvprof=,4.832890, best_B_id=,B04, best_B_prof=,3.329522, best_B_strat=,-0.664736, best_S_id=,S07, best_S_prof=,9.684113, best_S_strat=,0.797491, 
t=,36000, id=,B00, PRDE,actvstrat=,0.224855, actvprof=,2.851005, id=,B01, PRJADE,actvstrat=,0.727131, actvprof=,3.161148, id=,B02, PRDE,actvstrat=,-0.597364, actvprof=,2.919756, id=,B03, PRDE,actvstrat=,0.322513, actvprof=,2.811144, id=,B04, PRJADE,actvstrat=,-0.664736, actvprof=,3.205454, id=,B05, PRJADE,actvstrat=,0.956562, actvprof=,1.681131, id=,B06, PRDE,actvstrat=,0.461214, actvprof=,3.016424, id=,B07, PRJADE,actvstrat=,-0.359183, actvprof=,2.453362, id=,B08, PRDE,actvstrat=,-0.640852, actvprof=,3.141981, id=,B09, PRJADE,actvstrat=,0.433546, actvprof=,3.043369, id=,B10, PRDE,actvstrat=,-0.164126, actvprof=,2.506973, id=,B11, PRJADE,actvstrat=,-0.703290, actvprof=,3.245176, id=,S00, PRDE,actvstrat=,0.193097, actvprof=,6.198961, id=,S01, PRDE,actvstrat=,-0.193045, actvprof=,3.655459, id=,S02, PRDE,actvstrat=,0.840217, actvprof=,9.596917, id=,S03, PRJADE,actvstrat=,0.180919, actvprof=,6.079793, id=,S04, PRJADE,actvstrat=,0.707566, actvprof=,9.119550, id=,S05, PRJADE,actvstrat=,0.620466, actvprof=,8.281207, id=,S06, PRJADE,actvstrat=,0.131316, actvprof=,5.897707, id=,S07, PRDE,actvstrat=,0.797491, actvprof=,9.681501, id=,S08, PRDE,actvstrat=,-0.942625, actvprof=,1.353488, id=,S09, PRJADE,actvstrat=,0.565836, actvprof=,8.030926, id=,S10, PRDE,actvstrat=,-0.024627, actvprof=,5.212421, id=,S11, PRJADE,actvstrat=,-0.077822, actvprof=,4.523108, best_B_id=,B11, best_B_prof=,3.245176, best_B_strat=,-0.703290, best_S_id=,S07, best_S_prof=,9.681501, best_S_strat=,0.797491, 
