t=,1, id=,B00, PRDE,actvstrat=,0.159683, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.067997, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.666730, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.527069, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.746317, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.265374, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.363224, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.384967, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.891495, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.886769, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.686271, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.829952, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.025730, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.840246, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.498794, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.531730, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.663690, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.692571, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.420131, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.112012, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.671881, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.575541, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.836058, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.159683, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.829952, 
t=,3600, id=,B00, PRDE,actvstrat=,0.159683, actvprof=,2.754135, id=,B01, PRJADE,actvstrat=,-0.067997, actvprof=,2.731635, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,3.689957, id=,B03, PRJADE,actvstrat=,-0.666730, actvprof=,3.521626, id=,B04, PRJADE,actvstrat=,0.527069, actvprof=,3.042187, id=,B05, PRDE,actvstrat=,0.746317, actvprof=,3.111353, id=,B06, PRDE,actvstrat=,-0.265374, actvprof=,2.791079, id=,B07, PRDE,actvstrat=,-0.363224, actvprof=,3.068298, id=,B08, PRJADE,actvstrat=,-0.384967, actvprof=,2.846911, id=,B09, PRDE,actvstrat=,0.891495, actvprof=,2.354139, id=,B10, PRJADE,actvstrat=,0.886769, actvprof=,2.436638, id=,B11, PRDE,actvstrat=,0.686271, actvprof=,3.233296, id=,S00, PRDE,actvstrat=,0.829952, actvprof=,9.835442, id=,S01, PRJADE,actvstrat=,0.025730, actvprof=,5.785211, id=,S02, PRDE,actvstrat=,-0.840246, actvprof=,1.160542, id=,S03, PRJADE,actvstrat=,0.498794, actvprof=,7.867409, id=,S04, PRJADE,actvstrat=,0.531730, actvprof=,8.347403, id=,S05, PRJADE,actvstrat=,0.663690, actvprof=,8.866564, id=,S06, PRJADE,actvstrat=,0.692571, actvprof=,9.221004, id=,S07, PRDE,actvstrat=,0.420131, actvprof=,7.502691, id=,S08, PRJADE,actvstrat=,0.112012, actvprof=,6.047152, id=,S09, PRDE,actvstrat=,0.671881, actvprof=,8.937119, id=,S10, PRDE,actvstrat=,0.575541, actvprof=,8.343792, id=,S11, PRDE,actvstrat=,-0.836058, actvprof=,1.147487, best_B_id=,B02, best_B_prof=,3.689957, best_B_strat=,-0.676734, best_S_id=,S00, best_S_prof=,9.835442, best_S_strat=,0.829952, 
t=,7200, id=,B00, PRDE,actvstrat=,0.178638, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.902588, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.824100, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.167882, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.216853, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.769494, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.066837, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.169994, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.581751, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.143845, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.562478, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.329774, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.804766, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.666032, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.011464, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.206702, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.651066, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.530763, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.396778, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.683780, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.305528, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.998889, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.980581, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.260781, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.178638, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.804766, 
t=,10800, id=,B00, PRDE,actvstrat=,0.178638, actvprof=,0.934755, id=,B01, PRJADE,actvstrat=,0.902588, actvprof=,1.211709, id=,B02, PRJADE,actvstrat=,0.824100, actvprof=,1.470051, id=,B03, PRJADE,actvstrat=,-0.167882, actvprof=,0.762526, id=,B04, PRJADE,actvstrat=,-0.216853, actvprof=,0.648078, id=,B05, PRDE,actvstrat=,0.769494, actvprof=,1.451161, id=,B06, PRDE,actvstrat=,-0.066837, actvprof=,0.966700, id=,B07, PRDE,actvstrat=,0.169994, actvprof=,0.963367, id=,B08, PRJADE,actvstrat=,0.581751, actvprof=,1.250877, id=,B09, PRDE,actvstrat=,-0.143845, actvprof=,0.738081, id=,B10, PRJADE,actvstrat=,0.562478, actvprof=,1.325879, id=,B11, PRDE,actvstrat=,0.329774, actvprof=,1.150873, id=,S00, PRDE,actvstrat=,-0.804766, actvprof=,1.635612, id=,S01, PRJADE,actvstrat=,-0.666032, actvprof=,3.909580, id=,S02, PRDE,actvstrat=,0.011464, actvprof=,7.090246, id=,S03, PRJADE,actvstrat=,-0.206702, actvprof=,5.026841, id=,S04, PRJADE,actvstrat=,-0.651066, actvprof=,3.707351, id=,S05, PRJADE,actvstrat=,-0.530763, actvprof=,4.150700, id=,S06, PRJADE,actvstrat=,0.396778, actvprof=,9.507830, id=,S07, PRDE,actvstrat=,-0.683780, actvprof=,3.502899, id=,S08, PRJADE,actvstrat=,0.305528, actvprof=,8.891975, id=,S09, PRDE,actvstrat=,0.998889, actvprof=,12.035418, id=,S10, PRDE,actvstrat=,-0.980581, actvprof=,1.138373, id=,S11, PRDE,actvstrat=,-0.260781, actvprof=,4.576270, best_B_id=,B02, best_B_prof=,1.470051, best_B_strat=,0.824100, best_S_id=,S09, best_S_prof=,12.035418, best_S_strat=,0.998889, 
t=,14400, id=,B00, PRDE,actvstrat=,0.178638, actvprof=,0.936544, id=,B01, PRJADE,actvstrat=,0.902588, actvprof=,1.132381, id=,B02, PRJADE,actvstrat=,0.824100, actvprof=,1.482248, id=,B03, PRJADE,actvstrat=,-0.167882, actvprof=,0.720013, id=,B04, PRJADE,actvstrat=,-0.216853, actvprof=,0.669317, id=,B05, PRDE,actvstrat=,0.769494, actvprof=,1.418914, id=,B06, PRDE,actvstrat=,-0.066837, actvprof=,0.920016, id=,B07, PRDE,actvstrat=,0.169994, actvprof=,0.926405, id=,B08, PRJADE,actvstrat=,0.581751, actvprof=,1.257661, id=,B09, PRDE,actvstrat=,-0.143845, actvprof=,0.736124, id=,B10, PRJADE,actvstrat=,0.562478, actvprof=,1.274744, id=,B11, PRDE,actvstrat=,0.329774, actvprof=,1.082241, id=,S00, PRDE,actvstrat=,-0.804766, actvprof=,1.756697, id=,S01, PRJADE,actvstrat=,-0.666032, actvprof=,3.527978, id=,S02, PRDE,actvstrat=,0.011464, actvprof=,7.118596, id=,S03, PRJADE,actvstrat=,-0.206702, actvprof=,4.677859, id=,S04, PRJADE,actvstrat=,-0.651066, actvprof=,3.672147, id=,S05, PRJADE,actvstrat=,-0.530763, actvprof=,4.118405, id=,S06, PRJADE,actvstrat=,0.396778, actvprof=,9.457109, id=,S07, PRDE,actvstrat=,-0.683780, actvprof=,3.331725, id=,S08, PRJADE,actvstrat=,0.305528, actvprof=,8.803625, id=,S09, PRDE,actvstrat=,0.998889, actvprof=,12.136322, id=,S10, PRDE,actvstrat=,-0.980581, actvprof=,1.235716, id=,S11, PRDE,actvstrat=,-0.260781, actvprof=,4.575218, best_B_id=,B02, best_B_prof=,1.482248, best_B_strat=,0.824100, best_S_id=,S09, best_S_prof=,12.136322, best_S_strat=,0.998889, 
t=,18000, id=,B00, PRDE,actvstrat=,0.159683, actvprof=,2.217098, id=,B01, PRJADE,actvstrat=,0.091552, actvprof=,1.997361, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,2.695465, id=,B03, PRJADE,actvstrat=,-0.318182, actvprof=,2.010140, id=,B04, PRJADE,actvstrat=,-0.718581, actvprof=,2.759080, id=,B05, PRDE,actvstrat=,-0.783209, actvprof=,2.858810, id=,B06, PRDE,actvstrat=,-0.779018, actvprof=,2.994097, id=,B07, PRDE,actvstrat=,-0.140774, actvprof=,2.108758, id=,B08, PRJADE,actvstrat=,-0.384967, actvprof=,1.894298, id=,B09, PRDE,actvstrat=,0.041238, actvprof=,2.072366, id=,B10, PRJADE,actvstrat=,0.995204, actvprof=,0.979790, id=,B11, PRDE,actvstrat=,0.173476, actvprof=,2.075700, id=,S00, PRDE,actvstrat=,0.829952, actvprof=,9.522328, id=,S01, PRJADE,actvstrat=,-0.355246, actvprof=,2.836586, id=,S02, PRDE,actvstrat=,0.315353, actvprof=,7.054379, id=,S03, PRJADE,actvstrat=,-0.603015, actvprof=,2.424335, id=,S04, PRJADE,actvstrat=,-0.560651, actvprof=,2.684631, id=,S05, PRJADE,actvstrat=,0.663690, actvprof=,8.788388, id=,S06, PRJADE,actvstrat=,-0.222658, actvprof=,3.466630, id=,S07, PRDE,actvstrat=,0.420131, actvprof=,7.480519, id=,S08, PRJADE,actvstrat=,0.995815, actvprof=,9.650392, id=,S09, PRDE,actvstrat=,-0.374196, actvprof=,3.380235, id=,S10, PRDE,actvstrat=,-0.654125, actvprof=,2.440725, id=,S11, PRDE,actvstrat=,-0.260781, actvprof=,3.191888, best_B_id=,B06, best_B_prof=,2.994097, best_B_strat=,-0.779018, best_S_id=,S08, best_S_prof=,9.650392, best_S_strat=,0.995815, 
t=,21600, id=,B00, PRDE,actvstrat=,0.159683, actvprof=,2.194811, id=,B01, PRJADE,actvstrat=,0.091552, actvprof=,2.017721, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,2.675247, id=,B03, PRJADE,actvstrat=,-0.318182, actvprof=,2.029110, id=,B04, PRJADE,actvstrat=,-0.718581, actvprof=,2.645107, id=,B05, PRDE,actvstrat=,-0.783209, actvprof=,2.994010, id=,B06, PRDE,actvstrat=,-0.779018, actvprof=,2.999149, id=,B07, PRDE,actvstrat=,-0.140774, actvprof=,2.030082, id=,B08, PRJADE,actvstrat=,-0.384967, actvprof=,1.916605, id=,B09, PRDE,actvstrat=,0.041238, actvprof=,2.108835, id=,B10, PRJADE,actvstrat=,0.995204, actvprof=,0.972262, id=,B11, PRDE,actvstrat=,0.173476, actvprof=,2.131892, id=,S00, PRDE,actvstrat=,0.829952, actvprof=,9.735394, id=,S01, PRJADE,actvstrat=,-0.355246, actvprof=,2.894839, id=,S02, PRDE,actvstrat=,0.315353, actvprof=,6.886946, id=,S03, PRJADE,actvstrat=,-0.603015, actvprof=,2.602050, id=,S04, PRJADE,actvstrat=,-0.560651, actvprof=,2.710249, id=,S05, PRJADE,actvstrat=,0.663690, actvprof=,8.852998, id=,S06, PRJADE,actvstrat=,-0.222658, actvprof=,3.629314, id=,S07, PRDE,actvstrat=,0.420131, actvprof=,7.354742, id=,S08, PRJADE,actvstrat=,0.995815, actvprof=,9.758034, id=,S09, PRDE,actvstrat=,-0.374196, actvprof=,3.383054, id=,S10, PRDE,actvstrat=,-0.654125, actvprof=,2.335650, id=,S11, PRDE,actvstrat=,-0.260781, actvprof=,3.467779, best_B_id=,B06, best_B_prof=,2.999149, best_B_strat=,-0.779018, best_S_id=,S08, best_S_prof=,9.758034, best_S_strat=,0.995815, 
t=,25200, id=,B00, PRDE,actvstrat=,0.509668, actvprof=,2.734634, id=,B01, PRJADE,actvstrat=,0.057533, actvprof=,2.071533, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,2.569623, id=,B03, PRJADE,actvstrat=,-0.526460, actvprof=,1.922634, id=,B04, PRJADE,actvstrat=,0.138925, actvprof=,2.229321, id=,B05, PRDE,actvstrat=,-0.676528, actvprof=,2.170984, id=,B06, PRDE,actvstrat=,-0.104485, actvprof=,1.948191, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.637197, id=,B08, PRJADE,actvstrat=,0.273978, actvprof=,2.393500, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.243836, id=,B10, PRJADE,actvstrat=,0.753239, actvprof=,2.727134, id=,B11, PRDE,actvstrat=,0.001550, actvprof=,1.964581, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.879575, id=,S01, PRJADE,actvstrat=,-0.131848, actvprof=,3.858601, id=,S02, PRDE,actvstrat=,-0.625591, actvprof=,2.403500, id=,S03, PRJADE,actvstrat=,-0.202455, actvprof=,3.630808, id=,S04, PRJADE,actvstrat=,0.766715, actvprof=,9.672061, id=,S05, PRJADE,actvstrat=,0.203728, actvprof=,6.450448, id=,S06, PRJADE,actvstrat=,0.213164, actvprof=,6.333773, id=,S07, PRDE,actvstrat=,0.059716, actvprof=,5.342315, id=,S08, PRJADE,actvstrat=,0.436580, actvprof=,7.207445, id=,S09, PRDE,actvstrat=,0.908410, actvprof=,10.303771, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,5.982638, id=,S11, PRDE,actvstrat=,0.244356, actvprof=,6.306827, best_B_id=,B07, best_B_prof=,3.637197, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,10.303771, best_S_strat=,0.908410, 
t=,28800, id=,B00, PRDE,actvstrat=,0.509668, actvprof=,2.667191, id=,B01, PRJADE,actvstrat=,0.057533, actvprof=,2.034666, id=,B02, PRJADE,actvstrat=,-0.676734, actvprof=,2.459544, id=,B03, PRJADE,actvstrat=,-0.526460, actvprof=,2.064528, id=,B04, PRJADE,actvstrat=,0.138925, actvprof=,2.168143, id=,B05, PRDE,actvstrat=,-0.676528, actvprof=,2.267314, id=,B06, PRDE,actvstrat=,-0.104485, actvprof=,2.025499, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.434167, id=,B08, PRJADE,actvstrat=,0.273978, actvprof=,2.441210, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.305273, id=,B10, PRJADE,actvstrat=,0.753239, actvprof=,2.753445, id=,B11, PRDE,actvstrat=,0.001550, actvprof=,1.992997, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.769539, id=,S01, PRJADE,actvstrat=,-0.131848, actvprof=,3.865157, id=,S02, PRDE,actvstrat=,-0.625591, actvprof=,2.618301, id=,S03, PRJADE,actvstrat=,-0.202455, actvprof=,3.594868, id=,S04, PRJADE,actvstrat=,0.766715, actvprof=,9.512469, id=,S05, PRJADE,actvstrat=,0.203728, actvprof=,6.440678, id=,S06, PRJADE,actvstrat=,0.213164, actvprof=,6.227336, id=,S07, PRDE,actvstrat=,0.059716, actvprof=,5.463832, id=,S08, PRJADE,actvstrat=,0.436580, actvprof=,7.407939, id=,S09, PRDE,actvstrat=,0.908410, actvprof=,10.151800, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,6.011771, id=,S11, PRDE,actvstrat=,0.244356, actvprof=,6.359841, best_B_id=,B07, best_B_prof=,3.434167, best_B_strat=,-1.000000, best_S_id=,S09, best_S_prof=,10.151800, best_S_strat=,0.908410, 
t=,32400, id=,B00, PRDE,actvstrat=,0.830767, actvprof=,1.701288, id=,B01, PRJADE,actvstrat=,0.057533, actvprof=,1.237351, id=,B02, PRJADE,actvstrat=,0.847762, actvprof=,1.527381, id=,B03, PRJADE,actvstrat=,-0.526460, actvprof=,1.223739, id=,B04, PRJADE,actvstrat=,0.527069, actvprof=,1.739626, id=,B05, PRDE,actvstrat=,0.746317, actvprof=,1.777963, id=,B06, PRDE,actvstrat=,-0.528544, actvprof=,1.308470, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.982984, id=,B08, PRJADE,actvstrat=,0.273978, actvprof=,1.249852, id=,B09, PRDE,actvstrat=,-0.496481, actvprof=,1.069556, id=,B10, PRJADE,actvstrat=,-0.980864, actvprof=,1.938813, id=,B11, PRDE,actvstrat=,0.686271, actvprof=,1.904365, id=,S00, PRDE,actvstrat=,-0.888969, actvprof=,0.473383, id=,S01, PRJADE,actvstrat=,0.114485, actvprof=,7.715248, id=,S02, PRDE,actvstrat=,0.315353, actvprof=,8.298642, id=,S03, PRJADE,actvstrat=,-0.202455, actvprof=,4.817168, id=,S04, PRJADE,actvstrat=,0.531730, actvprof=,10.095218, id=,S05, PRJADE,actvstrat=,0.855290, actvprof=,11.760670, id=,S06, PRJADE,actvstrat=,0.213164, actvprof=,8.139737, id=,S07, PRDE,actvstrat=,-0.016320, actvprof=,6.613189, id=,S08, PRJADE,actvstrat=,0.305528, actvprof=,8.153627, id=,S09, PRDE,actvstrat=,0.002847, actvprof=,7.149911, id=,S10, PRDE,actvstrat=,-0.721730, actvprof=,2.869466, id=,S11, PRDE,actvstrat=,0.244356, actvprof=,7.663020, best_B_id=,B07, best_B_prof=,1.982984, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,11.760670, best_S_strat=,0.855290, 
t=,36000, id=,B00, PRDE,actvstrat=,0.830767, actvprof=,1.697866, id=,B01, PRJADE,actvstrat=,0.057533, actvprof=,1.246593, id=,B02, PRJADE,actvstrat=,0.847762, actvprof=,1.667587, id=,B03, PRJADE,actvstrat=,-0.526460, actvprof=,1.227564, id=,B04, PRJADE,actvstrat=,0.527069, actvprof=,1.747035, id=,B05, PRDE,actvstrat=,0.746317, actvprof=,1.706339, id=,B06, PRDE,actvstrat=,-0.528544, actvprof=,1.298262, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.040384, id=,B08, PRJADE,actvstrat=,0.273978, actvprof=,1.381600, id=,B09, PRDE,actvstrat=,-0.496481, actvprof=,1.180756, id=,B10, PRJADE,actvstrat=,-0.980864, actvprof=,1.967325, id=,B11, PRDE,actvstrat=,0.686271, actvprof=,1.845791, id=,S00, PRDE,actvstrat=,-0.888969, actvprof=,0.562668, id=,S01, PRJADE,actvstrat=,0.114485, actvprof=,7.378440, id=,S02, PRDE,actvstrat=,0.315353, actvprof=,8.540445, id=,S03, PRJADE,actvstrat=,-0.202455, actvprof=,4.469261, id=,S04, PRJADE,actvstrat=,0.531730, actvprof=,9.910238, id=,S05, PRJADE,actvstrat=,0.855290, actvprof=,11.657552, id=,S06, PRJADE,actvstrat=,0.213164, actvprof=,8.096116, id=,S07, PRDE,actvstrat=,-0.016320, actvprof=,6.615900, id=,S08, PRJADE,actvstrat=,0.305528, actvprof=,8.239874, id=,S09, PRDE,actvstrat=,0.002847, actvprof=,7.037728, id=,S10, PRDE,actvstrat=,-0.721730, actvprof=,2.784728, id=,S11, PRDE,actvstrat=,0.244356, actvprof=,7.916385, best_B_id=,B07, best_B_prof=,2.040384, best_B_strat=,-1.000000, best_S_id=,S05, best_S_prof=,11.657552, best_S_strat=,0.855290, 
