t=,1, id=,B00, PRJADE,actvstrat=,-0.628705, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.500173, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.055923, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.459744, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.525167, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.983551, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.295486, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.527167, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.517654, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.401935, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.269663, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.277268, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.349284, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.987979, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.703917, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.850907, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.391631, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.325818, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.776001, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.065560, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.109975, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.541262, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.694056, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.294894, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.628705, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.349284, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.628705, actvprof=,2.544108, id=,B01, PRDE,actvstrat=,-0.500173, actvprof=,1.850235, id=,B02, PRDE,actvstrat=,-0.055923, actvprof=,1.987176, id=,B03, PRDE,actvstrat=,-0.459744, actvprof=,2.041342, id=,B04, PRJADE,actvstrat=,0.525167, actvprof=,2.403833, id=,B05, PRJADE,actvstrat=,0.983551, actvprof=,1.119141, id=,B06, PRDE,actvstrat=,-0.295486, actvprof=,1.986898, id=,B07, PRJADE,actvstrat=,0.527167, actvprof=,2.636050, id=,B08, PRDE,actvstrat=,0.517654, actvprof=,2.408278, id=,B09, PRJADE,actvstrat=,0.401935, actvprof=,2.534108, id=,B10, PRJADE,actvstrat=,0.269663, actvprof=,2.299669, id=,B11, PRDE,actvstrat=,-0.277268, actvprof=,1.830791, id=,S00, PRDE,actvstrat=,0.349284, actvprof=,7.342886, id=,S01, PRJADE,actvstrat=,-0.987979, actvprof=,3.386311, id=,S02, PRDE,actvstrat=,-0.703917, actvprof=,2.776047, id=,S03, PRJADE,actvstrat=,-0.850907, actvprof=,1.179695, id=,S04, PRJADE,actvstrat=,0.391631, actvprof=,7.644823, id=,S05, PRDE,actvstrat=,-0.325818, actvprof=,3.761857, id=,S06, PRJADE,actvstrat=,0.776001, actvprof=,9.829495, id=,S07, PRJADE,actvstrat=,-0.065560, actvprof=,5.412097, id=,S08, PRDE,actvstrat=,-0.109975, actvprof=,4.942941, id=,S09, PRDE,actvstrat=,0.541262, actvprof=,8.950904, id=,S10, PRDE,actvstrat=,0.694056, actvprof=,9.423949, id=,S11, PRJADE,actvstrat=,0.294894, actvprof=,7.038448, best_B_id=,B07, best_B_prof=,2.636050, best_B_strat=,0.527167, best_S_id=,S06, best_S_prof=,9.829495, best_S_strat=,0.776001, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.711449, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.785616, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.513231, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.843978, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.987702, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.935765, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.640975, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.480430, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.719660, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.945030, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.167110, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.361170, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.295233, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.584246, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.257968, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.028758, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.635239, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.714945, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.372676, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.592353, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.674914, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.647717, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.258057, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.676515, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.711449, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.295233, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.711449, actvprof=,2.231389, id=,B01, PRDE,actvstrat=,-0.785616, actvprof=,2.290556, id=,B02, PRDE,actvstrat=,0.513231, actvprof=,1.980000, id=,B03, PRDE,actvstrat=,0.843978, actvprof=,1.986111, id=,B04, PRJADE,actvstrat=,-0.987702, actvprof=,2.074722, id=,B05, PRJADE,actvstrat=,0.935765, actvprof=,1.281389, id=,B06, PRDE,actvstrat=,0.640975, actvprof=,2.090278, id=,B07, PRJADE,actvstrat=,0.480430, actvprof=,2.060000, id=,B08, PRDE,actvstrat=,-0.719660, actvprof=,2.115000, id=,B09, PRJADE,actvstrat=,0.945030, actvprof=,1.293056, id=,B10, PRJADE,actvstrat=,-0.167110, actvprof=,1.573056, id=,B11, PRDE,actvstrat=,-0.361170, actvprof=,1.483889, id=,S00, PRDE,actvstrat=,0.295233, actvprof=,8.807778, id=,S01, PRJADE,actvstrat=,0.584246, actvprof=,10.050278, id=,S02, PRDE,actvstrat=,-0.257968, actvprof=,4.619444, id=,S03, PRJADE,actvstrat=,-0.028758, actvprof=,6.758889, id=,S04, PRJADE,actvstrat=,0.635239, actvprof=,10.327778, id=,S05, PRDE,actvstrat=,0.714945, actvprof=,10.816389, id=,S06, PRJADE,actvstrat=,-0.372676, actvprof=,3.590278, id=,S07, PRJADE,actvstrat=,0.592353, actvprof=,9.804167, id=,S08, PRDE,actvstrat=,0.674914, actvprof=,10.535556, id=,S09, PRDE,actvstrat=,-0.647717, actvprof=,2.845556, id=,S10, PRDE,actvstrat=,-0.258057, actvprof=,4.069167, id=,S11, PRJADE,actvstrat=,0.676515, actvprof=,10.404167, best_B_id=,B01, best_B_prof=,2.290556, best_B_strat=,-0.785616, best_S_id=,S05, best_S_prof=,10.816389, best_S_strat=,0.714945, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.711449, actvprof=,2.151667, id=,B01, PRDE,actvstrat=,-0.785616, actvprof=,2.417500, id=,B02, PRDE,actvstrat=,0.513231, actvprof=,2.038889, id=,B03, PRDE,actvstrat=,0.843978, actvprof=,1.943750, id=,B04, PRJADE,actvstrat=,-0.987702, actvprof=,2.112083, id=,B05, PRJADE,actvstrat=,0.935765, actvprof=,1.275556, id=,B06, PRDE,actvstrat=,0.640975, actvprof=,2.040417, id=,B07, PRJADE,actvstrat=,0.480430, actvprof=,1.972500, id=,B08, PRDE,actvstrat=,-0.719660, actvprof=,2.069861, id=,B09, PRJADE,actvstrat=,0.945030, actvprof=,1.270833, id=,B10, PRJADE,actvstrat=,-0.167110, actvprof=,1.536111, id=,B11, PRDE,actvstrat=,-0.361170, actvprof=,1.495000, id=,S00, PRDE,actvstrat=,0.295233, actvprof=,8.671111, id=,S01, PRJADE,actvstrat=,0.584246, actvprof=,10.236389, id=,S02, PRDE,actvstrat=,-0.257968, actvprof=,4.410000, id=,S03, PRJADE,actvstrat=,-0.028758, actvprof=,6.425000, id=,S04, PRJADE,actvstrat=,0.635239, actvprof=,10.183889, id=,S05, PRDE,actvstrat=,0.714945, actvprof=,10.840278, id=,S06, PRJADE,actvstrat=,-0.372676, actvprof=,3.753611, id=,S07, PRJADE,actvstrat=,0.592353, actvprof=,9.942222, id=,S08, PRDE,actvstrat=,0.674914, actvprof=,10.524722, id=,S09, PRDE,actvstrat=,-0.647717, actvprof=,3.125417, id=,S10, PRDE,actvstrat=,-0.258057, actvprof=,4.100139, id=,S11, PRJADE,actvstrat=,0.676515, actvprof=,10.285278, best_B_id=,B01, best_B_prof=,2.417500, best_B_strat=,-0.785616, best_S_id=,S05, best_S_prof=,10.840278, best_S_strat=,0.714945, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.730322, actvprof=,3.978102, id=,B01, PRDE,actvstrat=,0.044158, actvprof=,2.899200, id=,B02, PRDE,actvstrat=,-0.158516, actvprof=,2.646975, id=,B03, PRDE,actvstrat=,0.338793, actvprof=,3.282538, id=,B04, PRJADE,actvstrat=,0.353336, actvprof=,3.320038, id=,B05, PRJADE,actvstrat=,-0.092295, actvprof=,2.975312, id=,B06, PRDE,actvstrat=,0.640975, actvprof=,3.330594, id=,B07, PRJADE,actvstrat=,-0.507786, actvprof=,3.155314, id=,B08, PRDE,actvstrat=,0.940003, actvprof=,1.750020, id=,B09, PRJADE,actvstrat=,0.930072, actvprof=,2.141414, id=,B10, PRJADE,actvstrat=,-0.602683, actvprof=,3.915045, id=,B11, PRDE,actvstrat=,-0.361170, actvprof=,3.178092, id=,S00, PRDE,actvstrat=,-0.606183, actvprof=,2.755865, id=,S01, PRJADE,actvstrat=,0.584246, actvprof=,8.203150, id=,S02, PRDE,actvstrat=,0.877396, actvprof=,9.772613, id=,S03, PRJADE,actvstrat=,-0.157032, actvprof=,3.939768, id=,S04, PRJADE,actvstrat=,0.635239, actvprof=,8.686767, id=,S05, PRDE,actvstrat=,-0.025530, actvprof=,5.420341, id=,S06, PRJADE,actvstrat=,-0.876240, actvprof=,0.939178, id=,S07, PRJADE,actvstrat=,0.592353, actvprof=,8.244818, id=,S08, PRDE,actvstrat=,0.283556, actvprof=,6.962581, id=,S09, PRDE,actvstrat=,0.983101, actvprof=,9.492610, id=,S10, PRDE,actvstrat=,0.440801, actvprof=,7.465920, id=,S11, PRJADE,actvstrat=,0.676515, actvprof=,8.678434, best_B_id=,B00, best_B_prof=,3.978102, best_B_strat=,-0.730322, best_S_id=,S02, best_S_prof=,9.772613, best_S_strat=,0.877396, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.730322, actvprof=,3.937846, id=,B01, PRDE,actvstrat=,0.044158, actvprof=,2.851994, id=,B02, PRDE,actvstrat=,-0.158516, actvprof=,2.811021, id=,B03, PRDE,actvstrat=,0.338793, actvprof=,3.212695, id=,B04, PRJADE,actvstrat=,0.353336, actvprof=,3.212139, id=,B05, PRJADE,actvstrat=,-0.092295, actvprof=,3.017691, id=,B06, PRDE,actvstrat=,0.640975, actvprof=,3.326030, id=,B07, PRJADE,actvstrat=,-0.507786, actvprof=,3.156305, id=,B08, PRDE,actvstrat=,0.940003, actvprof=,1.897116, id=,B09, PRJADE,actvstrat=,0.930072, actvprof=,2.037813, id=,B10, PRJADE,actvstrat=,-0.602683, actvprof=,3.764788, id=,B11, PRDE,actvstrat=,-0.361170, actvprof=,3.089637, id=,S00, PRDE,actvstrat=,-0.606183, actvprof=,2.854911, id=,S01, PRJADE,actvstrat=,0.584246, actvprof=,8.244865, id=,S02, PRDE,actvstrat=,0.877396, actvprof=,9.881560, id=,S03, PRJADE,actvstrat=,-0.157032, actvprof=,3.947152, id=,S04, PRJADE,actvstrat=,0.635239, actvprof=,8.682929, id=,S05, PRDE,actvstrat=,-0.025530, actvprof=,5.401899, id=,S06, PRJADE,actvstrat=,-0.876240, actvprof=,0.971961, id=,S07, PRJADE,actvstrat=,0.592353, actvprof=,8.318894, id=,S08, PRDE,actvstrat=,0.283556, actvprof=,6.851508, id=,S09, PRDE,actvstrat=,0.983101, actvprof=,9.406136, id=,S10, PRDE,actvstrat=,0.440801, actvprof=,7.498602, id=,S11, PRJADE,actvstrat=,0.676515, actvprof=,8.848765, best_B_id=,B00, best_B_prof=,3.937846, best_B_strat=,-0.730322, best_S_id=,S02, best_S_prof=,9.881560, best_S_strat=,0.877396, 
t=,25200, id=,B00, PRJADE,actvstrat=,0.164702, actvprof=,2.883433, id=,B01, PRDE,actvstrat=,0.757925, actvprof=,3.060662, id=,B02, PRDE,actvstrat=,-0.529751, actvprof=,3.111219, id=,B03, PRDE,actvstrat=,0.573909, actvprof=,3.274558, id=,B04, PRJADE,actvstrat=,0.033044, actvprof=,2.531755, id=,B05, PRJADE,actvstrat=,1.000000, actvprof=,1.206431, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.135664, id=,B07, PRJADE,actvstrat=,-0.490981, actvprof=,3.043439, id=,B08, PRDE,actvstrat=,-0.004916, actvprof=,2.868155, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,1.238932, id=,B10, PRJADE,actvstrat=,0.396141, actvprof=,3.001215, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,2.840376, id=,S00, PRDE,actvstrat=,0.962420, actvprof=,10.727039, id=,S01, PRJADE,actvstrat=,0.619484, actvprof=,9.322268, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.452585, id=,S03, PRJADE,actvstrat=,-0.660079, actvprof=,3.256502, id=,S04, PRJADE,actvstrat=,0.159054, actvprof=,6.770235, id=,S05, PRDE,actvstrat=,0.849176, actvprof=,10.966214, id=,S06, PRJADE,actvstrat=,0.213022, actvprof=,6.832182, id=,S07, PRJADE,actvstrat=,0.794253, actvprof=,10.652592, id=,S08, PRDE,actvstrat=,0.242203, actvprof=,7.357478, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.853224, id=,S10, PRDE,actvstrat=,-0.820669, actvprof=,1.513386, id=,S11, PRJADE,actvstrat=,0.880617, actvprof=,10.793708, best_B_id=,B03, best_B_prof=,3.274558, best_B_strat=,0.573909, best_S_id=,S05, best_S_prof=,10.966214, best_S_strat=,0.849176, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.164702, actvprof=,2.939079, id=,B01, PRDE,actvstrat=,0.757925, actvprof=,3.013386, id=,B02, PRDE,actvstrat=,-0.529751, actvprof=,3.125749, id=,B03, PRDE,actvstrat=,0.573909, actvprof=,3.217278, id=,B04, PRJADE,actvstrat=,0.033044, actvprof=,2.578378, id=,B05, PRJADE,actvstrat=,1.000000, actvprof=,1.295717, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.185889, id=,B07, PRJADE,actvstrat=,-0.490981, actvprof=,3.040053, id=,B08, PRDE,actvstrat=,-0.004916, actvprof=,2.720325, id=,B09, PRJADE,actvstrat=,1.000000, actvprof=,1.319745, id=,B10, PRJADE,actvstrat=,0.396141, actvprof=,2.990885, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,2.949912, id=,S00, PRDE,actvstrat=,0.962420, actvprof=,10.553517, id=,S01, PRJADE,actvstrat=,0.619484, actvprof=,9.239188, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,10.490321, id=,S03, PRJADE,actvstrat=,-0.660079, actvprof=,3.016997, id=,S04, PRJADE,actvstrat=,0.159054, actvprof=,6.879147, id=,S05, PRDE,actvstrat=,0.849176, actvprof=,10.878244, id=,S06, PRJADE,actvstrat=,0.213022, actvprof=,7.039428, id=,S07, PRJADE,actvstrat=,0.794253, actvprof=,10.431987, id=,S08, PRDE,actvstrat=,0.242203, actvprof=,7.480130, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,4.638692, id=,S10, PRDE,actvstrat=,-0.820669, actvprof=,1.525026, id=,S11, PRJADE,actvstrat=,0.880617, actvprof=,10.908662, best_B_id=,B03, best_B_prof=,3.217278, best_B_strat=,0.573909, best_S_id=,S11, best_S_prof=,10.908662, best_S_strat=,0.880617, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.711449, actvprof=,3.766607, id=,B01, PRDE,actvstrat=,-0.823536, actvprof=,4.346363, id=,B02, PRDE,actvstrat=,0.513231, actvprof=,3.584652, id=,B03, PRDE,actvstrat=,0.843978, actvprof=,3.171572, id=,B04, PRJADE,actvstrat=,-0.599423, actvprof=,3.841056, id=,B05, PRJADE,actvstrat=,-0.043845, actvprof=,2.968227, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,4.191631, id=,B07, PRJADE,actvstrat=,-0.490981, actvprof=,3.443533, id=,B08, PRDE,actvstrat=,-0.004916, actvprof=,3.240743, id=,B09, PRJADE,actvstrat=,0.110173, actvprof=,3.316025, id=,B10, PRJADE,actvstrat=,-0.167110, actvprof=,3.191296, id=,B11, PRDE,actvstrat=,0.036670, actvprof=,2.894890, id=,S00, PRDE,actvstrat=,0.906983, actvprof=,9.156085, id=,S01, PRJADE,actvstrat=,0.679497, actvprof=,7.961572, id=,S02, PRDE,actvstrat=,-0.257968, actvprof=,3.334082, id=,S03, PRJADE,actvstrat=,0.586370, actvprof=,7.444875, id=,S04, PRJADE,actvstrat=,0.159054, actvprof=,5.208357, id=,S05, PRDE,actvstrat=,0.849176, actvprof=,9.224978, id=,S06, PRJADE,actvstrat=,0.213022, actvprof=,5.581156, id=,S07, PRJADE,actvstrat=,0.635342, actvprof=,7.764338, id=,S08, PRDE,actvstrat=,-0.634887, actvprof=,2.077620, id=,S09, PRDE,actvstrat=,0.541262, actvprof=,7.417929, id=,S10, PRDE,actvstrat=,0.694056, actvprof=,8.295480, id=,S11, PRJADE,actvstrat=,0.251348, actvprof=,5.961734, best_B_id=,B01, best_B_prof=,4.346363, best_B_strat=,-0.823536, best_S_id=,S05, best_S_prof=,9.224978, best_S_strat=,0.849176, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.711449, actvprof=,3.617167, id=,B01, PRDE,actvstrat=,-0.823536, actvprof=,4.394824, id=,B02, PRDE,actvstrat=,0.513231, actvprof=,3.575638, id=,B03, PRDE,actvstrat=,0.843978, actvprof=,3.116461, id=,B04, PRJADE,actvstrat=,-0.599423, actvprof=,3.700780, id=,B05, PRJADE,actvstrat=,-0.043845, actvprof=,3.091877, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,4.269404, id=,B07, PRJADE,actvstrat=,-0.490981, actvprof=,3.385495, id=,B08, PRDE,actvstrat=,-0.004916, actvprof=,3.109933, id=,B09, PRJADE,actvstrat=,0.110173, actvprof=,3.283270, id=,B10, PRJADE,actvstrat=,-0.167110, actvprof=,3.216463, id=,B11, PRDE,actvstrat=,0.036670, actvprof=,2.837010, id=,S00, PRDE,actvstrat=,0.906983, actvprof=,9.122711, id=,S01, PRJADE,actvstrat=,0.679497, actvprof=,8.046158, id=,S02, PRDE,actvstrat=,-0.257968, actvprof=,3.349661, id=,S03, PRJADE,actvstrat=,0.586370, actvprof=,7.501563, id=,S04, PRJADE,actvstrat=,0.159054, actvprof=,5.270816, id=,S05, PRDE,actvstrat=,0.849176, actvprof=,9.142295, id=,S06, PRJADE,actvstrat=,0.213022, actvprof=,5.661242, id=,S07, PRJADE,actvstrat=,0.635342, actvprof=,7.898377, id=,S08, PRDE,actvstrat=,-0.634887, actvprof=,2.246441, id=,S09, PRDE,actvstrat=,0.541262, actvprof=,7.264057, id=,S10, PRDE,actvstrat=,0.694056, actvprof=,8.222135, id=,S11, PRJADE,actvstrat=,0.251348, actvprof=,5.867914, best_B_id=,B01, best_B_prof=,4.394824, best_B_strat=,-0.823536, best_S_id=,S05, best_S_prof=,9.142295, best_S_strat=,0.849176, 
