t=,1, id=,B00, PRJADE,actvstrat=,-0.694545, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.255349, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.534086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.861111, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.397727, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.648627, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.334210, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.948455, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.945818, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.697515, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.263857, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.951718, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.275520, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.497379, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.543660, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.877817, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.401066, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.395009, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.603724, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.841480, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.037122, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.411730, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.058231, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.512979, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.694545, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.275520, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.694545, actvprof=,1.735535, id=,B01, PRDE,actvstrat=,0.255349, actvprof=,1.598593, id=,B02, PRDE,actvstrat=,0.534086, actvprof=,2.069143, id=,B03, PRDE,actvstrat=,-0.861111, actvprof=,2.283585, id=,B04, PRJADE,actvstrat=,-0.397727, actvprof=,1.376651, id=,B05, PRDE,actvstrat=,0.648627, actvprof=,2.200530, id=,B06, PRJADE,actvstrat=,-0.334210, actvprof=,1.332762, id=,B07, PRJADE,actvstrat=,-0.948455, actvprof=,2.539971, id=,B08, PRDE,actvstrat=,0.945818, actvprof=,1.400539, id=,B09, PRJADE,actvstrat=,0.697515, actvprof=,2.089698, id=,B10, PRJADE,actvstrat=,-0.263857, actvprof=,1.284430, id=,B11, PRDE,actvstrat=,0.951718, actvprof=,1.377484, id=,S00, PRDE,actvstrat=,-0.275520, actvprof=,6.571868, id=,S01, PRJADE,actvstrat=,-0.497379, actvprof=,5.947987, id=,S02, PRDE,actvstrat=,-0.543660, actvprof=,5.772433, id=,S03, PRDE,actvstrat=,-0.877817, actvprof=,2.255252, id=,S04, PRJADE,actvstrat=,-0.401066, actvprof=,6.182428, id=,S05, PRDE,actvstrat=,-0.395009, actvprof=,6.156873, id=,S06, PRDE,actvstrat=,-0.603724, actvprof=,5.236606, id=,S07, PRDE,actvstrat=,0.841480, actvprof=,11.181259, id=,S08, PRJADE,actvstrat=,0.037122, actvprof=,8.166850, id=,S09, PRJADE,actvstrat=,-0.411730, actvprof=,6.097707, id=,S10, PRJADE,actvstrat=,-0.058231, actvprof=,7.494358, id=,S11, PRJADE,actvstrat=,0.512979, actvprof=,10.046273, best_B_id=,B07, best_B_prof=,2.539971, best_B_strat=,-0.948455, best_S_id=,S07, best_S_prof=,11.181259, best_S_strat=,0.841480, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.278424, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.917144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.299639, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590335, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.942742, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.868004, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.661947, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.263700, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.299466, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.068743, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.183212, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.764702, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.466071, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.141749, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.082796, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.313357, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.617306, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.500483, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.308024, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.125670, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.937863, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.021428, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.798492, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.851980, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.278424, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.466071, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.278424, actvprof=,2.183586, id=,B01, PRDE,actvstrat=,-0.917144, actvprof=,3.405794, id=,B02, PRDE,actvstrat=,0.299639, actvprof=,2.524415, id=,B03, PRDE,actvstrat=,0.590335, actvprof=,2.776912, id=,B04, PRJADE,actvstrat=,-0.942742, actvprof=,3.300795, id=,B05, PRDE,actvstrat=,0.868004, actvprof=,2.209419, id=,B06, PRJADE,actvstrat=,-0.661947, actvprof=,2.484693, id=,B07, PRJADE,actvstrat=,0.263700, actvprof=,2.434416, id=,B08, PRDE,actvstrat=,0.299466, actvprof=,2.272474, id=,B09, PRJADE,actvstrat=,0.068743, actvprof=,1.928033, id=,B10, PRJADE,actvstrat=,-0.183212, actvprof=,2.019421, id=,B11, PRDE,actvstrat=,-0.764702, actvprof=,2.748024, id=,S00, PRDE,actvstrat=,-0.466071, actvprof=,4.546892, id=,S01, PRJADE,actvstrat=,0.141749, actvprof=,7.812410, id=,S02, PRDE,actvstrat=,0.082796, actvprof=,6.776310, id=,S03, PRDE,actvstrat=,-0.313357, actvprof=,4.712723, id=,S04, PRJADE,actvstrat=,0.617306, actvprof=,9.487668, id=,S05, PRDE,actvstrat=,-0.500483, actvprof=,5.051886, id=,S06, PRDE,actvstrat=,-0.308024, actvprof=,4.918276, id=,S07, PRDE,actvstrat=,-0.125670, actvprof=,5.867710, id=,S08, PRJADE,actvstrat=,0.937863, actvprof=,10.169605, id=,S09, PRJADE,actvstrat=,0.021428, actvprof=,6.877420, id=,S10, PRJADE,actvstrat=,-0.798492, actvprof=,2.611081, id=,S11, PRJADE,actvstrat=,0.851980, actvprof=,10.167660, best_B_id=,B01, best_B_prof=,3.405794, best_B_strat=,-0.917144, best_S_id=,S08, best_S_prof=,10.169605, best_S_strat=,0.937863, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.040926, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.007801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.224558, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.879706, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.021156, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.440775, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.501955, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.464883, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.559622, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.337632, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.183212, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.764702, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.103538, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.141749, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.486914, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.969127, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.617306, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.544413, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.992126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.705695, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.937863, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.442404, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.309543, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.809200, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.040926, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.103538, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.040926, actvprof=,1.869701, id=,B01, PRDE,actvstrat=,-0.007801, actvprof=,1.862756, id=,B02, PRDE,actvstrat=,-0.224558, actvprof=,1.605259, id=,B03, PRDE,actvstrat=,-0.879706, actvprof=,2.941633, id=,B04, PRJADE,actvstrat=,-0.021156, actvprof=,1.719147, id=,B05, PRDE,actvstrat=,0.440775, actvprof=,2.243585, id=,B06, PRJADE,actvstrat=,0.501955, actvprof=,2.379972, id=,B07, PRJADE,actvstrat=,0.464883, actvprof=,2.368584, id=,B08, PRDE,actvstrat=,-0.559622, actvprof=,1.697203, id=,B09, PRJADE,actvstrat=,0.337632, actvprof=,2.102753, id=,B10, PRJADE,actvstrat=,-0.183212, actvprof=,1.589148, id=,B11, PRDE,actvstrat=,-0.764702, actvprof=,2.368584, id=,S00, PRDE,actvstrat=,-0.103538, actvprof=,4.766056, id=,S01, PRJADE,actvstrat=,0.141749, actvprof=,6.403537, id=,S02, PRDE,actvstrat=,0.486914, actvprof=,7.926853, id=,S03, PRDE,actvstrat=,-0.969127, actvprof=,1.864423, id=,S04, PRJADE,actvstrat=,0.617306, actvprof=,8.615456, id=,S05, PRDE,actvstrat=,0.544413, actvprof=,8.329348, id=,S06, PRDE,actvstrat=,-0.992126, actvprof=,3.809400, id=,S07, PRDE,actvstrat=,-0.705695, actvprof=,3.008299, id=,S08, PRJADE,actvstrat=,0.937863, actvprof=,10.232937, id=,S09, PRJADE,actvstrat=,-0.442404, actvprof=,3.121075, id=,S10, PRJADE,actvstrat=,-0.309543, actvprof=,3.678291, id=,S11, PRJADE,actvstrat=,-0.809200, actvprof=,1.672758, best_B_id=,B03, best_B_prof=,2.941633, best_B_strat=,-0.879706, best_S_id=,S08, best_S_prof=,10.232937, best_S_strat=,0.937863, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.040926, actvprof=,1.844733, id=,B01, PRDE,actvstrat=,-0.007801, actvprof=,1.836400, id=,B02, PRDE,actvstrat=,-0.224558, actvprof=,1.662926, id=,B03, PRDE,actvstrat=,-0.879706, actvprof=,3.114185, id=,B04, PRJADE,actvstrat=,-0.021156, actvprof=,1.732649, id=,B05, PRDE,actvstrat=,0.440775, actvprof=,2.358903, id=,B06, PRJADE,actvstrat=,0.501955, actvprof=,2.316263, id=,B07, PRJADE,actvstrat=,0.464883, actvprof=,2.381680, id=,B08, PRDE,actvstrat=,-0.559622, actvprof=,1.774871, id=,B09, PRJADE,actvstrat=,0.337632, actvprof=,2.136401, id=,B10, PRJADE,actvstrat=,-0.183212, actvprof=,1.664315, id=,B11, PRDE,actvstrat=,-0.764702, actvprof=,2.340986, id=,S00, PRDE,actvstrat=,-0.103538, actvprof=,4.690999, id=,S01, PRJADE,actvstrat=,0.141749, actvprof=,6.463371, id=,S02, PRDE,actvstrat=,0.486914, actvprof=,7.969074, id=,S03, PRDE,actvstrat=,-0.969127, actvprof=,1.839038, id=,S04, PRJADE,actvstrat=,0.617306, actvprof=,8.857829, id=,S05, PRDE,actvstrat=,0.544413, actvprof=,8.312270, id=,S06, PRDE,actvstrat=,-0.992126, actvprof=,3.760855, id=,S07, PRDE,actvstrat=,-0.705695, actvprof=,2.925434, id=,S08, PRJADE,actvstrat=,0.937863, actvprof=,10.192698, id=,S09, PRJADE,actvstrat=,-0.442404, actvprof=,3.296130, id=,S10, PRJADE,actvstrat=,-0.309543, actvprof=,3.685994, id=,S11, PRJADE,actvstrat=,-0.809200, actvprof=,1.686954, best_B_id=,B03, best_B_prof=,3.114185, best_B_strat=,-0.879706, best_S_id=,S08, best_S_prof=,10.192698, best_S_strat=,0.937863, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.070797, actvprof=,2.642253, id=,B01, PRDE,actvstrat=,-0.823859, actvprof=,3.791155, id=,B02, PRDE,actvstrat=,0.284429, actvprof=,2.913089, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,3.431151, id=,B04, PRJADE,actvstrat=,0.022295, actvprof=,2.611697, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.523907, id=,B06, PRJADE,actvstrat=,0.223333, actvprof=,2.706976, id=,B07, PRJADE,actvstrat=,0.235388, actvprof=,2.639197, id=,B08, PRDE,actvstrat=,-0.762383, actvprof=,3.565319, id=,B09, PRJADE,actvstrat=,0.283095, actvprof=,2.816144, id=,B10, PRJADE,actvstrat=,-0.224379, actvprof=,2.421139, id=,B11, PRDE,actvstrat=,0.872532, actvprof=,2.535585, id=,S00, PRDE,actvstrat=,-0.698254, actvprof=,2.778643, id=,S01, PRJADE,actvstrat=,0.199894, actvprof=,6.562298, id=,S02, PRDE,actvstrat=,0.608109, actvprof=,8.919825, id=,S03, PRDE,actvstrat=,0.399607, actvprof=,7.505087, id=,S04, PRJADE,actvstrat=,0.615034, actvprof=,8.788435, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,5.917568, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,6.191183, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,9.882337, id=,S08, PRJADE,actvstrat=,-0.031845, actvprof=,5.159782, id=,S09, PRJADE,actvstrat=,-0.232949, actvprof=,3.664765, id=,S10, PRJADE,actvstrat=,0.407136, actvprof=,7.768701, id=,S11, PRJADE,actvstrat=,1.000000, actvprof=,9.954004, best_B_id=,B01, best_B_prof=,3.791155, best_B_strat=,-0.823859, best_S_id=,S11, best_S_prof=,9.954004, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.572718, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.917144, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.284429, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.358040, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.868004, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.223333, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.235388, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.762383, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.283095, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.016882, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.030079, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.557834, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.940523, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.608109, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.313357, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.615034, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.584330, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.991934, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.379710, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.679040, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.021428, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.407136, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.851980, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.572718, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.557834, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.572718, actvprof=,1.983101, id=,B01, PRDE,actvstrat=,-0.917144, actvprof=,2.560615, id=,B02, PRDE,actvstrat=,0.284429, actvprof=,1.738374, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,2.517003, id=,B04, PRJADE,actvstrat=,0.358040, actvprof=,1.686706, id=,B05, PRDE,actvstrat=,0.868004, actvprof=,1.818931, id=,B06, PRJADE,actvstrat=,0.223333, actvprof=,1.597815, id=,B07, PRJADE,actvstrat=,0.235388, actvprof=,1.580592, id=,B08, PRDE,actvstrat=,-0.762383, actvprof=,2.132827, id=,B09, PRJADE,actvstrat=,0.283095, actvprof=,1.701150, id=,B10, PRJADE,actvstrat=,0.016882, actvprof=,1.363087, id=,B11, PRDE,actvstrat=,0.030079, actvprof=,1.405033, id=,S00, PRDE,actvstrat=,-0.557834, actvprof=,3.305077, id=,S01, PRJADE,actvstrat=,-0.940523, actvprof=,0.781129, id=,S02, PRDE,actvstrat=,0.608109, actvprof=,9.614945, id=,S03, PRDE,actvstrat=,-0.313357, actvprof=,4.031482, id=,S04, PRJADE,actvstrat=,0.615034, actvprof=,9.639945, id=,S05, PRDE,actvstrat=,-0.584330, actvprof=,3.229519, id=,S06, PRDE,actvstrat=,-0.991934, actvprof=,3.016736, id=,S07, PRDE,actvstrat=,0.379710, actvprof=,8.173245, id=,S08, PRJADE,actvstrat=,0.679040, actvprof=,10.138568, id=,S09, PRJADE,actvstrat=,0.021428, actvprof=,6.339869, id=,S10, PRJADE,actvstrat=,0.407136, actvprof=,8.313526, id=,S11, PRJADE,actvstrat=,0.851980, actvprof=,11.221926, best_B_id=,B01, best_B_prof=,2.560615, best_B_strat=,-0.917144, best_S_id=,S11, best_S_prof=,11.221926, best_S_strat=,0.851980, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.404063, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.823751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.139580, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.340037, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.292438, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.102772, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.357365, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.578583, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.135943, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.957412, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.465552, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.362783, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.613314, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.435145, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.566041, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.112179, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.173801, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.507942, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.404063, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.957412, 
