t=,0, id=,B00, PRJADE,actvstrat=,0.057157, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.676750, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.715752, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.046221, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.682227, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.664242, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.685295, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.619150, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.848756, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.467495, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.465970, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.235766, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.948445, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.605386, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.220916, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.557737, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.644404, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.855508, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.808487, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.667281, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.728986, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.019325, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.348383, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.980165, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.057157, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.948445, 
t=,3600, id=,B00, PRJADE,actvstrat=,0.057157, actvprof=,2.131895, id=,B01, PRJADE,actvstrat=,-0.676750, actvprof=,2.832434, id=,B02, PRDE,actvstrat=,0.715752, actvprof=,2.487998, id=,B03, PRDE,actvstrat=,0.046221, actvprof=,2.099118, id=,B04, PRJADE,actvstrat=,0.682227, actvprof=,2.727992, id=,B05, PRJADE,actvstrat=,0.664242, actvprof=,2.620773, id=,B06, PRJADE,actvstrat=,-0.685295, actvprof=,2.761325, id=,B07, PRDE,actvstrat=,0.619150, actvprof=,2.580774, id=,B08, PRDE,actvstrat=,-0.848756, actvprof=,3.592417, id=,B09, PRJADE,actvstrat=,-0.467495, actvprof=,2.232726, id=,B10, PRDE,actvstrat=,-0.465970, actvprof=,2.098840, id=,B11, PRDE,actvstrat=,0.235766, actvprof=,2.530219, id=,S00, PRDE,actvstrat=,0.948445, actvprof=,10.279206, id=,S01, PRJADE,actvstrat=,-0.605386, actvprof=,2.862989, id=,S02, PRDE,actvstrat=,-0.220916, actvprof=,4.026018, id=,S03, PRJADE,actvstrat=,-0.557737, actvprof=,3.236592, id=,S04, PRJADE,actvstrat=,0.644404, actvprof=,9.294785, id=,S05, PRDE,actvstrat=,-0.855508, actvprof=,0.909701, id=,S06, PRDE,actvstrat=,0.808487, actvprof=,10.103099, id=,S07, PRDE,actvstrat=,0.667281, actvprof=,9.093401, id=,S08, PRDE,actvstrat=,-0.728986, actvprof=,2.076896, id=,S09, PRJADE,actvstrat=,-0.019325, actvprof=,5.696257, id=,S10, PRJADE,actvstrat=,0.348383, actvprof=,7.270665, id=,S11, PRJADE,actvstrat=,0.980165, actvprof=,10.273651, best_B_id=,B08, best_B_prof=,3.592417, best_B_strat=,-0.848756, best_S_id=,S00, best_S_prof=,10.279206, best_S_strat=,0.948445, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.354256, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.230465, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.946380, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.031035, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.689730, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.588403, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.817403, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.096703, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.504494, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.247884, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.300453, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.738161, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.804353, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.199214, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.386079, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.293168, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.286499, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.178335, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.750384, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.745220, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.971605, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.182915, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.030934, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.976712, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.354256, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.804353, 
t=,10800, id=,B00, PRJADE,actvstrat=,0.354256, actvprof=,1.621648, id=,B01, PRJADE,actvstrat=,0.230465, actvprof=,1.666647, id=,B02, PRDE,actvstrat=,-0.946380, actvprof=,2.700524, id=,B03, PRDE,actvstrat=,-0.031035, actvprof=,1.399706, id=,B04, PRJADE,actvstrat=,0.689730, actvprof=,1.929700, id=,B05, PRJADE,actvstrat=,0.588403, actvprof=,2.055254, id=,B06, PRJADE,actvstrat=,-0.817403, actvprof=,2.181086, id=,B07, PRDE,actvstrat=,-0.096703, actvprof=,1.581648, id=,B08, PRDE,actvstrat=,-0.504494, actvprof=,1.190264, id=,B09, PRJADE,actvstrat=,0.247884, actvprof=,1.702480, id=,B10, PRDE,actvstrat=,0.300453, actvprof=,1.614148, id=,B11, PRDE,actvstrat=,-0.738161, actvprof=,2.014143, id=,S00, PRDE,actvstrat=,0.804353, actvprof=,10.706821, id=,S01, PRJADE,actvstrat=,-0.199214, actvprof=,3.778567, id=,S02, PRDE,actvstrat=,0.386079, actvprof=,7.865187, id=,S03, PRJADE,actvstrat=,0.293168, actvprof=,7.423525, id=,S04, PRJADE,actvstrat=,-0.286499, actvprof=,3.710235, id=,S05, PRDE,actvstrat=,-0.178335, actvprof=,4.079119, id=,S06, PRDE,actvstrat=,-0.750384, actvprof=,2.386083, id=,S07, PRDE,actvstrat=,-0.745220, actvprof=,2.463860, id=,S08, PRDE,actvstrat=,-0.971605, actvprof=,1.386373, id=,S09, PRJADE,actvstrat=,0.182915, actvprof=,6.868809, id=,S10, PRJADE,actvstrat=,-0.030934, actvprof=,5.887710, id=,S11, PRJADE,actvstrat=,0.976712, actvprof=,10.852097, best_B_id=,B02, best_B_prof=,2.700524, best_B_strat=,-0.946380, best_S_id=,S11, best_S_prof=,10.852097, best_S_strat=,0.976712, 
t=,14400, id=,B00, PRJADE,actvstrat=,0.354256, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.230465, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.733372, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.870211, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.665385, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.193286, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.768995, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.096703, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.041869, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.552459, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.088096, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.214890, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.619212, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.153205, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.101878, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.993701, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.116501, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.414548, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.808487, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.828861, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.549190, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.998796, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.948177, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.385160, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.354256, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.619212, 
t=,18000, id=,B00, PRJADE,actvstrat=,0.354256, actvprof=,3.120242, id=,B01, PRJADE,actvstrat=,0.230465, actvprof=,2.998299, id=,B02, PRDE,actvstrat=,0.733372, actvprof=,2.933577, id=,B03, PRDE,actvstrat=,0.870211, actvprof=,2.552748, id=,B04, PRJADE,actvstrat=,0.665385, actvprof=,3.219407, id=,B05, PRJADE,actvstrat=,0.193286, actvprof=,3.006910, id=,B06, PRJADE,actvstrat=,-0.768995, actvprof=,4.134397, id=,B07, PRDE,actvstrat=,-0.096703, actvprof=,2.860800, id=,B08, PRDE,actvstrat=,-0.041869, actvprof=,2.606359, id=,B09, PRJADE,actvstrat=,-0.552459, actvprof=,3.196907, id=,B10, PRDE,actvstrat=,-0.088096, actvprof=,2.980521, id=,B11, PRDE,actvstrat=,-0.214890, actvprof=,2.748024, id=,S00, PRDE,actvstrat=,0.619212, actvprof=,8.393236, id=,S01, PRJADE,actvstrat=,0.153205, actvprof=,6.136873, id=,S02, PRDE,actvstrat=,0.101878, actvprof=,5.765767, id=,S03, PRJADE,actvstrat=,0.993701, actvprof=,9.862108, id=,S04, PRJADE,actvstrat=,0.116501, actvprof=,6.172706, id=,S05, PRDE,actvstrat=,-0.414548, actvprof=,2.979966, id=,S06, PRDE,actvstrat=,0.808487, actvprof=,9.631833, id=,S07, PRDE,actvstrat=,0.828861, actvprof=,9.473224, id=,S08, PRDE,actvstrat=,-0.549190, actvprof=,2.546637, id=,S09, PRJADE,actvstrat=,-0.998796, actvprof=,4.831333, id=,S10, PRJADE,actvstrat=,0.948177, actvprof=,9.846553, id=,S11, PRJADE,actvstrat=,-0.385160, actvprof=,2.889133, best_B_id=,B06, best_B_prof=,4.134397, best_B_strat=,-0.768995, best_S_id=,S03, best_S_prof=,9.862108, best_S_strat=,0.993701, 
t=,21600, id=,B00, PRJADE,actvstrat=,0.521738, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.081380, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.269888, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.386122, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.685937, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,0.572549, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.134674, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.171723, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.209287, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.300564, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.708228, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.272801, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.980396, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.018212, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.203800, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.713571, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.826594, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.325606, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.200219, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,-0.040859, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.906164, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.890332, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.521738, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.980396, 
t=,25200, id=,B00, PRJADE,actvstrat=,0.521738, actvprof=,3.578333, id=,B01, PRJADE,actvstrat=,0.081380, actvprof=,3.095000, id=,B02, PRDE,actvstrat=,-0.269888, actvprof=,2.868611, id=,B03, PRDE,actvstrat=,-0.386122, actvprof=,3.040000, id=,B04, PRJADE,actvstrat=,0.685937, actvprof=,3.347778, id=,B05, PRJADE,actvstrat=,0.572549, actvprof=,3.325000, id=,B06, PRJADE,actvstrat=,-0.134674, actvprof=,2.966111, id=,B07, PRDE,actvstrat=,-0.171723, actvprof=,2.898056, id=,B08, PRDE,actvstrat=,-0.209287, actvprof=,3.043333, id=,B09, PRJADE,actvstrat=,0.300564, actvprof=,3.377500, id=,B10, PRDE,actvstrat=,-0.708228, actvprof=,3.643056, id=,B11, PRDE,actvstrat=,-0.272801, actvprof=,2.817500, id=,S00, PRDE,actvstrat=,-0.980396, actvprof=,2.593333, id=,S01, PRJADE,actvstrat=,0.018212, actvprof=,5.038889, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.945000, id=,S03, PRJADE,actvstrat=,0.203800, actvprof=,5.620556, id=,S04, PRJADE,actvstrat=,0.713571, actvprof=,8.549167, id=,S05, PRDE,actvstrat=,-0.826594, actvprof=,1.550556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.249722, id=,S07, PRDE,actvstrat=,0.325606, actvprof=,6.344444, id=,S08, PRDE,actvstrat=,-0.200219, actvprof=,2.995278, id=,S09, PRJADE,actvstrat=,-0.040859, actvprof=,4.701389, id=,S10, PRJADE,actvstrat=,0.906164, actvprof=,9.178333, id=,S11, PRJADE,actvstrat=,0.890332, actvprof=,9.521944, best_B_id=,B10, best_B_prof=,3.643056, best_B_strat=,-0.708228, best_S_id=,S11, best_S_prof=,9.521944, best_S_strat=,0.890332, 
t=,28800, id=,B00, PRJADE,actvstrat=,0.521738, actvprof=,3.466826, id=,B01, PRJADE,actvstrat=,0.081380, actvprof=,3.044462, id=,B02, PRDE,actvstrat=,-0.269888, actvprof=,2.836683, id=,B03, PRDE,actvstrat=,-0.386122, actvprof=,2.981684, id=,B04, PRJADE,actvstrat=,0.685937, actvprof=,3.365019, id=,B05, PRJADE,actvstrat=,0.572549, actvprof=,3.433631, id=,B06, PRJADE,actvstrat=,-0.134674, actvprof=,2.885017, id=,B07, PRDE,actvstrat=,-0.171723, actvprof=,2.980295, id=,B08, PRDE,actvstrat=,-0.209287, actvprof=,2.911128, id=,B09, PRJADE,actvstrat=,0.300564, actvprof=,3.308214, id=,B10, PRDE,actvstrat=,-0.708228, actvprof=,3.759744, id=,B11, PRDE,actvstrat=,-0.272801, actvprof=,2.896683, id=,S00, PRDE,actvstrat=,-0.980396, actvprof=,2.492376, id=,S01, PRJADE,actvstrat=,0.018212, actvprof=,5.036835, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,8.907552, id=,S03, PRJADE,actvstrat=,0.203800, actvprof=,5.593782, id=,S04, PRJADE,actvstrat=,0.713571, actvprof=,8.557966, id=,S05, PRDE,actvstrat=,-0.826594, actvprof=,1.333341, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.159335, id=,S07, PRDE,actvstrat=,0.325606, actvprof=,6.337259, id=,S08, PRDE,actvstrat=,-0.200219, actvprof=,3.197241, id=,S09, PRJADE,actvstrat=,-0.040859, actvprof=,4.532943, id=,S10, PRJADE,actvstrat=,0.906164, actvprof=,9.400888, id=,S11, PRJADE,actvstrat=,0.890332, actvprof=,9.492833, best_B_id=,B10, best_B_prof=,3.759744, best_B_strat=,-0.708228, best_S_id=,S11, best_S_prof=,9.492833, best_S_strat=,0.890332, 
t=,32400, id=,B00, PRJADE,actvstrat=,0.686259, actvprof=,2.630864, id=,B01, PRJADE,actvstrat=,0.648669, actvprof=,2.679475, id=,B02, PRDE,actvstrat=,-0.269888, actvprof=,1.859466, id=,B03, PRDE,actvstrat=,-0.386122, actvprof=,1.596130, id=,B04, PRJADE,actvstrat=,0.688443, actvprof=,2.571419, id=,B05, PRJADE,actvstrat=,0.588403, actvprof=,2.698920, id=,B06, PRJADE,actvstrat=,-0.817403, actvprof=,2.798366, id=,B07, PRDE,actvstrat=,0.991119, actvprof=,1.054734, id=,B08, PRDE,actvstrat=,-0.848756, actvprof=,3.103925, id=,B09, PRJADE,actvstrat=,0.247884, actvprof=,2.191970, id=,B10, PRDE,actvstrat=,-0.708228, actvprof=,2.356972, id=,B11, PRDE,actvstrat=,-0.738161, actvprof=,2.280860, id=,S00, PRDE,actvstrat=,0.804353, actvprof=,10.242619, id=,S01, PRJADE,actvstrat=,0.018212, actvprof=,6.035625, id=,S02, PRDE,actvstrat=,-0.727480, actvprof=,2.181692, id=,S03, PRJADE,actvstrat=,-0.488825, actvprof=,3.372261, id=,S04, PRJADE,actvstrat=,0.363542, actvprof=,8.063427, id=,S05, PRDE,actvstrat=,0.767393, actvprof=,10.147062, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.517842, id=,S07, PRDE,actvstrat=,0.325606, actvprof=,7.203972, id=,S08, PRDE,actvstrat=,-0.200219, actvprof=,3.912823, id=,S09, PRJADE,actvstrat=,0.182915, actvprof=,6.868413, id=,S10, PRJADE,actvstrat=,-0.030934, actvprof=,5.612009, id=,S11, PRJADE,actvstrat=,0.890332, actvprof=,10.620401, best_B_id=,B08, best_B_prof=,3.103925, best_B_strat=,-0.848756, best_S_id=,S11, best_S_prof=,10.620401, best_S_strat=,0.890332, 
t=,36000, id=,B00, PRJADE,actvstrat=,0.686259, actvprof=,2.554306, id=,B01, PRJADE,actvstrat=,0.648669, actvprof=,2.689306, id=,B02, PRDE,actvstrat=,-0.269888, actvprof=,1.831250, id=,B03, PRDE,actvstrat=,-0.386122, actvprof=,1.653750, id=,B04, PRJADE,actvstrat=,0.688443, actvprof=,2.595417, id=,B05, PRJADE,actvstrat=,0.588403, actvprof=,2.746111, id=,B06, PRJADE,actvstrat=,-0.817403, actvprof=,2.861250, id=,B07, PRDE,actvstrat=,0.991119, actvprof=,1.109306, id=,B08, PRDE,actvstrat=,-0.848756, actvprof=,3.059167, id=,B09, PRJADE,actvstrat=,0.247884, actvprof=,2.189028, id=,B10, PRDE,actvstrat=,-0.708228, actvprof=,2.396528, id=,B11, PRDE,actvstrat=,-0.738161, actvprof=,2.388750, id=,S00, PRDE,actvstrat=,0.804353, actvprof=,10.175556, id=,S01, PRJADE,actvstrat=,0.018212, actvprof=,6.138194, id=,S02, PRDE,actvstrat=,-0.727480, actvprof=,2.294028, id=,S03, PRJADE,actvstrat=,-0.488825, actvprof=,3.400556, id=,S04, PRJADE,actvstrat=,0.363542, actvprof=,7.786667, id=,S05, PRDE,actvstrat=,0.767393, actvprof=,10.180278, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,5.736667, id=,S07, PRDE,actvstrat=,0.325606, actvprof=,7.262917, id=,S08, PRDE,actvstrat=,-0.200219, actvprof=,4.032639, id=,S09, PRJADE,actvstrat=,0.182915, actvprof=,6.680000, id=,S10, PRJADE,actvstrat=,-0.030934, actvprof=,5.658611, id=,S11, PRJADE,actvstrat=,0.890332, actvprof=,10.513056, best_B_id=,B08, best_B_prof=,3.059167, best_B_strat=,-0.848756, best_S_id=,S11, best_S_prof=,10.513056, best_S_strat=,0.890332, 
