t=,1, id=,B00, PRJADE,actvstrat=,-0.940920, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.282482, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.343743, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.164102, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.032543, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.079998, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.908745, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.977260, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.841279, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.070890, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.182474, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.379363, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.743144, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.757437, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.999065, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.856655, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.104862, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.673030, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.705530, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.416825, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.128408, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.179399, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.955429, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.752432, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.940920, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.743144, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.940920, actvprof=,3.800789, id=,B01, PRDE,actvstrat=,0.282482, actvprof=,2.763579, id=,B02, PRJADE,actvstrat=,0.343743, actvprof=,2.722746, id=,B03, PRJADE,actvstrat=,-0.164102, actvprof=,2.127753, id=,B04, PRDE,actvstrat=,-0.032543, actvprof=,2.266085, id=,B05, PRDE,actvstrat=,-0.079998, actvprof=,2.085254, id=,B06, PRJADE,actvstrat=,-0.908745, actvprof=,3.677457, id=,B07, PRDE,actvstrat=,-0.977260, actvprof=,3.783290, id=,B08, PRJADE,actvstrat=,-0.841279, actvprof=,3.216629, id=,B09, PRDE,actvstrat=,-0.070890, actvprof=,2.298029, id=,B10, PRDE,actvstrat=,-0.182474, actvprof=,2.029143, id=,B11, PRJADE,actvstrat=,0.379363, actvprof=,2.676913, id=,S00, PRDE,actvstrat=,-0.743144, actvprof=,2.656914, id=,S01, PRDE,actvstrat=,-0.757437, actvprof=,2.559693, id=,S02, PRJADE,actvstrat=,0.999065, actvprof=,9.749887, id=,S03, PRDE,actvstrat=,-0.856655, actvprof=,1.192764, id=,S04, PRDE,actvstrat=,0.104862, actvprof=,6.204095, id=,S05, PRJADE,actvstrat=,-0.673030, actvprof=,3.129130, id=,S06, PRJADE,actvstrat=,0.705530, actvprof=,9.187394, id=,S07, PRJADE,actvstrat=,-0.416825, actvprof=,3.522181, id=,S08, PRJADE,actvstrat=,0.128408, actvprof=,6.637701, id=,S09, PRDE,actvstrat=,0.179399, actvprof=,6.467981, id=,S10, PRJADE,actvstrat=,0.955429, actvprof=,9.593500, id=,S11, PRDE,actvstrat=,0.752432, actvprof=,9.427669, best_B_id=,B00, best_B_prof=,3.800789, best_B_strat=,-0.940920, best_S_id=,S02, best_S_prof=,9.749887, best_S_strat=,0.999065, 
t=,7200, id=,B00, PRJADE,actvstrat=,-0.672123, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.598619, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.366728, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.530652, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.210904, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.507131, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.421124, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.212277, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.867239, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.009179, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.544835, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.549332, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.084646, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.907488, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.724305, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.884815, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.328593, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,0.424046, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.136966, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.347999, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.546959, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.959499, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.491852, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.672123, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.084646, 
t=,10800, id=,B00, PRJADE,actvstrat=,-0.672123, actvprof=,3.384167, id=,B01, PRDE,actvstrat=,0.598619, actvprof=,3.159167, id=,B02, PRJADE,actvstrat=,-0.366728, actvprof=,2.592500, id=,B03, PRJADE,actvstrat=,0.530652, actvprof=,2.993889, id=,B04, PRDE,actvstrat=,-0.210904, actvprof=,2.399722, id=,B05, PRDE,actvstrat=,0.507131, actvprof=,3.245556, id=,B06, PRJADE,actvstrat=,-0.421124, actvprof=,2.687500, id=,B07, PRDE,actvstrat=,0.212277, actvprof=,3.041944, id=,B08, PRJADE,actvstrat=,0.867239, actvprof=,2.624167, id=,B09, PRDE,actvstrat=,0.009179, actvprof=,2.552778, id=,B10, PRDE,actvstrat=,-0.544835, actvprof=,2.691667, id=,B11, PRJADE,actvstrat=,-0.549332, actvprof=,2.904167, id=,S00, PRDE,actvstrat=,0.084646, actvprof=,5.570556, id=,S01, PRDE,actvstrat=,-0.907488, actvprof=,0.844167, id=,S02, PRJADE,actvstrat=,0.724305, actvprof=,8.838333, id=,S03, PRDE,actvstrat=,-0.884815, actvprof=,1.066111, id=,S04, PRDE,actvstrat=,0.328593, actvprof=,6.822778, id=,S05, PRJADE,actvstrat=,0.424046, actvprof=,7.408611, id=,S06, PRJADE,actvstrat=,0.136966, actvprof=,5.781944, id=,S07, PRJADE,actvstrat=,-0.347999, actvprof=,3.276111, id=,S08, PRJADE,actvstrat=,0.546959, actvprof=,7.936667, id=,S09, PRDE,actvstrat=,0.959499, actvprof=,9.575278, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,8.546944, id=,S11, PRDE,actvstrat=,0.491852, actvprof=,7.610833, best_B_id=,B00, best_B_prof=,3.384167, best_B_strat=,-0.672123, best_S_id=,S09, best_S_prof=,9.575278, best_S_strat=,0.959499, 
t=,14400, id=,B00, PRJADE,actvstrat=,-0.672123, actvprof=,3.341806, id=,B01, PRDE,actvstrat=,0.598619, actvprof=,3.024444, id=,B02, PRJADE,actvstrat=,-0.366728, actvprof=,2.638333, id=,B03, PRJADE,actvstrat=,0.530652, actvprof=,3.027639, id=,B04, PRDE,actvstrat=,-0.210904, actvprof=,2.385417, id=,B05, PRDE,actvstrat=,0.507131, actvprof=,3.213056, id=,B06, PRJADE,actvstrat=,-0.421124, actvprof=,2.721528, id=,B07, PRDE,actvstrat=,0.212277, actvprof=,2.868472, id=,B08, PRJADE,actvstrat=,0.867239, actvprof=,2.496528, id=,B09, PRDE,actvstrat=,0.009179, actvprof=,2.476111, id=,B10, PRDE,actvstrat=,-0.544835, actvprof=,2.774583, id=,B11, PRJADE,actvstrat=,-0.549332, actvprof=,2.930139, id=,S00, PRDE,actvstrat=,0.084646, actvprof=,5.573472, id=,S01, PRDE,actvstrat=,-0.907488, actvprof=,0.845556, id=,S02, PRJADE,actvstrat=,0.724305, actvprof=,8.860278, id=,S03, PRDE,actvstrat=,-0.884815, actvprof=,0.969028, id=,S04, PRDE,actvstrat=,0.328593, actvprof=,6.789722, id=,S05, PRJADE,actvstrat=,0.424046, actvprof=,7.329722, id=,S06, PRJADE,actvstrat=,0.136966, actvprof=,5.779861, id=,S07, PRJADE,actvstrat=,-0.347999, actvprof=,3.369583, id=,S08, PRJADE,actvstrat=,0.546959, actvprof=,8.176667, id=,S09, PRDE,actvstrat=,0.959499, actvprof=,9.433750, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,8.591806, id=,S11, PRDE,actvstrat=,0.491852, actvprof=,7.715833, best_B_id=,B00, best_B_prof=,3.341806, best_B_strat=,-0.672123, best_S_id=,S09, best_S_prof=,9.433750, best_S_strat=,0.959499, 
t=,18000, id=,B00, PRJADE,actvstrat=,-0.570879, actvprof=,1.650891, id=,B01, PRDE,actvstrat=,0.598619, actvprof=,2.185631, id=,B02, PRJADE,actvstrat=,-0.366728, actvprof=,1.692837, id=,B03, PRJADE,actvstrat=,-0.562393, actvprof=,1.541165, id=,B04, PRDE,actvstrat=,0.141677, actvprof=,1.678947, id=,B05, PRDE,actvstrat=,0.120370, actvprof=,1.535609, id=,B06, PRJADE,actvstrat=,-0.481154, actvprof=,1.633668, id=,B07, PRDE,actvstrat=,0.282628, actvprof=,1.687003, id=,B08, PRJADE,actvstrat=,0.867239, actvprof=,1.941456, id=,B09, PRDE,actvstrat=,0.790025, actvprof=,2.258967, id=,B10, PRDE,actvstrat=,-0.544835, actvprof=,1.741449, id=,B11, PRJADE,actvstrat=,0.307494, actvprof=,1.876454, id=,S00, PRDE,actvstrat=,0.084646, actvprof=,6.435223, id=,S01, PRDE,actvstrat=,-0.506687, actvprof=,3.614014, id=,S02, PRJADE,actvstrat=,-0.078944, actvprof=,4.766277, id=,S03, PRDE,actvstrat=,0.312070, actvprof=,7.666933, id=,S04, PRDE,actvstrat=,0.995577, actvprof=,10.817876, id=,S05, PRJADE,actvstrat=,0.247681, actvprof=,7.042745, id=,S06, PRJADE,actvstrat=,-0.095389, actvprof=,4.811000, id=,S07, PRJADE,actvstrat=,-0.347999, actvprof=,3.582624, id=,S08, PRJADE,actvstrat=,-0.564581, actvprof=,3.428452, id=,S09, PRDE,actvstrat=,-0.262821, actvprof=,4.184590, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,9.615334, id=,S11, PRDE,actvstrat=,-0.946253, actvprof=,0.813917, best_B_id=,B09, best_B_prof=,2.258967, best_B_strat=,0.790025, best_S_id=,S04, best_S_prof=,10.817876, best_S_strat=,0.995577, 
t=,21600, id=,B00, PRJADE,actvstrat=,-0.570879, actvprof=,1.808097, id=,B01, PRDE,actvstrat=,0.598619, actvprof=,2.231024, id=,B02, PRJADE,actvstrat=,-0.366728, actvprof=,1.639899, id=,B03, PRJADE,actvstrat=,-0.562393, actvprof=,1.575314, id=,B04, PRDE,actvstrat=,0.141677, actvprof=,1.669483, id=,B05, PRDE,actvstrat=,0.120370, actvprof=,1.534897, id=,B06, PRJADE,actvstrat=,-0.481154, actvprof=,1.658650, id=,B07, PRDE,actvstrat=,0.282628, actvprof=,1.671844, id=,B08, PRJADE,actvstrat=,0.867239, actvprof=,1.929489, id=,B09, PRDE,actvstrat=,0.790025, actvprof=,2.269358, id=,B10, PRDE,actvstrat=,-0.544835, actvprof=,1.683372, id=,B11, PRJADE,actvstrat=,0.307494, actvprof=,1.860876, id=,S00, PRDE,actvstrat=,0.084646, actvprof=,6.532512, id=,S01, PRDE,actvstrat=,-0.506687, actvprof=,3.553416, id=,S02, PRJADE,actvstrat=,-0.078944, actvprof=,4.795944, id=,S03, PRDE,actvstrat=,0.312070, actvprof=,7.726568, id=,S04, PRDE,actvstrat=,0.995577, actvprof=,10.884002, id=,S05, PRJADE,actvstrat=,0.247681, actvprof=,7.401699, id=,S06, PRJADE,actvstrat=,-0.095389, actvprof=,5.042895, id=,S07, PRJADE,actvstrat=,-0.347999, actvprof=,3.572583, id=,S08, PRJADE,actvstrat=,-0.564581, actvprof=,3.497025, id=,S09, PRDE,actvstrat=,-0.262821, actvprof=,4.064955, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,9.518831, id=,S11, PRDE,actvstrat=,-0.946253, actvprof=,0.912660, best_B_id=,B09, best_B_prof=,2.269358, best_B_strat=,0.790025, best_S_id=,S04, best_S_prof=,10.884002, best_S_strat=,0.995577, 
t=,25200, id=,B00, PRJADE,actvstrat=,-0.624066, actvprof=,2.532369, id=,B01, PRDE,actvstrat=,-0.212308, actvprof=,1.605926, id=,B02, PRJADE,actvstrat=,-0.979728, actvprof=,1.983448, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.801991, id=,B04, PRDE,actvstrat=,0.734579, actvprof=,2.198461, id=,B05, PRDE,actvstrat=,-0.502989, actvprof=,1.895943, id=,B06, PRJADE,actvstrat=,-0.293822, actvprof=,1.870942, id=,B07, PRDE,actvstrat=,-0.563272, actvprof=,2.017339, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,0.634203, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.798657, id=,B10, PRDE,actvstrat=,0.671332, actvprof=,2.337635, id=,B11, PRJADE,actvstrat=,0.393150, actvprof=,2.019839, id=,S00, PRDE,actvstrat=,-0.870373, actvprof=,1.088119, id=,S01, PRDE,actvstrat=,0.199665, actvprof=,7.904902, id=,S02, PRJADE,actvstrat=,-0.131796, actvprof=,5.552544, id=,S03, PRDE,actvstrat=,0.886440, actvprof=,11.776515, id=,S04, PRDE,actvstrat=,-0.395359, actvprof=,3.889670, id=,S05, PRJADE,actvstrat=,0.035538, actvprof=,6.725667, id=,S06, PRJADE,actvstrat=,0.072703, actvprof=,7.624886, id=,S07, PRJADE,actvstrat=,0.470856, actvprof=,9.199143, id=,S08, PRJADE,actvstrat=,-0.277756, actvprof=,4.288582, id=,S09, PRDE,actvstrat=,0.401378, actvprof=,8.942462, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,10.198090, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,11.785682, best_B_id=,B00, best_B_prof=,2.532369, best_B_strat=,-0.624066, best_S_id=,S11, best_S_prof=,11.785682, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRJADE,actvstrat=,-0.624066, actvprof=,2.494114, id=,B01, PRDE,actvstrat=,-0.212308, actvprof=,1.625890, id=,B02, PRJADE,actvstrat=,-0.979728, actvprof=,2.064516, id=,B03, PRJADE,actvstrat=,1.000000, actvprof=,0.787527, id=,B04, PRDE,actvstrat=,0.734579, actvprof=,2.270496, id=,B05, PRDE,actvstrat=,-0.502989, actvprof=,1.898816, id=,B06, PRJADE,actvstrat=,-0.293822, actvprof=,1.790896, id=,B07, PRDE,actvstrat=,-0.563272, actvprof=,2.056599, id=,B08, PRJADE,actvstrat=,1.000000, actvprof=,0.719886, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.785166, id=,B10, PRDE,actvstrat=,0.671332, actvprof=,2.413973, id=,B11, PRJADE,actvstrat=,0.393150, actvprof=,2.152297, id=,S00, PRDE,actvstrat=,-0.870373, actvprof=,1.002813, id=,S01, PRDE,actvstrat=,0.199665, actvprof=,8.047224, id=,S02, PRJADE,actvstrat=,-0.131796, actvprof=,5.460467, id=,S03, PRDE,actvstrat=,0.886440, actvprof=,11.763603, id=,S04, PRDE,actvstrat=,-0.395359, actvprof=,4.016806, id=,S05, PRJADE,actvstrat=,0.035538, actvprof=,6.837460, id=,S06, PRJADE,actvstrat=,0.072703, actvprof=,7.555540, id=,S07, PRJADE,actvstrat=,0.470856, actvprof=,9.117678, id=,S08, PRJADE,actvstrat=,-0.277756, actvprof=,4.422654, id=,S09, PRDE,actvstrat=,0.401378, actvprof=,8.897948, id=,S10, PRJADE,actvstrat=,0.673343, actvprof=,10.462586, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,11.736658, best_B_id=,B00, best_B_prof=,2.494114, best_B_strat=,-0.624066, best_S_id=,S03, best_S_prof=,11.763603, best_S_strat=,0.886440, 
t=,32400, id=,B00, PRJADE,actvstrat=,-0.672123, actvprof=,1.610964, id=,B01, PRDE,actvstrat=,-0.212308, actvprof=,1.301772, id=,B02, PRJADE,actvstrat=,-0.016333, actvprof=,1.496510, id=,B03, PRJADE,actvstrat=,-0.562393, actvprof=,1.358721, id=,B04, PRDE,actvstrat=,0.734579, actvprof=,2.130450, id=,B05, PRDE,actvstrat=,0.022597, actvprof=,1.325385, id=,B06, PRJADE,actvstrat=,-0.421124, actvprof=,1.302883, id=,B07, PRDE,actvstrat=,0.038864, actvprof=,1.501788, id=,B08, PRJADE,actvstrat=,-0.998892, actvprof=,2.779392, id=,B09, PRDE,actvstrat=,0.790025, actvprof=,2.051555, id=,B10, PRDE,actvstrat=,-0.840872, actvprof=,2.468533, id=,B11, PRJADE,actvstrat=,0.393150, actvprof=,1.837927, id=,S00, PRDE,actvstrat=,-0.531815, actvprof=,2.839675, id=,S01, PRDE,actvstrat=,-0.757437, actvprof=,1.923767, id=,S02, PRJADE,actvstrat=,-0.637245, actvprof=,2.709942, id=,S03, PRDE,actvstrat=,-0.884815, actvprof=,0.409755, id=,S04, PRDE,actvstrat=,-0.090311, actvprof=,5.019018, id=,S05, PRJADE,actvstrat=,0.035538, actvprof=,6.239672, id=,S06, PRJADE,actvstrat=,0.136966, actvprof=,7.328094, id=,S07, PRJADE,actvstrat=,0.594332, actvprof=,9.159631, id=,S08, PRJADE,actvstrat=,0.546959, actvprof=,9.105460, id=,S09, PRDE,actvstrat=,0.959499, actvprof=,10.882548, id=,S10, PRJADE,actvstrat=,0.144029, actvprof=,6.943340, id=,S11, PRDE,actvstrat=,-0.526290, actvprof=,3.013577, best_B_id=,B08, best_B_prof=,2.779392, best_B_strat=,-0.998892, best_S_id=,S09, best_S_prof=,10.882548, best_S_strat=,0.959499, 
t=,36000, id=,B00, PRJADE,actvstrat=,-0.672123, actvprof=,1.634233, id=,B01, PRDE,actvstrat=,-0.212308, actvprof=,1.283524, id=,B02, PRJADE,actvstrat=,-0.016333, actvprof=,1.372417, id=,B03, PRJADE,actvstrat=,-0.562393, actvprof=,1.369361, id=,B04, PRDE,actvstrat=,0.734579, actvprof=,2.043138, id=,B05, PRDE,actvstrat=,0.022597, actvprof=,1.306997, id=,B06, PRJADE,actvstrat=,-0.421124, actvprof=,1.275191, id=,B07, PRDE,actvstrat=,0.038864, actvprof=,1.541312, id=,B08, PRJADE,actvstrat=,-0.998892, actvprof=,2.733583, id=,B09, PRDE,actvstrat=,0.790025, actvprof=,2.012859, id=,B10, PRDE,actvstrat=,-0.840872, actvprof=,2.392597, id=,B11, PRJADE,actvstrat=,0.393150, actvprof=,1.838547, id=,S00, PRDE,actvstrat=,-0.531815, actvprof=,2.937202, id=,S01, PRDE,actvstrat=,-0.757437, actvprof=,1.944384, id=,S02, PRJADE,actvstrat=,-0.637245, actvprof=,2.597466, id=,S03, PRDE,actvstrat=,-0.884815, actvprof=,0.472380, id=,S04, PRDE,actvstrat=,-0.090311, actvprof=,4.925338, id=,S05, PRJADE,actvstrat=,0.035538, actvprof=,6.171917, id=,S06, PRJADE,actvstrat=,0.136966, actvprof=,6.944170, id=,S07, PRJADE,actvstrat=,0.594332, actvprof=,9.378158, id=,S08, PRJADE,actvstrat=,0.546959, actvprof=,8.984947, id=,S09, PRDE,actvstrat=,0.959499, actvprof=,10.954055, id=,S10, PRJADE,actvstrat=,0.144029, actvprof=,6.719856, id=,S11, PRDE,actvstrat=,-0.526290, actvprof=,3.225408, best_B_id=,B08, best_B_prof=,2.733583, best_B_strat=,-0.998892, best_S_id=,S09, best_S_prof=,10.954055, best_S_strat=,0.959499, 
