t=,1, id=,B00, PRDE,actvstrat=,-0.913223, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.020326, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.904804, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.519447, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.615213, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.204666, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.186944, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.943085, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.112124, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.399676, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.199107, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,0.269999, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.295720, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.789692, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.248379, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.746584, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.402710, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.709218, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.066203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.303565, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.099474, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.724382, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.134904, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.874929, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.913223, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.295720, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.913223, actvprof=,2.744690, id=,B01, PRDE,actvstrat=,-0.020326, actvprof=,1.270263, id=,B02, PRDE,actvstrat=,-0.904804, actvprof=,2.786357, id=,B03, PRJADE,actvstrat=,-0.519447, actvprof=,1.460816, id=,B04, PRDE,actvstrat=,0.615213, actvprof=,1.917478, id=,B05, PRJADE,actvstrat=,-0.204666, actvprof=,1.443594, id=,B06, PRJADE,actvstrat=,0.186944, actvprof=,1.565537, id=,B07, PRJADE,actvstrat=,0.943085, actvprof=,1.331651, id=,B08, PRJADE,actvstrat=,0.112124, actvprof=,1.513594, id=,B09, PRDE,actvstrat=,-0.399676, actvprof=,1.332207, id=,B10, PRDE,actvstrat=,0.199107, actvprof=,1.636370, id=,B11, PRJADE,actvstrat=,0.269999, actvprof=,1.742202, id=,S00, PRDE,actvstrat=,-0.295720, actvprof=,3.913288, id=,S01, PRJADE,actvstrat=,-0.789692, actvprof=,1.900534, id=,S02, PRDE,actvstrat=,-0.248379, actvprof=,4.695501, id=,S03, PRDE,actvstrat=,0.746584, actvprof=,10.120716, id=,S04, PRJADE,actvstrat=,0.402710, actvprof=,8.019629, id=,S05, PRJADE,actvstrat=,-0.709218, actvprof=,2.759968, id=,S06, PRJADE,actvstrat=,-0.066203, actvprof=,5.707156, id=,S07, PRDE,actvstrat=,0.303565, actvprof=,7.941575, id=,S08, PRJADE,actvstrat=,-0.099474, actvprof=,5.287994, id=,S09, PRDE,actvstrat=,0.724382, actvprof=,10.223215, id=,S10, PRJADE,actvstrat=,0.134904, actvprof=,7.116862, id=,S11, PRDE,actvstrat=,-0.874929, actvprof=,0.878879, best_B_id=,B02, best_B_prof=,2.786357, best_B_strat=,-0.904804, best_S_id=,S09, best_S_prof=,10.223215, best_S_strat=,0.724382, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.099412, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189752, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.728007, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.257152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.309534, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.190797, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.218411, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.487186, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.352697, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.158123, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.931828, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.237114, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.564123, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.783247, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.448477, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.714120, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.038793, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.738020, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.419473, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.250129, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.156297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.872306, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.165942, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.348577, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.099412, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.564123, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.099412, actvprof=,2.528304, id=,B01, PRDE,actvstrat=,-0.189752, actvprof=,2.510249, id=,B02, PRDE,actvstrat=,-0.728007, actvprof=,3.431071, id=,B03, PRJADE,actvstrat=,-0.257152, actvprof=,2.546082, id=,B04, PRDE,actvstrat=,0.309534, actvprof=,2.968855, id=,B05, PRJADE,actvstrat=,-0.190797, actvprof=,2.490249, id=,B06, PRJADE,actvstrat=,0.218411, actvprof=,2.791357, id=,B07, PRJADE,actvstrat=,0.487186, actvprof=,3.203296, id=,B08, PRJADE,actvstrat=,-0.352697, actvprof=,2.522471, id=,B09, PRDE,actvstrat=,0.158123, actvprof=,2.779968, id=,B10, PRDE,actvstrat=,-0.931828, actvprof=,4.092453, id=,B11, PRJADE,actvstrat=,-0.237114, actvprof=,2.692469, id=,S00, PRDE,actvstrat=,-0.564123, actvprof=,2.167197, id=,S01, PRJADE,actvstrat=,0.783247, actvprof=,8.949619, id=,S02, PRDE,actvstrat=,-0.448477, actvprof=,2.674969, id=,S03, PRDE,actvstrat=,0.714120, actvprof=,8.480457, id=,S04, PRJADE,actvstrat=,-0.038793, actvprof=,4.798000, id=,S05, PRJADE,actvstrat=,-0.738020, actvprof=,1.724147, id=,S06, PRJADE,actvstrat=,-0.419473, actvprof=,2.788579, id=,S07, PRDE,actvstrat=,0.250129, actvprof=,6.230761, id=,S08, PRJADE,actvstrat=,0.156297, actvprof=,5.860488, id=,S09, PRDE,actvstrat=,0.872306, actvprof=,9.153783, id=,S10, PRJADE,actvstrat=,0.165942, actvprof=,6.128540, id=,S11, PRDE,actvstrat=,0.348577, actvprof=,6.507702, best_B_id=,B10, best_B_prof=,4.092453, best_B_strat=,-0.931828, best_S_id=,S09, best_S_prof=,9.153783, best_S_strat=,0.872306, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.099412, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.189752, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.050208, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.257152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.825006, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.229473, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.325521, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.655225, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.589548, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.158123, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.584605, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.237114, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.564123, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.715263, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.928217, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.714120, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.436413, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.900650, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.079104, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.772844, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.009140, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.872306, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.421681, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.348577, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.099412, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.564123, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.099412, actvprof=,2.146667, id=,B01, PRDE,actvstrat=,-0.189752, actvprof=,2.209167, id=,B02, PRDE,actvstrat=,-0.050208, actvprof=,2.134722, id=,B03, PRJADE,actvstrat=,-0.257152, actvprof=,2.073333, id=,B04, PRDE,actvstrat=,0.825006, actvprof=,2.307778, id=,B05, PRJADE,actvstrat=,-0.229473, actvprof=,2.020556, id=,B06, PRJADE,actvstrat=,0.325521, actvprof=,2.429444, id=,B07, PRJADE,actvstrat=,0.655225, actvprof=,2.654444, id=,B08, PRJADE,actvstrat=,-0.589548, actvprof=,2.534722, id=,B09, PRDE,actvstrat=,0.158123, actvprof=,2.160000, id=,B10, PRDE,actvstrat=,0.584605, actvprof=,2.537222, id=,B11, PRJADE,actvstrat=,-0.237114, actvprof=,1.992500, id=,S00, PRDE,actvstrat=,-0.564123, actvprof=,2.927222, id=,S01, PRJADE,actvstrat=,-0.715263, actvprof=,2.179444, id=,S02, PRDE,actvstrat=,0.928217, actvprof=,10.012500, id=,S03, PRDE,actvstrat=,0.714120, actvprof=,9.199444, id=,S04, PRJADE,actvstrat=,-0.436413, actvprof=,3.377778, id=,S05, PRJADE,actvstrat=,-0.900650, actvprof=,0.553611, id=,S06, PRJADE,actvstrat=,0.079104, actvprof=,6.148889, id=,S07, PRDE,actvstrat=,-0.772844, actvprof=,1.858333, id=,S08, PRJADE,actvstrat=,0.009140, actvprof=,5.838611, id=,S09, PRDE,actvstrat=,0.872306, actvprof=,10.039722, id=,S10, PRJADE,actvstrat=,0.421681, actvprof=,7.937500, id=,S11, PRDE,actvstrat=,0.348577, actvprof=,7.726389, best_B_id=,B07, best_B_prof=,2.654444, best_B_strat=,0.655225, best_S_id=,S09, best_S_prof=,10.039722, best_S_strat=,0.872306, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.099412, actvprof=,2.116957, id=,B01, PRDE,actvstrat=,-0.189752, actvprof=,2.222930, id=,B02, PRDE,actvstrat=,-0.050208, actvprof=,2.124179, id=,B03, PRJADE,actvstrat=,-0.257152, actvprof=,2.101957, id=,B04, PRDE,actvstrat=,0.825006, actvprof=,2.348208, id=,B05, PRJADE,actvstrat=,-0.229473, actvprof=,2.040151, id=,B06, PRJADE,actvstrat=,0.325521, actvprof=,2.435570, id=,B07, PRJADE,actvstrat=,0.655225, actvprof=,2.683488, id=,B08, PRJADE,actvstrat=,-0.589548, actvprof=,2.367236, id=,B09, PRDE,actvstrat=,0.158123, actvprof=,2.172235, id=,B10, PRDE,actvstrat=,0.584605, actvprof=,2.540154, id=,B11, PRJADE,actvstrat=,-0.237114, actvprof=,2.165013, id=,S00, PRDE,actvstrat=,-0.564123, actvprof=,3.002378, id=,S01, PRJADE,actvstrat=,-0.715263, actvprof=,2.231818, id=,S02, PRDE,actvstrat=,0.928217, actvprof=,10.272143, id=,S03, PRDE,actvstrat=,0.714120, actvprof=,9.560889, id=,S04, PRJADE,actvstrat=,-0.436413, actvprof=,3.309464, id=,S05, PRJADE,actvstrat=,-0.900650, actvprof=,0.493892, id=,S06, PRJADE,actvstrat=,0.079104, actvprof=,6.264342, id=,S07, PRDE,actvstrat=,-0.772844, actvprof=,1.975706, id=,S08, PRJADE,actvstrat=,0.009140, actvprof=,6.020868, id=,S09, PRDE,actvstrat=,0.872306, actvprof=,10.161031, id=,S10, PRJADE,actvstrat=,0.421681, actvprof=,7.926018, id=,S11, PRDE,actvstrat=,0.348577, actvprof=,7.308376, best_B_id=,B07, best_B_prof=,2.683488, best_B_strat=,0.655225, best_S_id=,S02, best_S_prof=,10.272143, best_S_strat=,0.928217, 
t=,25200, id=,B00, PRDE,actvstrat=,0.441577, actvprof=,1.747561, id=,B01, PRDE,actvstrat=,-0.235449, actvprof=,1.194764, id=,B02, PRDE,actvstrat=,0.098161, actvprof=,1.325046, id=,B03, PRJADE,actvstrat=,-0.105510, actvprof=,1.331157, id=,B04, PRDE,actvstrat=,0.064941, actvprof=,1.332824, id=,B05, PRJADE,actvstrat=,-0.488401, actvprof=,1.178652, id=,B06, PRJADE,actvstrat=,0.249531, actvprof=,1.466995, id=,B07, PRJADE,actvstrat=,0.556077, actvprof=,1.915900, id=,B08, PRJADE,actvstrat=,0.063725, actvprof=,1.347269, id=,B09, PRDE,actvstrat=,0.363135, actvprof=,1.449495, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,2.391750, id=,B11, PRJADE,actvstrat=,0.380580, actvprof=,1.548943, id=,S00, PRDE,actvstrat=,0.557064, actvprof=,9.202820, id=,S01, PRJADE,actvstrat=,-0.004158, actvprof=,6.463002, id=,S02, PRDE,actvstrat=,-0.945781, actvprof=,0.699469, id=,S03, PRDE,actvstrat=,0.042653, actvprof=,6.438835, id=,S04, PRJADE,actvstrat=,-0.719309, actvprof=,2.828709, id=,S05, PRJADE,actvstrat=,-0.782467, actvprof=,2.068127, id=,S06, PRJADE,actvstrat=,-0.046845, actvprof=,5.864093, id=,S07, PRDE,actvstrat=,-0.181717, actvprof=,4.675162, id=,S08, PRJADE,actvstrat=,0.128865, actvprof=,7.041356, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.558249, id=,S10, PRJADE,actvstrat=,0.289879, actvprof=,7.641099, id=,S11, PRDE,actvstrat=,-0.134029, actvprof=,4.780444, best_B_id=,B10, best_B_prof=,2.391750, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.202820, best_S_strat=,0.557064, 
t=,28800, id=,B00, PRDE,actvstrat=,0.441577, actvprof=,1.718353, id=,B01, PRDE,actvstrat=,-0.235449, actvprof=,1.144458, id=,B02, PRDE,actvstrat=,0.098161, actvprof=,1.303210, id=,B03, PRJADE,actvstrat=,-0.105510, actvprof=,1.207375, id=,B04, PRDE,actvstrat=,0.064941, actvprof=,1.281959, id=,B05, PRJADE,actvstrat=,-0.488401, actvprof=,1.249181, id=,B06, PRJADE,actvstrat=,0.249531, actvprof=,1.384460, id=,B07, PRJADE,actvstrat=,0.556077, actvprof=,1.861410, id=,B08, PRJADE,actvstrat=,0.063725, actvprof=,1.273348, id=,B09, PRDE,actvstrat=,0.363135, actvprof=,1.487101, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,2.328916, id=,B11, PRJADE,actvstrat=,0.380580, actvprof=,1.576546, id=,S00, PRDE,actvstrat=,0.557064, actvprof=,9.354553, id=,S01, PRJADE,actvstrat=,-0.004158, actvprof=,6.314934, id=,S02, PRDE,actvstrat=,-0.945781, actvprof=,0.748064, id=,S03, PRDE,actvstrat=,0.042653, actvprof=,6.515770, id=,S04, PRJADE,actvstrat=,-0.719309, actvprof=,2.764615, id=,S05, PRJADE,actvstrat=,-0.782467, actvprof=,2.329194, id=,S06, PRJADE,actvstrat=,-0.046845, actvprof=,5.715622, id=,S07, PRDE,actvstrat=,-0.181717, actvprof=,4.459913, id=,S08, PRJADE,actvstrat=,0.128865, actvprof=,6.977997, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,5.539092, id=,S10, PRJADE,actvstrat=,0.289879, actvprof=,7.640922, id=,S11, PRDE,actvstrat=,-0.134029, actvprof=,4.735055, best_B_id=,B10, best_B_prof=,2.328916, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.354553, best_S_strat=,0.557064, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.737826, actvprof=,3.083996, id=,B01, PRDE,actvstrat=,0.680866, actvprof=,2.898712, id=,B02, PRDE,actvstrat=,-0.728007, actvprof=,3.103719, id=,B03, PRJADE,actvstrat=,-0.395070, actvprof=,2.576756, id=,B04, PRDE,actvstrat=,-0.218306, actvprof=,2.496198, id=,B05, PRJADE,actvstrat=,-0.924043, actvprof=,3.862079, id=,B06, PRJADE,actvstrat=,0.218411, actvprof=,2.633980, id=,B07, PRJADE,actvstrat=,0.556077, actvprof=,2.790930, id=,B08, PRJADE,actvstrat=,0.063725, actvprof=,2.270079, id=,B09, PRDE,actvstrat=,0.124233, actvprof=,2.500365, id=,B10, PRDE,actvstrat=,-0.931828, actvprof=,3.946248, id=,B11, PRJADE,actvstrat=,-0.484543, actvprof=,2.328414, id=,S00, PRDE,actvstrat=,0.996310, actvprof=,9.273933, id=,S01, PRJADE,actvstrat=,-0.004158, actvprof=,5.059620, id=,S02, PRDE,actvstrat=,0.205194, actvprof=,6.060766, id=,S03, PRDE,actvstrat=,0.192228, actvprof=,5.718532, id=,S04, PRJADE,actvstrat=,-0.038793, actvprof=,4.892670, id=,S05, PRJADE,actvstrat=,-0.165848, actvprof=,3.737630, id=,S06, PRJADE,actvstrat=,0.558055, actvprof=,7.955276, id=,S07, PRDE,actvstrat=,0.872405, actvprof=,9.536164, id=,S08, PRJADE,actvstrat=,0.128865, actvprof=,5.866315, id=,S09, PRDE,actvstrat=,-0.661712, actvprof=,2.431196, id=,S10, PRJADE,actvstrat=,0.165942, actvprof=,6.360221, id=,S11, PRDE,actvstrat=,-0.134029, actvprof=,3.775409, best_B_id=,B10, best_B_prof=,3.946248, best_B_strat=,-0.931828, best_S_id=,S07, best_S_prof=,9.536164, best_S_strat=,0.872405, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.737826, actvprof=,3.170611, id=,B01, PRDE,actvstrat=,0.680866, actvprof=,2.888383, id=,B02, PRDE,actvstrat=,-0.728007, actvprof=,3.030330, id=,B03, PRJADE,actvstrat=,-0.395070, actvprof=,2.401986, id=,B04, PRDE,actvstrat=,-0.218306, actvprof=,2.352124, id=,B05, PRJADE,actvstrat=,-0.924043, actvprof=,3.849095, id=,B06, PRJADE,actvstrat=,0.218411, actvprof=,2.567267, id=,B07, PRJADE,actvstrat=,0.556077, actvprof=,2.778382, id=,B08, PRJADE,actvstrat=,0.063725, actvprof=,2.358235, id=,B09, PRDE,actvstrat=,0.124233, actvprof=,2.398097, id=,B10, PRDE,actvstrat=,-0.931828, actvprof=,3.905762, id=,B11, PRJADE,actvstrat=,-0.484543, actvprof=,2.327124, id=,S00, PRDE,actvstrat=,0.996310, actvprof=,9.441831, id=,S01, PRJADE,actvstrat=,-0.004158, actvprof=,5.153284, id=,S02, PRDE,actvstrat=,0.205194, actvprof=,5.953853, id=,S03, PRDE,actvstrat=,0.192228, actvprof=,5.949131, id=,S04, PRJADE,actvstrat=,-0.038793, actvprof=,5.078283, id=,S05, PRJADE,actvstrat=,-0.165848, actvprof=,3.926874, id=,S06, PRJADE,actvstrat=,0.558055, actvprof=,7.848053, id=,S07, PRDE,actvstrat=,0.872405, actvprof=,9.581555, id=,S08, PRJADE,actvstrat=,0.128865, actvprof=,5.693154, id=,S09, PRDE,actvstrat=,-0.661712, actvprof=,2.292956, id=,S10, PRJADE,actvstrat=,0.165942, actvprof=,6.023438, id=,S11, PRDE,actvstrat=,-0.134029, actvprof=,3.643119, best_B_id=,B10, best_B_prof=,3.905762, best_B_strat=,-0.931828, best_S_id=,S07, best_S_prof=,9.581555, best_S_strat=,0.872405, 
