t=,3600, id=,B00, PRDE,actvstrat=,0.947935, actvprof=,0.972489, id=,B01, PRJADE,actvstrat=,-0.232182, actvprof=,0.876379, id=,B02, PRJADE,actvstrat=,-0.237039, actvprof=,0.753602, id=,B03, PRDE,actvstrat=,0.272763, actvprof=,1.303874, id=,B04, PRDE,actvstrat=,-0.578006, actvprof=,0.829435, id=,B05, PRJADE,actvstrat=,0.920337, actvprof=,1.283318, id=,B06, PRDE,actvstrat=,-0.819904, actvprof=,1.744980, id=,B07, PRDE,actvstrat=,-0.746400, actvprof=,1.500538, id=,B08, PRJADE,actvstrat=,0.680500, actvprof=,1.681369, id=,B09, PRJADE,actvstrat=,0.321698, actvprof=,1.353873, id=,B10, PRJADE,actvstrat=,-0.991101, actvprof=,1.698869, id=,B11, PRDE,actvstrat=,0.467390, actvprof=,1.279430, id=,S00, PRJADE,actvstrat=,-0.569714, actvprof=,3.424127, id=,S01, PRDE,actvstrat=,-0.249289, actvprof=,4.555781, id=,S02, PRDE,actvstrat=,-0.421109, actvprof=,4.177452, id=,S03, PRJADE,actvstrat=,-0.962680, actvprof=,0.851935, id=,S04, PRJADE,actvstrat=,-0.764758, actvprof=,2.483305, id=,S05, PRDE,actvstrat=,0.943368, actvprof=,12.205414, id=,S06, PRDE,actvstrat=,-0.178525, actvprof=,4.633557, id=,S07, PRJADE,actvstrat=,0.553311, actvprof=,9.998218, id=,S08, PRDE,actvstrat=,0.283889, actvprof=,8.337681, id=,S09, PRDE,actvstrat=,0.083396, actvprof=,7.520191, id=,S10, PRJADE,actvstrat=,-0.272422, actvprof=,4.074397, id=,S11, PRJADE,actvstrat=,0.523009, actvprof=,9.880997, best_B_id=,B06, best_B_prof=,1.744980, best_B_strat=,-0.819904, best_S_id=,S05, best_S_prof=,12.205414, best_S_strat=,0.943368, 
t=,7200, id=,B00, PRDE,actvstrat=,0.588083, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.653346, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.282494, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.471829, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.788663, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.326488, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.249571, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.369103, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.258921, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.065530, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.296026, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.383971, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.511494, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.249025, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.717099, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.949938, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.891467, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.761712, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.529103, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.201589, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.912892, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.615869, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.420955, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.753487, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.588083, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.511494, 
t=,10800, id=,B00, PRDE,actvstrat=,0.588083, actvprof=,3.237388, id=,B01, PRJADE,actvstrat=,0.653346, actvprof=,3.322385, id=,B02, PRJADE,actvstrat=,-0.282494, actvprof=,2.837679, id=,B03, PRDE,actvstrat=,0.471829, actvprof=,3.196278, id=,B04, PRDE,actvstrat=,-0.788663, actvprof=,4.405680, id=,B05, PRJADE,actvstrat=,-0.326488, actvprof=,2.774070, id=,B06, PRDE,actvstrat=,0.249571, actvprof=,2.957953, id=,B07, PRDE,actvstrat=,0.369103, actvprof=,3.211833, id=,B08, PRJADE,actvstrat=,-0.258921, actvprof=,2.725461, id=,B09, PRJADE,actvstrat=,0.065530, actvprof=,2.723239, id=,B10, PRJADE,actvstrat=,0.296026, actvprof=,3.465157, id=,B11, PRDE,actvstrat=,0.383971, actvprof=,3.070171, id=,S00, PRJADE,actvstrat=,-0.511494, actvprof=,2.797125, id=,S01, PRDE,actvstrat=,-0.249025, actvprof=,2.873511, id=,S02, PRDE,actvstrat=,0.717099, actvprof=,9.161626, id=,S03, PRJADE,actvstrat=,0.949938, actvprof=,9.601611, id=,S04, PRJADE,actvstrat=,0.891467, actvprof=,10.005208, id=,S05, PRDE,actvstrat=,0.761712, actvprof=,9.572168, id=,S06, PRDE,actvstrat=,0.529103, actvprof=,8.217215, id=,S07, PRJADE,actvstrat=,0.201589, actvprof=,5.918406, id=,S08, PRDE,actvstrat=,0.912892, actvprof=,9.799382, id=,S09, PRDE,actvstrat=,-0.615869, actvprof=,2.368251, id=,S10, PRJADE,actvstrat=,0.420955, actvprof=,7.252526, id=,S11, PRJADE,actvstrat=,-0.753487, actvprof=,1.923822, best_B_id=,B04, best_B_prof=,4.405680, best_B_strat=,-0.788663, best_S_id=,S04, best_S_prof=,10.005208, best_S_strat=,0.891467, 
t=,14400, id=,B00, PRDE,actvstrat=,0.588083, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.044957, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.184080, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.151673, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.788663, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.339411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.494530, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.439711, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.863356, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.128612, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.905051, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.694684, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.511494, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.915008, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.315384, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,0.011705, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.891467, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.986155, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.355626, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.243453, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.388493, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902758, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.420955, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.353751, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.588083, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.511494, 
t=,18000, id=,B00, PRDE,actvstrat=,0.588083, actvprof=,2.705278, id=,B01, PRJADE,actvstrat=,0.044957, actvprof=,2.100833, id=,B02, PRJADE,actvstrat=,-0.184080, actvprof=,2.055278, id=,B03, PRDE,actvstrat=,-0.151673, actvprof=,1.972222, id=,B04, PRDE,actvstrat=,-0.788663, actvprof=,2.970556, id=,B05, PRJADE,actvstrat=,-0.339411, actvprof=,2.198611, id=,B06, PRDE,actvstrat=,-0.494530, actvprof=,2.080556, id=,B07, PRDE,actvstrat=,0.439711, actvprof=,2.720833, id=,B08, PRJADE,actvstrat=,-0.863356, actvprof=,3.353889, id=,B09, PRJADE,actvstrat=,0.128612, actvprof=,2.127500, id=,B10, PRJADE,actvstrat=,0.905051, actvprof=,2.191111, id=,B11, PRDE,actvstrat=,-0.694684, actvprof=,2.616944, id=,S00, PRJADE,actvstrat=,-0.511494, actvprof=,3.107778, id=,S01, PRDE,actvstrat=,-0.915008, actvprof=,0.697778, id=,S02, PRDE,actvstrat=,0.315384, actvprof=,7.039167, id=,S03, PRJADE,actvstrat=,0.011705, actvprof=,5.780556, id=,S04, PRJADE,actvstrat=,0.891467, actvprof=,10.015556, id=,S05, PRDE,actvstrat=,-0.986155, actvprof=,2.992778, id=,S06, PRDE,actvstrat=,0.355626, actvprof=,7.171389, id=,S07, PRJADE,actvstrat=,-0.243453, actvprof=,3.394444, id=,S08, PRDE,actvstrat=,0.388493, actvprof=,6.968889, id=,S09, PRDE,actvstrat=,0.902758, actvprof=,10.026944, id=,S10, PRJADE,actvstrat=,0.420955, actvprof=,7.716111, id=,S11, PRJADE,actvstrat=,-0.353751, actvprof=,2.950556, best_B_id=,B08, best_B_prof=,3.353889, best_B_strat=,-0.863356, best_S_id=,S09, best_S_prof=,10.026944, best_S_strat=,0.902758, 
t=,21600, id=,B00, PRDE,actvstrat=,0.291464, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.608645, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,-0.478759, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.508668, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.993356, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.881607, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.936032, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.556362, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.300805, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.143246, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.025226, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.094168, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.800271, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.350734, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.205798, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.707187, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.551486, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.879912, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.746216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.290928, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.677484, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.198622, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.291464, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.094168, 
t=,25200, id=,B00, PRDE,actvstrat=,0.291464, actvprof=,2.539196, id=,B01, PRJADE,actvstrat=,0.608645, actvprof=,2.861422, id=,B02, PRJADE,actvstrat=,-0.478759, actvprof=,2.182525, id=,B03, PRDE,actvstrat=,-0.508668, actvprof=,2.339749, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,1.051401, id=,B05, PRJADE,actvstrat=,-0.993356, actvprof=,2.844755, id=,B06, PRDE,actvstrat=,0.881607, actvprof=,2.184470, id=,B07, PRDE,actvstrat=,-0.936032, actvprof=,3.043924, id=,B08, PRJADE,actvstrat=,-0.556362, actvprof=,2.321971, id=,B09, PRJADE,actvstrat=,-0.300805, actvprof=,2.209748, id=,B10, PRJADE,actvstrat=,0.143246, actvprof=,2.438084, id=,B11, PRDE,actvstrat=,0.025226, actvprof=,2.030857, id=,S00, PRJADE,actvstrat=,0.094168, actvprof=,6.636188, id=,S01, PRDE,actvstrat=,0.800271, actvprof=,10.661235, id=,S02, PRDE,actvstrat=,-0.350734, actvprof=,3.692265, id=,S03, PRJADE,actvstrat=,-0.205798, actvprof=,4.122548, id=,S04, PRJADE,actvstrat=,1.000000, actvprof=,10.779291, id=,S05, PRDE,actvstrat=,-0.707187, actvprof=,2.419472, id=,S06, PRDE,actvstrat=,-0.551486, actvprof=,2.946145, id=,S07, PRJADE,actvstrat=,0.879912, actvprof=,10.750958, id=,S08, PRDE,actvstrat=,0.746216, actvprof=,10.413454, id=,S09, PRDE,actvstrat=,-0.290928, actvprof=,3.793655, id=,S10, PRJADE,actvstrat=,0.677484, actvprof=,9.684834, id=,S11, PRJADE,actvstrat=,0.198622, actvprof=,6.875357, best_B_id=,B07, best_B_prof=,3.043924, best_B_strat=,-0.936032, best_S_id=,S04, best_S_prof=,10.779291, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.291464, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.653346, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.035050, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.447694, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.934751, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.326488, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.881607, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.936032, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.556362, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.933683, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.296026, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.518045, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.363619, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.580564, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.677179, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.508894, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.910299, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.761712, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.529103, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.201589, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.746216, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.083396, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.352997, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.136729, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.291464, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.363619, 
t=,32400, id=,B00, PRDE,actvstrat=,0.291464, actvprof=,3.123997, id=,B01, PRJADE,actvstrat=,0.653346, actvprof=,3.179555, id=,B02, PRJADE,actvstrat=,0.035050, actvprof=,2.602313, id=,B03, PRDE,actvstrat=,0.447694, actvprof=,3.140942, id=,B04, PRDE,actvstrat=,0.934751, actvprof=,2.069794, id=,B05, PRJADE,actvstrat=,-0.326488, actvprof=,2.757596, id=,B06, PRDE,actvstrat=,0.881607, actvprof=,2.358137, id=,B07, PRDE,actvstrat=,-0.936032, actvprof=,3.691239, id=,B08, PRJADE,actvstrat=,-0.556362, actvprof=,3.092330, id=,B09, PRJADE,actvstrat=,-0.933683, actvprof=,3.585124, id=,B10, PRJADE,actvstrat=,0.296026, actvprof=,2.951769, id=,B11, PRDE,actvstrat=,-0.518045, actvprof=,2.815931, id=,S00, PRJADE,actvstrat=,0.363619, actvprof=,7.010521, id=,S01, PRDE,actvstrat=,0.580564, actvprof=,8.358346, id=,S02, PRDE,actvstrat=,0.677179, actvprof=,9.088649, id=,S03, PRJADE,actvstrat=,-0.508894, actvprof=,3.184277, id=,S04, PRJADE,actvstrat=,0.910299, actvprof=,10.129518, id=,S05, PRDE,actvstrat=,0.761712, actvprof=,9.711448, id=,S06, PRDE,actvstrat=,0.529103, actvprof=,8.139449, id=,S07, PRJADE,actvstrat=,0.201589, actvprof=,6.616341, id=,S08, PRDE,actvstrat=,0.746216, actvprof=,9.843675, id=,S09, PRDE,actvstrat=,0.083396, actvprof=,6.147991, id=,S10, PRJADE,actvstrat=,-0.352997, actvprof=,3.091496, id=,S11, PRJADE,actvstrat=,0.136729, actvprof=,5.847147, best_B_id=,B07, best_B_prof=,3.691239, best_B_strat=,-0.936032, best_S_id=,S04, best_S_prof=,10.129518, best_S_strat=,0.910299, 
t=,36000, id=,B00, PRDE,actvstrat=,0.291464, actvprof=,3.021441, id=,B01, PRJADE,actvstrat=,0.653346, actvprof=,3.091720, id=,B02, PRJADE,actvstrat=,0.035050, actvprof=,2.475737, id=,B03, PRDE,actvstrat=,0.447694, actvprof=,3.234084, id=,B04, PRDE,actvstrat=,0.934751, actvprof=,2.022674, id=,B05, PRJADE,actvstrat=,-0.326488, actvprof=,2.757548, id=,B06, PRDE,actvstrat=,0.881607, actvprof=,2.410736, id=,B07, PRDE,actvstrat=,-0.936032, actvprof=,3.744926, id=,B08, PRJADE,actvstrat=,-0.556362, actvprof=,3.022136, id=,B09, PRJADE,actvstrat=,-0.933683, actvprof=,3.621591, id=,B10, PRJADE,actvstrat=,0.296026, actvprof=,2.987969, id=,B11, PRDE,actvstrat=,-0.518045, actvprof=,2.805188, id=,S00, PRJADE,actvstrat=,0.363619, actvprof=,7.223320, id=,S01, PRDE,actvstrat=,0.580564, actvprof=,8.310839, id=,S02, PRDE,actvstrat=,0.677179, actvprof=,8.967656, id=,S03, PRJADE,actvstrat=,-0.508894, actvprof=,2.986857, id=,S04, PRJADE,actvstrat=,0.910299, actvprof=,10.137676, id=,S05, PRDE,actvstrat=,0.761712, actvprof=,9.600722, id=,S06, PRDE,actvstrat=,0.529103, actvprof=,8.150280, id=,S07, PRJADE,actvstrat=,0.201589, actvprof=,6.802340, id=,S08, PRDE,actvstrat=,0.746216, actvprof=,9.647112, id=,S09, PRDE,actvstrat=,0.083396, actvprof=,6.379833, id=,S10, PRJADE,actvstrat=,-0.352997, actvprof=,3.281585, id=,S11, PRJADE,actvstrat=,0.136729, actvprof=,5.962604, best_B_id=,B07, best_B_prof=,3.744926, best_B_strat=,-0.936032, best_S_id=,S04, best_S_prof=,10.137676, best_S_strat=,0.910299, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,3.874857, id=,B01, PRJADE,actvstrat=,0.619744, actvprof=,2.813153, id=,B02, PRJADE,actvstrat=,-0.538038, actvprof=,2.689538, id=,B03, PRDE,actvstrat=,0.295038, actvprof=,2.713983, id=,B04, PRDE,actvstrat=,-0.140717, actvprof=,2.228966, id=,B05, PRJADE,actvstrat=,-1.000000, actvprof=,3.506233, id=,B06, PRDE,actvstrat=,-0.382465, actvprof=,2.117574, id=,B07, PRDE,actvstrat=,-0.439135, actvprof=,2.150908, id=,B08, PRJADE,actvstrat=,-0.386403, actvprof=,2.184798, id=,B09, PRJADE,actvstrat=,0.518718, actvprof=,2.660092, id=,B10, PRJADE,actvstrat=,-0.047024, actvprof=,2.497865, id=,B11, PRDE,actvstrat=,-0.409391, actvprof=,2.309247, id=,S00, PRJADE,actvstrat=,0.564082, actvprof=,7.818049, id=,S01, PRDE,actvstrat=,-0.779962, actvprof=,1.700892, id=,S02, PRDE,actvstrat=,0.002573, actvprof=,5.356575, id=,S03, PRJADE,actvstrat=,-0.422998, actvprof=,2.670926, id=,S04, PRJADE,actvstrat=,0.619562, actvprof=,8.309177, id=,S05, PRDE,actvstrat=,0.467932, actvprof=,7.290809, id=,S06, PRDE,actvstrat=,0.553227, actvprof=,7.868884, id=,S07, PRJADE,actvstrat=,-0.154830, actvprof=,3.482065, id=,S08, PRDE,actvstrat=,0.853030, actvprof=,9.620612, id=,S09, PRDE,actvstrat=,-0.946418, actvprof=,1.117539, id=,S10, PRJADE,actvstrat=,0.975117, actvprof=,9.465051, id=,S11, PRJADE,actvstrat=,-0.176782, actvprof=,3.444564, best_B_id=,B00, best_B_prof=,3.874857, best_B_strat=,-1.000000, best_S_id=,S08, best_S_prof=,9.620612, best_S_strat=,0.853030, 
