t=,0, id=,B00, PRDE,actvstrat=,-0.417330, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.279433, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.878619, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.606714, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.022993, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.265963, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.715382, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.028226, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.353925, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.483161, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.643104, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.419952, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.240902, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.204274, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.451274, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.556893, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.243830, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.861554, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.708158, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.361261, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,-0.359653, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.830302, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.698402, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.253311, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.417330, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.240902, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.417330, actvprof=,2.475805, id=,B01, PRJADE,actvstrat=,-0.279433, actvprof=,2.274696, id=,B02, PRDE,actvstrat=,-0.878619, actvprof=,3.492737, id=,B03, PRJADE,actvstrat=,0.606714, actvprof=,3.004687, id=,B04, PRJADE,actvstrat=,-0.022993, actvprof=,2.420250, id=,B05, PRDE,actvstrat=,-0.265963, actvprof=,2.291362, id=,B06, PRDE,actvstrat=,0.715382, actvprof=,2.992188, id=,B07, PRJADE,actvstrat=,-0.028226, actvprof=,2.540804, id=,B08, PRDE,actvstrat=,0.353925, actvprof=,3.115242, id=,B09, PRJADE,actvstrat=,-0.483161, actvprof=,2.438583, id=,B10, PRDE,actvstrat=,-0.643104, actvprof=,2.571359, id=,B11, PRJADE,actvstrat=,-0.419952, actvprof=,2.118309, id=,S00, PRDE,actvstrat=,0.240902, actvprof=,7.218528, id=,S01, PRJADE,actvstrat=,0.204274, actvprof=,6.951031, id=,S02, PRJADE,actvstrat=,-0.451274, actvprof=,4.785222, id=,S03, PRDE,actvstrat=,0.556893, actvprof=,8.344903, id=,S04, PRDE,actvstrat=,0.243830, actvprof=,7.288527, id=,S05, PRDE,actvstrat=,-0.861554, actvprof=,2.522193, id=,S06, PRJADE,actvstrat=,-0.708158, actvprof=,4.152730, id=,S07, PRJADE,actvstrat=,0.361261, actvprof=,7.912686, id=,S08, PRJADE,actvstrat=,-0.359653, actvprof=,4.733279, id=,S09, PRDE,actvstrat=,-0.830302, actvprof=,2.700802, id=,S10, PRDE,actvstrat=,-0.698402, actvprof=,4.034676, id=,S11, PRJADE,actvstrat=,-0.253311, actvprof=,5.373827, best_B_id=,B02, best_B_prof=,3.492737, best_B_strat=,-0.878619, best_S_id=,S03, best_S_prof=,8.344903, best_S_strat=,0.556893, 
t=,7200, id=,B00, PRDE,actvstrat=,0.504766, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.562640, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.739363, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.560254, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.330236, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.271957, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.662319, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.531585, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.162050, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.703471, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.176618, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.146690, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.886375, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.229435, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,-0.973494, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.542427, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.265487, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.165902, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.841884, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.854585, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.759231, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.946889, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.145187, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.128787, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.504766, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.886375, 
t=,10800, id=,B00, PRDE,actvstrat=,0.504766, actvprof=,2.929167, id=,B01, PRJADE,actvstrat=,-0.562640, actvprof=,2.641667, id=,B02, PRDE,actvstrat=,0.739363, actvprof=,3.133889, id=,B03, PRJADE,actvstrat=,-0.560254, actvprof=,2.826944, id=,B04, PRJADE,actvstrat=,-0.330236, actvprof=,2.424722, id=,B05, PRDE,actvstrat=,0.271957, actvprof=,2.931389, id=,B06, PRDE,actvstrat=,0.662319, actvprof=,3.050556, id=,B07, PRJADE,actvstrat=,0.531585, actvprof=,3.178333, id=,B08, PRDE,actvstrat=,0.162050, actvprof=,2.572222, id=,B09, PRJADE,actvstrat=,-0.703471, actvprof=,3.412500, id=,B10, PRDE,actvstrat=,-0.176618, actvprof=,2.518333, id=,B11, PRJADE,actvstrat=,-0.146690, actvprof=,2.547500, id=,S00, PRDE,actvstrat=,0.886375, actvprof=,9.761944, id=,S01, PRJADE,actvstrat=,0.229435, actvprof=,6.316111, id=,S02, PRJADE,actvstrat=,-0.973494, actvprof=,2.131667, id=,S03, PRDE,actvstrat=,-0.542427, actvprof=,2.643333, id=,S04, PRDE,actvstrat=,0.265487, actvprof=,6.419722, id=,S05, PRDE,actvstrat=,-0.165902, actvprof=,3.664167, id=,S06, PRJADE,actvstrat=,0.841884, actvprof=,9.806667, id=,S07, PRJADE,actvstrat=,-0.854585, actvprof=,0.891111, id=,S08, PRJADE,actvstrat=,0.759231, actvprof=,9.205278, id=,S09, PRDE,actvstrat=,0.946889, actvprof=,9.530278, id=,S10, PRDE,actvstrat=,0.145187, actvprof=,5.969444, id=,S11, PRJADE,actvstrat=,0.128787, actvprof=,6.359722, best_B_id=,B09, best_B_prof=,3.412500, best_B_strat=,-0.703471, best_S_id=,S06, best_S_prof=,9.806667, best_S_strat=,0.841884, 
t=,14400, id=,B00, PRDE,actvstrat=,0.504766, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.004648, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.534316, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,0.193481, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,0.789875, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.271957, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.064242, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.062122, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.095677, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.356538, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.969864, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.372664, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.742238, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.622912, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.340912, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.117437, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.925444, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.877235, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,0.775819, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.443269, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.558470, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.703843, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.145187, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,-0.610812, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.504766, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.742238, 
t=,18000, id=,B00, PRDE,actvstrat=,0.504766, actvprof=,1.259459, id=,B01, PRJADE,actvstrat=,0.004648, actvprof=,1.047790, id=,B02, PRDE,actvstrat=,0.534316, actvprof=,1.304460, id=,B03, PRJADE,actvstrat=,0.193481, actvprof=,1.122513, id=,B04, PRJADE,actvstrat=,0.789875, actvprof=,1.653352, id=,B05, PRDE,actvstrat=,0.271957, actvprof=,1.135846, id=,B06, PRDE,actvstrat=,0.064242, actvprof=,0.934733, id=,B07, PRJADE,actvstrat=,0.062122, actvprof=,0.892233, id=,B08, PRDE,actvstrat=,-0.095677, actvprof=,0.735286, id=,B09, PRJADE,actvstrat=,-0.356538, actvprof=,0.773620, id=,B10, PRDE,actvstrat=,-0.969864, actvprof=,1.971412, id=,B11, PRJADE,actvstrat=,-0.372664, actvprof=,0.845843, id=,S00, PRDE,actvstrat=,-0.742238, actvprof=,2.556696, id=,S01, PRJADE,actvstrat=,-0.622912, actvprof=,2.918089, id=,S02, PRJADE,actvstrat=,0.340912, actvprof=,8.405375, id=,S03, PRDE,actvstrat=,-0.117437, actvprof=,4.727555, id=,S04, PRDE,actvstrat=,-0.925444, actvprof=,0.336115, id=,S05, PRDE,actvstrat=,-0.877235, actvprof=,0.484728, id=,S06, PRJADE,actvstrat=,0.775819, actvprof=,11.282353, id=,S07, PRJADE,actvstrat=,-0.443269, actvprof=,3.925601, id=,S08, PRJADE,actvstrat=,0.558470, actvprof=,9.702057, id=,S09, PRDE,actvstrat=,-0.703843, actvprof=,2.808921, id=,S10, PRDE,actvstrat=,0.145187, actvprof=,7.587310, id=,S11, PRJADE,actvstrat=,-0.610812, actvprof=,3.167259, best_B_id=,B10, best_B_prof=,1.971412, best_B_strat=,-0.969864, best_S_id=,S06, best_S_prof=,11.282353, best_S_strat=,0.775819, 
t=,21600, id=,B00, PRDE,actvstrat=,0.504766, actvprof=,1.299321, id=,B01, PRJADE,actvstrat=,0.004648, actvprof=,0.993206, id=,B02, PRDE,actvstrat=,0.534316, actvprof=,1.302376, id=,B03, PRJADE,actvstrat=,0.193481, actvprof=,1.072096, id=,B04, PRJADE,actvstrat=,0.789875, actvprof=,1.563907, id=,B05, PRDE,actvstrat=,0.271957, actvprof=,1.115846, id=,B06, PRDE,actvstrat=,0.064242, actvprof=,0.893344, id=,B07, PRJADE,actvstrat=,0.062122, actvprof=,0.895427, id=,B08, PRDE,actvstrat=,-0.095677, actvprof=,0.773759, id=,B09, PRJADE,actvstrat=,-0.356538, actvprof=,0.767092, id=,B10, PRDE,actvstrat=,-0.969864, actvprof=,1.927661, id=,B11, PRJADE,actvstrat=,-0.372664, actvprof=,0.798481, id=,S00, PRDE,actvstrat=,-0.742238, actvprof=,2.458917, id=,S01, PRJADE,actvstrat=,-0.622912, actvprof=,3.296844, id=,S02, PRJADE,actvstrat=,0.340912, actvprof=,8.305652, id=,S03, PRDE,actvstrat=,-0.117437, actvprof=,4.965335, id=,S04, PRDE,actvstrat=,-0.925444, actvprof=,0.303754, id=,S05, PRDE,actvstrat=,-0.877235, actvprof=,0.497784, id=,S06, PRJADE,actvstrat=,0.775819, actvprof=,11.278047, id=,S07, PRJADE,actvstrat=,-0.443269, actvprof=,3.854350, id=,S08, PRJADE,actvstrat=,0.558470, actvprof=,9.687334, id=,S09, PRDE,actvstrat=,-0.703843, actvprof=,3.068508, id=,S10, PRDE,actvstrat=,0.145187, actvprof=,7.445364, id=,S11, PRJADE,actvstrat=,-0.610812, actvprof=,3.269760, best_B_id=,B10, best_B_prof=,1.927661, best_B_strat=,-0.969864, best_S_id=,S06, best_S_prof=,11.278047, best_S_strat=,0.775819, 
t=,25200, id=,B00, PRDE,actvstrat=,0.128766, actvprof=,1.829508, id=,B01, PRJADE,actvstrat=,-0.658767, actvprof=,2.014792, id=,B02, PRDE,actvstrat=,0.126767, actvprof=,1.767561, id=,B03, PRJADE,actvstrat=,-0.909132, actvprof=,2.411473, id=,B04, PRJADE,actvstrat=,0.188058, actvprof=,1.716726, id=,B05, PRDE,actvstrat=,-0.967708, actvprof=,2.729539, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.171499, id=,B07, PRJADE,actvstrat=,0.409796, actvprof=,1.971735, id=,B08, PRDE,actvstrat=,0.575455, actvprof=,2.107295, id=,B09, PRJADE,actvstrat=,-0.961853, actvprof=,2.801764, id=,B10, PRDE,actvstrat=,0.071307, actvprof=,1.636168, id=,B11, PRJADE,actvstrat=,-0.187626, actvprof=,1.562276, id=,S00, PRDE,actvstrat=,0.727907, actvprof=,9.797285, id=,S01, PRJADE,actvstrat=,-0.517216, actvprof=,3.022883, id=,S02, PRJADE,actvstrat=,-0.266183, actvprof=,3.120942, id=,S03, PRDE,actvstrat=,-0.057946, actvprof=,4.957394, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.140456, id=,S05, PRDE,actvstrat=,-0.261183, actvprof=,3.489843, id=,S06, PRJADE,actvstrat=,0.889689, actvprof=,10.625091, id=,S07, PRJADE,actvstrat=,-0.001092, actvprof=,5.901872, id=,S08, PRJADE,actvstrat=,0.454939, actvprof=,7.914719, id=,S09, PRDE,actvstrat=,0.206393, actvprof=,6.665231, id=,S10, PRDE,actvstrat=,0.370910, actvprof=,7.593875, id=,S11, PRJADE,actvstrat=,0.029224, actvprof=,5.653530, best_B_id=,B06, best_B_prof=,3.171499, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.625091, best_S_strat=,0.889689, 
t=,28800, id=,B00, PRDE,actvstrat=,0.128766, actvprof=,1.758919, id=,B01, PRJADE,actvstrat=,-0.658767, actvprof=,1.809615, id=,B02, PRDE,actvstrat=,0.126767, actvprof=,1.731975, id=,B03, PRJADE,actvstrat=,-0.909132, actvprof=,2.392542, id=,B04, PRJADE,actvstrat=,0.188058, actvprof=,1.756280, id=,B05, PRDE,actvstrat=,-0.967708, actvprof=,2.695186, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.182694, id=,B07, PRJADE,actvstrat=,0.409796, actvprof=,2.050036, id=,B08, PRDE,actvstrat=,0.575455, actvprof=,2.099759, id=,B09, PRJADE,actvstrat=,-0.961853, actvprof=,2.845883, id=,B10, PRDE,actvstrat=,0.071307, actvprof=,1.644751, id=,B11, PRJADE,actvstrat=,-0.187626, actvprof=,1.573361, id=,S00, PRDE,actvstrat=,0.727907, actvprof=,9.774059, id=,S01, PRJADE,actvstrat=,-0.517216, actvprof=,2.946162, id=,S02, PRJADE,actvstrat=,-0.266183, actvprof=,3.053803, id=,S03, PRDE,actvstrat=,-0.057946, actvprof=,4.781889, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,5.049254, id=,S05, PRDE,actvstrat=,-0.261183, actvprof=,3.308807, id=,S06, PRJADE,actvstrat=,0.889689, actvprof=,10.759631, id=,S07, PRJADE,actvstrat=,-0.001092, actvprof=,5.718572, id=,S08, PRJADE,actvstrat=,0.454939, actvprof=,7.847775, id=,S09, PRDE,actvstrat=,0.206393, actvprof=,6.681366, id=,S10, PRDE,actvstrat=,0.370910, actvprof=,7.479852, id=,S11, PRJADE,actvstrat=,0.029224, actvprof=,5.892880, best_B_id=,B06, best_B_prof=,3.182694, best_B_strat=,-1.000000, best_S_id=,S06, best_S_prof=,10.759631, best_S_strat=,0.889689, 
t=,32400, id=,B00, PRDE,actvstrat=,0.394179, actvprof=,1.952012, id=,B01, PRJADE,actvstrat=,0.002758, actvprof=,1.716726, id=,B02, PRDE,actvstrat=,-0.250149, actvprof=,1.529498, id=,B03, PRJADE,actvstrat=,-0.560254, actvprof=,1.640335, id=,B04, PRJADE,actvstrat=,-0.123542, actvprof=,1.626723, id=,B05, PRDE,actvstrat=,-0.967708, actvprof=,2.976492, id=,B06, PRDE,actvstrat=,-0.942538, actvprof=,2.924268, id=,B07, PRJADE,actvstrat=,0.409796, actvprof=,2.103684, id=,B08, PRDE,actvstrat=,0.452475, actvprof=,2.114796, id=,B09, PRJADE,actvstrat=,-0.961853, actvprof=,3.115386, id=,B10, PRDE,actvstrat=,0.584403, actvprof=,2.236189, id=,B11, PRJADE,actvstrat=,-0.070513, actvprof=,1.595889, id=,S00, PRDE,actvstrat=,0.886375, actvprof=,10.650092, id=,S01, PRJADE,actvstrat=,0.788429, actvprof=,10.248689, id=,S02, PRJADE,actvstrat=,-0.191676, actvprof=,3.690128, id=,S03, PRDE,actvstrat=,-0.108935, actvprof=,4.132088, id=,S04, PRDE,actvstrat=,0.265487, actvprof=,7.102191, id=,S05, PRDE,actvstrat=,-0.574652, actvprof=,2.767318, id=,S06, PRJADE,actvstrat=,-0.656172, actvprof=,2.118685, id=,S07, PRJADE,actvstrat=,0.361261, actvprof=,6.758846, id=,S08, PRJADE,actvstrat=,0.454939, actvprof=,7.680544, id=,S09, PRDE,actvstrat=,-0.652443, actvprof=,2.443140, id=,S10, PRDE,actvstrat=,0.370910, actvprof=,7.638876, id=,S11, PRJADE,actvstrat=,0.128787, actvprof=,6.529671, best_B_id=,B09, best_B_prof=,3.115386, best_B_strat=,-0.961853, best_S_id=,S00, best_S_prof=,10.650092, best_S_strat=,0.886375, 
t=,36000, id=,B00, PRDE,actvstrat=,0.394179, actvprof=,2.048218, id=,B01, PRJADE,actvstrat=,0.002758, actvprof=,1.685992, id=,B02, PRDE,actvstrat=,-0.250149, actvprof=,1.581685, id=,B03, PRJADE,actvstrat=,-0.560254, actvprof=,1.710992, id=,B04, PRJADE,actvstrat=,-0.123542, actvprof=,1.600574, id=,B05, PRDE,actvstrat=,-0.967708, actvprof=,2.882950, id=,B06, PRDE,actvstrat=,-0.942538, actvprof=,2.772810, id=,B07, PRJADE,actvstrat=,0.409796, actvprof=,2.046690, id=,B08, PRDE,actvstrat=,0.452475, actvprof=,2.102663, id=,B09, PRJADE,actvstrat=,-0.961853, actvprof=,2.922117, id=,B10, PRDE,actvstrat=,0.584403, actvprof=,2.269332, id=,B11, PRJADE,actvstrat=,-0.070513, actvprof=,1.583629, id=,S00, PRDE,actvstrat=,0.886375, actvprof=,10.644012, id=,S01, PRJADE,actvstrat=,0.788429, actvprof=,10.125395, id=,S02, PRJADE,actvstrat=,-0.191676, actvprof=,3.753238, id=,S03, PRDE,actvstrat=,-0.108935, actvprof=,4.061019, id=,S04, PRDE,actvstrat=,0.265487, actvprof=,6.845774, id=,S05, PRDE,actvstrat=,-0.574652, actvprof=,2.887256, id=,S06, PRJADE,actvstrat=,-0.656172, actvprof=,2.412806, id=,S07, PRJADE,actvstrat=,0.361261, actvprof=,7.141749, id=,S08, PRJADE,actvstrat=,0.454939, actvprof=,7.819118, id=,S09, PRDE,actvstrat=,-0.652443, actvprof=,2.547668, id=,S10, PRDE,actvstrat=,0.370910, actvprof=,7.523837, id=,S11, PRJADE,actvstrat=,0.128787, actvprof=,6.331601, best_B_id=,B09, best_B_prof=,2.922117, best_B_strat=,-0.961853, best_S_id=,S00, best_S_prof=,10.644012, best_S_strat=,0.886375, 
