B00, 100
B00, Trade, 85071.733, 84, B00, S20, 1
B00, Trade, 85077.467, 118, B00, S18, 1
B00, Trade, 85102.750, 110, B00, S16, 1
B00, Trade, 85105.383, 108, S11, B00, 1
B00, Trade, 85110.150, 98, S29, B00, 1
B00, Trade, 85126.767, 129, B00, S18, 1
B00, Trade, 85137.550, 132, B00, S22, 1
B00, Trade, 85155.817, 121, B00, S23, 1
B00, Trade, 85179.167, 115, B00, S04, 1
B00, Trade, 85190.000, 123, B00, S21, 1
B00, Trade, 85198.383, 127, S11, B00, 1
B00, Trade, 85205.350, 125, B00, S24, 1
B00, Trade, 85207.033, 108, S13, B00, 1
B00, Trade, 85213.667, 121, B00, S04, 1
B00, Trade, 85217.967, 131, B00, S23, 1
B00, Trade, 85229.000, 110, B00, S22, 1
B00, Trade, 85241.100, 129, S03, B00, 1
B00, Trade, 85247.983, 128, B00, S06, 1
B00, Trade, 85262.600, 88, B00, S21, 1
B00, Trade, 85295.833, 123, B00, S04, 1
B00, Trade, 85317.750, 112, B00, S11, 1
B00, Trade, 85325.433, 137, B00, S03, 1
B00, Trade, 85341.717, 110, B00, S10, 1
B00, Trade, 85349.933, 132, B00, S23, 1
B00, Trade, 85354.717, 108, B00, S02, 1
B00, Trade, 85361.167, 128, B00, S22, 1
B00, Trade, 85370.900, 113, B00, S23, 1
B00, Trade, 85385.717, 106, B00, S05, 1
B00, Trade, 85410.467, 134, B00, S02, 1
B00, Trade, 85416.100, 127, B00, S13, 1
B00, Trade, 85424.150, 113, B00, S02, 1
B00, Trade, 85427.367, 109, B00, S13, 1
B00, Trade, 85445.133, 107, B00, S21, 1
B00, Trade, 85459.183, 120, B00, S06, 1
B00, Trade, 85472.533, 121, S28, B00, 1
B00, Trade, 85474.067, 104, S26, B00, 1
B00, Trade, 85480.333, 109, B00, S06, 1
B00, Trade, 85515.450, 118, B00, S16, 1
B00, Trade, 85554.983, 111, S22, B00, 1
B00, Trade, 85562.933, 128, B00, S23, 1
B00, Trade, 85577.750, 106, B00, S12, 1
B00, Trade, 85585.717, 129, B00, S06, 1
B00, Trade, 85609.567, 126, S16, B00, 1
B00, Trade, 85613.317, 94, S06, B00, 1
B00, Trade, 85623.133, 105, B00, S25, 1
B00, Trade, 85625.817, 114, B00, S19, 1
B00, Trade, 85645.167, 115, B00, S13, 1
B00, Trade, 85656.200, 116, B00, S13, 1
B00, Trade, 85670.483, 135, S00, B00, 1
B00, Trade, 85675.817, 115, B00, S00, 1
B00, Trade, 85681.867, 116, B00, S21, 1
B00, Trade, 85701.467, 121, S04, B00, 1
B00, Trade, 85705.600, 110, B00, S00, 1
B00, Trade, 85723.833, 94, B00, S22, 1
B00, Trade, 85752.683, 107, B00, S24, 1
B00, Trade, 85765.483, 107, B00, S18, 1
B00, Trade, 85771.100, 121, S29, B00, 1
B00, Trade, 85781.517, 110, B00, S00, 1
B00, Trade, 85794.500, 124, B00, S23, 1
B00, Trade, 85826.433, 108, B00, S19, 1
B00, Trade, 85849.283, 131, B00, S22, 1
B00, Trade, 85882.167, 111, B00, S21, 1
B00, Trade, 85897.350, 90, B00, S22, 1
B00, Trade, 85900.967, 118, B00, S22, 1
B00, Trade, 85910.050, 103, S06, B00, 1
B00, Trade, 85938.283, 98, B00, S17, 1
B00, Trade, 85952.733, 117, B00, S21, 1
B00, Trade, 85997.700, 125, B00, S13, 1
B00, Trade, 86005.167, 99, B00, S19, 1
B00, Trade, 86014.800, 97, B00, S07, 1
B00, Trade, 86031.583, 112, B00, S05, 1
B00, Trade, 86033.217, 114, B00, S12, 1
