B00, 100
B00, Trade, 85860.700, 104, S14, B00, 1
B00, Trade, 85865.333, 137, B00, S16, 1
B00, Trade, 85871.200, 139, S19, B00, 1
B00, Trade, 85874.150, 111, S28, B00, 1
B00, Trade, 85880.183, 132, S27, B00, 1
B00, Trade, 85888.450, 140, B00, S20, 1
B00, Trade, 85890.667, 140, B00, S14, 1
B00, Trade, 85898.183, 122, S22, B00, 1
B00, Trade, 85904.800, 140, B00, S09, 1
B00, Trade, 85907.967, 137, S09, B00, 1
B00, Trade, 85910.517, 128, S14, B00, 1
B00, Trade, 85920.117, 118, S15, B00, 1
B00, Trade, 85921.817, 140, B00, S03, 1
B00, Trade, 85925.633, 140, B00, S13, 1
B00, Trade, 85931.717, 138, B00, S17, 1
B00, Trade, 85937.783, 114, S19, B00, 1
B00, Trade, 85941.367, 135, B00, S03, 1
B00, Trade, 85947.450, 130, S27, B00, 1
B00, Trade, 85951.000, 130, S19, B00, 1
B00, Trade, 85955.317, 140, B00, S08, 1
B00, Trade, 85963.167, 136, B00, S02, 1
B00, Trade, 85965.767, 140, B00, S07, 1
B00, Trade, 85974.633, 138, B00, S00, 1
B00, Trade, 85979.683, 139, B00, S25, 1
B00, Trade, 85984.750, 126, S26, B00, 1
B00, Trade, 85995.967, 132, S11, B00, 1
B00, Trade, 86003.233, 139, B00, S15, 1
B00, Trade, 86008.233, 134, S19, B00, 1
B00, Trade, 86015.150, 122, S18, B00, 1
B00, Trade, 86019.567, 139, B00, S02, 1
B00, Trade, 86020.783, 121, S12, B00, 1
B00, Trade, 86029.483, 129, S27, B00, 1
B00, Trade, 86033.333, 140, B00, S20, 1
B00, Trade, 86039.600, 138, S26, B00, 1
B00, Trade, 86044.167, 130, S27, B00, 1
B00, Trade, 86049.083, 140, B00, S03, 1
B00, Trade, 86052.067, 131, S13, B00, 1
B00, Trade, 86063.217, 130, S18, B00, 1
B00, Trade, 86069.250, 131, S19, B00, 1
B00, Trade, 86075.950, 126, S19, B00, 1
B00, Trade, 86081.433, 139, B00, S18, 1
B00, Trade, 86088.133, 136, S27, B00, 1
B00, Trade, 86096.800, 140, B00, S04, 1
B00, Trade, 86103.783, 140, B00, S16, 1
B00, Trade, 86109.233, 133, S07, B00, 1
B00, Trade, 86111.200, 104, S14, B00, 1
B00, Trade, 86115.667, 117, S14, B00, 1
B00, Trade, 86125.833, 111, S19, B00, 1
B00, Trade, 86129.283, 140, B00, S22, 1
B00, Trade, 86131.667, 128, S27, B00, 1
B00, Trade, 86140.817, 140, B00, S16, 1
B00, Trade, 86146.250, 122, S26, B00, 1
B00, Trade, 86154.967, 139, S26, B00, 1
B00, Trade, 86161.150, 138, B00, S15, 1
B00, Trade, 86162.750, 111, S09, B00, 1
B00, Trade, 86168.550, 140, B00, S12, 1
B00, Trade, 86174.400, 139, B00, S02, 1
B00, Trade, 86180.633, 136, S07, B00, 1
B00, Trade, 86184.117, 138, B00, S09, 1
B00, Trade, 86193.050, 140, B00, S23, 1
B00, Trade, 86193.683, 140, S13, B00, 1
B00, Trade, 86199.467, 109, S21, B00, 1
B00, Trade, 86202.667, 140, B00, S03, 1
B00, Trade, 86207.950, 134, S13, B00, 1
B00, Trade, 86212.933, 140, S00, B00, 1
B00, Trade, 86217.483, 122, S19, B00, 1
B00, Trade, 86225.350, 125, S01, B00, 1
B00, Trade, 86231.083, 140, B00, S06, 1
B00, Trade, 86235.017, 139, B00, S23, 1
B00, Trade, 86241.233, 133, S14, B00, 1
B00, Trade, 86245.550, 135, B00, S13, 1
B00, Trade, 86252.050, 140, B00, S21, 1
B00, Trade, 86259.017, 107, S21, B00, 1
B00, Trade, 86265.367, 120, S27, B00, 1
B00, Trade, 86268.550, 135, S19, B00, 1
B00, Trade, 86276.050, 140, B00, S29, 1
B00, Trade, 86278.450, 123, S07, B00, 1
B00, Trade, 86284.700, 139, B00, S22, 1
B00, Trade, 86290.100, 139, S13, B00, 1
B00, Trade, 86292.617, 132, S14, B00, 1
