B00, 100
B00, Trade, 85339.617, 111, B00, S26, 1
B00, Trade, 85368.783, 72, B00, S10, 1
B00, Trade, 85372.900, 114, B00, S06, 1
B00, Trade, 85387.450, 113, B00, S04, 1
B00, Trade, 85389.217, 91, S05, B00, 1
B00, Trade, 85404.533, 122, B00, S10, 1
B00, Trade, 85406.317, 120, B00, S14, 1
B00, Trade, 85412.700, 100, B00, S27, 1
B00, Trade, 85427.350, 111, B00, S28, 1
B00, Trade, 85432.283, 103, B00, S26, 1
B00, Trade, 85439.533, 110, B00, S10, 1
B00, Trade, 85458.833, 112, B00, S05, 1
B00, Trade, 85473.883, 94, B00, S18, 1
B00, Trade, 85484.200, 104, B00, S12, 1
B00, Trade, 85491.050, 98, B00, S17, 1
B00, Trade, 85496.367, 130, S14, B00, 1
B00, Trade, 85511.283, 102, S04, B00, 1
B00, Trade, 85515.117, 102, B00, S06, 1
B00, Trade, 85526.483, 116, B00, S04, 1
B00, Trade, 85541.600, 110, B00, S05, 1
B00, Trade, 85546.433, 131, B00, S19, 1
B00, Trade, 85560.983, 127, S11, B00, 1
B00, Trade, 85571.017, 75, S23, B00, 1
B00, Trade, 85574.450, 127, B00, S26, 1
B00, Trade, 85591.500, 119, B00, S02, 1
B00, Trade, 85595.167, 124, B00, S06, 1
B00, Trade, 85610.800, 112, B00, S21, 1
B00, Trade, 85616.850, 116, S23, B00, 1
B00, Trade, 85628.183, 105, S09, B00, 1
B00, Trade, 85634.767, 101, B00, S28, 1
B00, Trade, 85646.933, 117, B00, S17, 1
B00, Trade, 85652.667, 130, S00, B00, 1
B00, Trade, 85659.783, 121, B00, S05, 1
B00, Trade, 85666.333, 104, B00, S15, 1
B00, Trade, 85692.067, 136, B00, S18, 1
B00, Trade, 85697.400, 105, B00, S08, 1
B00, Trade, 85710.033, 103, B00, S26, 1
B00, Trade, 85714.250, 115, B00, S13, 1
B00, Trade, 85721.833, 84, B00, S24, 1
B00, Trade, 85730.967, 115, B00, S15, 1
B00, Trade, 85741.667, 131, B00, S01, 1
B00, Trade, 85747.800, 100, B00, S05, 1
B00, Trade, 85763.583, 86, B00, S21, 1
B00, Trade, 85768.000, 113, B00, S28, 1
B00, Trade, 85777.350, 139, B00, S22, 1
B00, Trade, 85787.033, 100, B00, S10, 1
B00, Trade, 85794.783, 102, S10, B00, 1
B00, Trade, 85802.033, 131, B00, S10, 1
B00, Trade, 85828.900, 82, B00, S28, 1
