B00, 100
B00, Trade, 85863.083, 120, B00, S05, 1
B00, Trade, 85869.250, 134, B00, S06, 1
B00, Trade, 85874.700, 117, B00, S28, 1
B00, Trade, 85877.383, 117, B00, S07, 1
B00, Trade, 85882.033, 126, B00, S16, 1
B00, Trade, 85887.033, 98, B00, S17, 1
B00, Trade, 85891.417, 127, B00, S24, 1
B00, Trade, 85898.250, 104, S24, B00, 1
B00, Trade, 85905.383, 105, B00, S05, 1
B00, Trade, 85907.733, 88, B00, S02, 1
B00, Trade, 85911.733, 122, B00, S29, 1
B00, Trade, 85915.417, 140, B00, S19, 1
B00, Trade, 85922.950, 120, B00, S06, 1
B00, Trade, 85929.300, 112, B00, S27, 1
B00, Trade, 85932.883, 114, B00, S11, 1
B00, Trade, 85939.217, 113, B00, S16, 1
B00, Trade, 85944.633, 122, B00, S23, 1
B00, Trade, 85948.333, 94, B00, S24, 1
B00, Trade, 85951.317, 140, B00, S01, 1
B00, Trade, 85964.633, 130, B00, S15, 1
B00, Trade, 85967.900, 106, B00, S09, 1
B00, Trade, 85974.150, 121, B00, S20, 1
B00, Trade, 85979.433, 109, B00, S28, 1
B00, Trade, 85981.900, 114, B00, S16, 1
B00, Trade, 85986.400, 138, B00, S17, 1
B00, Trade, 85991.150, 123, B00, S14, 1
B00, Trade, 85999.800, 103, B00, S16, 1
B00, Trade, 86003.833, 107, B00, S19, 1
B00, Trade, 86005.950, 70, B00, S00, 1
B00, Trade, 86015.567, 90, B00, S00, 1
B00, Trade, 86020.900, 119, B00, S00, 1
B00, Trade, 86031.567, 105, B00, S08, 1
B00, Trade, 86032.483, 131, B00, S27, 1
B00, Trade, 86037.850, 131, B00, S23, 1
B00, Trade, 86041.917, 101, B00, S07, 1
B00, Trade, 86049.650, 102, B00, S24, 1
B00, Trade, 86051.367, 127, B00, S00, 1
B00, Trade, 86059.100, 119, B00, S02, 1
B00, Trade, 86064.900, 119, B00, S23, 1
B00, Trade, 86068.617, 140, B00, S14, 1
B00, Trade, 86072.983, 119, B00, S12, 1
B00, Trade, 86078.717, 103, B00, S13, 1
B00, Trade, 86083.867, 86, B00, S12, 1
B00, Trade, 86092.467, 126, B00, S28, 1
B00, Trade, 86095.900, 102, B00, S24, 1
B00, Trade, 86103.050, 106, B00, S09, 1
B00, Trade, 86106.300, 138, B00, S18, 1
B00, Trade, 86115.583, 125, B00, S00, 1
B00, Trade, 86120.517, 125, B00, S13, 1
B00, Trade, 86124.583, 112, B00, S16, 1
B00, Trade, 86127.867, 130, B00, S28, 1
B00, Trade, 86134.117, 123, B00, S11, 1
B00, Trade, 86137.933, 126, B00, S27, 1
B00, Trade, 86146.283, 140, B00, S11, 1
B00, Trade, 86149.400, 140, B00, S26, 1
B00, Trade, 86156.483, 119, B00, S11, 1
B00, Trade, 86158.533, 125, B00, S16, 1
B00, Trade, 86161.883, 115, B00, S05, 1
B00, Trade, 86170.633, 120, B00, S02, 1
B00, Trade, 86174.717, 126, B00, S29, 1
B00, Trade, 86181.433, 116, B00, S00, 1
B00, Trade, 86186.033, 81, B00, S14, 1
B00, Trade, 86187.867, 120, B00, S11, 1
B00, Trade, 86193.600, 109, B00, S23, 1
B00, Trade, 86204.183, 107, B00, S05, 1
B00, Trade, 86208.500, 113, B00, S24, 1
B00, Trade, 86214.783, 110, B00, S00, 1
B00, Trade, 86218.067, 140, B00, S02, 1
B00, Trade, 86227.583, 130, S23, B00, 1
B00, Trade, 86231.017, 124, B00, S07, 1
B00, Trade, 86233.683, 121, B00, S06, 1
B00, Trade, 86236.617, 132, B00, S08, 1
B00, Trade, 86241.967, 114, B00, S12, 1
B00, Trade, 86248.567, 111, B00, S14, 1
B00, Trade, 86256.467, 134, B00, S27, 1
B00, Trade, 86258.633, 116, B00, S03, 1
B00, Trade, 86263.950, 110, B00, S04, 1
B00, Trade, 86268.867, 102, B00, S12, 1
B00, Trade, 86280.417, 140, B00, S02, 1
B00, Trade, 86287.083, 115, B00, S02, 1
B00, Trade, 86289.983, 128, B00, S03, 1
B00, Trade, 86294.367, 123, B00, S25, 1
B00, Trade, 86301.867, 116, B00, S14, 1
B00, Trade, 86305.417, 102, B00, S00, 1
B00, Trade, 86310.600, 140, B00, S05, 1
B00, Trade, 86315.833, 111, B00, S29, 1
B00, Trade, 86319.500, 121, B00, S00, 1
B00, Trade, 86322.550, 119, B00, S11, 1
B00, Trade, 86331.167, 111, B00, S17, 1
B00, Trade, 86337.733, 91, B00, S29, 1
B00, Trade, 86344.100, 114, B00, S04, 1
B00, Trade, 86348.533, 118, B00, S09, 1
B00, Trade, 86356.150, 123, B00, S13, 1
B00, Trade, 86364.467, 91, B00, S22, 1
B00, Trade, 86367.983, 113, B00, S08, 1
B00, Trade, 86375.833, 116, B00, S08, 1
B00, Trade, 86381.817, 140, B00, S07, 1
B00, Trade, 86386.633, 133, B00, S17, 1
B00, Trade, 86387.050, 132, B00, S10, 1
B00, Trade, 86393.983, 132, B00, S09, 1
B01, 100
B01, Trade, 85439.200, 93, B01, S14, 1
B01, Trade, 85447.767, 102, B01, S08, 1
B01, Trade, 85451.317, 105, S20, B01, 1
B01, Trade, 85467.033, 123, S18, B01, 1
B01, Trade, 85470.917, 124, B01, S00, 1
B01, Trade, 85479.217, 116, B01, S02, 1
B01, Trade, 85483.783, 139, B01, S04, 1
B01, Trade, 85495.450, 110, B01, S08, 1
B01, Trade, 85504.350, 137, B01, S11, 1
B01, Trade, 85508.917, 118, B01, S07, 1
B01, Trade, 85514.800, 131, B01, S24, 1
B01, Trade, 85528.267, 112, B01, S05, 1
B01, Trade, 85555.433, 109, B01, S00, 1
B01, Trade, 85560.000, 128, B01, S13, 1
B01, Trade, 85568.250, 127, B01, S24, 1
B01, Trade, 85578.567, 132, B01, S11, 1
B01, Trade, 85583.033, 126, S13, B01, 1
B01, Trade, 85589.833, 110, B01, S00, 1
B01, Trade, 85593.017, 107, B01, S11, 1
B01, Trade, 85601.700, 106, S08, B01, 1
B01, Trade, 85607.167, 125, B01, S03, 1
B01, Trade, 85610.100, 106, B01, S05, 1
B01, Trade, 85625.933, 118, S09, B01, 1
B01, Trade, 85632.517, 130, B01, S28, 1
B01, Trade, 85635.083, 121, B01, S05, 1
B01, Trade, 85640.983, 126, S07, B01, 1
B01, Trade, 85647.683, 131, B01, S05, 1
B01, Trade, 85652.017, 130, S20, B01, 1
B01, Trade, 85659.967, 135, B01, S12, 1
B01, Trade, 85666.967, 134, B01, S09, 1
B01, Trade, 85674.767, 113, B01, S24, 1
