B00, 100
B00, Trade, 85507.383, 115, S20, B00, 1
B00, Trade, 85510.583, 124, B00, S06, 1
B00, Trade, 85524.250, 113, B00, S22, 1
B00, Trade, 85528.800, 139, B00, S21, 1
B00, Trade, 85536.017, 120, B00, S22, 1
B00, Trade, 85540.650, 128, B00, S23, 1
B00, Trade, 85541.733, 103, S03, B00, 1
B00, Trade, 85548.900, 127, B00, S14, 1
B00, Trade, 85556.483, 95, B00, S02, 1
B00, Trade, 85561.350, 128, B00, S03, 1
B00, Trade, 85565.550, 116, S19, B00, 1
B00, Trade, 85579.683, 131, B00, S25, 1
B00, Trade, 85585.717, 100, B00, S22, 1
B00, Trade, 85593.067, 130, S19, B00, 1
B00, Trade, 85602.267, 135, B00, S24, 1
B00, Trade, 85624.300, 118, S17, B00, 1
B00, Trade, 85627.367, 118, B00, S27, 1
B00, Trade, 85639.767, 124, B00, S09, 1
B00, Trade, 85662.633, 124, B00, S02, 1
B00, Trade, 85664.083, 125, B00, S15, 1
B00, Trade, 85668.083, 128, B00, S14, 1
B00, Trade, 85674.400, 96, B00, S18, 1
B00, Trade, 85685.683, 130, S04, B00, 1
B00, Trade, 85690.617, 116, B00, S21, 1
B00, Trade, 85701.467, 127, B00, S07, 1
B00, Trade, 85709.900, 114, B00, S27, 1
B00, Trade, 85717.683, 124, B00, S09, 1
B00, Trade, 85722.500, 136, S04, B00, 1
B00, Trade, 85723.217, 102, S06, B00, 1
B00, Trade, 85731.100, 127, S00, B00, 1
B00, Trade, 85735.717, 140, B00, S04, 1
B00, Trade, 85743.750, 126, S23, B00, 1
B00, Trade, 85758.650, 102, B00, S23, 1
B00, Trade, 85764.700, 94, S15, B00, 1
B00, Trade, 85771.100, 121, B00, S21, 1
B00, Trade, 85785.800, 115, S13, B00, 1
B00, Trade, 85793.117, 126, S26, B00, 1
B00, Trade, 85801.750, 111, B00, S25, 1
B00, Trade, 85806.850, 134, B00, S26, 1
B00, Trade, 85818.467, 136, B00, S04, 1
B00, Trade, 85823.717, 105, B00, S03, 1
B00, Trade, 85834.883, 138, B00, S07, 1
B00, Trade, 85849.467, 107, S27, B00, 1
B00, Trade, 85869.967, 104, B00, S10, 1
B00, Trade, 85878.133, 107, B00, S21, 1
B00, Trade, 85888.633, 128, B00, S10, 1
B00, Trade, 85893.450, 115, B00, S04, 1
B00, Trade, 85903.567, 123, S13, B00, 1
B00, Trade, 85923.900, 137, B00, S26, 1
B00, Trade, 85930.983, 125, B00, S03, 1
B00, Trade, 85939.800, 105, B00, S09, 1
B00, Trade, 85950.450, 101, S19, B00, 1
B00, Trade, 85956.717, 108, S24, B00, 1
B00, Trade, 85960.067, 112, S23, B00, 1
B00, Trade, 85980.067, 120, B00, S01, 1
B00, Trade, 85989.050, 134, B00, S10, 1
B00, Trade, 85994.600, 115, B00, S06, 1
B00, Trade, 85999.383, 100, S07, B00, 1
B00, Trade, 86001.817, 139, B00, S28, 1
B00, Trade, 86013.633, 107, B00, S06, 1
B00, Trade, 86020.667, 104, B00, S25, 1
B00, Trade, 86035.033, 125, S00, B00, 1
B00, Trade, 86044.500, 139, B00, S07, 1
B00, Trade, 86053.933, 138, B00, S09, 1
B00, Trade, 86068.767, 115, B00, S24, 1
B00, Trade, 86072.967, 128, S00, B00, 1
B00, Trade, 86095.500, 122, S13, B00, 1
B00, Trade, 86101.300, 122, B00, S28, 1
B00, Trade, 86104.000, 129, B00, S29, 1
B00, Trade, 86116.117, 111, S22, B00, 1
B00, Trade, 86122.050, 138, B00, S29, 1
B00, Trade, 86134.317, 138, B00, S24, 1
B00, Trade, 86139.917, 135, S19, B00, 1
B00, Trade, 86165.483, 139, B00, S09, 1
B00, Trade, 86171.033, 138, B00, S15, 1
B00, Trade, 86177.750, 113, B00, S17, 1
B00, Trade, 86196.200, 126, B00, S27, 1
B00, Trade, 86209.817, 111, B00, S11, 1
B00, Trade, 86215.067, 118, B00, S02, 1
B00, Trade, 86222.950, 128, S17, B00, 1
