B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 70.600, 100, S00, B03, 1
B03, Trade, 121.200, 102, S00, B03, 1
B04, 0
B05, 5
B05, Trade, 13.150, 143, B05, S03, 1
B05, Trade, 21.550, 154, B05, S01, 1
B05, Trade, 30.650, 150, S03, B05, 1
B05, Trade, 151.050, 154, B05, S03, 1
B05, Trade, 163.050, 143, S02, B05, 1
B06, 11
B06, Trade, 11.200, 150, B06, S04, 1
B06, Trade, 31.050, 149, S04, B06, 1
B06, Trade, 52.850, 165, B06, S00, 1
B06, Trade, 67.550, 162, B06, S03, 1
B06, Trade, 90.750, 164, B06, S00, 1
B06, Trade, 127.200, 165, B06, S04, 1
B06, Trade, 135.850, 158, B06, S00, 1
B06, Trade, 144.100, 161, B06, S00, 1
B06, Trade, 158.300, 158, B06, S02, 1
B06, Trade, 165.750, 154, B06, S01, 1
B06, Trade, 173.250, 157, B06, S03, 1
B07, 15
B07, Trade, 11.150, 166, B07, S00, 1
B07, Trade, 21.500, 173, B07, S02, 1
B07, Trade, 34.200, 164, B07, S02, 1
B07, Trade, 43.850, 172, B07, S03, 1
B07, Trade, 74.050, 173, B07, S02, 1
B07, Trade, 83.000, 175, B07, S01, 1
B07, Trade, 92.900, 166, B07, S02, 1
B07, Trade, 108.300, 169, B07, S03, 1
B07, Trade, 114.700, 176, B07, S00, 1
B07, Trade, 123.600, 176, B07, S02, 1
B07, Trade, 135.600, 167, B07, S05, 1
B07, Trade, 143.700, 168, B07, S01, 1
B07, Trade, 152.300, 175, B07, S00, 1
B07, Trade, 161.300, 104, S00, B07, 1
B07, Trade, 172.700, 154, B07, S00, 1
B08, 15
B08, Trade, 12.250, 160, B08, S02, 1
B08, Trade, 26.100, 161, B08, S03, 1
B08, Trade, 40.350, 101, S00, B08, 1
B08, Trade, 50.850, 166, B08, S02, 1
B08, Trade, 60.650, 162, B08, S00, 1
B08, Trade, 74.100, 156, B08, S03, 1
B08, Trade, 83.100, 170, B08, S00, 1
B08, Trade, 94.750, 163, B08, S03, 1
B08, Trade, 103.550, 170, B08, S02, 1
B08, Trade, 113.900, 180, B08, S07, 1
B08, Trade, 125.650, 174, B08, S06, 1
B08, Trade, 131.550, 168, B08, S02, 1
B08, Trade, 143.500, 175, B08, S04, 1
B08, Trade, 152.150, 183, B08, S03, 1
B08, Trade, 179.550, 166, B08, S01, 1
B09, 15
B09, Trade, 10.350, 188, B09, S01, 1
B09, Trade, 20.450, 174, B09, S00, 1
B09, Trade, 32.250, 163, B09, S00, 1
B09, Trade, 46.250, 166, B09, S02, 1
B09, Trade, 61.150, 163, B09, S01, 1
B09, Trade, 73.100, 155, B09, S01, 1
B09, Trade, 88.150, 168, B09, S03, 1
B09, Trade, 94.600, 165, B09, S01, 1
B09, Trade, 101.350, 164, B09, S00, 1
B09, Trade, 112.350, 182, B09, S02, 1
B09, Trade, 122.050, 174, B09, S03, 1
B09, Trade, 131.450, 172, S06, B09, 1
B09, Trade, 141.850, 170, B09, S06, 1
B09, Trade, 155.450, 174, B09, S01, 1
B09, Trade, 165.300, 161, B09, S03, 1
S00, 17
S00, Trade, 11.150, 166, B07, S00, 1
S00, Trade, 20.450, 174, B09, S00, 1
S00, Trade, 32.250, 163, B09, S00, 1
S00, Trade, 40.350, 101, S00, B08, 1
S00, Trade, 52.850, 165, B06, S00, 1
S00, Trade, 60.650, 162, B08, S00, 1
S00, Trade, 70.600, 100, S00, B03, 1
S00, Trade, 83.100, 170, B08, S00, 1
S00, Trade, 90.750, 164, B06, S00, 1
S00, Trade, 101.350, 164, B09, S00, 1
S00, Trade, 114.700, 176, B07, S00, 1
S00, Trade, 121.200, 102, S00, B03, 1
