t=,3600, id=,S00, PRDE,actvstrat=,-0.824440, actvprof=,13.687778, id=,S01, PRDE,actvstrat=,-0.362319, actvprof=,13.878333, id=,S02, PRDE,actvstrat=,0.465283, actvprof=,12.054722, id=,S03, PRDE,actvstrat=,0.584404, actvprof=,10.141389, id=,S04, PRDE,actvstrat=,-0.857673, actvprof=,4.886389, id=,S05, PRDE,actvstrat=,-0.675100, actvprof=,5.812778, id=,S06, PRDE,actvstrat=,0.551446, actvprof=,5.307500, id=,S07, PRDE,actvstrat=,0.915553, actvprof=,3.556111, id=,S08, PRDE,actvstrat=,-0.778687, actvprof=,0.796667, id=,S09, PRDE,actvstrat=,0.871333, actvprof=,1.376389, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S01, best_S_prof=,13.878333, best_S_strat=,-0.362319, 
t=,7200, id=,S00, PRDE,actvstrat=,-0.141372, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.117494, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.021954, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.681108, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.092127, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.802957, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.544911, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.805143, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.809538, actvprof=,0.000000, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.141372, 
t=,10800, id=,S00, PRDE,actvstrat=,-0.141372, actvprof=,6.020445, id=,S01, PRDE,actvstrat=,-0.117494, actvprof=,5.567655, id=,S02, PRDE,actvstrat=,0.021954, actvprof=,4.885136, id=,S03, PRDE,actvstrat=,-0.681108, actvprof=,3.625656, id=,S04, PRDE,actvstrat=,0.092127, actvprof=,3.581211, id=,S05, PRDE,actvstrat=,0.802957, actvprof=,2.697019, id=,S06, PRDE,actvstrat=,-0.544911, actvprof=,1.743382, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,1.631712, id=,S08, PRDE,actvstrat=,-0.805143, actvprof=,0.232229, id=,S09, PRDE,actvstrat=,-0.809538, actvprof=,0.082780, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,6.020445, best_S_strat=,-0.141372, 
t=,14400, id=,S00, PRDE,actvstrat=,-0.141372, actvprof=,5.665713, id=,S01, PRDE,actvstrat=,-0.117494, actvprof=,5.044862, id=,S02, PRDE,actvstrat=,0.021954, actvprof=,4.464985, id=,S03, PRDE,actvstrat=,-0.681108, actvprof=,3.382733, id=,S04, PRDE,actvstrat=,0.092127, actvprof=,3.250090, id=,S05, PRDE,actvstrat=,0.802957, actvprof=,2.547849, id=,S06, PRDE,actvstrat=,-0.544911, actvprof=,1.599489, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,1.554349, id=,S08, PRDE,actvstrat=,-0.805143, actvprof=,0.220839, id=,S09, PRDE,actvstrat=,-0.809538, actvprof=,0.075558, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,5.665713, best_S_strat=,-0.141372, 
t=,18000, id=,S00, PRDE,actvstrat=,0.504185, actvprof=,4.700735, id=,S01, PRDE,actvstrat=,0.776222, actvprof=,3.851486, id=,S02, PRDE,actvstrat=,0.981385, actvprof=,3.145584, id=,S03, PRDE,actvstrat=,0.351496, actvprof=,2.864723, id=,S04, PRDE,actvstrat=,-0.488268, actvprof=,2.041310, id=,S05, PRDE,actvstrat=,0.802957, actvprof=,1.902685, id=,S06, PRDE,actvstrat=,-0.763880, actvprof=,0.798133, id=,S07, PRDE,actvstrat=,0.497104, actvprof=,1.002042, id=,S08, PRDE,actvstrat=,-0.778687, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,0.871333, actvprof=,0.337255, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,4.700735, best_S_strat=,0.504185, 
t=,21600, id=,S00, PRDE,actvstrat=,0.504185, actvprof=,4.070643, id=,S01, PRDE,actvstrat=,0.776222, actvprof=,3.462553, id=,S02, PRDE,actvstrat=,0.981385, actvprof=,2.742652, id=,S03, PRDE,actvstrat=,0.351496, actvprof=,2.566115, id=,S04, PRDE,actvstrat=,-0.488268, actvprof=,1.818990, id=,S05, PRDE,actvstrat=,0.802957, actvprof=,1.688288, id=,S06, PRDE,actvstrat=,-0.763880, actvprof=,0.625035, id=,S07, PRDE,actvstrat=,0.497104, actvprof=,0.877271, id=,S08, PRDE,actvstrat=,-0.778687, actvprof=,0.023890, id=,S09, PRDE,actvstrat=,0.871333, actvprof=,0.281543, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,4.070643, best_S_strat=,0.504185, 
t=,25200, id=,S00, PRDE,actvstrat=,-0.424923, actvprof=,3.530719, id=,S01, PRDE,actvstrat=,-0.664041, actvprof=,2.910642, id=,S02, PRDE,actvstrat=,0.592447, actvprof=,2.765346, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.066647, id=,S04, PRDE,actvstrat=,0.315422, actvprof=,1.996361, id=,S05, PRDE,actvstrat=,-0.473999, actvprof=,1.200428, id=,S06, PRDE,actvstrat=,0.723024, actvprof=,1.305997, id=,S07, PRDE,actvstrat=,-0.045842, actvprof=,0.716756, id=,S08, PRDE,actvstrat=,-0.745235, actvprof=,0.063619, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.370602, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,3.530719, best_S_strat=,-0.424923, 
t=,28800, id=,S00, PRDE,actvstrat=,-0.424923, actvprof=,3.562862, id=,S01, PRDE,actvstrat=,-0.664041, actvprof=,2.880041, id=,S02, PRDE,actvstrat=,0.592447, actvprof=,2.658222, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.979013, id=,S04, PRDE,actvstrat=,0.315422, actvprof=,1.904147, id=,S05, PRDE,actvstrat=,-0.473999, actvprof=,1.210492, id=,S06, PRDE,actvstrat=,0.723024, actvprof=,1.185352, id=,S07, PRDE,actvstrat=,-0.045842, actvprof=,0.704627, id=,S08, PRDE,actvstrat=,-0.745235, actvprof=,0.117091, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.378357, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,3.562862, best_S_strat=,-0.424923, 
t=,32400, id=,S00, PRDE,actvstrat=,-0.141372, actvprof=,2.955966, id=,S01, PRDE,actvstrat=,-0.207937, actvprof=,2.418947, id=,S02, PRDE,actvstrat=,0.891446, actvprof=,2.030282, id=,S03, PRDE,actvstrat=,-0.486042, actvprof=,1.873316, id=,S04, PRDE,actvstrat=,-0.340035, actvprof=,1.439922, id=,S05, PRDE,actvstrat=,-0.473999, actvprof=,0.941520, id=,S06, PRDE,actvstrat=,0.641165, actvprof=,0.999028, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.771218, id=,S08, PRDE,actvstrat=,-0.745235, actvprof=,0.147520, id=,S09, PRDE,actvstrat=,0.231784, actvprof=,0.182248, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.955966, best_S_strat=,-0.141372, 
t=,36000, id=,S00, PRDE,actvstrat=,-0.141372, actvprof=,2.927009, id=,S01, PRDE,actvstrat=,-0.207937, actvprof=,2.521425, id=,S02, PRDE,actvstrat=,0.891446, actvprof=,2.133759, id=,S03, PRDE,actvstrat=,-0.486042, actvprof=,1.800542, id=,S04, PRDE,actvstrat=,-0.340035, actvprof=,1.503854, id=,S05, PRDE,actvstrat=,-0.473999, actvprof=,1.048684, id=,S06, PRDE,actvstrat=,0.641165, actvprof=,1.042850, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.822974, id=,S08, PRDE,actvstrat=,-0.745235, actvprof=,0.115286, id=,S09, PRDE,actvstrat=,0.231784, actvprof=,0.231266, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.927009, best_S_strat=,-0.141372, 
t=,39600, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.867785, id=,S01, PRDE,actvstrat=,-0.806615, actvprof=,2.017808, id=,S02, PRDE,actvstrat=,0.217971, actvprof=,2.348414, id=,S03, PRDE,actvstrat=,0.885720, actvprof=,1.806943, id=,S04, PRDE,actvstrat=,0.413370, actvprof=,1.566628, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,1.213797, id=,S06, PRDE,actvstrat=,0.606849, actvprof=,0.853186, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.420620, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.316159, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.215311, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S02, best_S_prof=,2.348414, best_S_strat=,0.217971, 
