B00, 100
B00, Trade, 85873.200, 138, B00, S11, 1
B00, Trade, 85877.217, 136, S17, B00, 1
B00, Trade, 85882.383, 139, B00, S07, 1
B00, Trade, 85884.300, 140, B00, S05, 1
B00, Trade, 85892.617, 120, S29, B00, 1
B00, Trade, 85895.967, 131, S10, B00, 1
B00, Trade, 85898.800, 133, S06, B00, 1
B00, Trade, 85905.800, 139, B00, S04, 1
B00, Trade, 85913.467, 88, S01, B00, 1
B00, Trade, 85916.933, 140, B00, S20, 1
B00, Trade, 85922.783, 140, B00, S12, 1
B00, Trade, 85930.400, 139, B00, S12, 1
B00, Trade, 85936.733, 102, S15, B00, 1
B00, Trade, 85942.300, 107, S27, B00, 1
B00, Trade, 85945.983, 137, B00, S12, 1
B00, Trade, 85951.517, 140, B00, S13, 1
B00, Trade, 85956.117, 140, S27, B00, 1
B00, Trade, 85961.067, 140, S21, B00, 1
B00, Trade, 85964.683, 140, B00, S12, 1
B00, Trade, 85979.167, 139, B00, S25, 1
B00, Trade, 85983.633, 140, B00, S03, 1
B00, Trade, 85986.583, 134, S02, B00, 1
B00, Trade, 85990.467, 137, B00, S01, 1
B00, Trade, 85999.450, 105, S10, B00, 1
B00, Trade, 86004.667, 138, S21, B00, 1
B00, Trade, 86006.100, 137, S08, B00, 1
B00, Trade, 86012.633, 124, S17, B00, 1
B00, Trade, 86016.600, 133, S21, B00, 1
B00, Trade, 86023.217, 104, S18, B00, 1
B00, Trade, 86025.750, 139, B00, S20, 1
B00, Trade, 86034.217, 132, S27, B00, 1
B00, Trade, 86040.000, 140, B00, S29, 1
B00, Trade, 86044.283, 137, S27, B00, 1
B00, Trade, 86046.133, 135, S17, B00, 1
B00, Trade, 86050.400, 137, S21, B00, 1
B00, Trade, 86063.183, 140, B00, S25, 1
B00, Trade, 86064.650, 137, S01, B00, 1
B00, Trade, 86070.117, 126, S17, B00, 1
B00, Trade, 86073.483, 114, S27, B00, 1
B00, Trade, 86076.367, 139, B00, S06, 1
B00, Trade, 86083.600, 101, S09, B00, 1
B00, Trade, 86088.667, 137, B00, S04, 1
B00, Trade, 86091.967, 140, B00, S25, 1
B00, Trade, 86100.183, 139, B00, S06, 1
B00, Trade, 86105.050, 137, B00, S00, 1
B00, Trade, 86107.900, 138, B00, S11, 1
B00, Trade, 86115.617, 125, S17, B00, 1
B00, Trade, 86119.883, 138, B00, S18, 1
B00, Trade, 86125.683, 123, S23, B00, 1
B00, Trade, 86134.983, 140, S27, B00, 1
B00, Trade, 86139.333, 140, B00, S26, 1
B00, Trade, 86141.567, 138, B00, S11, 1
B00, Trade, 86147.083, 99, S17, B00, 1
B00, Trade, 86157.617, 121, S21, B00, 1
B00, Trade, 86164.300, 130, S17, B00, 1
B00, Trade, 86167.350, 140, B00, S23, 1
B00, Trade, 86174.367, 134, S27, B00, 1
B00, Trade, 86180.433, 140, B00, S26, 1
B00, Trade, 86184.917, 135, S13, B00, 1
B00, Trade, 86186.983, 112, S11, B00, 1
B00, Trade, 86195.317, 140, B00, S03, 1
B00, Trade, 86200.183, 130, S07, B00, 1
B00, Trade, 86204.550, 138, B00, S07, 1
B00, Trade, 86208.583, 139, B00, S16, 1
B00, Trade, 86214.567, 129, S15, B00, 1
B00, Trade, 86221.483, 140, B00, S06, 1
B00, Trade, 86227.400, 140, B00, S28, 1
B00, Trade, 86228.067, 139, B00, S22, 1
B00, Trade, 86234.517, 134, S01, B00, 1
B00, Trade, 86240.050, 139, B00, S11, 1
B00, Trade, 86243.467, 129, S27, B00, 1
B00, Trade, 86248.967, 139, S01, B00, 1
B00, Trade, 86255.967, 133, B00, S18, 1
B00, Trade, 86259.733, 129, S27, B00, 1
B00, Trade, 86263.283, 140, B00, S11, 1
B00, Trade, 86267.867, 140, B00, S18, 1
B00, Trade, 86274.433, 102, S06, B00, 1
B00, Trade, 86276.717, 110, S01, B00, 1
B00, Trade, 86282.783, 139, B00, S10, 1
B00, Trade, 86292.067, 137, S13, B00, 1
B00, Trade, 86300.050, 134, S21, B00, 1
B00, Trade, 86306.883, 136, S09, B00, 1
B00, Trade, 86312.600, 138, B00, S27, 1
B00, Trade, 86318.267, 117, S00, B00, 1
B00, Trade, 86326.600, 140, B00, S18, 1
B00, Trade, 86331.550, 139, B00, S14, 1
B00, Trade, 86332.350, 140, B00, S00, 1
B00, Trade, 86337.000, 138, B00, S24, 1
B00, Trade, 86343.950, 138, S11, B00, 1
B00, Trade, 86350.467, 134, S07, B00, 1
B00, Trade, 86355.383, 139, B00, S11, 1
B00, Trade, 86360.200, 136, S13, B00, 1
B00, Trade, 86366.550, 139, B00, S18, 1
B00, Trade, 86367.283, 140, B00, S27, 1
B00, Trade, 86371.833, 140, B00, S17, 1
B00, Trade, 86381.867, 139, B00, S23, 1
B00, Trade, 86387.317, 136, B00, S24, 1
B00, Trade, 86391.567, 136, S01, B00, 1
B00, Trade, 86394.100, 140, B00, S03, 1
B00, Trade, 86397.283, 140, B00, S12, 1
B01, 100
B01, Trade, 85884.350, 139, B01, S13, 1
B01, Trade, 85896.333, 140, B01, S29, 1
B01, Trade, 85902.283, 113, S01, B01, 1
B01, Trade, 85903.983, 139, B01, S18, 1
B01, Trade, 85913.933, 121, S15, B01, 1
B01, Trade, 85915.767, 129, S07, B01, 1
B01, Trade, 85923.783, 140, B01, S01, 1
B01, Trade, 85927.050, 114, S27, B01, 1
B01, Trade, 85932.217, 135, S21, B01, 1
B01, Trade, 85934.350, 126, S20, B01, 1
B01, Trade, 85944.900, 138, B01, S03, 1
B01, Trade, 85945.067, 99, S07, B01, 1
B01, Trade, 85953.167, 139, S27, B01, 1
B01, Trade, 85959.033, 140, S17, B01, 1
